id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748664,0.00,,,Start 1:e halvleg,,,,,,,,
2,748664,0.29,,NSH,Fejlaflevering,,13,Gustav BRUUN,,,,,
3,748664,1.01,,NSH,Udvisning,,13,Gustav BRUUN,,,,,
4,748664,1.16,,TMS,Skud reddet,ST,24,Simon OOMS,,,,16,Magnus PETERSEN
5,748664,2.07,,TMS,Advarsel,,24,Simon OOMS,,,,,
6,748664,2.36,1-0,NSH,Mål,Gbr,57,Nikolaj LARSSON,Assist,7,Léo MARTINEZ,16,Andreas HAAGEN
7,748664,3.06,1-1,TMS,Mål,ST,24,Simon OOMS,Assist,17,Oliver WOSNIAK,16,Magnus PETERSEN
8,748664,3.40,2-1,NSH,Mål,Gbr,57,Nikolaj LARSSON,,,,16,Andreas HAAGEN
9,748664,3.49,2-2,TMS,Mål,2:e,17,Oliver WOSNIAK,,,,16,Magnus PETERSEN
10,748664,4.31,,TMS,Advarsel,,81,Tobias NIELSEN,,,,,
11,748664,4.38,3-2,NSH,Mål,HB,57,Nikolaj LARSSON,,,,16,Andreas HAAGEN
12,748664,4.51,3-3,TMS,Mål,PL,7,Christoffer DREYER,,,,16,Magnus PETERSEN
13,748664,5.49,,TMS,Udvisning,,7,Christoffer DREYER,,,,,
14,748664,6.04,,NSH,Skud reddet,Gbr,79,Oliver KLARSKOV,,,,16,Andreas HAAGEN
15,748664,7.00,,TMS,Skud blokeret,PL,17,Oliver WOSNIAK,Blokeret af,42,Matias CAMPBELL,,
16,748664,7.39,,NSH,Skud reddet,PL,42,Matias CAMPBELL,,,,16,Andreas HAAGEN
17,748664,8.12,3-4,TMS,Mål,HF,81,Tobias NIELSEN,Assist,19,Benjamin HALLGREN,16,Magnus PETERSEN
18,748664,8.24,4-4,NSH,Mål,Gbr,7,Léo MARTINEZ,,,,16,Andreas HAAGEN
19,748664,9.04,,TMS,Skud reddet,PL,19,Benjamin HALLGREN,,,,16,Magnus PETERSEN
20,748664,9.16,5-4,NSH,Mål,2:e,14,Rasmus MADSBØLL,Assist,13,Gustav BRUUN,16,Andreas HAAGEN
21,748664,10.03,,TMS,Fejlaflevering,,19,Benjamin HALLGREN,Bold erobret,13,Gustav BRUUN,,
22,748664,10.08,6-4,NSH,Mål,1:e,11,Jonas RAUNDAHL,Assist,13,Gustav BRUUN,16,Andreas HAAGEN
23,748664,10.40,6-5,TMS,Mål,Gbr,7,Christoffer DREYER,,,,16,Magnus PETERSEN
24,748664,11.32,,NSH,Fejlaflevering,,7,Léo MARTINEZ,,,,,
25,748664,12.03,,TMS,Tabt bold,,19,Benjamin HALLGREN,,,,,
26,748664,12.17,7-5,NSH,Mål,PL,42,Matias CAMPBELL,,,,16,Andreas HAAGEN
27,748664,12.47,7-6,TMS,Mål,Gbr,5,Mark NIKOLAJSEN,,,,16,Magnus PETERSEN
28,748664,13.00,,NSH,Fejlaflevering,,7,Léo MARTINEZ,,,,,
29,748664,13.09,,TMS,Fejlaflevering,,17,Oliver WOSNIAK,,,,,
30,748664,14.02,,NSH,Fejlaflevering,,13,Gustav BRUUN,,,,,
31,748664,14.05,,TMS,Fejlaflevering,,44,Tobias TOMBAK,,,,,
32,748664,14.11,8-6,NSH,Mål,1:e,3,Carl-Emil HAUNSTRUP,,,,16,Andreas HAAGEN
33,748664,14.15,,TMS,Time out,,,,,,,,
34,748664,14.38,,TMS,Fejlaflevering,,7,Christoffer DREYER,Bold erobret,11,Jonas RAUNDAHL,,
35,748664,14.43,9-6,NSH,Mål,1:e,3,Carl-Emil HAUNSTRUP,Assist,42,Matias CAMPBELL,0,
36,748664,14.51,,TMS,Fejlaflevering,,19,Benjamin HALLGREN,Bold erobret,11,Jonas RAUNDAHL,,
37,748664,15.00,10-6,NSH,Mål,1:e,42,Matias CAMPBELL,,,,0,
38,748664,15.30,,TMS,Skud reddet,Gbr,7,Christoffer DREYER,,,,16,Magnus PETERSEN
39,748664,16.05,11-6,NSH,Mål,2:e,17,Assar KAMMENHED,,,,16,Andreas HAAGEN
40,748664,16.30,,TMS,Skud reddet,Gbr,5,Mark NIKOLAJSEN,,,,16,Magnus PETERSEN
41,748664,16.55,12-6,NSH,Mål,2:e,14,Rasmus MADSBØLL,Assist,7,Léo MARTINEZ,16,Andreas HAAGEN
42,748664,16.58,,TMS,Time out,,,,,,,,
43,748664,17.18,12-7,TMS,Mål,Gbr,44,Tobias TOMBAK,,,,16,Magnus PETERSEN
44,748664,18.03,,NSH,Skud reddet,Gbr,17,Assar KAMMENHED,,,,29,Malte EICHHORST
45,748664,18.03,,NSH,Udvisning,,17,Assar KAMMENHED,,,,,
46,748664,18.21,12-8,TMS,Mål,VF,27,Victor WOLF,Assist,17,Oliver WOSNIAK,16,Magnus PETERSEN
47,748664,19.02,,NSH,Skud reddet,Gbr,57,Nikolaj LARSSON,,,,16,Andreas HAAGEN
48,748664,19.10,12-9,TMS,Mål,1:e,27,Victor WOLF,Assist,17,Oliver WOSNIAK,16,Magnus PETERSEN
49,748664,19.39,13-9,NSH,Mål,VB,19,Thomas BOILESEN,,,,16,Andreas HAAGEN
50,748664,19.49,,TMS,Skud blokeret,1:e,17,Oliver WOSNIAK,Blokeret af,11,Jonas RAUNDAHL,,
51,748664,20.25,,NSH,Regelfejl,,57,Nikolaj LARSSON,,,,,
52,748664,20.26,,NSH,Udvisning,,57,Nikolaj LARSSON,,,,,
53,748664,20.56,13-10,TMS,Mål,ST,24,Simon OOMS,Assist,17,Oliver WOSNIAK,16,Magnus PETERSEN
54,748664,21.50,,NSH,Skud reddet,VB,19,Thomas BOILESEN,,,,16,Andreas HAAGEN
55,748664,22.03,13-11,TMS,Mål,ST,24,Simon OOMS,Assist,44,Tobias TOMBAK,16,Magnus PETERSEN
56,748664,22.33,,TMS,Udvisning,,25,Anders AGGER,,,,,
57,748664,22.54,14-11,NSH,Mål,Gbr,79,Oliver KLARSKOV,Assist,57,Nikolaj LARSSON,16,Andreas HAAGEN
58,748664,23.46,14-12,TMS,Mål,PL,10,Frederik HORN,,,,16,Magnus PETERSEN
59,748664,24.15,15-12,NSH,Mål,ST,21,Tim RANTALA,Assist,42,Matias CAMPBELL,16,Andreas HAAGEN
60,748664,24.45,,TMS,Skud reddet,Gbr,44,Tobias TOMBAK,,,,29,Jimmi ANDERSEN
61,748664,25.29,,TMS,Udvisning,,24,Simon OOMS,,,,,
62,748664,25.51,16-12,NSH,Mål,Gbr,57,Nikolaj LARSSON,Assist,42,Matias CAMPBELL,16,Andreas HAAGEN
63,748664,26.27,16-13,TMS,Mål,Gbr,19,Benjamin HALLGREN,,,,29,Jimmi ANDERSEN
64,748664,26.53,,NSH,Skud reddet,PL,42,Matias CAMPBELL,,,,16,Andreas HAAGEN
65,748664,27.56,,TMS,Skud reddet,PL,10,Frederik HORN,,,,29,Jimmi ANDERSEN
66,748664,28.34,17-13,NSH,Mål,Gbr,79,Oliver KLARSKOV,,,,16,Andreas HAAGEN
67,748664,29.24,,TMS,Tilkendt straffe,,19,Benjamin HALLGREN,Forårs. str.,13,Gustav BRUUN,,
68,748664,29.30,,TMS,Straffekast reddet,,27,Victor WOLF,,,,29,Jimmi ANDERSEN
69,748664,29.38,,NSH,Time out,,,,,,,,
70,748664,29.48,18-13,NSH,Mål,Gbr,57,Nikolaj LARSSON,,,,16,Andreas HAAGEN
71,748664,29.59,18-14,TMS,Mål,2:e,17,Oliver WOSNIAK,,,,29,Jimmi ANDERSEN
72,748664,30.00,18-14,,Halvleg,,,,,,,,
73,748664,30.00,,,Start 2:e halvleg,,,,,,,,
74,748664,30.44,,TMS,Skud reddet,PL,7,Christoffer DREYER,,,,29,Jimmi ANDERSEN
75,748664,30.50,,NSH,Skud reddet,1:e,5,Julius MØRCH,,,,16,Andreas HAAGEN
76,748664,31.25,,TMS,Skud reddet,ST,81,Tobias NIELSEN,,,,29,Jimmi ANDERSEN
77,748664,31.32,,NSH,Skud reddet,2:e,13,Gustav BRUUN,,,,16,Andreas HAAGEN
78,748664,31.39,18-15,TMS,Mål,2:e,44,Tobias TOMBAK,,,,29,Jimmi ANDERSEN
79,748664,32.26,19-15,NSH,Mål,Gbr,7,Léo MARTINEZ,,,,16,Andreas HAAGEN
80,748664,32.40,,TMS,Tilkendt straffe,,10,Frederik HORN,Forårs. str.,42,Matias CAMPBELL,,
81,748664,33.00,19-16,TMS,Mål på straffe,,81,Tobias NIELSEN,,,,29,Jimmi ANDERSEN
82,748664,33.38,,NSH,Regelfejl,,13,Gustav BRUUN,,,,,
83,748664,33.44,19-17,TMS,Mål,1:e,81,Tobias NIELSEN,,,,29,Jimmi ANDERSEN
84,748664,33.52,20-17,NSH,Mål,2:e,7,Léo MARTINEZ,,,,16,Andreas HAAGEN
85,748664,34.27,20-18,TMS,Mål,VF,27,Victor WOLF,,,,29,Jimmi ANDERSEN
86,748664,34.36,21-18,NSH,Mål,2:e,13,Gustav BRUUN,,,,16,Andreas HAAGEN
87,748664,34.47,21-19,TMS,Mål,2:e,44,Tobias TOMBAK,,,,29,Jimmi ANDERSEN
88,748664,34.59,22-19,NSH,Mål,2:e,5,Julius MØRCH,Assist,13,Gustav BRUUN,16,Andreas HAAGEN
89,748664,35.37,,TMS,Skud reddet,PL,10,Frederik HORN,Retur,0,,29,Jimmi ANDERSEN
90,748664,35.52,22-20,TMS,Mål,ST,25,Anders AGGER,Assist,44,Tobias TOMBAK,29,Jimmi ANDERSEN
91,748664,36.37,23-20,NSH,Mål,VF,14,Rasmus MADSBØLL,Assist,19,Thomas BOILESEN,16,Andreas HAAGEN
92,748664,37.03,23-21,TMS,Mål,Gbr,10,Frederik HORN,,,,29,Jimmi ANDERSEN
93,748664,37.43,24-21,NSH,Mål,ST,5,Julius MØRCH,Assist,7,Léo MARTINEZ,16,Andreas HAAGEN
94,748664,38.01,,TMS,Tilkendt straffe,,7,Christoffer DREYER,Forårs. str.,42,Matias CAMPBELL,,
95,748664,38.21,,TMS,Straffekast forbi,,81,Tobias NIELSEN,,,,29,Jimmi ANDERSEN
96,748664,39.19,,NSH,Fejlaflevering,,57,Nikolaj LARSSON,Bold erobret,81,Tobias NIELSEN,,
97,748664,39.23,24-22,TMS,Mål,1:e,81,Tobias NIELSEN,,,,29,Jimmi ANDERSEN
98,748664,39.51,,NSH,Skud reddet,PL,19,Thomas BOILESEN,,,,16,Andreas HAAGEN
99,748664,39.59,24-23,TMS,Mål,2:e,10,Frederik HORN,,,,29,Jimmi ANDERSEN
100,748664,40.38,,NSH,Tilkendt straffe,,57,Nikolaj LARSSON,Forårs. str.,7,Christoffer DREYER,,
101,748664,40.58,,NSH,Straffekast reddet,,3,Carl-Emil HAUNSTRUP,,,,16,Andreas HAAGEN
102,748664,41.32,,TMS,Skud på stolpe,PL,10,Frederik HORN,Retur,10,Frederik HORN,29,Jimmi ANDERSEN
103,748664,41.38,24-24,TMS,Mål,ST,10,Frederik HORN,,,,29,Jimmi ANDERSEN
104,748664,41.45,,,,,,,,,,,
105,748664,42.15,,TMS,Tabt bold,,10,Frederik HORN,,,,,
106,748664,42.21,,NSH,Skud reddet,1:e,3,Carl-Emil HAUNSTRUP,,,,16,Andreas HAAGEN
107,748664,42.27,24-25,TMS,Mål,2:e,7,Christoffer DREYER,,,,29,Jimmi ANDERSEN
108,748664,42.39,25-25,NSH,Mål,Gbr,57,Nikolaj LARSSON,,,,16,Andreas HAAGEN
109,748664,43.21,25-26,TMS,Mål,PL,44,Tobias TOMBAK,,,,29,Jimmi ANDERSEN
110,748664,43.31,,NSH,Time out,,,,,,,,
111,748664,43.59,,NSH,Regelfejl,,19,Thomas BOILESEN,,,,,
112,748664,45.02,25-27,TMS,Mål,PL,17,Oliver WOSNIAK,,,,16,Magnus PETERSEN
113,748664,45.11,,TMS,Advarsel,B,,Marc UHD,,,,,
114,748664,45.35,,NSH,Skud reddet,ST,5,Julius MØRCH,,,,16,Andreas HAAGEN
115,748664,45.44,25-28,TMS,Mål,2:e,24,Simon OOMS,Assist,7,Christoffer DREYER,16,Magnus PETERSEN
116,748664,46.26,26-28,NSH,Mål,Gbr,79,Oliver KLARSKOV,,,,16,Andreas HAAGEN
117,748664,46.59,,TMS,Fejlaflevering,,44,Tobias TOMBAK,,,,,
118,748664,47.36,27-28,NSH,Mål,HF,3,Carl-Emil HAUNSTRUP,Assist,42,Matias CAMPBELL,16,Andreas HAAGEN
119,748664,48.10,,TMS,Fejlaflevering,,19,Benjamin HALLGREN,Bold erobret,11,Jonas RAUNDAHL,,
120,748664,48.15,28-28,NSH,Mål,1:e,14,Rasmus MADSBØLL,,,,16,Andreas HAAGEN
121,748664,48.50,28-29,TMS,Mål,ST,24,Simon OOMS,Assist,7,Christoffer DREYER,16,Magnus PETERSEN
122,748664,49.22,29-29,NSH,Mål,Gbr,57,Nikolaj LARSSON,,,,16,Andreas HAAGEN
123,748664,50.14,,TMS,Skud reddet,HF,81,Tobias NIELSEN,,,,16,Magnus PETERSEN
124,748664,51.03,30-29,NSH,Mål,Gbr,57,Nikolaj LARSSON,Assist,42,Matias CAMPBELL,16,Andreas HAAGEN
125,748664,51.49,,TMS,Fejlaflevering,,10,Frederik HORN,,,,,
126,748664,52.33,31-29,NSH,Mål,HF,3,Carl-Emil HAUNSTRUP,Assist,57,Nikolaj LARSSON,16,Andreas HAAGEN
127,748664,52.47,,TMS,Time out,,,,,,,,
