id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748665,0.00,,,Start 1:e halvleg,,,,,,,,
2,748665,0.40,0-1,GIF,Mål,PL,21,Kristoffer VESTERGAARD,,,,16,Ágúst BJÖRGVINSSON
3,748665,1.17,1-1,REH,Mål,VB,81,Alfred JÖNSSON,,,,16,Christian WETCHE
4,748665,1.47,1-2,GIF,Mål,PL,21,Kristoffer VESTERGAARD,Assist,15,Jonas FUGLSBJERG,16,Ágúst BJÖRGVINSSON
5,748665,1.59,2-2,REH,Mål,PL,6,Jonathan WÜRTZ,,,,16,Christian WETCHE
6,748665,2.35,2-3,GIF,Mål,ST,17,Kristian Krag ØRSTED,Assist,15,Jonas FUGLSBJERG,16,Ágúst BJÖRGVINSSON
7,748665,3.13,3-3,REH,Mål,PL,81,Alfred JÖNSSON,,,,16,Christian WETCHE
8,748665,3.45,3-4,GIF,Mål,HF,7,Jakob VILLEMOES,Assist,21,Kristoffer VESTERGAARD,16,Ágúst BJÖRGVINSSON
9,748665,4.01,,GIF,Advarsel,,11,Kristoffer JESSEN,,,,,
10,748665,4.31,,REH,Tilkendt straffe,,17,Andreas SØGAARD,Forårs. str.,15,Jonas FUGLSBJERG,,
11,748665,4.52,4-4,REH,Mål på straffe,,11,Mathias JØRGENSEN,,,,16,Christian WETCHE
12,748665,5.29,4-5,GIF,Mål,ST,17,Kristian Krag ØRSTED,Assist,15,Jonas FUGLSBJERG,16,Ágúst BJÖRGVINSSON
13,748665,5.40,,REH,Regelfejl,,11,Mathias JØRGENSEN,,,,,
14,748665,6.12,4-6,GIF,Mål,Gbr,21,Kristoffer VESTERGAARD,Assist,15,Jonas FUGLSBJERG,16,Ágúst BJÖRGVINSSON
15,748665,6.24,,REH,Skud på stolpe,VF,31,Morten JØRGENSEN,,,,16,Christian WETCHE
16,748665,7.28,,REH,Advarsel,,6,Jonathan WÜRTZ,,,,,
17,748665,7.57,,GIF,Passivt spil,,0,,,,,,
18,748665,8.01,5-6,REH,Mål,2:e,11,Mathias JØRGENSEN,Assist,31,Morten JØRGENSEN,16,Christian WETCHE
