id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748666,0.00,,,Start 1:e halvleg,,,,,,,,
2,748666,0.33,0-1,KIF,Mål,Gbr,21,Kristian STOKLUND,,,,1,Mikkel LØVKVIST
3,748666,0.59,,BSH,Tilkendt straffe,,23,Mads LENBROCH,Forårs. str.,29,Viktor NEVERS,,
4,748666,1.24,1-1,BSH,Mål på straffe,,9,Gudmundur Bragi ASTPARSSON,,,,12,Josip CAVAR
5,748666,1.55,,KIF,Skud reddet,Gbr,28,Lauritz LEGÉR,,,,1,Mikkel LØVKVIST
6,748666,2.01,,BSH,Tabt bold,,26,Peter BALLING,,,,,
7,748666,2.39,,KIF,Skud reddet,Gbr,28,Lauritz LEGÉR,Retur,0,,1,Mikkel LØVKVIST
8,748666,3.26,1-2,KIF,Mål,HB,5,Oliver NORLYK,,,,1,Mikkel LØVKVIST
9,748666,3.56,,BSH,Skud reddet,PL,11,Rasmus LAUGE,,,,12,Josip CAVAR
10,748666,4.05,,KIF,Skud forbi,2:e,28,Lauritz LEGÉR,,,,1,Mikkel LØVKVIST
11,748666,4.34,,BSH,Regelfejl,,14,Alexander LYNGGAARD,,,,,
12,748666,5.17,,KIF,Skud reddet,PL,21,Kristian STOKLUND,,,,1,Mikkel LØVKVIST
13,748666,5.24,2-2,BSH,Mål,2:e,32,Nikolaj LÆSØ,,,,12,Josip CAVAR
14,748666,6.14,,BSH,Udvisning,,14,Alexander LYNGGAARD,,,,,
15,748666,6.36,,KIF,Fejlaflevering,,5,Oliver NORLYK,Bold erobret,23,Mads LENBROCH,,
16,748666,7.14,3-2,BSH,Mål,ST,23,Mads LENBROCH,Assist,26,Peter BALLING,12,Josip CAVAR
17,748666,7.37,3-3,KIF,Mål,Gbr,5,Oliver NORLYK,,,,1,Mikkel LØVKVIST
18,748666,8.09,4-3,BSH,Mål,PL,32,Nikolaj LÆSØ,,,,12,Josip CAVAR
19,748666,9.04,,KIF,Skud reddet,PL,5,Oliver NORLYK,,,,1,Mikkel LØVKVIST
20,748666,9.15,5-3,BSH,Mål,2:e,32,Nikolaj LÆSØ,,,,12,Josip CAVAR
21,748666,9.20,,KIF,Time out,,,,,,,,
