id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748668,0.00,,,Start 1:e halvleg,,,,,,,,
2,748668,0.55,,SAH,Skud reddet,HB,3,Kristjan ÖRN KRISTJANSSON,,,,1,Christoffer BONDE
3,748668,1.02,0-1,SKH,Mål,1:e,14,Emil BERGHOLT,Assist,15,Lasse MIKKELSEN,12,Magnus BRANDBYGE
4,748668,1.49,1-1,SAH,Mål,HB,3,Kristjan ÖRN KRISTJANSSON,,,,1,Christoffer BONDE
5,748668,2.00,,SKH,Fejlaflevering,,15,Lasse MIKKELSEN,Bold erobret,3,Kristjan ÖRN KRISTJANSSON,,
6,748668,2.05,,SAH,Skud reddet,1:e,3,Kristjan ÖRN KRISTJANSSON,Retur,0,,1,Christoffer BONDE
7,748668,2.41,,SAH,Skud reddet,Gbr,20,Morten BALLING,,,,1,Christoffer BONDE
8,748668,3.37,1-2,SKH,Mål,HB,25,Eivind TANGEN,,,,12,Magnus BRANDBYGE
9,748668,3.49,2-2,SAH,Mål,2:e,15,Emil LÆRKE,,,,1,Christoffer BONDE
10,748668,4.00,,SKH,Skud forbi,2:e,13,Noah GAUDIN,,,,12,Magnus BRANDBYGE
11,748668,4.13,,SAH,Skud forbi,PL,6,Kristian BONEFELD,,,,1,Christoffer BONDE
12,748668,4.45,2-3,SKH,Mål,PL,15,Lasse MIKKELSEN,,,,12,Magnus BRANDBYGE
13,748668,5.22,,SAH,Skud forbi,PL,3,Kristjan ÖRN KRISTJANSSON,,,,1,Christoffer BONDE
14,748668,5.28,,SKH,Tilkendt straffe,,14,Emil BERGHOLT,Forårs. str.,5,Frederik ARNOLDSEN,,
15,748668,5.29,,SAH,Udvisning,,5,Frederik ARNOLDSEN,,,,,
16,748668,5.35,,SKH,Straffekast på stolpe,,19,Bjarke CHRISTENSEN,,,,12,Magnus BRANDBYGE
17,748668,6.23,3-3,SAH,Mål,Gbr,15,Emil LÆRKE,,,,1,Christoffer BONDE
18,748668,6.29,3-4,SKH,Mål,1:e,14,Emil BERGHOLT,,,,0,
19,748668,7.18,4-4,SAH,Mål,Gbr,20,Morten BALLING,,,,1,Christoffer BONDE
20,748668,7.25,4-5,SKH,Mål,1:e,15,Lasse MIKKELSEN,Assist,14,Emil BERGHOLT,0,
