id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748671,0.00,,,Start 1:e halvleg,,,,,,,,
2,748671,0.35,,MTH,Skud på stolpe,HB,28,Rasmus MADSEN,,,,1,Matthias DORGELO
3,748671,1.15,0-1,SJE,Mål,ST,18,Morten BJØRNSHAUGE,Assist,11,Nicolaj JØRGENSEN,30,Svend RUGHAVE
4,748671,1.40,,MTH,Skud reddet,PL,21,Marcus MIDTGAARD,,,,1,Matthias DORGELO
5,748671,2.15,,SJE,Tilkendt straffe,,18,Morten BJØRNSHAUGE,Forårs. str.,7,Nichlas HALD,,
6,748671,2.36,,SJE,Straffekast reddet,,11,Nicolaj JØRGENSEN,,,,30,Svend RUGHAVE
7,748671,3.01,,MTH,Skud reddet,2:e,7,Nichlas HALD,,,,1,Matthias DORGELO
8,748671,3.14,0-2,SJE,Mål,1:e,23,Tobias OLSEN,,,,30,Svend RUGHAVE
9,748671,3.41,1-2,MTH,Mål,Gbr,7,Nichlas HALD,Assist,21,Marcus MIDTGAARD,1,Matthias DORGELO
10,748671,3.57,,MTH,Advarsel,,4,Kasper LINDGREN,,,,,
11,748671,4.24,,SJE,Regelfejl,,23,Tobias OLSEN,,,,,
12,748671,4.56,2-2,MTH,Mål,HB,7,Nichlas HALD,,,,1,Matthias DORGELO
13,748671,5.06,2-3,SJE,Mål,ST,18,Morten BJØRNSHAUGE,Assist,11,Nicolaj JØRGENSEN,30,Svend RUGHAVE
14,748671,5.16,,MTH,Fejlaflevering,,7,Nichlas HALD,Bold erobret,28,Patrick VOLZ,,
15,748671,5.53,,SJE,Skud reddet,Gbr,24,Sebastian AUGUSTINUSSEN,,,,30,Svend RUGHAVE
16,748671,5.58,,MTH,Skud reddet,2:e,7,Nichlas HALD,,,,1,Matthias DORGELO
17,748671,6.35,,SJE,Skud reddet,VF,28,Patrick VOLZ,,,,30,Svend RUGHAVE
18,748671,6.44,3-3,MTH,Mål,1:e,21,Marcus MIDTGAARD,Assist,7,Nichlas HALD,1,Matthias DORGELO
19,748671,7.21,,SJE,Regelfejl,,29,Magnus FREDRIKSEN,,,,,
20,748671,7.48,,MTH,Tilkendt straffe,,7,Nichlas HALD,Forårs. str.,18,Morten BJØRNSHAUGE,,
21,748671,8.03,4-3,MTH,Mål på straffe,,11,Lasse PEDERSEN,,,,1,Matthias DORGELO
22,748671,9.17,4-4,SJE,Mål,VB,11,Nicolaj JØRGENSEN,,,,30,Svend RUGHAVE
23,748671,9.29,5-4,MTH,Mål,2:e,7,Nichlas HALD,,,,1,Matthias DORGELO
24,748671,10.05,,SJE,Skud på stolpe,Gbr,29,Magnus FREDRIKSEN,,,,30,Svend RUGHAVE
25,748671,10.10,6-4,MTH,Mål,1:e,33,Kasper DIDRIKSEN,Assist,28,Rasmus MADSEN,1,Matthias DORGELO
26,748671,10.21,6-5,SJE,Mål,2:e,29,Magnus FREDRIKSEN,,,,30,Svend RUGHAVE
27,748671,10.31,7-5,MTH,Mål,2:e,7,Nichlas HALD,,,,1,Matthias DORGELO
28,748671,12.03,,SJE,Skud reddet,HB,23,Tobias OLSEN,,,,30,Svend RUGHAVE
29,748671,12.13,8-5,MTH,Mål,HF,11,Lasse PEDERSEN,Assist,28,Rasmus MADSEN,1,Matthias DORGELO
30,748671,12.20,,SJE,Time out,,,,,,,,
31,748671,13.00,8-6,SJE,Mål,VB,20,August WIGER,,,,30,Svend RUGHAVE
32,748671,14.01,9-6,MTH,Mål,HB,28,Rasmus MADSEN,,,,1,Matthias DORGELO
33,748671,14.34,,SJE,Tabt bold,,11,Nicolaj JØRGENSEN,Bold erobret,15,Henrik Toft HANSEN,,
34,748671,14.38,10-6,MTH,Mål,1:e,11,Lasse PEDERSEN,Assist,15,Henrik Toft HANSEN,30,Julius STEN
35,748671,15.17,,SJE,Fejlaflevering,,20,August WIGER,,,,,
36,748671,15.47,11-6,MTH,Mål,Gbr,7,Nichlas HALD,,,,30,Julius STEN
