id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748672,0.00,,,Start 1:e halvleg,,,,,,,,
2,748672,1.03,,GIF,Skud blokeret,HB,21,Kristoffer VESTERGAARD,Blok af (ret),7,William AAR,,
3,748672,1.32,,TTH,Advarsel,,23,Miha ZVIZEJ,,,,,
4,748672,1.49,,GIF,Skud på stolpe,VB,23,Bjarke NYBO,,,,16,Sander HEIEREN
5,748672,2.41,,GIF,Advarsel,,3,Thomas THEILGAARD,,,,,
6,748672,3.09,,TTH,Fejlaflevering,,18,Edwin ASPENBÄCK,,,,,
7,748672,3.46,,GIF,Skud reddet,Gbr,21,Kristoffer VESTERGAARD,,,,16,Sander HEIEREN
8,748672,3.52,0-1,TTH,Mål,1:e,28,Kevin GULLIKSEN,,,,16,Christian WETCHE
9,748672,4.00,,GIF,Skud reddet,2:e,4,Frederik NIELSEN,,,,16,Sander HEIEREN
10,748672,4.11,,TTH,Skud reddet,2:e,28,Kevin GULLIKSEN,,,,16,Christian WETCHE
11,748672,4.47,,GIF,Fejlaflevering,,4,Frederik NIELSEN,,,,,
12,748672,4.53,0-2,TTH,Mål,1:e,28,Kevin GULLIKSEN,Assist,7,William AAR,16,Christian WETCHE
13,748672,5.21,,GIF,Skud reddet,PL,23,Bjarke NYBO,,,,16,Sander HEIEREN
14,748672,5.31,0-3,TTH,Mål,2:e,28,Kevin GULLIKSEN,Assist,21,Mathias SMED,16,Christian WETCHE
15,748672,6.51,1-3,GIF,Mål,PL,23,Bjarke NYBO,,,,16,Sander HEIEREN
16,748672,7.00,,GIF,Advarsel,,17,Kristian Krag ØRSTED,,,,,
17,748672,7.36,1-4,TTH,Mål,Gbr,7,William AAR,,,,16,Christian WETCHE
18,748672,7.47,,GIF,Fejlaflevering,,23,Bjarke NYBO,,,,,
19,748672,7.50,1-5,TTH,Mål,1:e,18,Edwin ASPENBÄCK,Assist,7,William AAR,16,Christian WETCHE
20,748672,8.33,2-5,GIF,Mål,ST,17,Kristian Krag ØRSTED,Assist,23,Bjarke NYBO,16,Sander HEIEREN
21,748672,9.09,2-6,TTH,Mål,Gbr,18,Edwin ASPENBÄCK,Assist,7,William AAR,16,Christian WETCHE
22,748672,9.57,,GIF,Time out,,,,,,,,
23,748672,10.12,3-6,GIF,Mål,Gbr,4,Frederik NIELSEN,,,,16,Sander HEIEREN
24,748672,10.18,3-7,TTH,Mål,2:e,23,Miha ZVIZEJ,,,,0,
25,748672,10.50,4-7,GIF,Mål,VF,20,Frederik IVERSEN,Assist,4,Frederik NIELSEN,16,Sander HEIEREN
26,748672,11.26,,TTH,Skud reddet,ST,23,Miha ZVIZEJ,,,,16,Christian WETCHE
27,748672,11.34,,GIF,Skud reddet,2:e,11,Kristoffer JESSEN,,,,16,Sander HEIEREN
28,748672,11.49,4-8,TTH,Mål,ST,23,Miha ZVIZEJ,,,,16,Christian WETCHE
29,748672,12.34,5-8,GIF,Mål,HF,3,Thomas THEILGAARD,Assist,23,Bjarke NYBO,16,Sander HEIEREN
30,748672,13.21,,TTH,Fejlaflevering,,7,William AAR,,,,,
31,748672,13.56,6-8,GIF,Mål,Gbr,4,Frederik NIELSEN,,,,16,Sander HEIEREN
32,748672,14.38,6-9,TTH,Mål,Gbr,18,Edwin ASPENBÄCK,Assist,11,Thomas DAMGAARD,16,Christian WETCHE
33,748672,15.37,7-9,GIF,Mål,Gbr,23,Bjarke NYBO,,,,16,Sander HEIEREN
34,748672,15.49,7-10,TTH,Mål,2:e,7,William AAR,,,,16,Christian WETCHE
35,748672,16.28,8-10,GIF,Mål,VF,20,Frederik IVERSEN,Assist,4,Frederik NIELSEN,16,Sander HEIEREN
36,748672,16.42,8-11,TTH,Mål,Gbr,18,Edwin ASPENBÄCK,Assist,7,William AAR,16,Christian WETCHE
37,748672,17.32,,GIF,Fejlaflevering,,21,Kristoffer VESTERGAARD,,,,,
38,748672,17.36,8-12,TTH,Mål,1:e,28,Kevin GULLIKSEN,,,,16,Christian WETCHE
39,748672,18.26,,GIF,Skud forbi,HF,3,Thomas THEILGAARD,,,,16,Sander HEIEREN
40,748672,19.06,,TTH,Skud reddet,VB,7,William AAR,,,,16,Christian WETCHE
41,748672,19.36,,GIF,Skud reddet,ST,22,Hjalmar ANDERSEN,,,,16,Sander HEIEREN
42,748672,20.01,,TTH,Tilkendt straffe,,7,William AAR,Forårs. str.,17,Kristian Krag ØRSTED,,
43,748672,20.10,,TTH,Straffekast reddet,,11,Thomas DAMGAARD,,,,16,Christian WETCHE
44,748672,20.38,9-12,GIF,Mål,Gbr,4,Frederik NIELSEN,,,,16,Sander HEIEREN
45,748672,21.13,,TTH,Skud reddet,PL,7,William AAR,,,,16,Christian WETCHE
46,748672,21.22,,GIF,Tabt bold,,17,Kristian Krag ØRSTED,,,,,
47,748672,21.35,9-13,TTH,Mål,Gbr,11,Thomas DAMGAARD,,,,16,Christian WETCHE
48,748672,22.18,,GIF,Skud reddet,VF,20,Frederik IVERSEN,,,,16,Sander HEIEREN
49,748672,22.27,,TTH,Skud reddet,2:e,7,William AAR,,,,16,Christian WETCHE
50,748672,22.35,,GIF,Regelfejl,,8,Rolf RAVN,,,,,
51,748672,22.59,9-14,TTH,Mål,PL,22,Nikolaj MARKUSSEN,,,,16,Christian WETCHE
52,748672,23.42,10-14,GIF,Mål,ST,17,Kristian Krag ØRSTED,Assist,21,Kristoffer VESTERGAARD,16,Sander HEIEREN
53,748672,24.14,10-15,TTH,Mål,Gbr,13,Sven EHRIG,,,,16,Christian WETCHE
54,748672,24.51,11-15,GIF,Mål,Gbr,21,Kristoffer VESTERGAARD,Assist,4,Frederik NIELSEN,16,Sander HEIEREN
55,748672,25.21,,TTH,Fejlaflevering,,11,Thomas DAMGAARD,,,,,
56,748672,25.59,,GIF,Tilkendt straffe,,22,Hjalmar ANDERSEN,Forårs. str.,4,Christoffer CICHOSZ,,
57,748672,26.21,12-15,GIF,Mål på straffe,,20,Frederik IVERSEN,,,,16,Sander HEIEREN
