id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748673,0.00,,,Start 1:e halvleg,,,,,,,,
2,748673,0.44,,SKH,Skud blokeret,PL,13,Noah GAUDIN,Blok af (ret),23,Miha ZVIZEJ,,
3,748673,0.58,1-0,SKH,Mål,ST,7,Senjamin BURIC,Assist,13,Noah GAUDIN,16,Sander HEIEREN
4,748673,1.35,1-1,TTH,Mål,PL,7,William AAR,,,,1,Christoffer BONDE
5,748673,2.20,,SKH,Skud reddet,PL,13,Noah GAUDIN,,,,16,Sander HEIEREN
6,748673,2.27,1-2,TTH,Mål,2:e,21,Mathias SMED,Assist,18,Edwin ASPENBÄCK,1,Christoffer BONDE
7,748673,3.03,,SKH,Tilkendt straffe,,15,Lasse MIKKELSEN,Forårs. str.,28,Kevin GULLIKSEN,,
8,748673,3.24,,SKH,Straffekast reddet,,19,Bjarke CHRISTENSEN,Retur,0,,16,Sander HEIEREN
9,748673,3.27,2-2,SKH,Mål,ST,19,Bjarke CHRISTENSEN,,,,16,Sander HEIEREN
10,748673,4.00,,TTH,Tilkendt straffe,,18,Edwin ASPENBÄCK,Forårs. str.,7,Senjamin BURIC,,
11,748673,4.22,2-3,TTH,Mål på straffe,,6,Frederik BJERRE,,,,1,Christoffer BONDE
12,748673,5.05,,SKH,Skud reddet,HB,15,Lasse MIKKELSEN,,,,16,Sander HEIEREN
13,748673,5.19,,SKH,Advarsel,,7,Senjamin BURIC,,,,,
14,748673,6.08,,TTH,Skud reddet,PL,7,William AAR,,,,1,Christoffer BONDE
15,748673,6.20,,TTH,Advarsel,,23,Miha ZVIZEJ,,,,,
16,748673,7.05,,SKH,Passivt spil,,0,,,,,,
17,748673,7.10,,TTH,Fejlaflevering,,18,Edwin ASPENBÄCK,Bold erobret,7,Senjamin BURIC,,
18,748673,7.43,,SKH,Fejlaflevering,,25,Eivind TANGEN,,,,,
19,748673,7.55,,TTH,Skud reddet,2:e,7,William AAR,,,,1,Christoffer BONDE
20,748673,8.29,3-3,SKH,Mål,VB,13,Noah GAUDIN,,,,16,Sander HEIEREN
21,748673,8.59,,TTH,Skud reddet,Gbr,11,Thomas DAMGAARD,Retur,0,,1,Christoffer BONDE
22,748673,9.21,,TTH,Skud reddet,PL,7,William AAR,,,,1,Christoffer BONDE
23,748673,9.50,4-3,SKH,Mål,HB,13,Noah GAUDIN,,,,16,Sander HEIEREN
24,748673,10.27,,TTH,Regelfejl,,23,Miha ZVIZEJ,,,,,
25,748673,10.35,,SKH,Skud reddet,1:e,21,René RASMUSSEN,,,,16,Sander HEIEREN
26,748673,11.32,,TTH,Skud forbi,Gbr,18,Edwin ASPENBÄCK,,,,1,Christoffer BONDE
27,748673,11.43,,SKH,Regelfejl,,19,Bjarke CHRISTENSEN,,,,,
28,748673,12.32,4-4,TTH,Mål,PL,7,William AAR,,,,1,Christoffer BONDE
29,748673,13.56,5-4,SKH,Mål,HB,13,Noah GAUDIN,,,,16,Sander HEIEREN
30,748673,14.15,,TTH,Skud reddet,Gbr,11,Thomas DAMGAARD,,,,1,Christoffer BONDE
31,748673,14.40,6-4,SKH,Mål,VB,13,Noah GAUDIN,,,,16,Sander HEIEREN
32,748673,15.43,,TTH,Passivt spil,,0,,,,,,
33,748673,16.11,,SKH,Fejlaflevering,,10,Joaquim NAZARÉ,Bold erobret,11,Thomas DAMGAARD,,
34,748673,16.51,6-5,TTH,Mål,Gbr,22,Nikolaj MARKUSSEN,Assist,18,Edwin ASPENBÄCK,1,Christoffer BONDE
35,748673,16.59,7-5,SKH,Mål,2:e,21,René RASMUSSEN,Assist,15,Lasse MIKKELSEN,16,Sander HEIEREN
36,748673,17.55,,SKH,Udvisning,,14,Emil BERGHOLT,,,,,
37,748673,18.01,,TTH,Skud reddet,PL,22,Nikolaj MARKUSSEN,,,,1,Christoffer BONDE
