id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748675,0.00,,,Start 1:e halvleg,,,,,,,,
2,748675,0.42,0-1,GOG,Mål,PL,15,Tobias GRØNDAHL,,,,12,Josip CAVAR
3,748675,1.48,1-1,KIF,Mål,HB,5,Oliver NORLYK,,,,64,Salah BOUTAF
4,748675,1.57,,KIF,Udvisning,,13,Mathias HEDEGAARD,,,,,
5,748675,1.57,,GOG,Skud reddet,PL,3,Nicolai PEDERSEN,Retur,0,,12,Josip CAVAR
6,748675,2.14,,GOG,Skud forbi,Gbr,37,Linus PERSSON,,,,12,Josip CAVAR
7,748675,3.06,,KIF,Tabt bold,,18,Benjamin PEDERSEN,Bold erobret,37,Linus PERSSON,,
8,748675,3.19,1-2,GOG,Mål,ST,9,Henrik JAKOBSEN,Assist,15,Tobias GRØNDAHL,12,Josip CAVAR
9,748675,3.52,,GOG,Advarsel,,66,Anton LINDSKOG,,,,,
10,748675,4.14,,KIF,Fejlaflevering,,21,Kristian STOKLUND,Bold erobret,9,Henrik JAKOBSEN,,
11,748675,4.21,1-3,GOG,Mål,1:e,21,Kasper KILDELUND,Assist,37,Linus PERSSON,12,Josip CAVAR
12,748675,4.30,,KIF,Regelfejl,,21,Kristian STOKLUND,,,,,
13,748675,4.48,,GOG,Tabt bold,,37,Linus PERSSON,,,,,
14,748675,5.15,2-3,KIF,Mål,PL,11,Magnus KRONBORG,,,,64,Salah BOUTAF
15,748675,5.58,2-4,GOG,Mål,HB,15,Tobias GRØNDAHL,,,,12,Josip CAVAR
16,748675,6.33,3-4,KIF,Mål,PL,5,Oliver NORLYK,,,,64,Salah BOUTAF
17,748675,6.44,,GOG,Skud reddet,PL,3,Nicolai PEDERSEN,Retur,21,Kasper KILDELUND,12,Josip CAVAR
18,748675,7.18,,GOG,Skud på stolpe,PL,15,Tobias GRØNDAHL,,,,12,Josip CAVAR
19,748675,7.45,4-4,KIF,Mål,PL,5,Oliver NORLYK,,,,64,Salah BOUTAF
