id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748676,0.00,,,Start 1:e halvleg,,,,,,,,
2,748676,1.10,,BSH,Skud reddet,HB,26,Peter BALLING,,,,1,Matthias DORGELO
3,748676,1.58,,SJE,Skud reddet,Gbr,29,Magnus FREDRIKSEN,,,,1,Mikkel LØVKVIST
4,748676,2.10,0-1,BSH,Mål,PL,32,Nikolaj LÆSØ,,,,1,Matthias DORGELO
5,748676,3.11,1-1,SJE,Mål,Gbr,29,Magnus FREDRIKSEN,Assist,20,August WIGER,1,Mikkel LØVKVIST
6,748676,3.44,,BSH,Fejlaflevering,,11,Rasmus LAUGE,,,,,
7,748676,3.57,2-1,SJE,Mål,2:e,33,Ebbe STANKIEWICZ,Assist,29,Magnus FREDRIKSEN,1,Mikkel LØVKVIST
8,748676,4.31,,BSH,Skud reddet,PL,32,Nikolaj LÆSØ,,,,1,Matthias DORGELO
9,748676,5.08,,SJE,Skud forbi,VB,20,August WIGER,,,,1,Mikkel LØVKVIST
10,748676,5.23,2-2,BSH,Mål,ST,14,Alexander LYNGGAARD,Assist,32,Nikolaj LÆSØ,1,Matthias DORGELO
11,748676,5.59,,SJE,Tilkendt straffe,,20,August WIGER,Forårs. str.,4,Patrick BOLDSEN,,
12,748676,6.19,3-2,SJE,Mål på straffe,,11,Nicolaj JØRGENSEN,,,,1,Mikkel LØVKVIST
13,748676,6.48,3-3,BSH,Mål,Gbr,11,Rasmus LAUGE,,,,1,Matthias DORGELO
14,748676,6.58,,SJE,Skud reddet,2:e,29,Magnus FREDRIKSEN,,,,1,Mikkel LØVKVIST
15,748676,7.25,3-4,BSH,Mål,Gbr,32,Nikolaj LÆSØ,,,,1,Matthias DORGELO
16,748676,8.16,,SJE,Skud reddet,HF,33,Ebbe STANKIEWICZ,,,,1,Mikkel LØVKVIST
17,748676,8.55,3-5,BSH,Mål,PL,11,Rasmus LAUGE,,,,1,Matthias DORGELO
18,748676,9.30,4-5,SJE,Mål,PL,11,Nicolaj JØRGENSEN,,,,1,Mikkel LØVKVIST
19,748676,9.43,,BSH,Fejlaflevering,,26,Peter BALLING,,,,,
20,748676,10.14,,SJE,Regelfejl,,23,Tobias OLSEN,,,,,
21,748676,10.28,4-6,BSH,Mål,PL,32,Nikolaj LÆSØ,,,,1,Matthias DORGELO
22,748676,11.40,,SJE,Regelfejl,,23,Tobias OLSEN,,,,,
23,748676,11.52,,BSH,Regelfejl,,11,Rasmus LAUGE,,,,,
24,748676,12.28,,SJE,Skud på stolpe,PL,11,Nicolaj JØRGENSEN,,,,1,Mikkel LØVKVIST
25,748676,13.07,,BSH,Regelfejl,,14,Alexander LYNGGAARD,,,,,
26,748676,13.41,,SJE,Fejlaflevering,,22,Magnus HOLPERT,,,,,
27,748676,13.50,,BSH,Skud reddet,1:e,4,Patrick BOLDSEN,,,,1,Matthias DORGELO
28,748676,14.46,,SJE,Skud reddet,PL,20,August WIGER,,,,1,Mikkel LØVKVIST
29,748676,14.57,4-7,BSH,Mål,2:e,23,Mads LENBROCH,Assist,26,Peter BALLING,1,Matthias DORGELO
30,748676,15.00,,SJE,Time out,,,,,,,,
31,748676,15.45,,SJE,Skud forbi,Gbr,11,Nicolaj JØRGENSEN,,,,1,Mikkel LØVKVIST
32,748676,16.16,,BSH,Skud reddet,VF,23,Mads LENBROCH,,,,1,Matthias DORGELO
33,748676,16.29,,SJE,Skud reddet,ST,14,Jacob BAGERSTED,,,,1,Mikkel LØVKVIST
34,748676,17.05,,BSH,Skud reddet,PL,26,Peter BALLING,,,,1,Matthias DORGELO
35,748676,17.48,,SJE,Fejlaflevering,,23,Tobias OLSEN,,,,,
36,748676,18.45,4-8,BSH,Mål,PL,97,Magnus RAHBEK,,,,1,Matthias DORGELO
37,748676,19.22,5-8,SJE,Mål,Gbr,11,Nicolaj JØRGENSEN,,,,1,Mikkel LØVKVIST
38,748676,19.48,,SJE,Advarsel,,18,Morten BJØRNSHAUGE,,,,,
39,748676,20.09,,BSH,Skud forbi,PL,11,Rasmus LAUGE,,,,1,Matthias DORGELO
40,748676,20.19,,SJE,Skud reddet,2:e,11,Nicolaj JØRGENSEN,,,,1,Mikkel LØVKVIST
41,748676,20.54,5-9,BSH,Mål,PL,32,Nikolaj LÆSØ,,,,1,Matthias DORGELO
42,748676,21.28,6-9,SJE,Mål,VF,28,Patrick VOLZ,Assist,29,Magnus FREDRIKSEN,1,Mikkel LØVKVIST
43,748676,22.17,6-10,BSH,Mål,PL,11,Rasmus LAUGE,,,,1,Matthias DORGELO
44,748676,22.52,,SJE,Tilkendt straffe,,28,Patrick VOLZ,Forårs. str.,26,Peter BALLING,,
45,748676,23.12,7-10,SJE,Mål på straffe,,11,Nicolaj JØRGENSEN,,,,1,Mikkel LØVKVIST
46,748676,23.38,7-11,BSH,Mål,VB,11,Rasmus LAUGE,,,,1,Matthias DORGELO
47,748676,24.23,,SJE,Tilkendt straffe,,29,Magnus FREDRIKSEN,Forårs. str.,19,René Toft HANSEN,,
48,748676,24.27,,BSH,Advarsel,,19,René Toft HANSEN,,,,,
49,748676,24.29,8-11,SJE,Mål på straffe,,11,Nicolaj JØRGENSEN,,,,30,Jonas Capion JØRGENSEN
50,748676,25.22,,BSH,Fejlaflevering,,32,Nikolaj LÆSØ,Bold erobret,33,Ebbe STANKIEWICZ,,
51,748676,26.07,,SJE,Tilkendt straffe,,29,Magnus FREDRIKSEN,Forårs. str.,19,René Toft HANSEN,,
52,748676,26.22,,SJE,Straffekast reddet,,11,Nicolaj JØRGENSEN,Retur,0,,1,Mikkel LØVKVIST
53,748676,26.45,,SJE,Fejlaflevering,,11,Nicolaj JØRGENSEN,Bold erobret,23,Mads LENBROCH,,
54,748676,26.53,8-12,BSH,Mål,1:e,23,Mads LENBROCH,,,,0,
55,748676,27.30,,SJE,Skud på stolpe,Gbr,29,Magnus FREDRIKSEN,,,,1,Mikkel LØVKVIST
