id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748677,0.00,,,Start 1:e halvleg,,,,,,,,
2,748677,0.28,0-1,MTH,Mål,HB,28,Rasmus MADSEN,,,,16,Magnus PETERSEN
3,748677,1.22,1-1,NSH,Mål,Gbr,13,Gustav BRUUN,,,,30,Svend RUGHAVE
4,748677,1.38,,MTH,Skud på stolpe,2:e,33,Kasper DIDRIKSEN,,,,16,Magnus PETERSEN
5,748677,2.08,2-1,NSH,Mål,VB,13,Gustav BRUUN,,,,30,Svend RUGHAVE
6,748677,2.38,,MTH,Skud reddet,PL,21,Marcus MIDTGAARD,,,,16,Magnus PETERSEN
7,748677,2.45,3-1,NSH,Mål,2:e,13,Gustav BRUUN,,,,30,Svend RUGHAVE
8,748677,2.54,3-2,MTH,Mål,2:e,21,Marcus MIDTGAARD,,,,16,Magnus PETERSEN
9,748677,3.01,4-2,NSH,Mål,2:e,3,Carl-Emil HAUNSTRUP,Assist,57,Nikolaj LARSSON,30,Svend RUGHAVE
10,748677,3.40,,MTH,Tilkendt straffe,,21,Marcus MIDTGAARD,Forårs. str.,42,Matias CAMPBELL,,
11,748677,3.54,4-3,MTH,Mål på straffe,,11,Lasse PEDERSEN,,,,16,Magnus PETERSEN
12,748677,4.37,5-3,NSH,Mål,HF,3,Carl-Emil HAUNSTRUP,Assist,57,Nikolaj LARSSON,30,Svend RUGHAVE
13,748677,5.14,,MTH,Fejlaflevering,,7,Nichlas HALD,Bold erobret,14,Rasmus MADSBØLL,,
14,748677,5.19,6-3,NSH,Mål,1:e,14,Rasmus MADSBØLL,Assist,13,Gustav BRUUN,30,Svend RUGHAVE
15,748677,5.43,6-4,MTH,Mål,PL,21,Marcus MIDTGAARD,,,,16,Magnus PETERSEN
16,748677,6.23,7-4,NSH,Mål,Gbr,7,Léo MARTINEZ,Assist,57,Nikolaj LARSSON,30,Svend RUGHAVE
17,748677,6.56,7-5,MTH,Mål,Gbr,21,Marcus MIDTGAARD,,,,16,Magnus PETERSEN
18,748677,7.30,,NSH,Tabt bold,,5,Julius MØRCH,,,,,
19,748677,7.36,,MTH,Skud reddet,1:e,11,Lasse PEDERSEN,Retur,0,,16,Magnus PETERSEN
20,748677,8.17,7-6,MTH,Mål,PL,28,Rasmus MADSEN,,,,16,Magnus PETERSEN
21,748677,8.57,,NSH,Skud blokeret,PL,57,Nikolaj LARSSON,Blok af (ret),4,Kasper LINDGREN,,
22,748677,9.13,,NSH,Skud reddet,Gbr,57,Nikolaj LARSSON,Retur,0,,30,Svend RUGHAVE
23,748677,9.36,,NSH,Fejlaflevering,,13,Gustav BRUUN,,,,,
24,748677,9.44,,MTH,Regelfejl,,7,Nichlas HALD,,,,,
25,748677,9.54,,NSH,Skud forbi,2:e,7,Léo MARTINEZ,,,,30,Svend RUGHAVE
26,748677,10.09,,NSH,Advarsel,,5,Julius MØRCH,,,,,
27,748677,10.46,7-7,MTH,Mål,Gbr,9,Kristoffer VESTERGAARD,,,,16,Magnus PETERSEN
28,748677,11.22,8-7,NSH,Mål,PL,7,Léo MARTINEZ,,,,30,Svend RUGHAVE
29,748677,11.32,8-8,MTH,Mål,2:e,25,Magnus NORLYK,Assist,7,Nichlas HALD,16,Magnus PETERSEN
30,748677,12.32,,NSH,Fejlaflevering,,13,Gustav BRUUN,,,,,
31,748677,12.37,8-9,MTH,Mål,1:e,11,Lasse PEDERSEN,,,,16,Magnus PETERSEN
32,748677,12.48,9-9,NSH,Mål,2:e,14,Rasmus MADSBØLL,Assist,13,Gustav BRUUN,30,Svend RUGHAVE
33,748677,13.34,9-10,MTH,Mål,HF,11,Lasse PEDERSEN,Assist,9,Kristoffer VESTERGAARD,16,Magnus PETERSEN
34,748677,14.25,,NSH,Skud på stolpe,ST,21,Tim RANTALA,Retur,0,,30,Svend RUGHAVE
35,748677,14.49,,NSH,Fejlaflevering,,19,Thomas BOILESEN,,,,,
36,748677,14.56,9-11,MTH,Mål,1:e,7,Nichlas HALD,,,,16,Magnus PETERSEN
37,748677,15.09,,NSH,Tilkendt straffe,,7,Léo MARTINEZ,Forårs. str.,15,Henrik Toft HANSEN,,
38,748677,15.25,,NSH,Straffekast på stolpe,,3,Carl-Emil HAUNSTRUP,,,,30,Svend RUGHAVE
39,748677,16.04,,MTH,Skud forbi,Gbr,9,Kristoffer VESTERGAARD,,,,16,Magnus PETERSEN
40,748677,16.45,,NSH,Fejlaflevering,,7,Léo MARTINEZ,,,,,
41,748677,18.00,,MTH,Fejlaflevering,,7,Nichlas HALD,Bold erobret,42,Matias CAMPBELL,,
42,748677,18.05,10-11,NSH,Mål,1:e,19,Thomas BOILESEN,Assist,42,Matias CAMPBELL,30,Svend RUGHAVE
43,748677,18.14,,MTH,Skud reddet,2:e,9,Kristoffer VESTERGAARD,,,,16,Magnus PETERSEN
44,748677,19.28,11-11,NSH,Mål,PL,42,Matias CAMPBELL,,,,30,Svend RUGHAVE
45,748677,20.17,11-12,MTH,Mål,HB,9,Kristoffer VESTERGAARD,,,,16,Magnus PETERSEN
46,748677,21.11,,NSH,Skud forbi,VB,19,Thomas BOILESEN,,,,30,Svend RUGHAVE
47,748677,22.01,,MTH,Fejlaflevering,,9,Kristoffer VESTERGAARD,Bold erobret,14,Rasmus MADSBØLL,,
48,748677,22.47,,MTH,Advarsel,,9,Kristoffer VESTERGAARD,,,,,
49,748677,23.05,,NSH,Skud reddet,Gbr,19,Thomas BOILESEN,,,,30,Svend RUGHAVE
50,748677,23.35,11-13,MTH,Mål,Gbr,21,Marcus MIDTGAARD,,,,16,Magnus PETERSEN
51,748677,23.53,,NSH,Tilkendt straffe,,21,Tim RANTALA,Forårs. str.,28,Rasmus MADSEN,,
52,748677,24.01,,MTH,Advarsel,,28,Rasmus MADSEN,,,,,
53,748677,24.10,12-13,NSH,Mål på straffe,,42,Matias CAMPBELL,,,,30,Svend RUGHAVE
54,748677,24.48,,MTH,Regelfejl,,28,Rasmus MADSEN,,,,,
55,748677,25.48,,NSH,Skud blokeret,VB,79,Oliver KLARSKOV,Blok af (ret),15,Henrik Toft HANSEN,,
56,748677,26.01,13-13,NSH,Mål,VB,42,Matias CAMPBELL,,,,30,Svend RUGHAVE
57,748677,26.05,,MTH,Advarsel,B,,Dennis Bo JENSEN,,,,,
58,748677,27.01,,MTH,Time out,,,,,,,,
59,748677,27.16,,MTH,Skud reddet,PL,7,Nichlas HALD,,,,16,Magnus PETERSEN
60,748677,28.00,,NSH,Regelfejl,,21,Tim RANTALA,,,,,
61,748677,28.14,,MTH,Skud reddet,1:e,21,Marcus MIDTGAARD,Retur,15,Henrik Toft HANSEN,16,Magnus PETERSEN
62,748677,28.20,,MTH,Regelfejl,,21,Marcus MIDTGAARD,,,,,
63,748677,28.30,,NSH,Skud reddet,2:e,19,Thomas BOILESEN,,,,30,Svend RUGHAVE
64,748677,28.50,13-14,MTH,Mål,2:e,7,Nichlas HALD,,,,16,Magnus PETERSEN
65,748677,29.13,,NSH,Regelfejl,,57,Nikolaj LARSSON,,,,,
66,748677,29.47,,MTH,Regelfejl,,28,Rasmus MADSEN,,,,,
67,748677,29.54,14-14,NSH,Mål,1:e,3,Carl-Emil HAUNSTRUP,Assist,42,Matias CAMPBELL,30,Svend RUGHAVE
68,748677,29.57,,MTH,Fejlaflevering,,15,Henrik Toft HANSEN,Bold erobret,42,Matias CAMPBELL,,
69,748677,29.58,,NSH,Time out,,,,,,,,
70,748677,29.59,,NSH,Skud reddet,HB,42,Matias CAMPBELL,,,,30,Svend RUGHAVE
71,748677,30.00,14-14,,Halvleg,,,,,,,,
72,748677,30.00,,,Start 2:e halvleg,,,,,,,,
73,748677,30.51,,NSH,Skud reddet,HF,3,Carl-Emil HAUNSTRUP,,,,20,Oliver LARSEN
74,748677,31.00,14-15,MTH,Mål,2:e,10,Mads Svane KNUDSEN,,,,16,Magnus PETERSEN
75,748677,31.35,,NSH,Skud reddet,HB,57,Nikolaj LARSSON,,,,20,Oliver LARSEN
76,748677,32.16,14-16,MTH,Mål,ST,33,Kasper DIDRIKSEN,,,,16,Magnus PETERSEN
77,748677,33.08,,NSH,Skud reddet,VB,7,Léo MARTINEZ,,,,20,Oliver LARSEN
78,748677,33.14,14-17,MTH,Mål,1:e,28,Rasmus MADSEN,Assist,21,Marcus MIDTGAARD,16,Magnus PETERSEN
79,748677,33.42,15-17,NSH,Mål,Gbr,13,Gustav BRUUN,,,,20,Oliver LARSEN
80,748677,34.11,15-18,MTH,Mål,Gbr,21,Marcus MIDTGAARD,Assist,10,Mads Svane KNUDSEN,16,Magnus PETERSEN
81,748677,35.21,,NSH,Tilkendt straffe,,5,Julius MØRCH,Forårs. str.,21,Marcus MIDTGAARD,,
82,748677,35.43,16-18,NSH,Mål på straffe,,42,Matias CAMPBELL,,,,20,Oliver LARSEN
83,748677,36.15,,MTH,Skud blokeret,PL,28,Rasmus MADSEN,Blok af (ret),5,Julius MØRCH,,
84,748677,36.39,16-19,MTH,Mål,Gbr,21,Marcus MIDTGAARD,,,,16,Magnus PETERSEN
85,748677,36.49,,NSH,Skud reddet,PL,42,Matias CAMPBELL,,,,20,Oliver LARSEN
86,748677,36.57,,MTH,Fejlaflevering,,21,Marcus MIDTGAARD,,,,,
87,748677,37.41,,MTH,Udvisning,,4,Kasper LINDGREN,,,,,
88,748677,38.01,17-19,NSH,Mål,ST,21,Tim RANTALA,Assist,42,Matias CAMPBELL,20,Oliver LARSEN
89,748677,38.59,,MTH,Tabt bold,,10,Mads Svane KNUDSEN,,,,,
90,748677,39.07,,NSH,Skud reddet,2:e,42,Matias CAMPBELL,,,,20,Oliver LARSEN
91,748677,39.57,,MTH,Skud reddet,Gbr,21,Marcus MIDTGAARD,,,,16,Magnus PETERSEN
92,748677,41.04,,NSH,Skud reddet,VB,42,Matias CAMPBELL,,,,20,Oliver LARSEN
93,748677,41.29,17-20,MTH,Mål,VF,25,Magnus NORLYK,Assist,10,Mads Svane KNUDSEN,16,Magnus PETERSEN
94,748677,42.09,,NSH,Regelfejl,,5,Julius MØRCH,,,,,
95,748677,42.17,17-21,MTH,Mål,2:e,21,Marcus MIDTGAARD,,,,16,Magnus PETERSEN
96,748677,42.28,18-21,NSH,Mål,2:e,14,Rasmus MADSBØLL,Assist,13,Gustav BRUUN,20,Oliver LARSEN
97,748677,43.00,18-22,MTH,Mål,Gbr,10,Mads Svane KNUDSEN,,,,16,Magnus PETERSEN
98,748677,43.17,,NSH,Time out,,,,,,,,
99,748677,43.47,19-22,NSH,Mål,ST,21,Tim RANTALA,Assist,79,Oliver KLARSKOV,20,Oliver LARSEN
100,748677,44.26,19-23,MTH,Mål,Gbr,28,Rasmus MADSEN,,,,29,Jimmi ANDERSEN
101,748677,44.37,,NSH,Tilkendt straffe,,13,Gustav BRUUN,Forårs. str.,4,Kasper LINDGREN,,
102,748677,44.52,20-23,NSH,Mål på straffe,,42,Matias CAMPBELL,,,,20,Oliver LARSEN
103,748677,45.23,,MTH,Tilkendt straffe,,7,Nichlas HALD,Forårs. str.,17,Assar KAMMENHED,,
104,748677,46.07,,MTH,Skud reddet,Gbr,10,Mads Svane KNUDSEN,,,,29,Jimmi ANDERSEN
105,748677,46.13,21-23,NSH,Mål,2:e,13,Gustav BRUUN,Assist,42,Matias CAMPBELL,20,Oliver LARSEN
106,748677,46.20,,NSH,Udvisning,,42,Matias CAMPBELL,,,,,
107,748677,46.20,,MTH,Udvisning,,10,Mads Svane KNUDSEN,,,,,
108,748677,47.03,21-24,MTH,Mål,Gbr,21,Marcus MIDTGAARD,,,,29,Jimmi ANDERSEN
109,748677,47.47,22-24,NSH,Mål,HF,3,Carl-Emil HAUNSTRUP,Assist,13,Gustav BRUUN,20,Oliver LARSEN
110,748677,48.17,,MTH,Skud reddet,ST,4,Kasper LINDGREN,,,,29,Jimmi ANDERSEN
111,748677,48.42,23-24,NSH,Mål,Gbr,13,Gustav BRUUN,,,,20,Oliver LARSEN
112,748677,49.25,23-25,MTH,Mål,PL,10,Mads Svane KNUDSEN,,,,29,Jimmi ANDERSEN
113,748677,50.00,24-25,NSH,Mål,PL,17,Assar KAMMENHED,,,,20,Oliver LARSEN
114,748677,50.37,,MTH,Skud reddet,Gbr,7,Nichlas HALD,,,,29,Jimmi ANDERSEN
115,748677,50.44,25-25,NSH,Mål,2:e,13,Gustav BRUUN,Assist,42,Matias CAMPBELL,20,Oliver LARSEN
116,748677,50.49,,MTH,Time out,,,,,,,,
117,748677,51.25,25-26,MTH,Mål,PL,10,Mads Svane KNUDSEN,,,,29,Jimmi ANDERSEN
118,748677,52.15,,NSH,Fejlaflevering,,13,Gustav BRUUN,Bold erobret,10,Mads Svane KNUDSEN,,
119,748677,52.36,,MTH,Regelfejl,,21,Marcus MIDTGAARD,,,,,
120,748677,53.31,26-26,NSH,Mål,Gbr,79,Oliver KLARSKOV,Assist,13,Gustav BRUUN,20,Oliver LARSEN
121,748677,54.04,,MTH,Skud på stolpe,ST,15,Henrik Toft HANSEN,,,,29,Jimmi ANDERSEN
122,748677,54.17,27-26,NSH,Mål,2:e,14,Rasmus MADSBØLL,Assist,13,Gustav BRUUN,20,Oliver LARSEN
123,748677,54.49,,MTH,Skud reddet,ST,33,Kasper DIDRIKSEN,,,,29,Jimmi ANDERSEN
124,748677,55.43,,NSH,Skud på stolpe,HB,19,Thomas BOILESEN,,,,30,Svend RUGHAVE
125,748677,55.54,27-27,MTH,Mål,2:e,10,Mads Svane KNUDSEN,,,,29,Jimmi ANDERSEN
126,748677,56.37,,NSH,Skud reddet,VF,13,Gustav BRUUN,,,,30,Svend RUGHAVE
127,748677,57.04,,NSH,Fejlaflevering,,79,Oliver KLARSKOV,,,,,
128,748677,57.10,27-28,MTH,Mål,1:e,21,Marcus MIDTGAARD,,,,29,Jimmi ANDERSEN
129,748677,57.23,,NSH,Time out,,,,,,,,
130,748677,57.52,,NSH,Fejlaflevering,,42,Matias CAMPBELL,,,,,
131,748677,58.22,,MTH,Tilkendt straffe,,7,Nichlas HALD,Forårs. str.,21,Tim RANTALA,,
132,748677,58.31,27-29,MTH,Mål på straffe,,10,Mads Svane KNUDSEN,,,,29,Jimmi ANDERSEN
133,748677,58.59,,NSH,Tilkendt straffe,,14,Rasmus MADSBØLL,Forårs. str.,11,Lasse PEDERSEN,,
134,748677,59.07,28-29,NSH,Mål på straffe,,42,Matias CAMPBELL,,,,30,Svend RUGHAVE
135,748677,59.20,,MTH,Time out,,,,,,,,
136,748677,59.51,28-30,MTH,Mål,Gbr,10,Mads Svane KNUDSEN,,,,29,Jimmi ANDERSEN
