id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748678,0.00,,,Start 1:e halvleg,,,,,,,,
2,748678,0.43,,FHK,Fejlaflevering,,31,William ANDERSSON MOBERG,,,,,
3,748678,0.49,1-0,REH,Mål,1:e,11,Mathias JØRGENSEN,,,,1,Sebastian FRANDSEN
4,748678,1.14,1-1,FHK,Mål,HB,93,Anders MARTINUSEN,,,,1,Niklas KRAFT
5,748678,2.15,2-1,REH,Mål,Gbr,81,Alfred JÖNSSON,,,,1,Sebastian FRANDSEN
6,748678,2.44,,FHK,Skud forbi,PL,93,Anders MARTINUSEN,,,,1,Niklas KRAFT
7,748678,3.00,3-1,REH,Mål,ST,17,Andreas SØGAARD,Assist,14,Nicolaj SPANGGAARD,1,Sebastian FRANDSEN
8,748678,4.16,,FHK,Skud forbi,HB,97,Reinier TABOADA,,,,1,Niklas KRAFT
9,748678,4.50,4-1,REH,Mål,VF,31,Morten JØRGENSEN,Assist,81,Alfred JÖNSSON,1,Sebastian FRANDSEN
10,748678,5.01,,FHK,Tilkendt straffe,,31,William ANDERSSON MOBERG,Forårs. str.,14,Nicolaj SPANGGAARD,,
11,748678,5.12,,FHK,Straffekast forbi,,17,Arnór VIÐARSSON,,,,16,Ágúst BJÖRGVINSSON
12,748678,5.49,,FHK,Advarsel,,9,Martin BISGAARD,,,,,
13,748678,6.12,5-1,REH,Mål,HF,11,Mathias JØRGENSEN,,,,1,Sebastian FRANDSEN
14,748678,6.22,5-2,FHK,Mål,PL,97,Reinier TABOADA,,,,1,Niklas KRAFT
15,748678,6.37,6-2,REH,Mål,Gbr,4,Elvar ASGEIRSSON,Assist,14,Nicolaj SPANGGAARD,1,Sebastian FRANDSEN
16,748678,7.22,,FHK,Tilkendt straffe,,41,Evgeni PEVNOV,Forårs. str.,14,Nicolaj SPANGGAARD,,
17,748678,7.27,,REH,Advarsel,,14,Nicolaj SPANGGAARD,,,,,
18,748678,7.32,6-3,FHK,Mål på straffe,,7,Kasper YOUNG,,,,16,Ágúst BJÖRGVINSSON
19,748678,8.08,,REH,Skud reddet,VB,81,Alfred JÖNSSON,,,,1,Sebastian FRANDSEN
20,748678,8.36,6-4,FHK,Mål,PL,31,William ANDERSSON MOBERG,Assist,9,Martin BISGAARD,1,Niklas KRAFT
21,748678,9.24,,REH,Regelfejl,,14,Nicolaj SPANGGAARD,,,,,
22,748678,9.32,6-5,FHK,Mål,2:e,93,Anders MARTINUSEN,,,,1,Niklas KRAFT
23,748678,10.20,,REH,Fejlaflevering,,81,Alfred JÖNSSON,,,,,
24,748678,10.25,6-6,FHK,Mål,1:e,7,Kasper YOUNG,Assist,93,Anders MARTINUSEN,1,Niklas KRAFT
25,748678,10.59,7-6,REH,Mål,PL,81,Alfred JÖNSSON,,,,1,Sebastian FRANDSEN
