id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748680,0.00,,,Start 1:e halvleg,,,,,,,,
2,748680,0.34,,NSH,Skud reddet,VB,13,Gustav BRUUN,,,,1,Mikkel LØVKVIST
3,748680,0.40,1-0,BSH,Mål,1:e,23,Mads LENBROCH,Assist,26,Peter BALLING,29,Jimmi ANDERSEN
4,748680,1.12,1-1,NSH,Mål,ST,5,Julius MØRCH,Assist,7,Léo MARTINEZ,1,Mikkel LØVKVIST
5,748680,1.41,2-1,BSH,Mål,PL,34,Morten OLSEN,,,,29,Jimmi ANDERSEN
6,748680,1.56,,NSH,Skud blokeret,PL,7,Léo MARTINEZ,Blokeret af,19,René Toft HANSEN,,
7,748680,2.33,,BSH,Skud forbi,PL,32,Nikolaj LÆSØ,,,,29,Jimmi ANDERSEN
8,748680,2.46,,NSH,Skud reddet,2:e,13,Gustav BRUUN,,,,1,Mikkel LØVKVIST
9,748680,3.13,3-1,BSH,Mål,Gbr,34,Morten OLSEN,Assist,26,Peter BALLING,29,Jimmi ANDERSEN
10,748680,3.24,3-2,NSH,Mål,2:e,57,Nikolaj LARSSON,Assist,13,Gustav BRUUN,1,Mikkel LØVKVIST
11,748680,4.12,4-2,BSH,Mål,PL,26,Peter BALLING,,,,29,Jimmi ANDERSEN
12,748680,4.42,,NSH,Skud reddet,ST,5,Julius MØRCH,,,,1,Mikkel LØVKVIST
13,748680,5.20,5-2,BSH,Mål,HF,4,Patrick BOLDSEN,Assist,26,Peter BALLING,29,Jimmi ANDERSEN
14,748680,5.58,5-3,NSH,Mål,PL,7,Léo MARTINEZ,,,,1,Mikkel LØVKVIST
15,748680,6.44,,BSH,Regelfejl,,14,Alexander LYNGGAARD,,,,,
16,748680,6.51,,NSH,Regelfejl,,7,Léo MARTINEZ,,,,,
17,748680,7.11,,BSH,Skud reddet,PL,34,Morten OLSEN,,,,29,Jimmi ANDERSEN
18,748680,7.20,,NSH,Skud reddet,2:e,14,Rasmus MADSBØLL,Retur,13,Gustav BRUUN,1,Mikkel LØVKVIST
19,748680,8.07,,NSH,Skud reddet,HB,57,Nikolaj LARSSON,,,,1,Mikkel LØVKVIST
