id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748681,0.00,,,Start 1:e halvleg,,,,,,,,
2,748681,0.37,1-0,GOG,Mål,HF,21,Kasper KILDELUND,Assist,37,Linus PERSSON,1,Matthias DORGELO
3,748681,1.28,1-1,SJE,Mål,PL,11,Nicolaj JØRGENSEN,Assist,18,Morten BJØRNSHAUGE,64,Salah BOUTAF
4,748681,1.43,,SJE,Advarsel,,14,Jacob BAGERSTED,,,,,
5,748681,2.18,,GOG,Skud forbi,PL,15,Tobias GRØNDAHL,,,,1,Matthias DORGELO
6,748681,2.52,,SJE,Skud reddet,VF,28,Patrick VOLZ,,,,64,Salah BOUTAF
7,748681,3.02,,GOG,Skud reddet,2:e,37,Linus PERSSON,,,,1,Matthias DORGELO
8,748681,3.32,1-2,SJE,Mål,PL,11,Nicolaj JØRGENSEN,,,,64,Salah BOUTAF
9,748681,4.05,,GOG,Skud reddet,PL,3,Nicolai PEDERSEN,,,,1,Matthias DORGELO
10,748681,4.36,,SJE,Fejlaflevering,,11,Nicolaj JØRGENSEN,,,,,
11,748681,4.45,,GOG,Skud forbi,1:e,64,Salah BOUTAF,,,,0,
12,748681,5.09,1-3,SJE,Mål,Gbr,24,Sebastian AUGUSTINUSSEN,,,,64,Salah BOUTAF
13,748681,6.03,,GOG,Skud på stolpe,Gbr,3,Nicolai PEDERSEN,,,,1,Matthias DORGELO
14,748681,6.39,,SJE,Skud reddet,VF,28,Patrick VOLZ,Retur,0,,64,Salah BOUTAF
15,748681,7.11,,SJE,Skud blokeret,PL,11,Nicolaj JØRGENSEN,Blok af (ret),66,Anton LINDSKOG,,
16,748681,7.26,,SJE,Fejlaflevering,,11,Nicolaj JØRGENSEN,,,,,
17,748681,7.33,,GOG,Skud reddet,1:e,37,Linus PERSSON,,,,1,Matthias DORGELO
18,748681,7.39,1-4,SJE,Mål,1:e,11,Nicolaj JØRGENSEN,,,,64,Salah BOUTAF
19,748681,7.48,2-4,GOG,Mål,2:e,3,Nicolai PEDERSEN,,,,1,Matthias DORGELO
20,748681,8.23,,SJE,Fejlaflevering,,29,Magnus FREDRIKSEN,Bold erobret,37,Linus PERSSON,,
21,748681,8.33,3-4,GOG,Mål,1:e,37,Linus PERSSON,,,,0,
22,748681,9.08,,SJE,Regelfejl,,29,Magnus FREDRIKSEN,,,,,
23,748681,9.13,4-4,GOG,Mål,2:e,15,Tobias GRØNDAHL,,,,1,Matthias DORGELO
24,748681,9.51,,SJE,Skud reddet,Gbr,11,Nicolaj JØRGENSEN,,,,64,Salah BOUTAF
25,748681,10.31,,GOG,Tilkendt straffe,,37,Linus PERSSON,Forårs. str.,29,Magnus FREDRIKSEN,,
26,748681,10.33,,SJE,Advarsel,,29,Magnus FREDRIKSEN,,,,,
27,748681,10.51,5-4,GOG,Mål på straffe,,15,Tobias GRØNDAHL,,,,1,Matthias DORGELO
28,748681,11.23,,SJE,Fejlaflevering,,29,Magnus FREDRIKSEN,Bold erobret,71,Alexander BLONZ,,
29,748681,11.28,6-4,GOG,Mål,1:e,21,Kasper KILDELUND,Assist,71,Alexander BLONZ,0,
30,748681,12.06,6-5,SJE,Mål,HF,33,Ebbe STANKIEWICZ,Assist,11,Nicolaj JØRGENSEN,64,Salah BOUTAF
31,748681,12.42,,GOG,Fejlaflevering,,3,Nicolai PEDERSEN,Bold erobret,11,Nicolaj JØRGENSEN,,
32,748681,12.46,6-6,SJE,Mål,1:e,33,Ebbe STANKIEWICZ,Assist,11,Nicolaj JØRGENSEN,64,Salah BOUTAF
33,748681,12.58,,GOG,Regelfejl,,9,Henrik JAKOBSEN,,,,,
34,748681,12.58,,GOG,Udvisning,,9,Henrik JAKOBSEN,,,,,
35,748681,13.33,,GOG,Advarsel,,66,Anton LINDSKOG,,,,,
36,748681,13.44,,GOG,Udvisning,,66,Anton LINDSKOG,,,,,
37,748681,13.57,6-7,SJE,Mål,VF,28,Patrick VOLZ,Assist,29,Magnus FREDRIKSEN,64,Salah BOUTAF
38,748681,14.47,,GOG,Regelfejl,,3,Nicolai PEDERSEN,,,,,
39,748681,14.53,6-8,SJE,Mål,1:e,11,Nicolaj JØRGENSEN,,,,0,
40,748681,15.42,,GOG,Tilkendt straffe,,37,Linus PERSSON,Forårs. str.,18,Morten BJØRNSHAUGE,,
41,748681,15.49,7-8,GOG,Mål på straffe,,15,Tobias GRØNDAHL,,,,1,Matthias DORGELO
42,748681,16.23,7-9,SJE,Mål,HF,33,Ebbe STANKIEWICZ,Assist,11,Nicolaj JØRGENSEN,64,Salah BOUTAF
43,748681,16.35,8-9,GOG,Mål,Gbr,8,Frederik TILSTED,Assist,37,Linus PERSSON,1,Matthias DORGELO
44,748681,17.43,8-10,SJE,Mål,Gbr,11,Nicolaj JØRGENSEN,,,,64,Salah BOUTAF
45,748681,17.54,,GOG,Skud reddet,PL,8,Frederik TILSTED,,,,1,Matthias DORGELO
46,748681,18.29,,SJE,Skud reddet,HB,20,August WIGER,,,,64,Salah BOUTAF
47,748681,18.36,,GOG,Fejlaflevering,,8,Frederik TILSTED,,,,,
48,748681,19.17,8-11,SJE,Mål,Gbr,11,Nicolaj JØRGENSEN,Assist,6,Nikolaj SVALASTOG,64,Salah BOUTAF
49,748681,19.17,,GOG,Time out,,,,,,,,
50,748681,19.45,9-11,GOG,Mål,HF,7,Lasse VILHELMSEN,Assist,15,Tobias GRØNDAHL,1,Matthias DORGELO
51,748681,20.24,9-12,SJE,Mål,HF,33,Ebbe STANKIEWICZ,Assist,20,August WIGER,64,Salah BOUTAF
52,748681,20.41,,GOG,Regelfejl,,7,Lasse VILHELMSEN,,,,,
53,748681,21.10,9-13,SJE,Mål,Gbr,20,August WIGER,,,,64,Salah BOUTAF
54,748681,21.39,10-13,GOG,Mål,HB,3,Nicolai PEDERSEN,,,,1,Matthias DORGELO
