id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748682,0.00,,,Start 1:e halvleg,,,,,,,,
2,748682,1.16,1-0,SAH,Mål,Gbr,32,Fredrik OLSSON,,,,1,Emil TELLERUP
3,748682,1.50,,KIF,Skud reddet,Gbr,28,Lauritz LEGÉR,,,,12,Magnus BRANDBYGE
4,748682,2.24,,SAH,Skud på stolpe,VB,32,Fredrik OLSSON,,,,1,Emil TELLERUP
5,748682,2.34,,KIF,Skud reddet,2:e,24,Diogo SILVA,Retur,0,,12,Magnus BRANDBYGE
6,748682,3.05,,KIF,Fejlaflevering,,21,Kristian STOKLUND,,,,,
7,748682,3.13,,SAH,Regelfejl,,11,Mikkel LANG,,,,,
8,748682,3.57,,KIF,Fejlaflevering,,28,Lauritz LEGÉR,Bold erobret,25,Jeppe CIESLAK,,
9,748682,4.03,2-0,SAH,Mål,1:e,25,Jeppe CIESLAK,Assist,6,Kristian BONEFELD,1,Emil TELLERUP
10,748682,4.31,,KIF,Skud reddet,PL,5,Oliver NORLYK,,,,12,Magnus BRANDBYGE
11,748682,5.07,,SAH,Skud reddet,ST,5,Frederik ARNOLDSEN,,,,1,Emil TELLERUP
12,748682,5.49,2-1,KIF,Mål,ST,18,Benjamin PEDERSEN,Assist,24,Diogo SILVA,12,Magnus BRANDBYGE
13,748682,6.03,,SAH,Skud reddet,PL,3,Kristjan ÖRN KRISTJANSSON,,,,1,Emil TELLERUP
14,748682,6.46,,KIF,Skud reddet,HB,28,Lauritz LEGÉR,Retur,0,,12,Magnus BRANDBYGE
15,748682,7.12,,KIF,Regelfejl,,24,Diogo SILVA,,,,,
16,748682,7.50,3-1,SAH,Mål,VB,15,Emil LÆRKE,,,,1,Emil TELLERUP
17,748682,8.46,3-2,KIF,Mål,Gbr,21,Kristian STOKLUND,,,,12,Magnus BRANDBYGE
18,748682,9.23,,SAH,Skud reddet,Gbr,3,Kristjan ÖRN KRISTJANSSON,Retur,5,Frederik ARNOLDSEN,1,Emil TELLERUP
19,748682,9.29,4-2,SAH,Mål,ST,5,Frederik ARNOLDSEN,,,,1,Emil TELLERUP
20,748682,10.09,4-3,KIF,Mål,Gbr,28,Lauritz LEGÉR,,,,12,Magnus BRANDBYGE
21,748682,10.49,5-3,SAH,Mål,PL,15,Emil LÆRKE,,,,1,Emil TELLERUP
22,748682,11.01,5-4,KIF,Mål,ST,18,Benjamin PEDERSEN,Assist,5,Oliver NORLYK,12,Magnus BRANDBYGE
23,748682,11.13,,SAH,Tabt bold,,32,Fredrik OLSSON,Bold erobret,28,Lauritz LEGÉR,,
24,748682,11.19,5-5,KIF,Mål,1:e,13,Mathias HEDEGAARD,Assist,28,Lauritz LEGÉR,12,Magnus BRANDBYGE
25,748682,11.47,6-5,SAH,Mål,HB,3,Kristjan ÖRN KRISTJANSSON,,,,1,Emil TELLERUP
26,748682,12.27,6-6,KIF,Mål,VF,22,Frederik BAY,Assist,21,Kristian STOKLUND,12,Magnus BRANDBYGE
