id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748683,0.00,,,Start 1:e halvleg,,,,,,,,
2,748683,0.37,,TTH,Skud reddet,VB,11,Thomas DAMGAARD,,,,12,Fabian NORSTEN
3,748683,0.47,,TTH,Advarsel,,7,William AAR,,,,,
4,748683,1.39,0-1,AAH,Mål,HB,14,Mads HOXER,,,,16,Sander HEIEREN
5,748683,1.54,,AAH,Advarsel,,7,Thomas ARNOLDSEN,,,,,
6,748683,2.57,,TTH,Skud forbi,PL,7,William AAR,,,,12,Fabian NORSTEN
7,748683,3.07,0-2,AAH,Mål,2:e,14,Mads HOXER,Assist,7,Thomas ARNOLDSEN,16,Sander HEIEREN
8,748683,3.22,,TTH,Skud reddet,Gbr,18,Edwin ASPENBÄCK,,,,12,Fabian NORSTEN
9,748683,3.34,0-3,AAH,Mål,Gbr,7,Thomas ARNOLDSEN,,,,16,Sander HEIEREN
10,748683,4.14,1-3,TTH,Mål,VB,7,William AAR,,,,12,Fabian NORSTEN
11,748683,5.34,,AAH,Skud forbi,PL,7,Thomas ARNOLDSEN,,,,16,Sander HEIEREN
12,748683,6.16,2-3,TTH,Mål,PL,7,William AAR,,,,12,Fabian NORSTEN
13,748683,6.27,,AAH,Skud reddet,2:e,9,Miguel MARTINS,,,,16,Sander HEIEREN
14,748683,6.58,3-3,TTH,Mål,ST,23,Miha ZVIZEJ,Assist,18,Edwin ASPENBÄCK,12,Fabian NORSTEN
15,748683,7.56,,AAH,Skud forbi,PL,9,Miguel MARTINS,,,,16,Sander HEIEREN
16,748683,8.37,4-3,TTH,Mål,PL,18,Edwin ASPENBÄCK,,,,12,Fabian NORSTEN
17,748683,8.44,4-4,AAH,Mål,2:e,7,Thomas ARNOLDSEN,,,,16,Sander HEIEREN
18,748683,9.29,5-4,TTH,Mål,Gbr,11,Thomas DAMGAARD,,,,12,Fabian NORSTEN
19,748683,10.04,5-5,AAH,Mål,Gbr,9,Miguel MARTINS,,,,16,Sander HEIEREN
20,748683,10.16,6-5,TTH,Mål,HF,28,Kevin GULLIKSEN,Assist,18,Edwin ASPENBÄCK,12,Fabian NORSTEN
21,748683,10.24,,AAH,Tilkendt straffe,,23,Buster JUUL,Forårs. str.,23,Miha ZVIZEJ,,
22,748683,10.24,,TTH,Udvisning,,28,Kevin GULLIKSEN,,,,,
23,748683,10.28,6-6,AAH,Mål på straffe,,15,Jack THURIN,,,,16,Sander HEIEREN
24,748683,11.19,,TTH,Tilkendt straffe,,18,Edwin ASPENBÄCK,Forårs. str.,14,Mads HOXER,,
25,748683,11.19,,AAH,Udvisning,,14,Mads HOXER,,,,,
26,748683,11.23,7-6,TTH,Mål på straffe,,6,Frederik BJERRE,,,,12,Fabian NORSTEN
27,748683,12.08,7-7,AAH,Mål,Gbr,15,Jack THURIN,Assist,7,Thomas ARNOLDSEN,16,Sander HEIEREN
28,748683,12.43,8-7,TTH,Mål,ST,23,Miha ZVIZEJ,Assist,18,Edwin ASPENBÄCK,12,Fabian NORSTEN
29,748683,13.06,,AAH,Tilkendt straffe,,9,Miguel MARTINS,Forårs. str.,13,Sven EHRIG,,
30,748683,13.23,8-8,AAH,Mål på straffe,,15,Jack THURIN,,,,16,Sander HEIEREN
31,748683,13.56,9-8,TTH,Mål,PL,7,William AAR,,,,12,Fabian NORSTEN
32,748683,14.23,9-9,AAH,Mål,Gbr,7,Thomas ARNOLDSEN,,,,16,Sander HEIEREN
33,748683,14.54,,TTH,Skud reddet,Gbr,7,William AAR,,,,12,Fabian NORSTEN
34,748683,15.31,9-10,AAH,Mål,Gbr,7,Thomas ARNOLDSEN,,,,16,Sander HEIEREN
35,748683,16.12,,TTH,Tilkendt straffe,,7,William AAR,Forårs. str.,15,Jack THURIN,,
36,748683,16.35,10-10,TTH,Mål på straffe,,6,Frederik BJERRE,,,,12,Fabian NORSTEN
37,748683,17.15,,AAH,Tabt bold,,7,Thomas ARNOLDSEN,Bold erobret,18,Edwin ASPENBÄCK,,
38,748683,17.53,,TTH,Skud på stolpe,VF,10,Magnus BRAMMING,,,,12,Fabian NORSTEN
39,748683,18.04,,AAH,Skud forbi,2:e,25,Marinus MUNK,,,,16,Sander HEIEREN
40,748683,18.17,,TTH,Skud forbi,VB,7,William AAR,,,,12,Fabian NORSTEN
41,748683,19.07,,AAH,Tilkendt straffe,,7,Thomas ARNOLDSEN,Forårs. str.,23,Miha ZVIZEJ,,
42,748683,19.26,,AAH,Straffekast reddet,,15,Jack THURIN,,,,16,Sander HEIEREN
43,748683,20.18,11-10,TTH,Mål,HF,28,Kevin GULLIKSEN,Assist,18,Edwin ASPENBÄCK,12,Fabian NORSTEN
44,748683,20.59,,AAH,Time out,,,,,,,,
45,748683,21.18,,AAH,Tabt bold,,7,Thomas ARNOLDSEN,,,,,
46,748683,21.26,12-10,TTH,Mål,2:e,11,Thomas DAMGAARD,Assist,25,Jonas PORUP,12,Fabian NORSTEN
47,748683,21.38,12-11,AAH,Mål,Gbr,25,Marinus MUNK,,,,16,Sander HEIEREN
48,748683,22.16,13-11,TTH,Mål,PL,11,Thomas DAMGAARD,,,,12,Fabian NORSTEN
49,748683,22.26,,AAH,Skud forbi,2:e,15,Jack THURIN,,,,16,Sander HEIEREN
50,748683,22.32,14-11,TTH,Mål,1:e,21,Mathias SMED,Assist,18,Edwin ASPENBÄCK,12,Fabian NORSTEN
51,748683,23.13,14-12,AAH,Mål,Gbr,7,Thomas ARNOLDSEN,,,,16,Sander HEIEREN
52,748683,23.24,15-12,TTH,Mål,2:e,18,Edwin ASPENBÄCK,,,,12,Fabian NORSTEN
53,748683,23.56,,AAH,Skud reddet,Gbr,15,Jack THURIN,,,,16,Sander HEIEREN
54,748683,24.36,,TTH,Skud på stolpe,PL,11,Thomas DAMGAARD,,,,12,Fabian NORSTEN
55,748683,25.10,,AAH,Skud reddet,HB,25,Marinus MUNK,,,,16,Sander HEIEREN
56,748683,26.01,,TTH,Skud blokeret,PL,11,Thomas DAMGAARD,Blokeret af,20,Felix MÖLLER,,
57,748683,26.43,15-13,AAH,Mål,Gbr,9,Miguel MARTINS,,,,16,Sander HEIEREN
58,748683,27.21,,TTH,Time out,,,,,,,,
59,748683,27.47,16-13,TTH,Mål,Gbr,18,Edwin ASPENBÄCK,Assist,11,Thomas DAMGAARD,12,Fabian NORSTEN
60,748683,28.16,16-14,AAH,Mål,Gbr,9,Miguel MARTINS,,,,16,Sander HEIEREN
61,748683,28.50,,AAH,Udvisning,,9,Miguel MARTINS,,,,,
