id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748684,0.00,,,Start 1:e halvleg,,,,,,,,
2,748684,0.35,1-0,FHK,Mål,Gbr,31,William ANDERSSON MOBERG,Assist,93,Anders MARTINUSEN,16,Andreas HAAGEN
3,748684,1.16,1-1,TMS,Mål,Gbr,10,Frederik HORN,,,,1,Sebastian FRANDSEN
4,748684,1.58,,FHK,Skud reddet,PL,93,Anders MARTINUSEN,,,,16,Andreas HAAGEN
5,748684,2.27,,TMS,Skud reddet,PL,10,Frederik HORN,,,,1,Sebastian FRANDSEN
6,748684,2.31,2-1,FHK,Mål,1:e,9,Martin BISGAARD,Assist,93,Anders MARTINUSEN,16,Andreas HAAGEN
7,748684,2.45,,TMS,Skud reddet,ST,24,Simon OOMS,Retur,0,,1,Sebastian FRANDSEN
8,748684,3.16,2-2,TMS,Mål,Gbr,7,Christoffer DREYER,Assist,19,Benjamin HALLGREN,1,Sebastian FRANDSEN
9,748684,3.55,3-2,FHK,Mål,PL,97,Reinier TABOADA,,,,16,Andreas HAAGEN
10,748684,4.36,,TMS,Fejlaflevering,,19,Benjamin HALLGREN,,,,,
11,748684,5.26,,FHK,Fejlaflevering,,93,Anders MARTINUSEN,Bold erobret,24,Simon OOMS,,
12,748684,5.36,3-3,TMS,Mål,Gbr,7,Christoffer DREYER,,,,1,Sebastian FRANDSEN
13,748684,6.07,4-3,FHK,Mål,Gbr,31,William ANDERSSON MOBERG,,,,16,Andreas HAAGEN
14,748684,6.22,,TMS,Tilkendt straffe,,10,Frederik HORN,Forårs. str.,31,William ANDERSSON MOBERG,,
15,748684,6.44,4-4,TMS,Mål på straffe,,81,Tobias NIELSEN,,,,1,Sebastian FRANDSEN
16,748684,7.22,5-4,FHK,Mål,PL,97,Reinier TABOADA,,,,16,Andreas HAAGEN
17,748684,7.33,,TMS,Fejlaflevering,,7,Christoffer DREYER,,,,,
18,748684,8.35,6-4,FHK,Mål,Gbr,93,Anders MARTINUSEN,,,,16,Andreas HAAGEN
19,748684,9.25,,TMS,Tabt bold,,19,Benjamin HALLGREN,Bold erobret,9,Martin BISGAARD,,
20,748684,9.59,,FHK,Skud reddet,HB,93,Anders MARTINUSEN,,,,16,Andreas HAAGEN
21,748684,11.19,,TMS,Skud blokeret,PL,10,Frederik HORN,Blok af (ret),41,Evgeni PEVNOV,,
22,748684,11.26,,TMS,Skud reddet,PL,2,Joachim MØLLER,,,,1,Sebastian FRANDSEN
23,748684,11.55,,FHK,Fejlaflevering,,9,Martin BISGAARD,Bold erobret,44,Tobias TOMBAK,,
24,748684,12.08,6-5,TMS,Mål,1:e,81,Tobias NIELSEN,,,,1,Sebastian FRANDSEN
25,748684,12.13,7-5,FHK,Mål,1:e,97,Reinier TABOADA,,,,16,Andreas HAAGEN
26,748684,12.27,,TMS,Fejlaflevering,,44,Tobias TOMBAK,Bold erobret,93,Anders MARTINUSEN,,
