id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748686,0.00,,,Start 1:e halvleg,,,,,,,,
2,748686,0.36,0-1,SKH,Mål,HB,22,Jakob RASMUSSEN,,,,16,Christian WETCHE
3,748686,1.28,1-1,GIF,Mål,PL,21,Kristoffer VESTERGAARD,,,,1,Christoffer BONDE
4,748686,2.07,,SKH,Tabt bold,,13,Noah GAUDIN,,,,,
5,748686,2.14,,GIF,Skud reddet,2:e,11,Kristoffer JESSEN,,,,1,Christoffer BONDE
6,748686,2.40,,SKH,Skud reddet,PL,13,Noah GAUDIN,,,,16,Christian WETCHE
7,748686,3.30,,GIF,Skud reddet,PL,21,Kristoffer VESTERGAARD,,,,1,Christoffer BONDE
8,748686,4.08,,SKH,Skud reddet,PL,10,Joaquim NAZARÉ,,,,16,Christian WETCHE
9,748686,4.42,,GIF,Skud reddet,HF,3,Thomas THEILGAARD,,,,1,Christoffer BONDE
10,748686,4.47,1-2,SKH,Mål,1:e,13,Noah GAUDIN,,,,0,
11,748686,5.24,2-2,GIF,Mål,HF,3,Thomas THEILGAARD,Assist,23,Bjarke NYBO,1,Christoffer BONDE
12,748686,7.01,2-3,SKH,Mål,HB,13,Noah GAUDIN,,,,16,Christian WETCHE
13,748686,7.53,,GIF,Skud på stolpe,PL,21,Kristoffer VESTERGAARD,,,,1,Christoffer BONDE
14,748686,7.58,2-4,SKH,Mål,1:e,13,Noah GAUDIN,,,,0,
15,748686,8.37,,GIF,Skud reddet,ST,17,Kristian Krag ØRSTED,,,,1,Christoffer BONDE
16,748686,8.47,,SKH,Skud reddet,2:e,10,Joaquim NAZARÉ,,,,16,Christian WETCHE
17,748686,9.21,,GIF,Skud reddet,ST,22,Hjalmar ANDERSEN,,,,1,Christoffer BONDE
18,748686,10.13,2-5,SKH,Mål,PL,13,Noah GAUDIN,,,,16,Christian WETCHE
19,748686,10.53,,GIF,Tabt bold,,4,Frederik NIELSEN,,,,,
20,748686,10.57,2-6,SKH,Mål,1:e,19,Bjarke CHRISTENSEN,Assist,21,René RASMUSSEN,0,
