id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748690,0.00,,,Start 1:e halvleg,,,,,,,,
2,748690,0.48,1-0,NSH,Mål,PL,7,Léo MARTINEZ,,,,64,Salah BOUTAF
3,748690,1.02,,GOG,Skud reddet,Gbr,37,Linus PERSSON,,,,29,Jimmi ANDERSEN
4,748690,1.11,2-0,NSH,Mål,1:e,14,Rasmus MADSBØLL,Assist,57,Nikolaj LARSSON,64,Salah BOUTAF
5,748690,1.24,,GOG,Tilkendt straffe,,37,Linus PERSSON,Forårs. str.,11,Jonas RAUNDAHL,,
6,748690,1.27,,NSH,Advarsel,,11,Jonas RAUNDAHL,,,,,
7,748690,1.45,2-1,GOG,Mål på straffe,,15,Tobias GRØNDAHL,,,,29,Jimmi ANDERSEN
8,748690,2.15,3-1,NSH,Mål,HB,57,Nikolaj LARSSON,,,,64,Salah BOUTAF
9,748690,2.36,,GOG,Tilkendt straffe,,9,Henrik JAKOBSEN,Forårs. str.,42,Matias CAMPBELL,,
10,748690,2.42,3-2,GOG,Mål på straffe,,15,Tobias GRØNDAHL,,,,29,Jimmi ANDERSEN
11,748690,3.31,,NSH,Skud reddet,Gbr,57,Nikolaj LARSSON,,,,64,Salah BOUTAF
12,748690,4.23,3-3,GOG,Mål,ST,9,Henrik JAKOBSEN,Assist,15,Tobias GRØNDAHL,29,Jimmi ANDERSEN
13,748690,4.33,,NSH,Tilkendt straffe,,57,Nikolaj LARSSON,Forårs. str.,8,Frederik TILSTED,,
14,748690,4.53,,NSH,Straffekast reddet,,42,Matias CAMPBELL,,,,64,Salah BOUTAF
15,748690,5.27,,GOG,Skud reddet,VB,8,Frederik TILSTED,,,,29,Jimmi ANDERSEN
16,748690,6.00,4-3,NSH,Mål,Gbr,57,Nikolaj LARSSON,,,,64,Salah BOUTAF
17,748690,6.13,4-4,GOG,Mål,VB,37,Linus PERSSON,,,,29,Jimmi ANDERSEN
18,748690,6.48,,NSH,Regelfejl,,7,Léo MARTINEZ,,,,,
19,748690,7.26,,GOG,Skud forbi,HB,37,Linus PERSSON,,,,29,Jimmi ANDERSEN
20,748690,7.41,,NSH,Regelfejl,,5,Julius MØRCH,,,,,
21,748690,8.11,4-5,GOG,Mål,ST,9,Henrik JAKOBSEN,Assist,15,Tobias GRØNDAHL,29,Jimmi ANDERSEN
22,748690,8.47,,NSH,Skud reddet,Gbr,13,Gustav BRUUN,Retur,0,,64,Salah BOUTAF
23,748690,9.11,,NSH,Skud blokeret,PL,13,Gustav BRUUN,Blok af (ret),9,Henrik JAKOBSEN,,
24,748690,9.22,,NSH,Skud forbi,VB,13,Gustav BRUUN,,,,64,Salah BOUTAF
25,748690,10.02,,GOG,Fejlaflevering,,15,Tobias GRØNDAHL,,,,,
26,748690,10.42,,NSH,Tabt bold,,13,Gustav BRUUN,,,,,
27,748690,10.48,4-6,GOG,Mål,2:e,37,Linus PERSSON,,,,29,Jimmi ANDERSEN
28,748690,11.47,5-6,NSH,Mål,VF,14,Rasmus MADSBØLL,Assist,13,Gustav BRUUN,64,Salah BOUTAF
29,748690,12.05,,GOG,Skud reddet,ST,9,Henrik JAKOBSEN,,,,29,Jimmi ANDERSEN
30,748690,12.15,6-6,NSH,Mål,2:e,7,Léo MARTINEZ,Assist,42,Matias CAMPBELL,64,Salah BOUTAF
31,748690,12.28,,NSH,Udvisning,,13,Gustav BRUUN,,,,,
32,748690,12.43,,GOG,Skud reddet,Gbr,29,Hjalte LYKKE,,,,29,Jimmi ANDERSEN
33,748690,13.56,,NSH,Skud forbi,PL,7,Léo MARTINEZ,,,,64,Salah BOUTAF
34,748690,14.05,,GOG,Fejlaflevering,,64,Salah BOUTAF,,,,,
35,748690,14.37,7-6,NSH,Mål,PL,19,Thomas BOILESEN,,,,64,Salah BOUTAF
36,748690,14.51,7-7,GOG,Mål,HF,21,Kasper KILDELUND,Assist,15,Tobias GRØNDAHL,29,Jimmi ANDERSEN
37,748690,15.37,8-7,NSH,Mål,HB,57,Nikolaj LARSSON,,,,64,Salah BOUTAF
38,748690,16.17,8-8,GOG,Mål,Gbr,3,Nicolai PEDERSEN,,,,29,Jimmi ANDERSEN
39,748690,16.24,,NSH,Skud reddet,2:e,19,Thomas BOILESEN,,,,64,Salah BOUTAF
40,748690,16.31,8-9,GOG,Mål,1:e,71,Alexander BLONZ,Assist,,,64,Salah BOUTAF
41,748690,17.02,9-9,NSH,Mål,VB,19,Thomas BOILESEN,,,,64,Salah BOUTAF
42,748690,17.13,9-10,GOG,Mål,ST,66,Anton LINDSKOG,Assist,15,Tobias GRØNDAHL,29,Jimmi ANDERSEN
