id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748691,0.00,,,Start 1:e halvleg,,,,,,,,
2,748691,0.29,,BSH,Skud på stolpe,HB,26,Peter BALLING,Retur,0,,1,Niklas KRAFT
3,748691,0.57,,BSH,Skud reddet,PL,26,Peter BALLING,,,,1,Niklas KRAFT
4,748691,1.04,1-0,REH,Mål,1:e,31,Morten JØRGENSEN,Assist,,,1,Niklas KRAFT
5,748691,1.55,,BSH,Skud reddet,Gbr,26,Peter BALLING,,,,1,Niklas KRAFT
6,748691,2.07,,REH,Skud reddet,VF,31,Morten JØRGENSEN,,,,1,Mikkel LØVKVIST
7,748691,2.29,,BSH,Skud reddet,PL,32,Nikolaj LÆSØ,Retur,0,,1,Niklas KRAFT
8,748691,2.47,,BSH,Skud forbi,PL,34,Morten OLSEN,,,,1,Niklas KRAFT
9,748691,2.55,2-0,REH,Mål,2:e,81,Alfred JÖNSSON,,,,1,Mikkel LØVKVIST
10,748691,3.11,2-1,BSH,Mål,Gbr,32,Nikolaj LÆSØ,,,,1,Niklas KRAFT
11,748691,3.52,,REH,Regelfejl,,17,Andreas SØGAARD,,,,,
12,748691,4.34,,BSH,Skud reddet,VB,32,Nikolaj LÆSØ,,,,1,Niklas KRAFT
13,748691,4.41,,REH,Tilkendt straffe,,81,Alfred JÖNSSON,Forårs. str.,26,Peter BALLING,,
14,748691,5.04,,REH,Straffekast reddet,,11,Mathias JØRGENSEN,Retur,0,,1,Mikkel LØVKVIST
15,748691,5.09,3-1,REH,Mål,ST,11,Mathias JØRGENSEN,,,,1,Mikkel LØVKVIST
16,748691,5.44,,BSH,Skud reddet,PL,34,Morten OLSEN,,,,1,Niklas KRAFT
17,748691,5.50,,REH,Tabt bold,,4,Elvar ASGEIRSSON,Bold erobret,14,Alexander LYNGGAARD,,
18,748691,5.56,3-2,BSH,Mål,1:e,26,Peter BALLING,Assist,14,Alexander LYNGGAARD,1,Niklas KRAFT
19,748691,6.06,4-2,REH,Mål,2:e,17,Andreas SØGAARD,Assist,4,Elvar ASGEIRSSON,1,Mikkel LØVKVIST
20,748691,6.18,4-3,BSH,Mål,ST,34,Morten OLSEN,Assist,26,Peter BALLING,1,Niklas KRAFT
21,748691,6.55,5-3,REH,Mål,VB,4,Elvar ASGEIRSSON,,,,1,Mikkel LØVKVIST
22,748691,7.03,5-4,BSH,Mål,2:e,14,Alexander LYNGGAARD,Assist,32,Nikolaj LÆSØ,1,Niklas KRAFT
23,748691,7.41,6-4,REH,Mål,Gbr,81,Alfred JÖNSSON,Assist,4,Elvar ASGEIRSSON,1,Mikkel LØVKVIST
24,748691,8.18,,BSH,Skud reddet,Gbr,32,Nikolaj LÆSØ,,,,1,Niklas KRAFT
25,748691,8.26,7-4,REH,Mål,2:e,17,Andreas SØGAARD,Assist,4,Elvar ASGEIRSSON,1,Mikkel LØVKVIST
26,748691,9.38,7-5,BSH,Mål,ST,14,Alexander LYNGGAARD,Assist,34,Morten OLSEN,1,Niklas KRAFT
27,748691,10.44,8-5,REH,Mål,Gbr,81,Alfred JÖNSSON,,,,1,Mikkel LØVKVIST
28,748691,11.16,8-6,BSH,Mål,Gbr,32,Nikolaj LÆSØ,,,,1,Niklas KRAFT
29,748691,11.56,,REH,Skud reddet,HB,26,Christian TERMANSEN,,,,1,Mikkel LØVKVIST
30,748691,12.47,8-7,BSH,Mål,HF,4,Patrick BOLDSEN,Assist,11,Rasmus LAUGE,1,Niklas KRAFT
31,748691,12.57,9-7,REH,Mål,ST,21,Axel FRANZÉN,Assist,27,Andre Sindre AHO,1,Mikkel LØVKVIST
32,748691,13.54,,BSH,Skud blokeret,PL,32,Nikolaj LÆSØ,Blokeret af,6,Jonathan WÜRTZ,,
33,748691,14.46,,REH,Skud blokeret,HB,26,Christian TERMANSEN,Blok af (ret),19,René Toft HANSEN,,
34,748691,14.58,,REH,Regelfejl,,21,Axel FRANZÉN,,,,,
35,748691,15.28,,BSH,Skud på stolpe,VF,23,Mads LENBROCH,,,,1,Niklas KRAFT
36,748691,16.09,,REH,Regelfejl,,26,Christian TERMANSEN,,,,,
37,748691,16.49,9-8,BSH,Mål,HF,4,Patrick BOLDSEN,Assist,13,Lasse SUNDE LID,1,Niklas KRAFT
38,748691,16.58,,BSH,Udvisning,,19,René Toft HANSEN,,,,,
39,748691,17.19,10-8,REH,Mål,ST,21,Axel FRANZÉN,Assist,27,Andre Sindre AHO,1,Mikkel LØVKVIST
40,748691,17.55,10-9,BSH,Mål,VF,23,Mads LENBROCH,Assist,11,Rasmus LAUGE,1,Niklas KRAFT
41,748691,18.17,,REH,Skud reddet,Gbr,81,Alfred JÖNSSON,,,,1,Mikkel LØVKVIST
42,748691,19.02,,BSH,Skud reddet,VB,11,Rasmus LAUGE,,,,1,Niklas KRAFT
43,748691,19.38,,REH,Tabt bold,,14,Nicolaj SPANGGAARD,Bold erobret,14,Alexander LYNGGAARD,,
44,748691,19.43,,BSH,Regelfejl,,4,Patrick BOLDSEN,,,,,
45,748691,20.12,,REH,Skud reddet,VB,4,Elvar ASGEIRSSON,Retur,0,,1,Mikkel LØVKVIST
46,748691,20.38,11-9,REH,Mål,ST,21,Axel FRANZÉN,Assist,27,Andre Sindre AHO,1,Mikkel LØVKVIST
47,748691,21.06,,BSH,Skud reddet,Gbr,11,Rasmus LAUGE,Retur,0,,1,Niklas KRAFT
48,748691,21.19,11-10,BSH,Mål,Gbr,11,Rasmus LAUGE,,,,1,Niklas KRAFT
49,748691,22.13,,REH,Skud reddet,VB,4,Elvar ASGEIRSSON,,,,1,Mikkel LØVKVIST
50,748691,22.13,,BSH,Udvisning,,11,Rasmus LAUGE,,,,,
51,748691,22.44,,BSH,Tilkendt straffe,,97,Magnus RAHBEK,Forårs. str.,11,Mathias JØRGENSEN,,
52,748691,22.50,11-11,BSH,Mål på straffe,,9,Gudmundur Bragi ASTPARSSON,,,,1,Niklas KRAFT
53,748691,23.13,12-11,REH,Mål,Gbr,27,Andre Sindre AHO,,,,1,Mikkel LØVKVIST
