id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748693,0.00,,,Start 1:e halvleg,,,,,,,,
2,748693,0.40,1-0,FHK,Mål,ST,41,Evgeni PEVNOV,Assist,93,Anders MARTINUSEN,16,Christian WETCHE
3,748693,1.12,1-1,GIF,Mål,PL,21,Kristoffer VESTERGAARD,,,,16,Thorsten FRIES
4,748693,1.38,2-1,FHK,Mål,PL,97,Reinier TABOADA,,,,16,Christian WETCHE
5,748693,2.15,,GIF,Skud reddet,PL,21,Kristoffer VESTERGAARD,Retur,20,Frederik IVERSEN,16,Thorsten FRIES
6,748693,2.34,2-2,GIF,Mål,Gbr,4,Frederik NIELSEN,,,,16,Thorsten FRIES
7,748693,3.37,,FHK,Skud reddet,Gbr,31,William ANDERSSON MOBERG,,,,16,Christian WETCHE
8,748693,4.13,,GIF,Skud reddet,HB,21,Kristoffer VESTERGAARD,,,,16,Thorsten FRIES
9,748693,4.49,3-2,FHK,Mål,ST,41,Evgeni PEVNOV,Assist,93,Anders MARTINUSEN,16,Christian WETCHE
10,748693,5.32,,GIF,Tilkendt straffe,,22,Hjalmar ANDERSEN,Forårs. str.,13,Lasse BALSTAD,,
11,748693,5.47,,GIF,Straffekast reddet,,20,Frederik IVERSEN,Retur,20,Frederik IVERSEN,16,Thorsten FRIES
12,748693,5.52,,GIF,Skud reddet,ST,20,Frederik IVERSEN,,,,16,Thorsten FRIES
13,748693,6.43,4-2,FHK,Mål,HF,20,Fredrik MOSSESTAD,Assist,93,Anders MARTINUSEN,16,Christian WETCHE
14,748693,7.19,4-3,GIF,Mål,HF,3,Thomas THEILGAARD,Assist,21,Kristoffer VESTERGAARD,16,Thorsten FRIES
15,748693,7.54,5-3,FHK,Mål,Gbr,93,Anders MARTINUSEN,,,,16,Christian WETCHE
16,748693,8.01,,GIF,Advarsel,,23,Bjarke NYBO,,,,,
17,748693,8.35,,GIF,Skud reddet,ST,17,Kristian Krag ØRSTED,,,,16,Thorsten FRIES
18,748693,8.45,,FHK,Fejlaflevering,,41,Evgeni PEVNOV,Bold erobret,8,Rolf RAVN,,
19,748693,8.51,5-4,GIF,Mål,2:e,23,Bjarke NYBO,,,,16,Thorsten FRIES
20,748693,9.25,,GIF,Udvisning,,11,Kristoffer JESSEN,,,,,
21,748693,9.38,,FHK,Skud forbi,Gbr,31,William ANDERSSON MOBERG,,,,16,Christian WETCHE
22,748693,10.08,,GIF,Fejlaflevering,,4,Frederik NIELSEN,,,,,
23,748693,10.14,6-4,FHK,Mål,2:e,97,Reinier TABOADA,Assist,93,Anders MARTINUSEN,16,Christian WETCHE
24,748693,11.14,,GIF,Skud reddet,PL,21,Kristoffer VESTERGAARD,,,,16,Thorsten FRIES
25,748693,11.28,,FHK,Regelfejl,,97,Reinier TABOADA,,,,,
26,748693,12.07,,GIF,Regelfejl,,4,Frederik NIELSEN,,,,,
27,748693,13.10,,GIF,Udvisning,,8,Rolf RAVN,,,,,
28,748693,13.33,7-4,FHK,Mål,VF,9,Martin BISGAARD,Assist,97,Reinier TABOADA,16,Christian WETCHE
29,748693,14.14,,GIF,Skud blokeret,PL,21,Kristoffer VESTERGAARD,Blok af (ret),20,Fredrik MOSSESTAD,,
30,748693,14.38,,GIF,Skud reddet,ST,17,Kristian Krag ØRSTED,,,,16,Thorsten FRIES
31,748693,15.07,,FHK,Skud forbi,ST,97,Reinier TABOADA,,,,16,Christian WETCHE
32,748693,15.41,,GIF,Tilkendt straffe,,4,Frederik NIELSEN,Forårs. str.,20,Fredrik MOSSESTAD,,
33,748693,15.54,7-5,GIF,Mål på straffe,,21,Kristoffer VESTERGAARD,,,,16,Thorsten FRIES
34,748693,16.29,,FHK,Tilkendt straffe,,41,Evgeni PEVNOV,Forårs. str.,11,Kristoffer JESSEN,,
35,748693,16.38,8-5,FHK,Mål på straffe,,7,Kasper YOUNG,,,,16,Christian WETCHE
36,748693,17.25,,GIF,Skud reddet,HF,3,Thomas THEILGAARD,,,,16,Thorsten FRIES
37,748693,17.35,,FHK,Fejlaflevering,,15,Mads KJELDGAARD,,,,,
38,748693,18.15,8-6,GIF,Mål,ST,22,Hjalmar ANDERSEN,Assist,21,Kristoffer VESTERGAARD,16,Thorsten FRIES
39,748693,18.48,9-6,FHK,Mål,VF,9,Martin BISGAARD,Assist,31,William ANDERSSON MOBERG16,16,Christian WETCHE
40,748693,19.23,,GIF,Skud reddet,VF,20,Frederik IVERSEN,,,,16,Thorsten FRIES
41,748693,19.57,10-6,FHK,Mål,HF,20,Fredrik MOSSESTAD,Assist,15,Mads KJELDGAARD,16,Christian WETCHE
42,748693,21.12,,GIF,Skud reddet,HB,8,Rolf RAVN,,,,16,Thorsten FRIES
43,748693,21.25,11-6,FHK,Mål,2:e,31,William ANDERSSON MOBERG,,,,1,Frederik SKOVGAARD
44,748693,21.27,,GIF,Time out,,,,,,,,
45,748693,21.52,11-7,GIF,Mål,Gbr,4,Frederik NIELSEN,,,,16,Thorsten FRIES
46,748693,22.26,,FHK,Regelfejl,,15,Mads KJELDGAARD,,,,,
47,748693,22.33,,GIF,Skud reddet,2:e,11,Kristoffer JESSEN,,,,16,Thorsten FRIES
48,748693,22.43,,FHK,Fejlaflevering,,7,Kasper YOUNG,,,,,
49,748693,23.14,,GIF,Skud reddet,Gbr,4,Frederik NIELSEN,,,,16,Thorsten FRIES
50,748693,23.54,12-7,FHK,Mål,HB,7,Kasper YOUNG,,,,1,Frederik SKOVGAARD
51,748693,23.59,,GIF,Regelfejl,,4,Frederik NIELSEN,,,,,
52,748693,24.50,13-7,FHK,Mål,HF,20,Fredrik MOSSESTAD,Assist,31,William ANDERSSON MOBERG1,1,Frederik SKOVGAARD
53,748693,25.29,,GIF,Fejlaflevering,,21,Kristoffer VESTERGAARD,Bold erobret,7,Kasper YOUNG,,
54,748693,25.33,14-7,FHK,Mål,1:e,15,Mads KJELDGAARD,Assist,7,Kasper YOUNG,,
55,748693,26.02,,GIF,Tabt bold,,21,Kristoffer VESTERGAARD,Bold erobret,13,Lasse BALSTAD,,
56,748693,26.04,15-7,FHK,Mål,1:e,9,Martin BISGAARD,,,,0,
57,748693,26.05,,GIF,Time out,,,,,,,,
58,748693,26.54,,GIF,Skud på stolpe,PL,21,Kristoffer VESTERGAARD,,,,16,Thorsten FRIES
59,748693,27.45,16-7,FHK,Mål,PL,15,Mads KJELDGAARD,,,,1,Frederik SKOVGAARD
60,748693,28.41,,GIF,Skud reddet,PL,23,Bjarke NYBO,,,,16,Thorsten FRIES
61,748693,29.15,17-7,FHK,Mål,Gbr,31,William ANDERSSON MOBERG,,,,1,Frederik SKOVGAARD
62,748693,29.54,,GIF,Skud reddet,ST,17,Kristian Krag ØRSTED,,,,16,Thorsten FRIES
63,748693,30.00,17-7,,Halvleg,,,,,,,,
64,748693,30.00,,,Start 2:e halvleg,,,,,,,,
65,748693,30.41,17-8,GIF,Mål,ST,17,Kristian Krag ØRSTED,Assist,4,Frederik NIELSEN,16,Thorsten FRIES
66,748693,30.59,18-8,FHK,Mål,2:e,15,Mads KJELDGAARD,,,,16,Christian WETCHE
67,748693,31.27,18-9,GIF,Mål,Gbr,21,Kristoffer VESTERGAARD,,,,16,Thorsten FRIES
68,748693,32.26,,FHK,Tilkendt straffe,,15,Mads KJELDGAARD,Forårs. str.,23,Bjarke NYBO,,
69,748693,32.46,19-9,FHK,Mål på straffe,,7,Kasper YOUNG,,,,16,Christian WETCHE
70,748693,33.15,19-10,GIF,Mål,ST,17,Kristian Krag ØRSTED,Assist,21,Kristoffer VESTERGAARD,16,Thorsten FRIES
71,748693,33.25,,FHK,Skud reddet,2:e,23,Einar ÓLAFSSON,,,,16,Christian WETCHE
72,748693,33.53,19-11,GIF,Mål,HB,21,Kristoffer VESTERGAARD,,,,16,Thorsten FRIES
