id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748699,0.00,,,Start 1:e halvleg,,,,,,,,
2,748699,1.08,,MTH,Fejlaflevering,,10,Mads Svane KNUDSEN,Bold erobret,7,Kasper YOUNG,,
3,748699,1.15,0-1,FHK,Mål,1:e,97,Reinier TABOADA,Assist,41,Evgeni PEVNOV,30,Svend RUGHAVE
4,748699,1.25,,MTH,Tilkendt straffe,,28,Rasmus MADSEN,Forårs. str.,9,Martin BISGAARD,,
5,748699,1.41,1-1,MTH,Mål på straffe,,11,Lasse PEDERSEN,,,,1,Sebastian FRANDSEN
6,748699,2.56,1-2,FHK,Mål,PL,93,Anders MARTINUSEN,,,,30,Svend RUGHAVE
7,748699,3.50,2-2,MTH,Mål,HB,28,Rasmus MADSEN,Assist,10,Mads Svane KNUDSEN,1,Sebastian FRANDSEN
8,748699,4.27,,FHK,Fejlaflevering,,31,William ANDERSSON MOBERG,,,,,
9,748699,4.32,3-2,MTH,Mål,1:e,10,Mads Svane KNUDSEN,Assist,21,Marcus MIDTGAARD,1,Sebastian FRANDSEN
10,748699,5.12,,FHK,Regelfejl,,97,Reinier TABOADA,,,,,
11,748699,5.23,,MTH,Fejlaflevering,,10,Mads Svane KNUDSEN,,,,,
12,748699,5.32,3-3,FHK,Mål,HF,7,Kasper YOUNG,Assist,93,Anders MARTINUSEN,30,Svend RUGHAVE
13,748699,6.05,4-3,MTH,Mål,HF,11,Lasse PEDERSEN,Assist,28,Rasmus MADSEN,1,Sebastian FRANDSEN
14,748699,7.20,,FHK,Skud forbi,PL,93,Anders MARTINUSEN,,,,30,Svend RUGHAVE
15,748699,7.35,,MTH,Regelfejl,,15,Henrik Toft HANSEN,,,,,
16,748699,8.28,4-4,FHK,Mål,HF,7,Kasper YOUNG,Assist,31,William ANDERSSON MOBERG30,30,Svend RUGHAVE
17,748699,9.01,,MTH,Tilkendt straffe,,28,Rasmus MADSEN,Forårs. str.,97,Reinier TABOADA,,
18,748699,9.01,,FHK,Udvisning,,97,Reinier TABOADA,,,,,
19,748699,9.03,,MTH,Straffekast på stolpe,,11,Lasse PEDERSEN,,,,16,Thorsten FRIES
20,748699,9.38,4-5,FHK,Mål,Gbr,15,Mads KJELDGAARD,Assist,93,Anders MARTINUSEN,30,Svend RUGHAVE
21,748699,10.02,5-5,MTH,Mål,Gbr,21,Marcus MIDTGAARD,Assist,10,Mads Svane KNUDSEN,1,Sebastian FRANDSEN
22,748699,10.36,5-6,FHK,Mål,HF,7,Kasper YOUNG,Assist,93,Anders MARTINUSEN,30,Svend RUGHAVE
23,748699,11.00,6-6,MTH,Mål,VF,25,Magnus NORLYK,Assist,10,Mads Svane KNUDSEN,1,Sebastian FRANDSEN
24,748699,11.39,,FHK,Fejlaflevering,,15,Mads KJELDGAARD,,,,,
25,748699,12.58,,MTH,Regelfejl,,21,Marcus MIDTGAARD,,,,,
26,748699,13.27,,FHK,Skud forbi,PL,93,Anders MARTINUSEN,,,,30,Svend RUGHAVE
27,748699,13.37,7-6,MTH,Mål,1:e,4,Kasper LINDGREN,Assist,21,Marcus MIDTGAARD,1,Sebastian FRANDSEN
28,748699,14.22,,FHK,Fejlaflevering,,93,Anders MARTINUSEN,Bold erobret,21,Marcus MIDTGAARD,,
29,748699,14.27,8-6,MTH,Mål,1:e,21,Marcus MIDTGAARD,,,,16,Thorsten FRIES
30,748699,15.07,,FHK,Time out,,,,,,,,
31,748699,15.22,8-7,FHK,Mål,VF,9,Martin BISGAARD,Assist,15,Mads KJELDGAARD,30,Svend RUGHAVE
32,748699,15.53,,MTH,Skud reddet,Gbr,28,Rasmus MADSEN,,,,16,Thorsten FRIES
33,748699,16.02,8-8,FHK,Mål,2:e,31,William ANDERSSON MOBERG,,,,30,Svend RUGHAVE
34,748699,16.09,9-8,MTH,Mål,1:e,25,Magnus NORLYK,Assist,7,Nichlas HALD,16,Thorsten FRIES
35,748699,16.34,9-9,FHK,Mål,HF,7,Kasper YOUNG,Assist,31,William ANDERSSON MOBERG30,30,Svend RUGHAVE
36,748699,17.14,,MTH,Tilkendt straffe,,25,Magnus NORLYK,Forårs. str.,41,Evgeni PEVNOV,,
37,748699,17.17,10-9,MTH,Mål på straffe,,10,Mads Svane KNUDSEN,,,,16,Thorsten FRIES
38,748699,17.50,10-10,FHK,Mål,Gbr,15,Mads KJELDGAARD,,,,30,Svend RUGHAVE
39,748699,18.03,11-10,MTH,Mål,2:e,25,Magnus NORLYK,Assist,10,Mads Svane KNUDSEN,16,Thorsten FRIES
