id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748701,0.00,,,Start 1:e halvleg,,,,,,,,
2,748701,0.26,,KIF,Skud reddet,PL,5,Oliver NORLYK,,,,1,Niklas LANDIN
3,748701,0.58,,AAH,Skud reddet,PL,3,Lukas NILSSON,,,,12,Josip CAVAR
4,748701,2.00,,KIF,Skud reddet,VB,11,Magnus KRONBORG,,,,1,Niklas LANDIN
5,748701,2.16,,AAH,Skud reddet,Gbr,15,Jack THURIN,,,,12,Josip CAVAR
6,748701,3.03,1-0,KIF,Mål,PL,11,Magnus KRONBORG,,,,1,Niklas LANDIN
7,748701,3.20,,KIF,Advarsel,,13,Mathias HEDEGAARD,,,,,
8,748701,3.52,1-1,AAH,Mål,Gbr,18,Aleks VLAH,Assist,3,Lukas NILSSON,12,Josip CAVAR
9,748701,4.19,,KIF,Skud reddet,PL,28,Lauritz LEGÉR,,,,1,Niklas LANDIN
10,748701,4.26,1-2,AAH,Mål,2:e,21,Henrik MØLLGAARD,,,,12,Josip CAVAR
11,748701,4.57,,KIF,Tilkendt straffe,,13,Mathias HEDEGAARD,Forårs. str.,15,Jack THURIN,,
12,748701,4.57,,AAH,Udvisning,,15,Jack THURIN,,,,,
13,748701,5.02,,KIF,Straffekast reddet,,21,Kristian STOKLUND,Retur,21,Kristian STOKLUND,1,Niklas LANDIN
14,748701,5.06,2-2,KIF,Mål,ST,21,Kristian STOKLUND,,,,1,Niklas LANDIN
15,748701,6.12,2-3,AAH,Mål,PL,18,Aleks VLAH,,,,12,Josip CAVAR
16,748701,6.54,,KIF,Skud på stolpe,HF,29,Viktor NEVERS,,,,1,Niklas LANDIN
17,748701,7.26,,KIF,Udvisning,,13,Mathias HEDEGAARD,,,,,
18,748701,7.40,,AAH,Skud reddet,VB,3,Lukas NILSSON,,,,12,Josip CAVAR
19,748701,8.31,,KIF,Skud reddet,PL,5,Oliver NORLYK,Retur,22,Frederik BAY,1,Niklas LANDIN
20,748701,9.13,,KIF,Skud reddet,VF,22,Frederik BAY,,,,1,Niklas LANDIN
21,748701,9.25,2-4,AAH,Mål,Gbr,7,Thomas ARNOLDSEN,Assist,3,Lukas NILSSON,12,Josip CAVAR
22,748701,10.09,3-4,KIF,Mål,VF,22,Frederik BAY,Assist,28,Lauritz LEGÉR,1,Niklas LANDIN
23,748701,10.49,,AAH,Tilkendt straffe,,18,Aleks VLAH,Forårs. str.,2,Mads KRAGH THOMSEN,,
24,748701,11.03,3-5,AAH,Mål på straffe,,15,Jack THURIN,,,,12,Josip CAVAR
25,748701,11.44,,KIF,Skud reddet,VF,22,Frederik BAY,,,,1,Niklas LANDIN
26,748701,12.15,,AAH,Tilkendt straffe,,3,Lukas NILSSON,Forårs. str.,29,Viktor NEVERS,,
27,748701,12.21,3-6,AAH,Mål på straffe,,15,Jack THURIN,,,,20,Anton HELLBERG
28,748701,13.20,4-6,KIF,Mål,Gbr,21,Kristian STOKLUND,,,,1,Niklas LANDIN
29,748701,14.13,4-7,AAH,Mål,ST,11,Simon HALD,Assist,18,Aleks VLAH,12,Josip CAVAR
30,748701,14.42,5-7,KIF,Mål,HB,5,Oliver NORLYK,,,,1,Niklas LANDIN
31,748701,15.47,,AAH,Skud reddet,HB,15,Jack THURIN,,,,12,Josip CAVAR
32,748701,16.21,,KIF,Skud på stolpe,HF,29,Viktor NEVERS,,,,1,Niklas LANDIN
33,748701,16.48,5-8,AAH,Mål,Gbr,18,Aleks VLAH,,,,12,Josip CAVAR
34,748701,17.22,,KIF,Skud forbi,PL,5,Oliver NORLYK,,,,1,Niklas LANDIN
35,748701,18.00,,AAH,Fejlaflevering,,18,Aleks VLAH,Bold erobret,22,Frederik BAY,,
36,748701,18.35,,KIF,Tabt bold,,17,Tobias ELLEBÆK,,,,,
37,748701,18.38,5-9,AAH,Mål,PL,1,Niklas LANDIN,,,,0,
38,748701,19.29,6-9,KIF,Mål,Gbr,17,Tobias ELLEBÆK,,,,1,Niklas LANDIN
39,748701,20.10,6-10,AAH,Mål,HF,19,Kristian BJØRNSEN,Assist,7,Thomas ARNOLDSEN,12,Josip CAVAR
40,748701,20.37,7-10,KIF,Mål,HF,29,Viktor NEVERS,Assist,24,Diogo SILVA,1,Niklas LANDIN
41,748701,21.54,,KIF,Advarsel,,2,Mads KRAGH THOMSEN,,,,,
42,748701,22.05,7-11,AAH,Mål,HB,15,Jack THURIN,,,,12,Josip CAVAR
43,748701,23.10,,AAH,Advarsel,,20,Felix MÖLLER,,,,,
44,748701,23.34,,KIF,Skud reddet,VB,17,Tobias ELLEBÆK,,,,1,Niklas LANDIN
45,748701,24.13,7-12,AAH,Mål,VF,23,Buster JUUL,Assist,20,Felix MÖLLER,12,Josip CAVAR
46,748701,25.14,,KIF,Passivt spil,,0,,,,,,
47,748701,25.47,,AAH,Fejlaflevering,,9,Miguel MARTINS,,,,,
48,748701,25.56,,KIF,Fejlaflevering,,24,Diogo SILVA,Bold erobret,19,Kristian BJØRNSEN,,
49,748701,26.41,,AAH,Skud på stolpe,HB,25,Marinus MUNK,,,,12,Josip CAVAR
50,748701,26.50,8-12,KIF,Mål,1:e,9,Victor LYNGSØ,Assist,26,Hans Lindeborg HOLST,1,Niklas LANDIN
51,748701,27.04,8-13,AAH,Mål,Gbr,7,Thomas ARNOLDSEN,,,,12,Josip CAVAR
52,748701,27.47,,KIF,Tabt bold,,28,Lauritz LEGÉR,,,,,
53,748701,28.01,8-14,AAH,Mål,PL,21,Henrik MØLLGAARD,,,,0,
54,748701,28.29,,KIF,Skud reddet,PL,24,Diogo SILVA,,,,1,Niklas LANDIN
55,748701,28.55,,AAH,Time out,,,,,,,,
56,748701,29.19,,AAH,Regelfejl,,25,Marinus MUNK,,,,,
57,748701,29.50,,KIF,Skud reddet,VF,26,Hans Lindeborg HOLST,,,,1,Niklas LANDIN
58,748701,30.00,,AAH,Skud forbi,HB,7,Thomas ARNOLDSEN,,,,12,Josip CAVAR
59,748701,30.00,8-14,,Halvleg,,,,,,,,
60,748701,30.00,,,Start 2:e halvleg,,,,,,,,
61,748701,31.00,,AAH,Tabt bold,,6,Sebastian BARTHOLD,,,,,
62,748701,31.10,,KIF,Fejlaflevering,,28,Lauritz LEGÉR,,,,,
63,748701,31.45,,AAH,Skud blokeret,PL,7,Thomas ARNOLDSEN,Blok af (ret),2,Mads KRAGH THOMSEN,,
64,748701,31.51,8-15,AAH,Mål,PL,7,Thomas ARNOLDSEN,,,,20,Anton HELLBERG
65,748701,32.24,,KIF,Skud reddet,VF,22,Frederik BAY,,,,1,Niklas LANDIN
66,748701,33.05,8-16,AAH,Mål,Gbr,7,Thomas ARNOLDSEN,,,,20,Anton HELLBERG
67,748701,33.09,,KIF,Udvisning,,13,Mathias HEDEGAARD,,,,,
68,748701,33.56,9-16,KIF,Mål,HB,5,Oliver NORLYK,,,,1,Niklas LANDIN
69,748701,34.31,,AAH,Fejlaflevering,,7,Thomas ARNOLDSEN,Bold erobret,29,Viktor NEVERS,,
70,748701,35.02,,KIF,Fejlaflevering,,5,Oliver NORLYK,Bold erobret,6,Sebastian BARTHOLD,,
71,748701,35.13,9-17,AAH,Mål,Gbr,15,Jack THURIN,Assist,7,Thomas ARNOLDSEN,20,Anton HELLBERG
72,748701,36.12,,KIF,Skud på stolpe,VB,10,Mathias MAILAND,,,,1,Niklas LANDIN
73,748701,36.42,,AAH,Skud reddet,PL,15,Jack THURIN,,,,20,Anton HELLBERG
74,748701,36.49,,KIF,Fejlaflevering,,20,Anton HELLBERG,Bold erobret,1,Niklas LANDIN,,
75,748701,36.52,9-18,AAH,Mål,Gbr,7,Thomas ARNOLDSEN,,,,20,Anton HELLBERG
76,748701,37.39,,KIF,Tilkendt straffe,,13,Mathias HEDEGAARD,Forårs. str.,15,Jack THURIN,,
77,748701,37.49,,KIF,Straffekast reddet,,21,Kristian STOKLUND,,,,1,Niklas LANDIN
78,748701,38.25,9-19,AAH,Mål,VB,18,Aleks VLAH,,,,20,Anton HELLBERG
79,748701,38.58,,KIF,Skud reddet,HB,5,Oliver NORLYK,,,,1,Niklas LANDIN
80,748701,39.30,9-20,AAH,Mål,ST,11,Simon HALD,Assist,18,Aleks VLAH,20,Anton HELLBERG
81,748701,39.37,,KIF,Time out,,,,,,,,
82,748701,39.54,,KIF,Fejlaflevering,,21,Kristian STOKLUND,Bold erobret,6,Sebastian BARTHOLD,,
83,748701,39.59,9-21,AAH,Mål,1:e,7,Thomas ARNOLDSEN,Assist,6,Sebastian BARTHOLD,0,
84,748701,40.25,,KIF,Tabt bold,,9,Victor LYNGSØ,,,,,
85,748701,40.31,9-22,AAH,Mål,1:e,6,Sebastian BARTHOLD,Assist,3,Lukas NILSSON,12,Josip CAVAR
86,748701,40.59,,KIF,Skud reddet,ST,9,Victor LYNGSØ,,,,1,Niklas LANDIN
87,748701,41.10,,AAH,Skud på stolpe,HF,4,Patrick WIESMACH,,,,12,Josip CAVAR
88,748701,41.36,,KIF,Skud reddet,VB,17,Tobias ELLEBÆK,Retur,22,Frederik BAY,1,Niklas LANDIN
89,748701,41.58,,KIF,Skud reddet,ST,9,Victor LYNGSØ,,,,1,Niklas LANDIN
90,748701,42.04,9-23,AAH,Mål,ST,20,Felix MÖLLER,Assist,7,Thomas ARNOLDSEN,12,Josip CAVAR
91,748701,42.55,,KIF,Skud reddet,HB,24,Diogo SILVA,,,,1,Niklas LANDIN
92,748701,43.33,9-24,AAH,Mål,ST,4,Patrick WIESMACH,Assist,3,Lukas NILSSON,12,Josip CAVAR
93,748701,44.16,,KIF,Time out,,,,,,,,
94,748701,44.32,,KIF,Fejlaflevering,,24,Diogo SILVA,,,,,
95,748701,45.10,9-25,AAH,Mål,Gbr,18,Aleks VLAH,,,,12,Josip CAVAR
96,748701,45.55,,KIF,Skud reddet,ST,2,Mads KRAGH THOMSEN,,,,12,Fabian NORSTEN
97,748701,46.28,9-26,AAH,Mål,PL,3,Lukas NILSSON,,,,12,Josip CAVAR
98,748701,46.53,,KIF,Regelfejl,,17,Tobias ELLEBÆK,,,,,
99,748701,46.56,9-27,AAH,Mål,1:e,6,Sebastian BARTHOLD,Assist,3,Lukas NILSSON,12,Josip CAVAR
100,748701,47.19,,KIF,Tabt bold,,21,Kristian STOKLUND,,,,,
101,748701,47.21,9-28,AAH,Mål,1:e,7,Thomas ARNOLDSEN,,,,12,Josip CAVAR
102,748701,47.34,10-28,KIF,Mål,ST,2,Mads KRAGH THOMSEN,Assist,17,Tobias ELLEBÆK,12,Fabian NORSTEN
103,748701,48.18,10-29,AAH,Mål,HF,4,Patrick WIESMACH,Assist,15,Jack THURIN,12,Josip CAVAR
104,748701,49.23,,,,,,,,,,,
105,748701,49.26,11-29,KIF,Tilkendt straffe,,2,Mads KRAGH THOMSEN,Forårs. str.,20,Felix MÖLLER,,
106,748701,49.26,11-29,KIF,Mål på straffe,,11,Magnus KRONBORG,,,,12,Fabian NORSTEN
