id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748703,0.00,,,Start 1:e halvleg,,,,,,,,
2,748703,0.35,,NSH,Fejlaflevering,,13,Gustav BRUUN,,,,,
3,748703,0.41,,TTH,Fejlaflevering,,28,Kevin GULLIKSEN,,,,,
4,748703,0.44,1-0,NSH,Mål,1:e,14,Rasmus MADSBØLL,,,,16,Sander HEIEREN
5,748703,1.20,,TTH,Skud reddet,PL,18,Edwin ASPENBÄCK,,,,29,Jimmi ANDERSEN
6,748703,1.32,2-0,NSH,Mål,2:e,5,Julius MØRCH,Assist,7,Léo MARTINEZ,16,Sander HEIEREN
7,748703,1.46,2-1,TTH,Mål,Gbr,7,William AAR,,,,29,Jimmi ANDERSEN
8,748703,2.27,,TTH,Advarsel,,21,Mathias SMED,,,,,
9,748703,2.44,,NSH,Tilkendt straffe,,7,Léo MARTINEZ,Forårs. str.,18,Edwin ASPENBÄCK,16,Sander HEIEREN
10,748703,3.06,,NSH,Straffekast reddet,,3,Carl-Emil HAUNSTRUP,,,,16,Sander HEIEREN
11,748703,3.42,,NSH,Advarsel,,13,Gustav BRUUN,,,,,
12,748703,3.58,,TTH,Skud reddet,PL,7,William AAR,,,,29,Jimmi ANDERSEN
13,748703,4.11,,NSH,Tilkendt straffe,,7,Léo MARTINEZ,Forårs. str.,28,Kevin GULLIKSEN,16,Sander HEIEREN
14,748703,4.31,,NSH,Straffekast reddet,,42,Matias CAMPBELL,,,,16,Sander HEIEREN
15,748703,4.55,,TTH,Skud reddet,PL,18,Edwin ASPENBÄCK,,,,29,Jimmi ANDERSEN
16,748703,5.03,3-1,NSH,Mål,1:e,3,Carl-Emil HAUNSTRUP,Assist,13,Gustav BRUUN,16,Sander HEIEREN
17,748703,5.16,3-2,TTH,Mål,Gbr,11,Thomas DAMGAARD,,,,29,Jimmi ANDERSEN
18,748703,5.23,4-2,NSH,Mål,Gbr,7,Léo MARTINEZ,,,,16,Sander HEIEREN
19,748703,6.06,,TTH,Tilkendt straffe,,18,Edwin ASPENBÄCK,Forårs. str.,42,Matias CAMPBELL,16,Sander HEIEREN
20,748703,6.27,4-3,TTH,Mål på straffe,,10,Magnus BRAMMING,,,,29,Jimmi ANDERSEN
21,748703,7.38,,NSH,Fejlaflevering,,57,Nikolaj LARSSON,,,,,
22,748703,8.10,4-4,TTH,Mål,HF,28,Kevin GULLIKSEN,Assist,18,Edwin ASPENBÄCK,29,Jimmi ANDERSEN
23,748703,9.22,,NSH,Skud blokeret,PL,7,Léo MARTINEZ,Blokeret af,23,Miha ZVIZEJ,,
24,748703,10.10,,TTH,Skud reddet,Gbr,7,William AAR,Retur,28,Kevin GULLIKSEN,29,Jimmi ANDERSEN
25,748703,10.17,,TTH,Skud reddet,Gbr,28,Kevin GULLIKSEN,,,,29,Jimmi ANDERSEN
26,748703,10.25,,NSH,Skud reddet,2:e,13,Gustav BRUUN,,,,16,Sander HEIEREN
27,748703,10.31,,TTH,Regelfejl,,18,Edwin ASPENBÄCK,,,,,
28,748703,10.37,5-4,NSH,Mål,1:e,13,Gustav BRUUN,Assist,,,29,Jimmi ANDERSEN
29,748703,11.18,5-5,TTH,Mål,VB,7,William AAR,,,,29,Jimmi ANDERSEN
30,748703,12.09,6-5,NSH,Mål,ST,5,Julius MØRCH,Assist,13,Gustav BRUUN,16,Sander HEIEREN
31,748703,12.48,,TTH,Regelfejl,,18,Edwin ASPENBÄCK,,,,,
32,748703,12.52,,NSH,Skud reddet,1:e,14,Rasmus MADSBØLL,,,,16,Sander HEIEREN
33,748703,13.24,6-6,TTH,Mål,PL,7,William AAR,,,,29,Jimmi ANDERSEN
34,748703,13.28,,NSH,"Rødt kort, direkte",,5,Julius MØRCH,,,,,
35,748703,14.07,7-6,NSH,Mål,VF,14,Rasmus MADSBØLL,Assist,13,Gustav BRUUN,16,Sander HEIEREN
36,748703,14.37,,TTH,Skud reddet,VB,7,William AAR,,,,29,Jimmi ANDERSEN
37,748703,15.13,,TTH,Udvisning,,7,William AAR,,,,,
38,748703,15.37,8-6,NSH,Mål,HF,3,Carl-Emil HAUNSTRUP,Assist,57,Nikolaj LARSSON,16,Sander HEIEREN
39,748703,16.14,,TTH,Skud reddet,Gbr,18,Edwin ASPENBÄCK,,,,29,Jimmi ANDERSEN
40,748703,16.42,,NSH,Fejlaflevering,,42,Matias CAMPBELL,,,,,
41,748703,16.47,8-7,TTH,Mål,1:e,11,Thomas DAMGAARD,Assist,18,Edwin ASPENBÄCK,29,Jimmi ANDERSEN
42,748703,17.04,,NSH,Skud reddet,Gbr,57,Nikolaj LARSSON,,,,16,Sander HEIEREN
43,748703,17.44,8-8,TTH,Mål,VB,11,Thomas DAMGAARD,,,,29,Jimmi ANDERSEN
44,748703,18.40,9-8,NSH,Mål,PL,17,Assar KAMMENHED,,,,16,Sander HEIEREN
45,748703,18.56,,TTH,Skud reddet,HF,13,Sven EHRIG,,,,29,Jimmi ANDERSEN
46,748703,19.06,,NSH,Skud reddet,2:e,14,Rasmus MADSBØLL,,,,16,Sander HEIEREN
47,748703,19.38,,TTH,Tabt bold,,10,Magnus BRAMMING,,,,,
48,748703,19.45,,NSH,Skud reddet,2:e,3,Carl-Emil HAUNSTRUP,,,,16,Sander HEIEREN
49,748703,20.55,,TTH,Skud reddet,PL,11,Thomas DAMGAARD,,,,29,Jimmi ANDERSEN
50,748703,21.01,10-8,NSH,Mål,1:e,11,Jonas RAUNDAHL,Assist,3,Carl-Emil HAUNSTRUP,16,Sander HEIEREN
51,748703,21.13,,TTH,Skud forbi,Gbr,11,Thomas DAMGAARD,,,,29,Jimmi ANDERSEN
52,748703,21.48,11-8,NSH,Mål,PL,19,Thomas BOILESEN,,,,16,Sander HEIEREN
53,748703,21.55,,TTH,Time out,,,,,,,,
54,748703,22.16,11-9,TTH,Mål,PL,11,Thomas DAMGAARD,,,,29,Jimmi ANDERSEN
55,748703,23.06,,NSH,Fejlaflevering,,17,Assar KAMMENHED,,,,,
56,748703,23.34,,TTH,Skud reddet,PL,7,William AAR,,,,29,Jimmi ANDERSEN
57,748703,24.13,12-9,NSH,Mål,ST,11,Jonas RAUNDAHL,Assist,7,Léo MARTINEZ,16,Sander HEIEREN
58,748703,24.21,12-10,TTH,Mål,2:e,7,William AAR,,,,29,Jimmi ANDERSEN
59,748703,24.33,13-10,NSH,Mål,ST,7,Léo MARTINEZ,Assist,17,Assar KAMMENHED,16,Sander HEIEREN
