id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748704,0.00,,,Start 1:e halvleg,,,,,,,,
2,748704,0.58,0-1,SAH,Mål,PL,3,Kristjan ÖRN KRISTJANSSON,,,,1,Niklas KRAFT
3,748704,1.04,1-1,REH,Mål,2:e,49,Karl WALLINIUS,,,,1,Kristoffer LAURSEN
4,748704,1.46,1-2,SAH,Mål,PL,3,Kristjan ÖRN KRISTJANSSON,,,,1,Niklas KRAFT
5,748704,2.35,2-2,REH,Mål,PL,49,Karl WALLINIUS,,,,1,Kristoffer LAURSEN
6,748704,2.49,2-3,SAH,Mål,VB,23,Morten Hempel JENSEN,,,,1,Niklas KRAFT
7,748704,3.40,,REH,Skud reddet,Gbr,14,Nicolaj SPANGGAARD,,,,1,Kristoffer LAURSEN
8,748704,4.32,,SAH,Tabt bold,,3,Kristjan ÖRN KRISTJANSSON,Bold erobret,31,Morten JØRGENSEN,,
9,748704,4.40,3-3,REH,Mål,2:e,31,Morten JØRGENSEN,Assist,6,Jonathan WÜRTZ,1,Kristoffer LAURSEN
10,748704,5.14,,SAH,Skud på stolpe,Gbr,3,Kristjan ÖRN KRISTJANSSON,,,,1,Niklas KRAFT
11,748704,5.26,,SAH,Advarsel,,3,Kristjan ÖRN KRISTJANSSON,,,,,
12,748704,6.08,,REH,Regelfejl,,81,Alfred JÖNSSON,,,,,
13,748704,6.49,3-4,SAH,Mål,HB,3,Kristjan ÖRN KRISTJANSSON,,,,1,Niklas KRAFT
14,748704,6.58,,REH,Fejlaflevering,,49,Karl WALLINIUS,Bold erobret,23,Morten Hempel JENSEN,,
15,748704,7.06,,SAH,Skud reddet,1:e,19,Thor CHRISTENSEN,,,,1,Niklas KRAFT
16,748704,8.11,,SAH,Advarsel,,19,Thor CHRISTENSEN,,,,,
17,748704,8.49,4-4,REH,Mål,HB,14,Nicolaj SPANGGAARD,,,,1,Kristoffer LAURSEN
18,748704,9.32,,SAH,Skud reddet,PL,32,Fredrik OLSSON,,,,1,Niklas KRAFT
19,748704,9.41,5-4,REH,Mål,ST,17,Andreas SØGAARD,Assist,49,Karl WALLINIUS,1,Kristoffer LAURSEN
20,748704,10.14,,SAH,Skud reddet,Gbr,3,Kristjan ÖRN KRISTJANSSON,,,,1,Niklas KRAFT
21,748704,10.21,6-4,REH,Mål,1:e,31,Morten JØRGENSEN,Assist,6,Jonathan WÜRTZ,1,Kristoffer LAURSEN
22,748704,11.17,,SAH,Skud reddet,PL,3,Kristjan ÖRN KRISTJANSSON,,,,1,Niklas KRAFT
23,748704,11.48,7-4,REH,Mål,Gbr,81,Alfred JÖNSSON,,,,1,Kristoffer LAURSEN
