id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748705,0.00,,,Start 1:e halvleg,,,,,,,,
2,748705,0.47,,TMS,Tilkendt straffe,,19,Benjamin HALLGREN,Forårs. str.,71,Alexander BLONZ,,
3,748705,1.19,1-0,TMS,Mål på straffe,,81,Tobias NIELSEN,,,,64,Salah BOUTAF
4,748705,2.03,,GOG,Skud blokeret,PL,15,Tobias GRØNDAHL,Blok af (ret),2,Joachim MØLLER,,
5,748705,2.19,,GOG,Skud på stolpe,Gbr,29,Hjalte LYKKE,,,,16,Andreas HAAGEN
6,748705,2.26,,TMS,Skud forbi,1:e,81,Tobias NIELSEN,,,,64,Salah BOUTAF
7,748705,3.04,,GOG,Fejlaflevering,,3,Nicolai PEDERSEN,Bold erobret,0,,,
8,748705,3.11,,TMS,Skud reddet,1:e,2,Joachim MØLLER,,,,64,Salah BOUTAF
9,748705,3.21,1-1,GOG,Mål,ST,9,Henrik JAKOBSEN,Assist,29,Hjalte LYKKE,16,Andreas HAAGEN
10,748705,3.53,2-1,TMS,Mål,HB,19,Benjamin HALLGREN,,,,64,Salah BOUTAF
11,748705,4.03,2-2,GOG,Mål,Gbr,15,Tobias GRØNDAHL,,,,16,Andreas HAAGEN
12,748705,4.27,,TMS,Fejlaflevering,,19,Benjamin HALLGREN,Bold erobret,3,Nicolai PEDERSEN,,
13,748705,4.36,2-3,GOG,Mål,1:e,71,Alexander BLONZ,Assist,,,64,Salah BOUTAF
14,748705,5.14,,GOG,Advarsel,,7,Lasse VILHELMSEN,,,,,
15,748705,5.30,,GOG,Udvisning,,21,Kasper KILDELUND,,,,,
16,748705,5.30,,GOG,Advarsel,,3,Nicolai PEDERSEN,,,,,
17,748705,5.41,,TMS,Tilkendt straffe,,7,Christoffer DREYER,Forårs. str.,66,Anton LINDSKOG,,
18,748705,5.41,,GOG,Udvisning,,66,Anton LINDSKOG,,,,,
19,748705,5.43,3-3,TMS,Mål på straffe,,81,Tobias NIELSEN,,,,12,Peter JOHANNESSON
20,748705,6.38,3-4,GOG,Mål,Gbr,15,Tobias GRØNDAHL,Assist,3,Nicolai PEDERSEN,16,Andreas HAAGEN
21,748705,6.52,4-4,TMS,Mål,ST,24,Simon OOMS,Assist,19,Benjamin HALLGREN,64,Salah BOUTAF
22,748705,7.52,,GOG,Skud reddet,Gbr,15,Tobias GRØNDAHL,,,,16,Andreas HAAGEN
23,748705,8.21,,TMS,Skud reddet,ST,2,Joachim MØLLER,,,,64,Salah BOUTAF
24,748705,8.32,4-5,GOG,Mål,2:e,9,Henrik JAKOBSEN,,,,16,Andreas HAAGEN
25,748705,8.58,5-5,TMS,Mål,PL,7,Christoffer DREYER,,,,64,Salah BOUTAF
26,748705,9.40,5-6,GOG,Mål,PL,3,Nicolai PEDERSEN,,,,16,Andreas HAAGEN
27,748705,9.54,,TMS,Skud reddet,HB,44,Tobias TOMBAK,Retur,,,16,Andreas HAAGEN
28,748705,10.26,,TMS,Skud på stolpe,HB,19,Benjamin HALLGREN,Retur,2,Joachim MØLLER,64,Salah BOUTAF
29,748705,10.56,6-6,TMS,Mål,VB,7,Christoffer DREYER,,,,64,Salah BOUTAF
30,748705,11.45,,GOG,Fejlaflevering,,3,Nicolai PEDERSEN,Bold erobret,2,Joachim MØLLER,,
31,748705,11.54,7-6,TMS,Mål,2:e,24,Simon OOMS,Assist,5,Mark NIKOLAJSEN,64,Salah BOUTAF
32,748705,12.32,,GOG,Regelfejl,,29,Hjalte LYKKE,,,,,
33,748705,13.33,,TMS,Tilkendt straffe,,7,Christoffer DREYER,Forårs. str.,66,Anton LINDSKOG,,
34,748705,13.39,8-6,TMS,Mål på straffe,,81,Tobias NIELSEN,,,,64,Salah BOUTAF
35,748705,14.16,,GOG,Skud reddet,Gbr,29,Hjalte LYKKE,,,,16,Andreas HAAGEN
36,748705,14.24,9-6,TMS,Mål,1:e,2,Joachim MØLLER,Assist,24,Simon OOMS,64,Salah BOUTAF
37,748705,14.38,9-7,GOG,Mål,Gbr,15,Tobias GRØNDAHL,Assist,29,Hjalte LYKKE,16,Andreas HAAGEN
38,748705,15.15,,TMS,Skud på stolpe,PL,7,Christoffer DREYER,,,,64,Salah BOUTAF
39,748705,15.26,,GOG,Skud reddet,PL,7,Lasse VILHELMSEN,Retur,0,,16,Andreas HAAGEN
40,748705,15.53,9-8,GOG,Mål,PL,15,Tobias GRØNDAHL,,,,16,Andreas HAAGEN
41,748705,16.04,,TMS,Tilkendt straffe,,2,Joachim MØLLER,Forårs. str.,3,Nicolai PEDERSEN,,
42,748705,16.25,10-8,TMS,Mål på straffe,,81,Tobias NIELSEN,,,,64,Salah BOUTAF
43,748705,16.58,,TMS,Advarsel,,24,Simon OOMS,,,,,
44,748705,17.20,10-9,GOG,Mål,Gbr,8,Frederik TILSTED,,,,16,Andreas HAAGEN
45,748705,17.56,,TMS,Skud reddet,PL,19,Benjamin HALLGREN,,,,64,Salah BOUTAF
