id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748707,0.00,,,Start 1:e halvleg,,,,,,,,
2,748707,0.34,,GIF,Skud reddet,PL,21,Kristoffer VESTERGAARD,,,,30,Svend RUGHAVE
3,748707,0.38,1-0,MTH,Mål,1:e,33,Kasper DIDRIKSEN,Assist,28,Rasmus MADSEN,16,Christian WETCHE
4,748707,1.14,1-1,GIF,Mål,Gbr,23,Bjarke NYBO,,,,30,Svend RUGHAVE
5,748707,1.49,,GIF,Udvisning,,17,Kristian Krag ØRSTED,,,,,
6,748707,2.07,2-1,MTH,Mål,ST,4,Kasper LINDGREN,Assist,10,Mads Svane KNUDSEN,16,Christian WETCHE
7,748707,2.45,,MTH,Advarsel,,33,Kasper DIDRIKSEN,,,,,
8,748707,3.16,2-2,GIF,Mål,PL,23,Bjarke NYBO,,,,30,Svend RUGHAVE
9,748707,3.35,3-2,MTH,Mål,2:e,21,Marcus MIDTGAARD,,,,16,Christian WETCHE
10,748707,4.25,3-3,GIF,Mål,ST,22,Hjalmar ANDERSEN,Assist,4,Frederik NIELSEN,30,Svend RUGHAVE
11,748707,4.31,4-3,MTH,Mål,1:e,11,Lasse PEDERSEN,Assist,21,Marcus MIDTGAARD,16,Christian WETCHE
12,748707,4.44,,GIF,Udvisning,,8,Rolf RAVN,,,,,
13,748707,5.15,,GIF,Skud reddet,VB,23,Bjarke NYBO,,,,30,Svend RUGHAVE
14,748707,5.36,,MTH,Skud reddet,2:e,10,Mads Svane KNUDSEN,,,,16,Christian WETCHE
15,748707,6.07,,MTH,Udvisning,,4,Kasper LINDGREN,,,,,
16,748707,6.31,,GIF,Skud reddet,VF,20,Frederik IVERSEN,,,,30,Svend RUGHAVE
17,748707,7.29,,MTH,Skud på stolpe,PL,10,Mads Svane KNUDSEN,,,,16,Christian WETCHE
18,748707,7.59,,GIF,Skud reddet,PL,21,Kristoffer VESTERGAARD,,,,30,Svend RUGHAVE
19,748707,8.56,5-3,MTH,Mål,Gbr,21,Marcus MIDTGAARD,Assist,10,Mads Svane KNUDSEN,16,Christian WETCHE
20,748707,9.44,5-4,GIF,Mål,HF,3,Thomas THEILGAARD,Assist,23,Bjarke NYBO,30,Svend RUGHAVE
21,748707,9.55,6-4,MTH,Mål,2:e,10,Mads Svane KNUDSEN,,,,16,Christian WETCHE
22,748707,10.29,,GIF,Skud reddet,Gbr,4,Frederik NIELSEN,,,,30,Svend RUGHAVE
23,748707,10.42,7-4,MTH,Mål,Gbr,10,Mads Svane KNUDSEN,Assist,21,Marcus MIDTGAARD,16,Christian WETCHE
24,748707,11.13,,GIF,Fejlaflevering,,4,Frederik NIELSEN,,,,,
25,748707,11.26,,MTH,Tilkendt straffe,,15,Henrik Toft HANSEN,Forårs. str.,8,Rolf RAVN,16,Christian WETCHE
26,748707,11.44,8-4,MTH,Mål på straffe,,11,Lasse PEDERSEN,,,,16,Christian WETCHE
27,748707,11.49,,GIF,Time out,,,,,,,,
28,748707,12.18,,GIF,Fejlaflevering,,14,Nicolai SKYTTE,Bold erobret,25,Magnus NORLYK,,
29,748707,12.23,,MTH,Skud reddet,1:e,25,Magnus NORLYK,,,,16,Christian WETCHE
30,748707,12.34,8-5,GIF,Mål,2:e,20,Frederik IVERSEN,Assist,4,Frederik NIELSEN,30,Svend RUGHAVE
31,748707,13.05,,MTH,Tilkendt straffe,,21,Marcus MIDTGAARD,Forårs. str.,8,Rolf RAVN,16,Christian WETCHE
32,748707,13.05,,GIF,Udvisning,,8,Rolf RAVN,,,,,
33,748707,13.13,,MTH,Straffekast forbi,,11,Lasse PEDERSEN,,,,16,Christian WETCHE
