id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748710,0.00,,,Start 1:e halvleg,,,,,,,,
2,748710,0.37,,TMS,Fejlaflevering,,7,Christoffer DREYER,,,,,
3,748710,1.15,1-0,SAH,Mål,VB,23,Morten Hempel JENSEN,,,,16,Andreas HAAGEN
4,748710,1.25,,TMS,Skud blokeret,2:e,7,Christoffer DREYER,Blokeret af,6,Kristian BONEFELD,,
5,748710,1.55,,SAH,Skud reddet,VB,23,Morten Hempel JENSEN,,,,16,Andreas HAAGEN
6,748710,2.14,,TMS,Tabt bold,,5,Mark NIKOLAJSEN,,,,,
7,748710,2.53,,SAH,Skud reddet,PL,32,Fredrik OLSSON,,,,16,Andreas HAAGEN
8,748710,3.51,,TMS,Time out,,,,,,,,
9,748710,4.02,,TMS,Tilkendt straffe,,19,Benjamin HALLGREN,Forårs. str.,25,Jeppe CIESLAK,,
10,748710,4.26,1-1,TMS,Mål på straffe,,81,Tobias NIELSEN,,,,12,Magnus BRANDBYGE
11,748710,4.55,2-1,SAH,Mål,PL,23,Morten Hempel JENSEN,,,,16,Andreas HAAGEN
12,748710,5.29,,TMS,Skud reddet,ST,24,Simon OOMS,,,,12,Magnus BRANDBYGE
13,748710,6.05,,SAH,Fejlaflevering,,32,Fredrik OLSSON,Bold erobret,27,Victor WOLF,,
14,748710,6.13,2-2,TMS,Mål,1:e,81,Tobias NIELSEN,Assist,7,Christoffer DREYER,12,Magnus BRANDBYGE
15,748710,6.54,3-2,SAH,Mål,PL,3,Kristjan ÖRN KRISTJANSSON,,,,16,Andreas HAAGEN
16,748710,7.41,3-3,TMS,Mål,PL,5,Mark NIKOLAJSEN,,,,12,Magnus BRANDBYGE
17,748710,8.16,4-3,SAH,Mål,ST,19,Thor CHRISTENSEN,Assist,3,Kristjan ÖRN KRISTJANSSON,16,Andreas HAAGEN
18,748710,8.17,,TMS,Udvisning,,24,Simon OOMS,,,,,
19,748710,8.45,,TMS,Skud reddet,HB,19,Benjamin HALLGREN,,,,12,Magnus BRANDBYGE
20,748710,9.13,5-3,SAH,Mål,Gbr,23,Morten Hempel JENSEN,,,,16,Andreas HAAGEN
21,748710,10.09,5-4,TMS,Mål,VF,27,Victor WOLF,Assist,7,Christoffer DREYER,12,Magnus BRANDBYGE
22,748710,10.22,,SAH,Skud reddet,2:e,3,Kristjan ÖRN KRISTJANSSON,,,,16,Andreas HAAGEN
23,748710,10.53,,TMS,Skud reddet,VF,27,Victor WOLF,,,,12,Magnus BRANDBYGE
24,748710,11.33,6-4,SAH,Mål,HB,3,Kristjan ÖRN KRISTJANSSON,,,,16,Andreas HAAGEN
25,748710,12.04,6-5,TMS,Mål,Gbr,19,Benjamin HALLGREN,,,,12,Magnus BRANDBYGE
26,748710,12.13,7-5,SAH,Mål,2:e,25,Jeppe CIESLAK,Assist,23,Morten Hempel JENSEN,16,Andreas HAAGEN
27,748710,12.43,,TMS,Fejlaflevering,,7,Christoffer DREYER,,,,,
28,748710,12.48,8-5,SAH,Mål,1:e,25,Jeppe CIESLAK,Assist,23,Morten Hempel JENSEN,16,Andreas HAAGEN
29,748710,12.48,,TMS,Udvisning,,19,Benjamin HALLGREN,,,,,
30,748710,13.09,,TMS,Skud reddet,VB,10,Frederik HORN,,,,12,Magnus BRANDBYGE
31,748710,13.43,,SAH,Fejlaflevering,,23,Morten Hempel JENSEN,Bold erobret,44,Tobias TOMBAK,,
32,748710,13.49,8-6,TMS,Mål,1:e,81,Tobias NIELSEN,Assist,44,Tobias TOMBAK,12,Magnus BRANDBYGE
33,748710,14.06,9-6,SAH,Mål,VB,32,Fredrik OLSSON,,,,16,Andreas HAAGEN
34,748710,15.11,9-7,TMS,Mål,ST,2,Joachim MØLLER,Assist,10,Frederik HORN,12,Magnus BRANDBYGE
35,748710,16.13,,SAH,Skud reddet,HF,11,Mikkel LANG,,,,16,Andreas HAAGEN
36,748710,16.47,9-8,TMS,Mål,ST,25,Anders AGGER,Assist,19,Benjamin HALLGREN,12,Magnus BRANDBYGE
37,748710,16.59,10-8,SAH,Mål,2:e,3,Kristjan ÖRN KRISTJANSSON,,,,16,Andreas HAAGEN
38,748710,17.36,,SAH,Udvisning,,19,Thor CHRISTENSEN,,,,,
