id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748711,0.00,,,Start 1:e halvleg,,,,,,,,
2,748711,0.56,1-0,TTH,Mål,Gbr,7,William AAR,Assist,18,Edwin ASPENBÄCK,1,Niklas KRAFT
3,748711,1.28,,REH,Skud reddet,PL,49,Karl WALLINIUS,,,,16,Sander HEIEREN
4,748711,1.37,2-0,TTH,Mål,2:e,7,William AAR,,,,1,Niklas KRAFT
5,748711,1.55,,TTH,Advarsel,,7,William AAR,,,,,
6,748711,2.23,,REH,Skud reddet,HB,14,Nicolaj SPANGGAARD,,,,16,Sander HEIEREN
7,748711,2.30,3-0,TTH,Mål,1:e,6,Frederik BJERRE,Assist,,,16,Sander HEIEREN
8,748711,3.57,3-1,REH,Mål,ST,17,Andreas SØGAARD,Assist,49,Karl WALLINIUS,16,Sander HEIEREN
9,748711,4.37,4-1,TTH,Mål,Gbr,11,Thomas DAMGAARD,Assist,7,William AAR,1,Niklas KRAFT
10,748711,5.18,4-2,REH,Mål,HF,11,Mathias JØRGENSEN,Assist,14,Nicolaj SPANGGAARD,16,Sander HEIEREN
11,748711,6.13,5-2,TTH,Mål,Gbr,11,Thomas DAMGAARD,Assist,18,Edwin ASPENBÄCK,1,Niklas KRAFT
12,748711,6.20,,TTH,Udvisning,,18,Edwin ASPENBÄCK,,,,,
13,748711,6.37,,REH,Skud reddet,VF,31,Morten JØRGENSEN,,,,16,Sander HEIEREN
14,748711,7.12,6-2,TTH,Mål,Gbr,7,William AAR,Assist,11,Thomas DAMGAARD,1,Niklas KRAFT
15,748711,8.12,,REH,Tabt bold,,81,Alfred JÖNSSON,,,,,
16,748711,8.43,7-2,TTH,Mål,Gbr,7,William AAR,,,,1,Niklas KRAFT
17,748711,8.45,,REH,Udvisning,,17,Andreas SØGAARD,,,,,
18,748711,8.45,,REH,Time out,,,,,,,,
19,748711,9.22,,REH,Skud reddet,PL,81,Alfred JÖNSSON,,,,16,Sander HEIEREN
20,748711,9.52,8-2,TTH,Mål,Gbr,11,Thomas DAMGAARD,,,,1,Niklas KRAFT
21,748711,10.46,,REH,Fejlaflevering,,27,Andre Sindre AHO,,,,,
22,748711,12.09,9-2,TTH,Mål,PL,11,Thomas DAMGAARD,,,,16,Ágúst BJÖRGVINSSON
23,748711,13.15,9-3,REH,Mål,Gbr,14,Nicolaj SPANGGAARD,,,,16,Sander HEIEREN
24,748711,14.34,,TTH,Regelfejl,,4,Christoffer CICHOSZ,,,,,
25,748711,14.44,,REH,Skud reddet,2:e,14,Nicolaj SPANGGAARD,,,,16,Sander HEIEREN
26,748711,15.18,10-3,TTH,Mål,VB,7,William AAR,Assist,18,Edwin ASPENBÄCK,16,Ágúst BJÖRGVINSSON
27,748711,15.32,10-4,REH,Mål,PL,49,Karl WALLINIUS,,,,16,Sander HEIEREN
28,748711,16.02,11-4,TTH,Mål,VB,7,William AAR,,,,16,Ágúst BJÖRGVINSSON
29,748711,16.07,,REH,Tilkendt straffe,,11,Mathias JØRGENSEN,Forårs. str.,13,Sven EHRIG,,
30,748711,16.07,,TTH,Udvisning,,13,Sven EHRIG,,,,,
31,748711,16.14,,REH,Straffekast på stolpe,,11,Mathias JØRGENSEN,,,,16,Sander HEIEREN
32,748711,16.57,12-4,TTH,Mål,Gbr,18,Edwin ASPENBÄCK,,,,16,Ágúst BJÖRGVINSSON
33,748711,17.12,12-5,REH,Mål,VF,31,Morten JØRGENSEN,,,,16,Sander HEIEREN
34,748711,17.48,,TTH,Skud forbi,Gbr,18,Edwin ASPENBÄCK,,,,16,Ágúst BJÖRGVINSSON
35,748711,17.59,12-6,REH,Mål,1:e,17,Andreas SØGAARD,,,,16,Sander HEIEREN
36,748711,18.29,13-6,TTH,Mål,Gbr,18,Edwin ASPENBÄCK,,,,16,Ágúst BJÖRGVINSSON
37,748711,18.34,,REH,Udvisning,,8,Simon BIRKEFELDT,,,,,
38,748711,19.04,13-7,REH,Mål,Gbr,14,Nicolaj SPANGGAARD,,,,16,Sander HEIEREN
39,748711,19.33,14-7,TTH,Mål,ST,3,Sebastian ØRUM,Assist,22,Nikolaj MARKUSSEN,16,Ágúst BJÖRGVINSSON
40,748711,19.39,,TTH,Udvisning,,3,Sebastian ØRUM,,,,,
41,748711,19.58,,TTH,Udvisning,,21,Mathias SMED,,,,,
42,748711,20.12,,REH,Regelfejl,,14,Nicolaj SPANGGAARD,,,,,
43,748711,21.25,,TTH,Skud reddet,VB,7,William AAR,,,,16,Ágúst BJÖRGVINSSON
44,748711,21.37,14-8,REH,Mål,VF,31,Morten JØRGENSEN,Assist,49,Karl WALLINIUS,16,Sander HEIEREN
45,748711,22.09,,TTH,Skud reddet,HF,13,Sven EHRIG,,,,16,Ágúst BJÖRGVINSSON
46,748711,22.19,14-9,REH,Mål,PL,49,Karl WALLINIUS,,,,16,Sander HEIEREN
47,748711,22.57,15-9,TTH,Mål,Gbr,18,Edwin ASPENBÄCK,Assist,7,William AAR,16,Ágúst BJÖRGVINSSON
48,748711,23.13,15-10,REH,Mål,2:e,49,Karl WALLINIUS,,,,16,Sander HEIEREN
49,748711,23.39,,TTH,Skud blokeret,PL,7,William AAR,Blok af (ret),49,Karl WALLINIUS,,
50,748711,23.42,,TTH,Time out,,,,,,,,
51,748711,23.58,,TTH,Regelfejl,,18,Edwin ASPENBÄCK,,,,,
52,748711,24.56,15-11,REH,Mål,VF,31,Morten JØRGENSEN,,,,16,Sander HEIEREN
53,748711,25.43,16-11,TTH,Mål,PL,13,Sven EHRIG,,,,16,Ágúst BJÖRGVINSSON
54,748711,26.16,16-12,REH,Mål,PL,49,Karl WALLINIUS,,,,16,Sander HEIEREN
55,748711,26.40,17-12,TTH,Mål,Gbr,11,Thomas DAMGAARD,,,,16,Ágúst BJÖRGVINSSON
56,748711,27.21,,REH,Skud blokeret,PL,49,Karl WALLINIUS,Blok af (ret),21,Mathias SMED,,
57,748711,27.40,,REH,Regelfejl,,27,Andre Sindre AHO,,,,,
58,748711,27.53,18-12,TTH,Mål,VF,6,Frederik BJERRE,Assist,7,William AAR,16,Ágúst BJÖRGVINSSON
59,748711,29.03,,REH,Skud reddet,Gbr,27,Andre Sindre AHO,,,,16,Sander HEIEREN
60,748711,29.48,,TTH,Tilkendt straffe,,11,Thomas DAMGAARD,Forårs. str.,6,Jonathan WÜRTZ,,
61,748711,29.58,19-12,TTH,Mål på straffe,,10,Magnus BRAMMING,,,,16,Ágúst BJÖRGVINSSON
62,748711,30.00,19-12,,Halvleg,,,,,,,,
63,748711,30.00,,,Start 2:e halvleg,,,,,,,,
64,748711,30.38,19-13,REH,Mål,Gbr,81,Alfred JÖNSSON,Assist,49,Karl WALLINIUS,16,Sander HEIEREN
65,748711,31.12,20-13,TTH,Mål,HF,28,Kevin GULLIKSEN,Assist,18,Edwin ASPENBÄCK,16,Ágúst BJÖRGVINSSON
66,748711,31.26,20-14,REH,Mål,VF,31,Morten JØRGENSEN,Assist,81,Alfred JÖNSSON,16,Sander HEIEREN
67,748711,32.09,,TTH,Regelfejl,,7,William AAR,,,,,
68,748711,32.16,20-15,REH,Mål,1:e,17,Andreas SØGAARD,,,,16,Sander HEIEREN
69,748711,33.01,21-15,TTH,Mål,HF,28,Kevin GULLIKSEN,Assist,11,Thomas DAMGAARD,16,Ágúst BJÖRGVINSSON
70,748711,33.13,,REH,Tilkendt straffe,,17,Andreas SØGAARD,Forårs. str.,21,Mathias SMED,,
71,748711,33.31,21-16,REH,Mål på straffe,,11,Mathias JØRGENSEN,,,,16,Sander HEIEREN
72,748711,34.15,22-16,TTH,Mål,VF,6,Frederik BJERRE,Assist,7,William AAR,16,Ágúst BJÖRGVINSSON
73,748711,34.29,,REH,Skud reddet,2:e,49,Karl WALLINIUS,Retur,0,,16,Sander HEIEREN
74,748711,34.51,,TTH,Udvisning,,7,William AAR,,,,,
75,748711,35.13,,REH,Tabt bold,,17,Andreas SØGAARD,,,,,
76,748711,35.58,,TTH,Skud reddet,ST,28,Kevin GULLIKSEN,,,,16,Ágúst BJÖRGVINSSON
77,748711,36.27,22-17,REH,Mål,ST,17,Andreas SØGAARD,Assist,27,Andre Sindre AHO,16,Sander HEIEREN
78,748711,37.10,,TTH,Tilkendt straffe,,11,Thomas DAMGAARD,Forårs. str.,6,Jonathan WÜRTZ,,
79,748711,37.18,23-17,TTH,Mål på straffe,,10,Magnus BRAMMING,,,,1,Niklas KRAFT
80,748711,37.46,23-18,REH,Mål,Gbr,81,Alfred JÖNSSON,,,,16,Sander HEIEREN
81,748711,37.59,24-18,TTH,Mål,VF,6,Frederik BJERRE,Assist,7,William AAR,16,Ágúst BJÖRGVINSSON
82,748711,38.42,,REH,Skud forbi,Gbr,27,Andre Sindre AHO,,,,16,Sander HEIEREN
83,748711,39.47,25-18,TTH,Mål,PL,7,William AAR,,,,16,Ágúst BJÖRGVINSSON
84,748711,39.53,25-19,REH,Mål,2:e,11,Mathias JØRGENSEN,,,,16,Sander HEIEREN
85,748711,40.02,26-19,TTH,Mål,2:e,7,William AAR,,,,16,Ágúst BJÖRGVINSSON
86,748711,40.13,,REH,Skud forbi,2:e,49,Karl WALLINIUS,,,,16,Sander HEIEREN
87,748711,40.53,27-19,TTH,Mål,ST,4,Christoffer CICHOSZ,Assist,11,Thomas DAMGAARD,16,Ágúst BJÖRGVINSSON
88,748711,41.05,,REH,Skud blokeret,2:e,49,Karl WALLINIUS,Blok af (ret),18,Edwin ASPENBÄCK,,
89,748711,41.36,27-20,REH,Mål,VB,49,Karl WALLINIUS,,,,16,Sander HEIEREN
90,748711,41.53,28-20,TTH,Mål,PL,25,Jonas PORUP,,,,16,Ágúst BJÖRGVINSSON
91,748711,42.23,,REH,Tilkendt straffe,,27,Andre Sindre AHO,Forårs. str.,25,Jonas PORUP,,
92,748711,42.50,28-21,REH,Mål på straffe,,11,Mathias JØRGENSEN,,,,16,Sander HEIEREN
93,748711,43.50,,TTH,Fejlaflevering,,11,Thomas DAMGAARD,,,,,
94,748711,43.55,28-22,REH,Mål,1:e,17,Andreas SØGAARD,,,,16,Sander HEIEREN
95,748711,44.23,,TTH,Tilkendt straffe,,11,Thomas DAMGAARD,Forårs. str.,19,Jesper LINDGREN,,
96,748711,44.37,29-22,TTH,Mål på straffe,,10,Magnus BRAMMING,,,,1,Niklas KRAFT
97,748711,45.06,,REH,Fejlaflevering,,27,Andre Sindre AHO,,,,,
98,748711,45.35,30-22,TTH,Mål,ST,6,Frederik BJERRE,Assist,11,Thomas DAMGAARD,1,Niklas KRAFT
99,748711,45.45,,REH,Skud reddet,2:e,49,Karl WALLINIUS,,,,16,Sander HEIEREN
100,748711,46.20,,TTH,Tilkendt straffe,,11,Thomas DAMGAARD,Forårs. str.,49,Karl WALLINIUS,,
101,748711,46.20,,REH,Udvisning,,49,Karl WALLINIUS,,,,,
102,748711,46.23,31-22,TTH,Mål på straffe,,10,Magnus BRAMMING,,,,16,Ágúst BJÖRGVINSSON
103,748711,47.37,,REH,Skud reddet,VB,81,Alfred JÖNSSON,,,,16,Sander HEIEREN
104,748711,48.22,,REH,Time out,,,,,,,,
105,748711,48.40,31-23,REH,Mål,Gbr,81,Alfred JÖNSSON,,,,16,Sander HEIEREN
106,748711,49.09,,TTH,Skud reddet,HB,13,Sven EHRIG,Retur,0,,1,Niklas KRAFT
107,748711,49.13,32-23,TTH,Mål,VF,6,Frederik BJERRE,,,,1,Niklas KRAFT
108,748711,49.23,32-24,REH,Mål,PL,49,Karl WALLINIUS,,,,16,Sander HEIEREN
109,748711,49.53,33-24,TTH,Mål,ST,4,Christoffer CICHOSZ,Assist,11,Thomas DAMGAARD,1,Niklas KRAFT
110,748711,50.07,33-25,REH,Mål,Gbr,27,Andre Sindre AHO,,,,16,Sander HEIEREN
111,748711,50.07,,TTH,Udvisning,,7,William AAR,,,,,
112,748711,50.32,34-25,TTH,Mål,PL,22,Nikolaj MARKUSSEN,,,,1,Niklas KRAFT
113,748711,50.41,34-26,REH,Mål,2:e,49,Karl WALLINIUS,,,,1,Frank MIKKELSEN
114,748711,51.11,35-26,TTH,Mål,ST,4,Christoffer CICHOSZ,Assist,22,Nikolaj MARKUSSEN,1,Niklas KRAFT
115,748711,51.19,35-27,REH,Mål,2:e,17,Andreas SØGAARD,,,,0,
116,748711,51.48,36-27,TTH,Mål,Gbr,11,Thomas DAMGAARD,,,,1,Niklas KRAFT
117,748711,51.59,,REH,Skud reddet,2:e,11,Mathias JØRGENSEN,,,,1,Frank MIKKELSEN
118,748711,52.35,,TTH,Skud reddet,VB,11,Thomas DAMGAARD,,,,1,Niklas KRAFT
119,748711,52.44,,REH,Tilkendt straffe,,27,Andre Sindre AHO,Forårs. str.,21,Mathias SMED,,
120,748711,53.06,,REH,Straffekast reddet,,11,Mathias JØRGENSEN,,,,1,Frank MIKKELSEN
121,748711,53.51,,TTH,Fejlaflevering,,22,Nikolaj MARKUSSEN,,,,,
122,748711,53.58,36-28,REH,Mål,1:e,31,Morten JØRGENSEN,,,,1,Frank MIKKELSEN
123,748711,54.19,,TTH,Time out,,,,,,,,
124,748711,54.32,,TTH,Skud reddet,PL,11,Thomas DAMGAARD,,,,1,Niklas KRAFT
125,748711,54.57,,REH,Skud reddet,PL,81,Alfred JÖNSSON,,,,1,Frank MIKKELSEN
126,748711,55.25,,TTH,Skud forbi,PL,18,Edwin ASPENBÄCK,,,,1,Niklas KRAFT
127,748711,55.35,,REH,Fejlaflevering,,81,Alfred JÖNSSON,,,,,
128,748711,55.40,,TTH,Skud reddet,1:e,3,Sebastian ØRUM,,,,1,Niklas KRAFT
129,748711,56.08,36-29,REH,Mål,Gbr,27,Andre Sindre AHO,,,,1,Frank MIKKELSEN
130,748711,56.12,37-29,TTH,Mål,2:e,6,Frederik BJERRE,Assist,3,Sebastian ØRUM,1,Niklas KRAFT
131,748711,56.52,,REH,Skud reddet,PL,81,Alfred JÖNSSON,,,,1,Frank MIKKELSEN
132,748711,57.40,38-29,TTH,Mål,Gbr,17,Simon KIRKEGAARD,,,,1,Niklas KRAFT
133,748711,57.48,38-30,REH,Mål,2:e,31,Morten JØRGENSEN,,,,1,Frank MIKKELSEN
134,748711,58.49,39-30,TTH,Mål,VF,6,Frederik BJERRE,Assist,22,Nikolaj MARKUSSEN,1,Niklas KRAFT
135,748711,59.20,,REH,Tilkendt straffe,,49,Karl WALLINIUS,Forårs. str.,13,Sven EHRIG,,
136,748711,59.41,,REH,Straffekast reddet,,81,Alfred JÖNSSON,,,,1,Frank MIKKELSEN
137,748711,59.58,,TTH,Skud reddet,HB,17,Simon KIRKEGAARD,,,,1,Niklas KRAFT
