id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748712,0.00,,,Start 1:e halvleg,,,,,,,,
2,748712,0.45,,NSH,Skud reddet,Gbr,7,Léo MARTINEZ,Retur,0,,1,Christoffer BONDE
3,748712,1.11,,SKH,Udvisning,,7,Senjamin BURIC,,,,,
4,748712,1.35,,NSH,Skud reddet,VF,14,Rasmus MADSBØLL,,,,1,Christoffer BONDE
5,748712,2.15,,SKH,Fejlaflevering,,13,Noah GAUDIN,Bold erobret,11,Jonas RAUNDAHL,,
6,748712,2.17,0-1,NSH,Mål,1:e,13,Gustav BRUUN,Assist,11,Jonas RAUNDAHL,0,
7,748712,2.49,1-1,SKH,Mål,HB,13,Noah GAUDIN,,,,29,Jimmi ANDERSEN
8,748712,3.09,,NSH,Skud reddet,HF,3,Carl-Emil HAUNSTRUP,,,,1,Christoffer BONDE
9,748712,3.45,2-1,SKH,Mål,Gbr,13,Noah GAUDIN,,,,29,Jimmi ANDERSEN
10,748712,3.55,,NSH,Skud reddet,2:e,42,Matias CAMPBELL,,,,1,Christoffer BONDE
11,748712,4.05,3-1,SKH,Mål,2:e,10,Joaquim NAZARÉ,,,,29,Jimmi ANDERSEN
12,748712,4.36,,NSH,Skud blokeret,PL,13,Gustav BRUUN,Blok af (ret),14,Emil BERGHOLT,,
13,748712,4.52,,NSH,Skud reddet,PL,7,Léo MARTINEZ,,,,1,Christoffer BONDE
14,748712,5.04,,SKH,Skud forbi,2:e,21,René RASMUSSEN,,,,29,Jimmi ANDERSEN
15,748712,6.00,,NSH,Skud reddet,PL,13,Gustav BRUUN,,,,1,Christoffer BONDE
16,748712,6.06,,SKH,Fejlaflevering,,13,Noah GAUDIN,,,,,
17,748712,6.12,,NSH,Skud forbi,1:e,7,Léo MARTINEZ,,,,1,Christoffer BONDE
18,748712,6.43,,NSH,Advarsel,,5,Julius MØRCH,,,,,
19,748712,7.02,,SKH,Skud reddet,PL,10,Joaquim NAZARÉ,,,,29,Jimmi ANDERSEN
20,748712,7.11,,NSH,Regelfejl,,13,Gustav BRUUN,,,,,
21,748712,7.15,4-1,SKH,Mål,1:e,22,Jakob RASMUSSEN,Assist,19,Bjarke CHRISTENSEN,29,Jimmi ANDERSEN
22,748712,7.47,,NSH,Skud reddet,PL,57,Nikolaj LARSSON,,,,1,Christoffer BONDE
23,748712,8.00,,SKH,Skud reddet,Gbr,22,Jakob RASMUSSEN,,,,29,Jimmi ANDERSEN
24,748712,8.07,4-2,NSH,Mål,1:e,14,Rasmus MADSBØLL,Assist,42,Matias CAMPBELL,1,Christoffer BONDE
25,748712,8.43,,SKH,Skud reddet,ST,7,Senjamin BURIC,,,,29,Jimmi ANDERSEN
26,748712,8.50,4-3,NSH,Mål,2:e,13,Gustav BRUUN,Assist,5,Julius MØRCH,1,Christoffer BONDE
27,748712,9.45,5-3,SKH,Mål,Gbr,22,Jakob RASMUSSEN,Assist,13,Noah GAUDIN,29,Jimmi ANDERSEN
28,748712,10.43,,NSH,Skud reddet,HB,57,Nikolaj LARSSON,Retur,0,,1,Christoffer BONDE
29,748712,10.50,,NSH,Skud forbi,ST,57,Nikolaj LARSSON,,,,1,Christoffer BONDE
30,748712,11.14,,SKH,Skud forbi,PL,22,Jakob RASMUSSEN,,,,29,Jimmi ANDERSEN
31,748712,11.24,,NSH,Fejlaflevering,,7,Léo MARTINEZ,,,,,
32,748712,12.15,,SKH,Skud reddet,PL,10,Joaquim NAZARÉ,,,,29,Jimmi ANDERSEN
33,748712,12.59,,NSH,Skud forbi,VF,19,Thomas BOILESEN,,,,1,Christoffer BONDE
34,748712,13.41,6-3,SKH,Mål,HB,13,Noah GAUDIN,,,,29,Jimmi ANDERSEN
35,748712,14.16,6-4,NSH,Mål,ST,11,Jonas RAUNDAHL,Assist,19,Thomas BOILESEN,1,Christoffer BONDE
36,748712,14.53,,NSH,Udvisning,,17,Assar KAMMENHED,,,,,
37,748712,15.11,,SKH,Tilkendt straffe,,14,Emil BERGHOLT,Forårs. str.,11,Jonas RAUNDAHL,,
38,748712,15.22,,SKH,Straffekast reddet,,15,Lasse MIKKELSEN,,,,29,Jimmi ANDERSEN
39,748712,16.19,,NSH,Skud reddet,VB,19,Thomas BOILESEN,,,,1,Christoffer BONDE
40,748712,16.48,7-4,SKH,Mål,ST,7,Senjamin BURIC,Assist,15,Lasse MIKKELSEN,29,Jimmi ANDERSEN
41,748712,17.31,,NSH,Regelfejl,,11,Jonas RAUNDAHL,,,,,
42,748712,17.37,8-4,SKH,Mål,2:e,21,René RASMUSSEN,Assist,15,Lasse MIKKELSEN,29,Jimmi ANDERSEN
43,748712,17.51,,NSH,Time out,,,,,,,,
44,748712,18.35,,NSH,Fejlaflevering,,79,Oliver KLARSKOV,,,,,
45,748712,18.47,,SKH,Tilkendt straffe,,14,Emil BERGHOLT,Forårs. str.,79,Oliver KLARSKOV,,
46,748712,19.05,9-4,SKH,Mål på straffe,,15,Lasse MIKKELSEN,,,,29,Jimmi ANDERSEN
47,748712,19.44,9-5,NSH,Mål,ST,11,Jonas RAUNDAHL,Assist,79,Oliver KLARSKOV,1,Christoffer BONDE
48,748712,20.11,10-5,SKH,Mål,PL,13,Noah GAUDIN,,,,29,Jimmi ANDERSEN
49,748712,20.50,,NSH,Skud reddet,ST,11,Jonas RAUNDAHL,,,,1,Christoffer BONDE
50,748712,21.43,11-5,SKH,Mål,HF,21,René RASMUSSEN,Assist,25,Eivind TANGEN,29,Jimmi ANDERSEN
51,748712,22.34,11-6,NSH,Mål,PL,42,Matias CAMPBELL,,,,1,Christoffer BONDE
52,748712,23.27,,SKH,Skud reddet,ST,21,René RASMUSSEN,Retur,0,,29,Jimmi ANDERSEN
