id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748714,0.00,,,Start 1:e halvleg,,,,,,,,
2,748714,0.35,,KIF,Fejlaflevering,,29,Viktor NEVERS,Bold erobret,4,Frederik NIELSEN,,
3,748714,1.24,0-1,GIF,Mål,Gbr,21,Kristoffer VESTERGAARD,,,,12,Josip CAVAR
4,748714,1.55,,KIF,Tilkendt straffe,,2,Mads KRAGH THOMSEN,Forårs. str.,17,Kristian Krag ØRSTED,,
5,748714,2.21,1-1,KIF,Mål på straffe,,21,Kristian STOKLUND,,,,1,Frederik SKOVGAARD
6,748714,3.28,,GIF,Skud på stolpe,HB,21,Kristoffer VESTERGAARD,Retur,20,Frederik IVERSEN,12,Josip CAVAR
7,748714,3.53,1-2,GIF,Mål,ST,17,Kristian Krag ØRSTED,Assist,14,Nicolai SKYTTE,12,Josip CAVAR
8,748714,4.36,,KIF,Tabt bold,,28,Lauritz LEGÉR,Bold erobret,8,Rolf RAVN,,
9,748714,5.15,,GIF,Skud reddet,PL,4,Frederik NIELSEN,,,,12,Josip CAVAR
10,748714,5.31,,KIF,Tilkendt straffe,,24,Diogo SILVA,Forårs. str.,20,Frederik IVERSEN,,
11,748714,5.53,2-2,KIF,Mål på straffe,,21,Kristian STOKLUND,,,,1,Frederik SKOVGAARD
12,748714,6.38,,GIF,Skud reddet,PL,14,Nicolai SKYTTE,Retur,20,Frederik IVERSEN,12,Josip CAVAR
13,748714,6.41,,GIF,Tilkendt straffe,,20,Frederik IVERSEN,Forårs. str.,29,Viktor NEVERS,,
14,748714,6.41,,KIF,Udvisning,,29,Viktor NEVERS,,,,,
15,748714,6.42,2-3,GIF,Mål på straffe,,21,Kristoffer VESTERGAARD,,,,12,Josip CAVAR
16,748714,7.18,3-3,KIF,Mål,VF,4,Lars SKAARUP,Assist,28,Lauritz LEGÉR,1,Frederik SKOVGAARD
17,748714,7.51,,GIF,Fejlaflevering,,4,Frederik NIELSEN,,,,,
18,748714,7.58,4-3,KIF,Mål,PL,12,Josip CAVAR,,,,0,
19,748714,8.17,4-4,GIF,Mål,PL,21,Kristoffer VESTERGAARD,,,,12,Josip CAVAR
20,748714,9.07,5-4,KIF,Mål,PL,11,Magnus KRONBORG,,,,1,Frederik SKOVGAARD
21,748714,9.18,,GIF,Udvisning,,8,Rolf RAVN,,,,,
22,748714,9.46,5-5,GIF,Mål,PL,21,Kristoffer VESTERGAARD,,,,12,Josip CAVAR
23,748714,10.15,6-5,KIF,Mål,PL,11,Magnus KRONBORG,,,,1,Frederik SKOVGAARD
24,748714,10.52,6-6,GIF,Mål,Gbr,4,Frederik NIELSEN,Assist,14,Nicolai SKYTTE,12,Josip CAVAR
25,748714,10.59,7-6,KIF,Mål,1:e,4,Lars SKAARUP,Assist,28,Lauritz LEGÉR,1,Frederik SKOVGAARD
26,748714,12.32,7-7,GIF,Mål,VB,14,Nicolai SKYTTE,,,,12,Josip CAVAR
27,748714,13.09,8-7,KIF,Mål,Gbr,24,Diogo SILVA,Assist,11,Magnus KRONBORG,1,Frederik SKOVGAARD
28,748714,13.55,,GIF,Skud blokeret,PL,21,Kristoffer VESTERGAARD,Blokeret af,2,Mads KRAGH THOMSEN,,
29,748714,15.00,,KIF,Skud reddet,HF,29,Viktor NEVERS,,,,1,Frederik SKOVGAARD
30,748714,15.39,,KIF,Advarsel,,2,Mads KRAGH THOMSEN,,,,,
31,748714,16.05,8-8,GIF,Mål,VF,20,Frederik IVERSEN,Assist,21,Kristoffer VESTERGAARD,12,Josip CAVAR
32,748714,16.42,,KIF,Fejlaflevering,,24,Diogo SILVA,,,,,
33,748714,16.50,,GIF,Regelfejl,,23,Bjarke NYBO,,,,,
34,748714,18.14,,KIF,Skud reddet,HB,5,Oliver NORLYK,Retur,0,,1,Frederik SKOVGAARD
35,748714,18.42,9-8,KIF,Mål,PL,11,Magnus KRONBORG,,,,1,Frederik SKOVGAARD
36,748714,19.25,,GIF,Fejlaflevering,,21,Kristoffer VESTERGAARD,Bold erobret,29,Viktor NEVERS,,
37,748714,19.30,10-8,KIF,Mål,1:e,29,Viktor NEVERS,,,,1,Frederik SKOVGAARD
38,748714,19.43,,GIF,Time out,,,,,,,,
39,748714,20.07,,KIF,Udvisning,,5,Oliver NORLYK,,,,,
40,748714,20.19,,GIF,Skud på stolpe,HF,3,Thomas THEILGAARD,,,,12,Josip CAVAR
41,748714,21.21,11-8,KIF,Mål,PL,11,Magnus KRONBORG,,,,1,Frederik SKOVGAARD
42,748714,21.44,11-9,GIF,Mål,Gbr,4,Frederik NIELSEN,Assist,21,Kristoffer VESTERGAARD,12,Josip CAVAR
43,748714,22.12,,KIF,Fejlaflevering,,17,Tobias ELLEBÆK,,,,,
44,748714,22.52,,GIF,Skud reddet,PL,21,Kristoffer VESTERGAARD,,,,12,Josip CAVAR
45,748714,23.34,,KIF,Skud reddet,HB,5,Oliver NORLYK,Retur,0,,1,Frederik SKOVGAARD
46,748714,24.10,12-9,KIF,Mål,VF,4,Lars SKAARUP,Assist,17,Tobias ELLEBÆK,1,Frederik SKOVGAARD
47,748714,24.40,,GIF,Fejlaflevering,,21,Kristoffer VESTERGAARD,,,,,
48,748714,25.07,,KIF,Fejlaflevering,,17,Tobias ELLEBÆK,,,,,
49,748714,25.12,12-10,GIF,Mål,1:e,20,Frederik IVERSEN,Assist,4,Frederik NIELSEN,12,Josip CAVAR
50,748714,26.05,13-10,KIF,Mål,VB,17,Tobias ELLEBÆK,,,,1,Frederik SKOVGAARD
51,748714,26.36,13-11,GIF,Mål,ST,22,Hjalmar ANDERSEN,Assist,4,Frederik NIELSEN,12,Josip CAVAR
52,748714,27.10,,KIF,Tabt bold,,5,Oliver NORLYK,Bold erobret,20,Frederik IVERSEN,,
53,748714,27.17,13-12,GIF,Mål,2:e,8,Rolf RAVN,,,,12,Josip CAVAR
54,748714,27.21,,KIF,Time out,,,,,,,,
55,748714,28.33,14-12,KIF,Mål,PL,11,Magnus KRONBORG,,,,1,Frederik SKOVGAARD
56,748714,29.41,,GIF,Skud blokeret,HB,23,Bjarke NYBO,Blok af (ret),6,Jonas TIDEMAND,,
57,748714,29.54,,GIF,Passivt spil,,0,,,,,,
