id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748716,0.00,,,Start 1:e halvleg,,,,,,,,
2,748716,0.37,,AAH,Skud reddet,Gbr,7,Thomas ARNOLDSEN,Retur,0,,29,Jimmi ANDERSEN
3,748716,1.22,,AAH,Skud på stolpe,HB,15,Jack THURIN,,,,29,Jimmi ANDERSEN
4,748716,2.05,,NSH,Fejlaflevering,,19,Thomas BOILESEN,,,,,
5,748716,2.10,,NSH,Udvisning,,7,Léo MARTINEZ,,,,,
6,748716,2.10,,AAH,Tilkendt straffe,,20,Felix MÖLLER,Forårs. str.,7,Léo MARTINEZ,,
7,748716,2.10,0-1,AAH,Mål på straffe,,15,Jack THURIN,,,,29,Jimmi ANDERSEN
8,748716,2.52,,AAH,Advarsel,,15,Jack THURIN,,,,,
9,748716,3.00,1-1,NSH,Mål,PL,57,Nikolaj LARSSON,,,,12,Fabian NORSTEN
10,748716,3.05,1-2,AAH,Mål,1:e,7,Thomas ARNOLDSEN,,,,0,
11,748716,4.17,,NSH,Skud reddet,VB,19,Thomas BOILESEN,,,,12,Fabian NORSTEN
12,748716,4.48,,AAH,Skud reddet,Gbr,18,Aleks VLAH,,,,29,Jimmi ANDERSEN
13,748716,4.59,,NSH,Tilkendt straffe,,57,Nikolaj LARSSON,Forårs. str.,20,Felix MÖLLER,,
14,748716,5.16,2-2,NSH,Mål på straffe,,3,Carl-Emil HAUNSTRUP,,,,12,Fabian NORSTEN
15,748716,5.51,,AAH,Skud reddet,HF,19,Kristian BJØRNSEN,,,,29,Jimmi ANDERSEN
16,748716,5.58,,NSH,Skud reddet,2:e,19,Thomas BOILESEN,,,,12,Fabian NORSTEN
17,748716,6.24,,AAH,Skud reddet,ST,20,Felix MÖLLER,,,,29,Jimmi ANDERSEN
18,748716,6.31,3-2,NSH,Mål,2:e,5,Julius MØRCH,Assist,19,Thomas BOILESEN,12,Fabian NORSTEN
19,748716,6.48,,NSH,Advarsel,,11,Jonas RAUNDAHL,,,,,
20,748716,7.19,,AAH,Skud reddet,HB,15,Jack THURIN,,,,29,Jimmi ANDERSEN
21,748716,7.52,,NSH,Skud reddet,PL,7,Léo MARTINEZ,,,,12,Fabian NORSTEN
22,748716,8.05,3-3,AAH,Mål,2:e,7,Thomas ARNOLDSEN,,,,29,Jimmi ANDERSEN
23,748716,8.16,,NSH,Skud reddet,2:e,57,Nikolaj LARSSON,,,,12,Fabian NORSTEN
24,748716,8.29,3-4,AAH,Mål,2:e,18,Aleks VLAH,Assist,7,Thomas ARNOLDSEN,29,Jimmi ANDERSEN
25,748716,9.06,,NSH,Skud reddet,Gbr,57,Nikolaj LARSSON,,,,12,Fabian NORSTEN
26,748716,9.12,,AAH,Skud forbi,2:e,21,Henrik MØLLGAARD,,,,29,Jimmi ANDERSEN
27,748716,9.21,,NSH,Fejlaflevering,,19,Thomas BOILESEN,Bold erobret,7,Thomas ARNOLDSEN,,
28,748716,9.28,3-5,AAH,Mål,1:e,19,Kristian BJØRNSEN,,,,29,Jimmi ANDERSEN
29,748716,9.58,,NSH,Skud reddet,VB,19,Thomas BOILESEN,,,,12,Fabian NORSTEN
30,748716,10.39,,AAH,Skud blokeret,PL,18,Aleks VLAH,Blokeret af,42,Matias CAMPBELL,,
31,748716,10.46,4-5,NSH,Mål,1:e,3,Carl-Emil HAUNSTRUP,,,,12,Fabian NORSTEN
32,748716,11.03,4-6,AAH,Mål,Gbr,7,Thomas ARNOLDSEN,,,,29,Jimmi ANDERSEN
33,748716,12.14,,NSH,Skud reddet,PL,42,Matias CAMPBELL,,,,12,Fabian NORSTEN
34,748716,12.50,,AAH,Regelfejl,,18,Aleks VLAH,,,,,
35,748716,13.00,,NSH,Regelfejl,,11,Jonas RAUNDAHL,,,,,
36,748716,13.55,,AAH,Regelfejl,,6,Sebastian BARTHOLD,,,,,
37,748716,13.59,5-6,NSH,Mål,2:e,3,Carl-Emil HAUNSTRUP,,,,12,Fabian NORSTEN
38,748716,14.28,5-7,AAH,Mål,PL,3,Lukas NILSSON,,,,29,Jimmi ANDERSEN
39,748716,15.05,6-7,NSH,Mål,VF,14,Rasmus MADSBØLL,Assist,13,Gustav BRUUN,12,Fabian NORSTEN
40,748716,15.43,,AAH,Regelfejl,,9,Miguel MARTINS,,,,,
41,748716,17.13,7-7,NSH,Mål,ST,14,Rasmus MADSBØLL,Assist,57,Nikolaj LARSSON,12,Fabian NORSTEN
42,748716,17.49,,AAH,Skud reddet,VB,3,Lukas NILSSON,,,,29,Jimmi ANDERSEN
43,748716,18.31,,NSH,Skud reddet,Gbr,13,Gustav BRUUN,Retur,0,,12,Fabian NORSTEN
44,748716,18.56,,NSH,Regelfejl,,57,Nikolaj LARSSON,,,,,
45,748716,19.33,,AAH,Skud reddet,PL,9,Miguel MARTINS,,,,29,Jimmi ANDERSEN
