id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748721,0.00,,,Start 1:e halvleg,,,,,,,,
2,748721,0.37,,GIF,Fejlaflevering,,21,Kristoffer VESTERGAARD,,,,,
3,748721,1.12,0-1,BSH,Mål,VF,23,Mads LENBROCH,Assist,32,Nikolaj LÆSØ,1,Frederik SKOVGAARD
4,748721,1.39,1-1,GIF,Mål,Gbr,14,Nicolai SKYTTE,,,,12,Kasper LARSEN
5,748721,2.12,1-2,BSH,Mål,PL,34,Morten OLSEN,,,,1,Frederik SKOVGAARD
6,748721,2.23,2-2,GIF,Mål,2:e,14,Nicolai SKYTTE,,,,12,Kasper LARSEN
7,748721,3.20,,BSH,Skud forbi,PL,26,Peter BALLING,,,,1,Frederik SKOVGAARD
8,748721,3.33,,GIF,Skud reddet,HF,7,Jakob VILLEMOES,,,,12,Kasper LARSEN
9,748721,4.05,,BSH,Skud blokeret,PL,32,Nikolaj LÆSØ,Blokeret af,11,Kristoffer JESSEN,,
10,748721,4.43,,GIF,Skud forbi,PL,4,Frederik NIELSEN,,,,12,Kasper LARSEN
11,748721,4.54,2-3,BSH,Mål,2:e,23,Mads LENBROCH,Assist,26,Peter BALLING,1,Frederik SKOVGAARD
12,748721,5.40,,GIF,Skud blokeret,VB,14,Nicolai SKYTTE,Blokeret af,22,Anders ZACHARIASSEN,,
13,748721,6.13,,BSH,Skud reddet,PL,34,Morten OLSEN,,,,1,Frederik SKOVGAARD
14,748721,7.01,,BSH,Advarsel,,26,Peter BALLING,,,,,
15,748721,7.39,3-3,GIF,Mål,ST,17,Kristian Krag ØRSTED,Assist,14,Nicolai SKYTTE,12,Kasper LARSEN
16,748721,8.25,,BSH,Skud reddet,HB,34,Morten OLSEN,,,,1,Frederik SKOVGAARD
17,748721,9.07,,GIF,Skud på stolpe,VF,20,Frederik IVERSEN,,,,12,Kasper LARSEN
18,748721,9.40,,BSH,Skud reddet,Gbr,32,Nikolaj LÆSØ,,,,1,Frederik SKOVGAARD
19,748721,10.19,,GIF,Fejlaflevering,,14,Nicolai SKYTTE,,,,,
20,748721,10.24,3-4,BSH,Mål,1:e,23,Mads LENBROCH,Assist,26,Peter BALLING,1,Frederik SKOVGAARD
21,748721,11.17,,GIF,Skud reddet,VB,14,Nicolai SKYTTE,,,,12,Kasper LARSEN
22,748721,11.52,3-5,BSH,Mål,PL,34,Morten OLSEN,,,,1,Frederik SKOVGAARD
23,748721,12.28,4-5,GIF,Mål,ST,22,Hjalmar ANDERSEN,Assist,4,Frederik NIELSEN,12,Kasper LARSEN
24,748721,13.13,,GIF,Advarsel,,8,Rolf RAVN,,,,,
25,748721,14.08,,BSH,Tilkendt straffe,,26,Peter BALLING,Forårs. str.,20,Frederik IVERSEN,,
26,748721,14.28,4-6,BSH,Mål på straffe,,9,Gudmundur Bragi ASTPARSSON,,,,1,Frederik SKOVGAARD
27,748721,15.02,5-6,GIF,Mål,VB,21,Kristoffer VESTERGAARD,Assist,22,Hjalmar ANDERSEN,12,Kasper LARSEN
28,748721,15.36,,GIF,Udvisning,,11,Kristoffer JESSEN,,,,,
29,748721,15.54,,BSH,Tabt bold,,2,Benjamin JAKOBSEN,,,,,
30,748721,16.39,,GIF,Tilkendt straffe,,4,Frederik NIELSEN,Forårs. str.,4,Patrick BOLDSEN,,
31,748721,16.56,6-6,GIF,Mål på straffe,,20,Frederik IVERSEN,,,,12,Kasper LARSEN
32,748721,17.23,,BSH,Tilkendt straffe,,32,Nikolaj LÆSØ,Forårs. str.,4,Frederik NIELSEN,,
33,748721,17.23,,BSH,Straffekast reddet,,9,Gudmundur Bragi ASTPARSSON,,,,16,Christian WETCHE
34,748721,18.00,7-6,GIF,Mål,VF,20,Frederik IVERSEN,Assist,21,Kristoffer VESTERGAARD,12,Kasper LARSEN
35,748721,18.12,7-7,BSH,Mål,2:e,26,Peter BALLING,,,,1,Frederik SKOVGAARD
36,748721,18.59,,GIF,Fejlaflevering,,21,Kristoffer VESTERGAARD,,,,,
37,748721,19.02,7-8,BSH,Mål,1:e,4,Patrick BOLDSEN,Assist,34,Morten OLSEN,,
38,748721,19.29,8-8,GIF,Mål,ST,22,Hjalmar ANDERSEN,Assist,4,Frederik NIELSEN,12,Kasper LARSEN
39,748721,19.36,,BSH,Time out,,,,,,,,
40,748721,19.57,8-9,BSH,Mål,Gbr,23,Mads LENBROCH,Assist,34,Morten OLSEN,1,Frederik SKOVGAARD
41,748721,20.30,,GIF,Fejlaflevering,,21,Kristoffer VESTERGAARD,Bold erobret,34,Morten OLSEN,,
42,748721,20.38,8-10,BSH,Mål,1:e,34,Morten OLSEN,,,,,
43,748721,21.10,,GIF,Skud reddet,VF,20,Frederik IVERSEN,,,,12,Kasper LARSEN
44,748721,21.44,8-11,BSH,Mål,Gbr,34,Morten OLSEN,,,,1,Frederik SKOVGAARD
45,748721,21.57,,GIF,Tilkendt straffe,,20,Frederik IVERSEN,Forårs. str.,4,Patrick BOLDSEN,,
46,748721,21.57,,BSH,Udvisning,,4,Patrick BOLDSEN,,,,,
47,748721,21.58,9-11,GIF,Mål på straffe,,21,Kristoffer VESTERGAARD,,,,12,Kasper LARSEN
48,748721,22.54,,BSH,Skud forbi,VB,97,Magnus RAHBEK,,,,1,Frederik SKOVGAARD
49,748721,23.23,,GIF,Skud reddet,Gbr,4,Frederik NIELSEN,,,,12,Kasper LARSEN
50,748721,23.58,9-12,BSH,Mål,ST,22,Anders ZACHARIASSEN,Assist,34,Morten OLSEN,1,Frederik SKOVGAARD
51,748721,24.26,10-12,GIF,Mål,ST,22,Hjalmar ANDERSEN,Assist,21,Kristoffer VESTERGAARD,12,Kasper LARSEN
52,748721,24.56,10-13,BSH,Mål,Gbr,26,Peter BALLING,,,,1,Frederik SKOVGAARD
