id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748723,0.00,,,Start 1:e halvleg,,,,,,,,
2,748723,0.34,,NSH,Skud reddet,Gbr,13,Gustav BRUUN,,,,12,Josip CAVAR
3,748723,0.43,,KIF,Skud forbi,2:e,13,Mathias HEDEGAARD,,,,29,Jimmi ANDERSEN
4,748723,1.24,1-0,NSH,Mål,Gbr,7,Léo MARTINEZ,,,,12,Josip CAVAR
5,748723,1.49,1-1,KIF,Mål,HB,5,Oliver NORLYK,,,,29,Jimmi ANDERSEN
6,748723,2.57,,NSH,Fejlaflevering,,57,Nikolaj LARSSON,,,,,
7,748723,3.08,,KIF,Skud reddet,2:e,28,Lauritz LEGÉR,,,,29,Jimmi ANDERSEN
8,748723,3.58,,NSH,Skud reddet,ST,5,Julius MØRCH,,,,12,Josip CAVAR
9,748723,4.05,1-2,KIF,Mål,2:e,13,Mathias HEDEGAARD,,,,29,Jimmi ANDERSEN
10,748723,4.22,,KIF,Advarsel,,28,Lauritz LEGÉR,,,,,
11,748723,4.56,,NSH,Skud reddet,Gbr,7,Léo MARTINEZ,Retur,0,,12,Josip CAVAR
12,748723,5.37,,NSH,Regelfejl,,57,Nikolaj LARSSON,,,,,
13,748723,6.12,,NSH,Advarsel,,5,Julius MØRCH,,,,,
14,748723,6.26,1-3,KIF,Mål,HB,5,Oliver NORLYK,,,,29,Jimmi ANDERSEN
15,748723,6.40,2-3,NSH,Mål,2:e,42,Matias CAMPBELL,,,,12,Josip CAVAR
16,748723,6.50,,KIF,Skud reddet,PL,5,Oliver NORLYK,,,,29,Jimmi ANDERSEN
17,748723,6.59,,KIF,Udvisning,,28,Lauritz LEGÉR,,,,,
18,748723,7.19,3-3,NSH,Mål,ST,21,Tim RANTALA,Assist,42,Matias CAMPBELL,12,Josip CAVAR
19,748723,8.31,3-4,KIF,Mål,HB,5,Oliver NORLYK,,,,29,Jimmi ANDERSEN
20,748723,9.42,,NSH,Skud reddet,ST,5,Julius MØRCH,,,,12,Josip CAVAR
21,748723,10.20,3-5,KIF,Mål,PL,28,Lauritz LEGÉR,,,,29,Jimmi ANDERSEN
22,748723,10.51,4-5,NSH,Mål,PL,7,Léo MARTINEZ,,,,12,Josip CAVAR
23,748723,11.30,4-6,KIF,Mål,ST,13,Mathias HEDEGAARD,,,,29,Jimmi ANDERSEN
24,748723,11.53,,NSH,Tabt bold,,57,Nikolaj LARSSON,,,,,
25,748723,12.35,4-7,KIF,Mål,PL,11,Magnus KRONBORG,,,,29,Jimmi ANDERSEN
26,748723,12.53,5-7,NSH,Mål,Gbr,13,Gustav BRUUN,,,,12,Josip CAVAR
27,748723,13.49,,KIF,Skud blokeret,PL,5,Oliver NORLYK,Blokeret af,13,Gustav BRUUN,,
28,748723,14.20,6-7,NSH,Mål,Gbr,13,Gustav BRUUN,,,,12,Josip CAVAR
29,748723,14.56,,KIF,Skud blokeret,VB,28,Lauritz LEGÉR,Blok af (ret),5,Julius MØRCH,,
30,748723,15.25,,KIF,Regelfejl,,28,Lauritz LEGÉR,,,,,
31,748723,16.04,,KIF,Udvisning,,11,Magnus KRONBORG,,,,,
32,748723,16.23,,NSH,Fejlaflevering,,79,Oliver KLARSKOV,,,,,
33,748723,16.56,,KIF,Skud blokeret,PL,5,Oliver NORLYK,Blok af (ret),21,Tim RANTALA,,
34,748723,17.16,,KIF,Skud reddet,PL,28,Lauritz LEGÉR,,,,29,Jimmi ANDERSEN
35,748723,17.44,7-7,NSH,Mål,Gbr,57,Nikolaj LARSSON,,,,12,Josip CAVAR
36,748723,18.21,,NSH,Udvisning,,17,Assar KAMMENHED,,,,,
37,748723,18.37,,KIF,Tilkendt straffe,,13,Mathias HEDEGAARD,Forårs. str.,5,Julius MØRCH,,
38,748723,18.47,,KIF,Straffekast på stolpe,,21,Kristian STOKLUND,Retur,0,,29,Jimmi ANDERSEN
39,748723,18.52,7-8,KIF,Mål,ST,21,Kristian STOKLUND,,,,29,Jimmi ANDERSEN
40,748723,19.28,,NSH,Regelfejl,,11,Jonas RAUNDAHL,,,,,
41,748723,19.55,7-9,KIF,Mål,HF,29,Viktor NEVERS,Assist,11,Magnus KRONBORG,29,Jimmi ANDERSEN
42,748723,20.44,8-9,NSH,Mål,ST,11,Jonas RAUNDAHL,Assist,20,Jesper DAHL,12,Josip CAVAR
43,748723,21.23,,KIF,Skud blokeret,PL,5,Oliver NORLYK,Blok af (ret),42,Matias CAMPBELL,,
44,748723,21.38,,KIF,Fejlaflevering,,10,Mathias MAILAND,,,,,
45,748723,21.39,9-9,NSH,Mål,1:e,3,Carl-Emil HAUNSTRUP,,,,12,Josip CAVAR
46,748723,22.21,,KIF,Tilkendt straffe,,5,Oliver NORLYK,Forårs. str.,11,Jonas RAUNDAHL,,
47,748723,22.45,9-10,KIF,Mål på straffe,,11,Magnus KRONBORG,,,,29,Jimmi ANDERSEN
48,748723,23.17,10-10,NSH,Mål,HF,3,Carl-Emil HAUNSTRUP,Assist,20,Jesper DAHL,12,Josip CAVAR
49,748723,23.55,10-11,KIF,Mål,PL,11,Magnus KRONBORG,,,,29,Jimmi ANDERSEN
50,748723,24.34,11-11,NSH,Mål,VB,13,Gustav BRUUN,,,,12,Josip CAVAR
51,748723,25.04,,NSH,Udvisning,,5,Julius MØRCH,,,,,
52,748723,25.32,11-12,KIF,Mål,HF,29,Viktor NEVERS,Assist,5,Oliver NORLYK,29,Jimmi ANDERSEN
53,748723,26.05,,NSH,Skud forbi,Gbr,7,Léo MARTINEZ,,,,1,Emil TELLERUP
54,748723,26.42,,KIF,Skud reddet,ST,6,Jonas TIDEMAND,,,,16,Magnus PETERSEN
55,748723,27.10,12-12,NSH,Mål,Gbr,13,Gustav BRUUN,,,,1,Emil TELLERUP
56,748723,27.54,,KIF,Skud blokeret,PL,11,Magnus KRONBORG,Blok af (ret),42,Matias CAMPBELL,,
57,748723,28.07,,KIF,Skud reddet,ST,13,Mathias HEDEGAARD,,,,16,Magnus PETERSEN
58,748723,28.15,13-12,NSH,Mål,2:e,3,Carl-Emil HAUNSTRUP,Assist,13,Gustav BRUUN,1,Emil TELLERUP
59,748723,28.22,,KIF,Time out,,,,,,,,
60,748723,28.40,13-13,KIF,Mål,PL,28,Lauritz LEGÉR,,,,16,Magnus PETERSEN
61,748723,29.27,,NSH,Time out,,,,,,,,
62,748723,29.40,,NSH,Skud reddet,PL,7,Léo MARTINEZ,Retur,3,Carl-Emil HAUNSTRUP,1,Emil TELLERUP
63,748723,29.55,,NSH,Regelfejl,,11,Jonas RAUNDAHL,,,,,
64,748723,29.59,,KIF,Skud reddet,2:e,24,Diogo SILVA,,,,16,Magnus PETERSEN
65,748723,30.00,13-13,,Halvleg,,,,,,,,
66,748723,30.00,,,Start 2:e halvleg,,,,,,,,
67,748723,30.49,,KIF,Passivt spil,,0,,,,,,
68,748723,30.54,14-13,NSH,Mål,1:e,11,Jonas RAUNDAHL,Assist,13,Gustav BRUUN,1,Emil TELLERUP
69,748723,31.30,,KIF,Skud på stolpe,HB,5,Oliver NORLYK,,,,16,Magnus PETERSEN
