id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748724,0.00,,,Start 1:e halvleg,,,,,,,,
2,748724,0.36,1-0,REH,Mål,PL,14,Nicolaj SPANGGAARD,,,,1,Niklas LANDIN
3,748724,1.07,1-1,AAH,Mål,HF,4,Patrick WIESMACH,Assist,15,Jack THURIN,16,Ágúst BJÖRGVINSSON
4,748724,1.49,2-1,REH,Mål,PL,49,Karl WALLINIUS,,,,1,Niklas LANDIN
5,748724,2.36,2-2,AAH,Mål,Gbr,3,Lukas NILSSON,,,,16,Ágúst BJÖRGVINSSON
6,748724,3.18,3-2,REH,Mål,HB,81,Alfred JÖNSSON,,,,1,Niklas LANDIN
7,748724,3.30,3-3,AAH,Mål,2:e,3,Lukas NILSSON,,,,16,Ágúst BJÖRGVINSSON
8,748724,4.06,4-3,REH,Mål,PL,49,Karl WALLINIUS,,,,1,Niklas LANDIN
9,748724,4.47,4-4,AAH,Mål,VB,3,Lukas NILSSON,,,,16,Ágúst BJÖRGVINSSON
10,748724,5.24,5-4,REH,Mål,HF,11,Mathias JØRGENSEN,Assist,81,Alfred JÖNSSON,1,Niklas LANDIN
11,748724,5.54,,AAH,Skud reddet,HF,4,Patrick WIESMACH,,,,16,Ágúst BJÖRGVINSSON
12,748724,6.01,6-4,REH,Mål,2:e,81,Alfred JÖNSSON,,,,1,Niklas LANDIN
13,748724,6.31,,AAH,Skud reddet,VB,3,Lukas NILSSON,,,,16,Ágúst BJÖRGVINSSON
14,748724,6.37,7-4,REH,Mål,1:e,11,Mathias JØRGENSEN,Assist,49,Karl WALLINIUS,0,
15,748724,7.37,,AAH,Skud reddet,PL,15,Jack THURIN,,,,16,Ágúst BJÖRGVINSSON
16,748724,8.21,,AAH,Udvisning,,6,Sebastian BARTHOLD,,,,,
17,748724,8.39,8-4,REH,Mål,VF,31,Morten JØRGENSEN,Assist,49,Karl WALLINIUS,1,Niklas LANDIN
18,748724,9.27,,REH,Udvisning,,49,Karl WALLINIUS,,,,,
19,748724,9.42,8-5,AAH,Mål,ST,20,Felix MÖLLER,Assist,7,Thomas ARNOLDSEN,16,Ágúst BJÖRGVINSSON
20,748724,10.05,9-5,REH,Mål,VB,81,Alfred JÖNSSON,,,,1,Niklas LANDIN
21,748724,10.33,,AAH,Tilkendt straffe,,18,Aleks VLAH,Forårs. str.,17,Andreas SØGAARD,,
22,748724,10.53,,AAH,Straffekast reddet,,15,Jack THURIN,,,,16,Ágúst BJÖRGVINSSON
23,748724,11.28,,REH,Skud reddet,VB,81,Alfred JÖNSSON,,,,1,Niklas LANDIN
24,748724,11.56,9-6,AAH,Mål,VB,3,Lukas NILSSON,,,,16,Ágúst BJÖRGVINSSON
25,748724,12.39,10-6,REH,Mål,Gbr,81,Alfred JÖNSSON,,,,1,Niklas LANDIN
26,748724,13.25,,AAH,Regelfejl,,3,Lukas NILSSON,,,,,
27,748724,13.57,,REH,Skud reddet,VF,31,Morten JØRGENSEN,,,,12,Fabian NORSTEN
28,748724,14.47,10-7,AAH,Mål,Gbr,18,Aleks VLAH,,,,16,Ágúst BJÖRGVINSSON
29,748724,14.56,11-7,REH,Mål,2:e,14,Nicolaj SPANGGAARD,Assist,4,Elvar ASGEIRSSON,12,Fabian NORSTEN
30,748724,15.32,,AAH,Skud reddet,PL,3,Lukas NILSSON,,,,16,Ágúst BJÖRGVINSSON
31,748724,15.38,,REH,Skud reddet,1:e,17,Andreas SØGAARD,,,,12,Fabian NORSTEN
32,748724,15.45,11-8,AAH,Mål,2:e,15,Jack THURIN,Assist,7,Thomas ARNOLDSEN,16,Ágúst BJÖRGVINSSON
33,748724,16.16,,REH,Regelfejl,,49,Karl WALLINIUS,,,,,
34,748724,17.02,,AAH,Skud forbi,PL,3,Lukas NILSSON,,,,16,Ágúst BJÖRGVINSSON
35,748724,17.44,,REH,Skud reddet,HB,81,Alfred JÖNSSON,,,,12,Fabian NORSTEN
36,748724,17.51,,AAH,Skud reddet,2:e,21,Henrik MØLLGAARD,,,,16,Ágúst BJÖRGVINSSON
37,748724,17.57,,REH,Fejlaflevering,,49,Karl WALLINIUS,,,,,
38,748724,18.02,11-9,AAH,Mål,1:e,21,Henrik MØLLGAARD,Assist,7,Thomas ARNOLDSEN,16,Ágúst BJÖRGVINSSON
39,748724,18.11,12-9,REH,Mål,2:e,49,Karl WALLINIUS,,,,12,Fabian NORSTEN
40,748724,18.54,12-10,AAH,Mål,PL,25,Marinus MUNK,,,,16,Ágúst BJÖRGVINSSON
41,748724,19.04,13-10,REH,Mål,2:e,4,Elvar ASGEIRSSON,Assist,49,Karl WALLINIUS,12,Fabian NORSTEN
42,748724,19.51,,AAH,Tilkendt straffe,,20,Felix MÖLLER,Forårs. str.,14,Nicolaj SPANGGAARD,,
43,748724,19.51,,REH,Udvisning,,14,Nicolaj SPANGGAARD,,,,,
44,748724,19.55,13-11,AAH,Mål på straffe,,23,Buster JUUL,,,,16,Ágúst BJÖRGVINSSON
45,748724,20.31,,REH,Tilkendt straffe,,4,Elvar ASGEIRSSON,Forårs. str.,11,Simon HALD,,
46,748724,20.31,,AAH,Udvisning,,11,Simon HALD,,,,,
47,748724,20.33,14-11,REH,Mål på straffe,,11,Mathias JØRGENSEN,,,,12,Fabian NORSTEN
48,748724,21.00,14-12,AAH,Mål,HB,18,Aleks VLAH,,,,16,Ágúst BJÖRGVINSSON
49,748724,21.30,15-12,REH,Mål,ST,17,Andreas SØGAARD,Assist,49,Karl WALLINIUS,12,Fabian NORSTEN
50,748724,21.50,,AAH,Skud på stolpe,Gbr,18,Aleks VLAH,,,,16,Ágúst BJÖRGVINSSON
51,748724,22.21,,REH,Skud reddet,PL,49,Karl WALLINIUS,,,,12,Fabian NORSTEN
52,748724,22.27,15-13,AAH,Mål,1:e,6,Sebastian BARTHOLD,Assist,7,Thomas ARNOLDSEN,16,Ágúst BJÖRGVINSSON
53,748724,22.48,,REH,Fejlaflevering,,49,Karl WALLINIUS,Bold erobret,7,Thomas ARNOLDSEN,,
54,748724,22.52,15-14,AAH,Mål,1:e,7,Thomas ARNOLDSEN,,,,16,Ágúst BJÖRGVINSSON
55,748724,22.54,,REH,Time out,,,,,,,,
56,748724,23.33,16-14,REH,Mål,VB,49,Karl WALLINIUS,,,,12,Fabian NORSTEN
57,748724,23.43,16-15,AAH,Mål,2:e,17,Martin LARSEN,Assist,7,Thomas ARNOLDSEN,16,Ágúst BJÖRGVINSSON
58,748724,24.12,17-15,REH,Mål,VF,31,Morten JØRGENSEN,Assist,81,Alfred JÖNSSON,12,Fabian NORSTEN
59,748724,24.49,17-16,AAH,Mål,Gbr,4,Patrick WIESMACH,Assist,17,Martin LARSEN,16,Ágúst BJÖRGVINSSON
60,748724,25.12,18-16,REH,Mål,HB,14,Nicolaj SPANGGAARD,Assist,49,Karl WALLINIUS,12,Fabian NORSTEN
61,748724,25.25,18-17,AAH,Mål,2:e,4,Patrick WIESMACH,Assist,7,Thomas ARNOLDSEN,16,Ágúst BJÖRGVINSSON
62,748724,25.55,19-17,REH,Mål,PL,81,Alfred JÖNSSON,,,,12,Fabian NORSTEN
63,748724,26.30,,AAH,Skud reddet,ST,20,Felix MÖLLER,,,,16,Ágúst BJÖRGVINSSON
64,748724,27.12,20-17,REH,Mål,HB,14,Nicolaj SPANGGAARD,Assist,81,Alfred JÖNSSON,12,Fabian NORSTEN
65,748724,27.48,20-18,AAH,Mål,ST,6,Sebastian BARTHOLD,Assist,7,Thomas ARNOLDSEN,16,Ágúst BJÖRGVINSSON
66,748724,27.56,21-18,REH,Mål,2:e,81,Alfred JÖNSSON,,,,12,Fabian NORSTEN
67,748724,28.31,,AAH,Time out,,,,,,,,
68,748724,28.54,,AAH,Skud forbi,HB,25,Marinus MUNK,,,,16,Ágúst BJÖRGVINSSON
69,748724,29.47,22-18,REH,Mål,Gbr,49,Karl WALLINIUS,,,,12,Fabian NORSTEN
70,748724,29.56,22-19,AAH,Mål,2:e,20,Felix MÖLLER,Assist,7,Thomas ARNOLDSEN,16,Ágúst BJÖRGVINSSON
71,748724,30.00,22-19,,Halvleg,,,,,,,,
72,748724,30.00,,,Start 2:e halvleg,,,,,,,,
73,748724,30.28,22-20,AAH,Mål,Gbr,6,Sebastian BARTHOLD,Assist,15,Jack THURIN,16,Ágúst BJÖRGVINSSON
74,748724,31.26,,REH,Fejlaflevering,,14,Nicolaj SPANGGAARD,Bold erobret,6,Sebastian BARTHOLD,,
75,748724,31.33,,AAH,Fejlaflevering,,15,Jack THURIN,,,,,
76,748724,32.50,,REH,Passivt spil,,0,,,,,,
77,748724,33.15,22-21,AAH,Mål,Gbr,3,Lukas NILSSON,,,,16,Ágúst BJÖRGVINSSON
78,748724,34.34,23-21,REH,Mål,VB,6,Jonathan WÜRTZ,,,,12,Fabian NORSTEN
79,748724,35.25,23-22,AAH,Mål,PL,18,Aleks VLAH,,,,16,Ágúst BJÖRGVINSSON
80,748724,35.37,,REH,Skud reddet,2:e,31,Morten JØRGENSEN,,,,12,Fabian NORSTEN
81,748724,35.47,,AAH,Tilkendt straffe,,15,Jack THURIN,Forårs. str.,49,Karl WALLINIUS,,
82,748724,36.10,23-23,AAH,Mål på straffe,,23,Buster JUUL,,,,1,Niklas KRAFT
83,748724,36.44,,REH,Skud reddet,Gbr,4,Elvar ASGEIRSSON,,,,12,Fabian NORSTEN
84,748724,37.15,,AAH,Tilkendt straffe,,11,Simon HALD,Forårs. str.,4,Elvar ASGEIRSSON,,
85,748724,37.15,,REH,Udvisning,,4,Elvar ASGEIRSSON,,,,,
86,748724,37.17,23-24,AAH,Mål på straffe,,23,Buster JUUL,,,,1,Niklas KRAFT
87,748724,38.23,24-24,REH,Mål,PL,49,Karl WALLINIUS,,,,12,Fabian NORSTEN
88,748724,38.41,24-25,AAH,Mål,Gbr,18,Aleks VLAH,Assist,11,Simon HALD,1,Niklas KRAFT
89,748724,39.10,25-25,REH,Mål,ST,17,Andreas SØGAARD,Assist,49,Karl WALLINIUS,12,Fabian NORSTEN
90,748724,40.00,,AAH,Skud reddet,PL,15,Jack THURIN,,,,1,Niklas KRAFT
91,748724,40.16,,REH,Tabt bold,,6,Jonathan WÜRTZ,Bold erobret,18,Aleks VLAH,,
92,748724,40.47,25-26,AAH,Mål,ST,11,Simon HALD,Assist,18,Aleks VLAH,1,Niklas KRAFT
93,748724,41.27,26-26,REH,Mål,Gbr,14,Nicolaj SPANGGAARD,Assist,17,Andreas SØGAARD,12,Fabian NORSTEN
94,748724,41.39,,AAH,Skud blokeret,2:e,3,Lukas NILSSON,Blok af (ret),17,Andreas SØGAARD,,
95,748724,42.22,26-27,AAH,Mål,Gbr,3,Lukas NILSSON,,,,1,Niklas KRAFT
96,748724,42.58,27-27,REH,Mål,VF,31,Morten JØRGENSEN,Assist,81,Alfred JÖNSSON,12,Fabian NORSTEN
97,748724,43.32,,AAH,Fejlaflevering,,3,Lukas NILSSON,,,,,
98,748724,43.36,28-27,REH,Mål,1:e,81,Alfred JÖNSSON,,,,12,Fabian NORSTEN
99,748724,43.49,,AAH,Tilkendt straffe,,6,Sebastian BARTHOLD,Forårs. str.,11,Mathias JØRGENSEN,,
100,748724,43.52,28-28,AAH,Mål på straffe,,23,Buster JUUL,,,,16,Ágúst BJÖRGVINSSON
101,748724,44.49,,REH,Skud blokeret,VB,6,Jonathan WÜRTZ,Blok af (ret),15,Jack THURIN,,
102,748724,44.59,29-28,REH,Mål,HB,4,Elvar ASGEIRSSON,,,,12,Fabian NORSTEN
103,748724,45.27,29-29,AAH,Mål,VF,6,Sebastian BARTHOLD,Assist,3,Lukas NILSSON,1,Niklas KRAFT
104,748724,45.36,,,,,,,,,,,
105,748724,46.13,,REH,Skud forbi,VF,31,Morten JØRGENSEN,,,,12,Fabian NORSTEN
106,748724,46.48,,AAH,Tilkendt straffe,,7,Thomas ARNOLDSEN,Forårs. str.,4,Elvar ASGEIRSSON,,
107,748724,47.08,29-30,AAH,Mål på straffe,,23,Buster JUUL,,,,1,Niklas KRAFT
108,748724,47.43,,AAH,Udvisning,,21,Henrik MØLLGAARD,,,,,
109,748724,48.01,,REH,Skud reddet,HF,11,Mathias JØRGENSEN,,,,12,Fabian NORSTEN
110,748724,48.33,29-31,AAH,Mål,Gbr,7,Thomas ARNOLDSEN,,,,1,Niklas KRAFT
111,748724,49.06,,REH,Skud reddet,VB,49,Karl WALLINIUS,,,,12,Fabian NORSTEN
112,748724,50.16,,AAH,Skud blokeret,HB,7,Thomas ARNOLDSEN,Blok af (ret),49,Karl WALLINIUS,,
113,748724,50.29,,AAH,Regelfejl,,20,Felix MÖLLER,,,,,
114,748724,51.03,,AAH,Udvisning,,7,Thomas ARNOLDSEN,,,,,
115,748724,51.03,,AAH,Advarsel,A,,Simon DAHL,,,,,
116,748724,51.18,,REH,Skud på stolpe,VF,31,Morten JØRGENSEN,,,,12,Fabian NORSTEN
117,748724,52.10,29-32,AAH,Mål,HF,4,Patrick WIESMACH,Assist,3,Lukas NILSSON,1,Niklas KRAFT
118,748724,52.39,,REH,Fejlaflevering,,49,Karl WALLINIUS,,,,,
119,748724,52.44,29-33,AAH,Mål,1:e,4,Patrick WIESMACH,Assist,6,Sebastian BARTHOLD,1,Niklas KRAFT
120,748724,52.45,,REH,Time out,,,,,,,,
121,748724,52.58,30-33,REH,Mål,PL,49,Karl WALLINIUS,,,,12,Fabian NORSTEN
122,748724,53.27,,REH,Udvisning,,49,Karl WALLINIUS,,,,,
123,748724,53.40,30-34,AAH,Mål,ST,11,Simon HALD,Assist,18,Aleks VLAH,16,Ágúst BJÖRGVINSSON
124,748724,54.10,,REH,Tilkendt straffe,,4,Elvar ASGEIRSSON,Forårs. str.,7,Thomas ARNOLDSEN,,
125,748724,54.13,31-34,REH,Mål på straffe,,11,Mathias JØRGENSEN,,,,12,Fabian NORSTEN
126,748724,54.29,,AAH,Time out,,,,,,,,
127,748724,54.42,31-35,AAH,Mål,VF,6,Sebastian BARTHOLD,Assist,7,Thomas ARNOLDSEN,16,Ágúst BJÖRGVINSSON
128,748724,55.03,32-35,REH,Mål,PL,14,Nicolaj SPANGGAARD,,,,12,Fabian NORSTEN
129,748724,55.28,,AAH,Skud reddet,VB,7,Thomas ARNOLDSEN,,,,16,Ágúst BJÖRGVINSSON
130,748724,55.45,33-35,REH,Mål,Gbr,81,Alfred JÖNSSON,,,,12,Fabian NORSTEN
131,748724,56.19,,AAH,Tilkendt straffe,,7,Thomas ARNOLDSEN,Forårs. str.,4,Elvar ASGEIRSSON,,
132,748724,56.24,33-36,AAH,Mål på straffe,,23,Buster JUUL,,,,16,Ágúst BJÖRGVINSSON
133,748724,56.46,34-36,REH,Mål,ST,17,Andreas SØGAARD,Assist,4,Elvar ASGEIRSSON,12,Fabian NORSTEN
134,748724,57.19,34-37,AAH,Mål,Gbr,4,Patrick WIESMACH,Assist,18,Aleks VLAH,16,Ágúst BJÖRGVINSSON
135,748724,57.32,35-37,REH,Mål,2:e,81,Alfred JÖNSSON,,,,12,Fabian NORSTEN
136,748724,58.06,35-38,AAH,Mål,VF,6,Sebastian BARTHOLD,Assist,3,Lukas NILSSON,16,Ágúst BJÖRGVINSSON
137,748724,58.29,36-38,REH,Mål,VB,4,Elvar ASGEIRSSON,Assist,81,Alfred JÖNSSON,12,Fabian NORSTEN
138,748724,58.59,36-39,AAH,Mål,Gbr,7,Thomas ARNOLDSEN,,,,16,Ágúst BJÖRGVINSSON
139,748724,59.15,,REH,Tilkendt straffe,,4,Elvar ASGEIRSSON,Forårs. str.,7,Thomas ARNOLDSEN,,
140,748724,59.18,37-39,REH,Mål på straffe,,11,Mathias JØRGENSEN,,,,12,Fabian NORSTEN
141,748724,59.39,,AAH,Time out,,,,,,,,
142,748724,59.47,,AAH,Skud reddet,VF,6,Sebastian BARTHOLD,Retur,0,,16,Ágúst BJÖRGVINSSON
143,748724,59.56,,AAH,Skud reddet,ST,20,Felix MÖLLER,Retur,0,,16,Ágúst BJÖRGVINSSON
