id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748725,0.00,,,Start 1:e halvleg,,,,,,,,
2,748725,0.35,1-0,TMS,Mål,Gbr,19,Benjamin HALLGREN,,,,1,Christoffer BONDE
3,748725,1.19,,SKH,Fejlaflevering,,13,Noah GAUDIN,Bold erobret,81,Tobias NIELSEN,,
4,748725,1.46,2-0,TMS,Mål,ST,2,Joachim MØLLER,Assist,5,Mark NIKOLAJSEN,1,Christoffer BONDE
5,748725,1.56,2-1,SKH,Mål,PL,22,Jakob RASMUSSEN,,,,16,Andreas HAAGEN
6,748725,2.26,3-1,TMS,Mål,Gbr,19,Benjamin HALLGREN,Assist,5,Mark NIKOLAJSEN,1,Christoffer BONDE
7,748725,2.36,,SKH,Skud på stolpe,PL,13,Noah GAUDIN,,,,16,Andreas HAAGEN
8,748725,3.04,4-1,TMS,Mål,Gbr,5,Mark NIKOLAJSEN,,,,1,Christoffer BONDE
9,748725,4.15,,SKH,Skud reddet,VB,22,Jakob RASMUSSEN,,,,16,Andreas HAAGEN
10,748725,4.54,5-1,TMS,Mål,PL,5,Mark NIKOLAJSEN,,,,1,Christoffer BONDE
11,748725,5.29,5-2,SKH,Mål,Gbr,10,Joaquim NAZARÉ,Assist,22,Jakob RASMUSSEN,16,Andreas HAAGEN
12,748725,6.13,,TMS,Fejlaflevering,,19,Benjamin HALLGREN,Bold erobret,14,Emil BERGHOLT,,
13,748725,6.49,,TMS,Udvisning,,19,Benjamin HALLGREN,,,,,
14,748725,7.02,5-3,SKH,Mål,ST,7,Senjamin BURIC,Assist,13,Noah GAUDIN,16,Andreas HAAGEN
15,748725,7.37,6-3,TMS,Mål,Gbr,44,Tobias TOMBAK,,,,1,Christoffer BONDE
16,748725,8.07,6-4,SKH,Mål,HB,10,Joaquim NAZARÉ,,,,16,Andreas HAAGEN
17,748725,8.55,,TMS,Skud forbi,VB,7,Christoffer DREYER,,,,1,Christoffer BONDE
18,748725,9.57,6-5,SKH,Mål,PL,10,Joaquim NAZARÉ,Assist,22,Jakob RASMUSSEN,16,Andreas HAAGEN
19,748725,10.27,7-5,TMS,Mål,ST,2,Joachim MØLLER,Assist,19,Benjamin HALLGREN,1,Christoffer BONDE
20,748725,11.02,,SKH,Skud reddet,HF,21,René RASMUSSEN,,,,16,Andreas HAAGEN
21,748725,11.40,,TMS,Fejlaflevering,,7,Christoffer DREYER,Bold erobret,21,René RASMUSSEN,,
22,748725,11.46,,SKH,Fejlaflevering,,21,René RASMUSSEN,Bold erobret,5,Mark NIKOLAJSEN,,
23,748725,12.06,8-5,TMS,Mål,PL,5,Mark NIKOLAJSEN,,,,1,Christoffer BONDE
24,748725,13.02,,SKH,Skud blokeret,VB,2,Mads BJERGFELT,Blok af (ret),2,Joachim MØLLER,,
25,748725,13.30,,SKH,Skud reddet,PL,22,Jakob RASMUSSEN,Retur,19,Bjarke CHRISTENSEN,16,Andreas HAAGEN
26,748725,13.39,,SKH,Regelfejl,,19,Bjarke CHRISTENSEN,,,,,
27,748725,14.16,,TMS,Fejlaflevering,,5,Mark NIKOLAJSEN,Bold erobret,18,Vetle RØNNINGEN,,
28,748725,14.19,8-6,SKH,Mål,1:e,19,Bjarke CHRISTENSEN,Assist,18,Vetle RØNNINGEN,,
29,748725,14.40,9-6,TMS,Mål,Gbr,19,Benjamin HALLGREN,,,,16,Tim WINKLER
30,748725,15.12,,SKH,Skud på stolpe,PL,10,Joaquim NAZARÉ,,,,16,Andreas HAAGEN
31,748725,15.21,,TMS,Skud på stolpe,PL,44,Tobias TOMBAK,,,,16,Tim WINKLER
32,748725,15.25,,SKH,Skud reddet,1:e,21,René RASMUSSEN,,,,16,Andreas HAAGEN
33,748725,15.35,10-6,TMS,Mål,ST,25,Anders AGGER,Assist,44,Tobias TOMBAK,16,Tim WINKLER
34,748725,16.08,10-7,SKH,Mål,Gbr,13,Noah GAUDIN,,,,16,Andreas HAAGEN
35,748725,16.37,,TMS,Skud reddet,Gbr,7,Christoffer DREYER,,,,16,Tim WINKLER
36,748725,16.50,,SKH,Skud reddet,HB,25,Eivind TANGEN,,,,16,Andreas HAAGEN
37,748725,16.55,,TMS,Skud reddet,1:e,27,Victor WOLF,,,,16,Tim WINKLER
38,748725,17.29,10-8,SKH,Mål,ST,21,René RASMUSSEN,,,,16,Andreas HAAGEN
39,748725,18.37,,TMS,Tilkendt straffe,,24,Simon OOMS,Forårs. str.,18,Vetle RØNNINGEN,,
40,748725,19.02,11-8,TMS,Mål på straffe,,49,Oscar LYKKE,,,,16,Tim WINKLER
41,748725,19.37,,TMS,Advarsel,,24,Simon OOMS,,,,,
42,748725,20.23,,SKH,Skud reddet,PL,22,Jakob RASMUSSEN,,,,16,Andreas HAAGEN
43,748725,20.31,12-8,TMS,Mål,2:e,44,Tobias TOMBAK,,,,16,Tim WINKLER
44,748725,20.39,,SKH,Time out,,,,,,,,
45,748725,20.53,,SKH,Skud reddet,VF,19,Bjarke CHRISTENSEN,Retur,0,,16,Andreas HAAGEN
46,748725,21.34,,SKH,Skud blokeret,PL,13,Noah GAUDIN,Blok af (ret),24,Simon OOMS,,
47,748725,21.46,,SKH,Skud på stolpe,Gbr,10,Joaquim NAZARÉ,,,,16,Andreas HAAGEN
48,748725,21.52,,TMS,Fejlaflevering,,44,Tobias TOMBAK,Bold erobret,13,Noah GAUDIN,,
49,748725,21.59,,SKH,Skud reddet,1:e,19,Bjarke CHRISTENSEN,,,,16,Andreas HAAGEN
50,748725,22.23,,TMS,Skud reddet,ST,2,Joachim MØLLER,,,,16,Tim WINKLER
51,748725,22.38,,SKH,Skud reddet,ST,7,Senjamin BURIC,,,,16,Andreas HAAGEN
52,748725,23.17,,SKH,Advarsel,,7,Senjamin BURIC,,,,,
53,748725,23.20,13-8,TMS,Mål,VB,7,Christoffer DREYER,,,,16,Tim WINKLER
54,748725,23.54,,SKH,Tilkendt straffe,,19,Bjarke CHRISTENSEN,Forårs. str.,7,Christoffer DREYER,,
55,748725,24.03,13-9,SKH,Mål på straffe,,15,Lasse MIKKELSEN,,,,29,Malte EICHHORST
56,748725,24.54,14-9,TMS,Mål,PL,19,Benjamin HALLGREN,,,,16,Tim WINKLER
