id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748726,0.00,,,Start 1:e halvleg,,,,,,,,
2,748726,0.43,,FHK,Skud reddet,Gbr,93,Anders MARTINUSEN,,,,16,Sander HEIEREN
3,748726,1.13,,TTH,Fejlaflevering,,18,Edwin ASPENBÄCK,,,,,
4,748726,1.22,1-0,FHK,Mål,2:e,93,Anders MARTINUSEN,,,,16,Sander HEIEREN
5,748726,2.33,,TTH,Fejlaflevering,,11,Thomas DAMGAARD,Bold erobret,13,Lasse BALSTAD,,
6,748726,3.08,,FHK,Fejlaflevering,,93,Anders MARTINUSEN,Bold erobret,6,Frederik BJERRE,,
7,748726,3.44,,TTH,Fejlaflevering,,7,William AAR,,,,,
8,748726,4.45,,FHK,Tilkendt straffe,,41,Evgeni PEVNOV,Forårs. str.,21,Mathias SMED,,
9,748726,5.12,2-0,FHK,Mål på straffe,,7,Kasper YOUNG,,,,16,Sander HEIEREN
10,748726,5.45,2-1,TTH,Mål,VF,6,Frederik BJERRE,Assist,7,William AAR,12,Rasmus Storm JENSEN
11,748726,6.15,3-1,FHK,Mål,Gbr,31,William ANDERSSON MOBERG,Assist,93,Anders MARTINUSEN,16,Sander HEIEREN
12,748726,6.24,,TTH,Regelfejl,,18,Edwin ASPENBÄCK,,,,,
13,748726,6.56,4-1,FHK,Mål,HB,93,Anders MARTINUSEN,,,,16,Sander HEIEREN
14,748726,7.50,,TTH,Skud reddet,Gbr,7,William AAR,,,,12,Rasmus Storm JENSEN
15,748726,8.01,,FHK,Regelfejl,,97,Reinier TABOADA,,,,,
16,748726,8.27,,TTH,Skud reddet,VB,7,William AAR,,,,12,Rasmus Storm JENSEN
17,748726,9.22,5-1,FHK,Mål,Gbr,97,Reinier TABOADA,,,,16,Sander HEIEREN
18,748726,9.34,,TTH,Time out,,,,,,,,
19,748726,9.48,,TTH,Fejlaflevering,,18,Edwin ASPENBÄCK,,,,,
20,748726,9.53,6-1,FHK,Mål,1:e,41,Evgeni PEVNOV,Assist,9,Martin BISGAARD,16,Sander HEIEREN
21,748726,10.29,6-2,TTH,Mål,Gbr,11,Thomas DAMGAARD,,,,12,Rasmus Storm JENSEN
22,748726,11.04,,TTH,Udvisning,,25,Jonas PORUP,,,,,
23,748726,11.21,7-2,FHK,Mål,VF,9,Martin BISGAARD,Assist,97,Reinier TABOADA,16,Sander HEIEREN
24,748726,11.54,7-3,TTH,Mål,VB,7,William AAR,,,,12,Rasmus Storm JENSEN
25,748726,12.11,8-3,FHK,Mål,Gbr,97,Reinier TABOADA,Assist,93,Anders MARTINUSEN,16,Sander HEIEREN
26,748726,13.16,,TTH,Tilkendt straffe,,7,William AAR,Forårs. str.,20,Fredrik MOSSESTAD,,
27,748726,13.29,8-4,TTH,Mål på straffe,,6,Frederik BJERRE,,,,12,Rasmus Storm JENSEN
28,748726,14.01,9-4,FHK,Mål,Gbr,31,William ANDERSSON MOBERG,,,,16,Sander HEIEREN
29,748726,14.41,,TTH,Skud forbi,PL,11,Thomas DAMGAARD,,,,12,Rasmus Storm JENSEN
30,748726,15.15,,FHK,Regelfejl,,93,Anders MARTINUSEN,,,,,
31,748726,15.47,,TTH,Regelfejl,,11,Thomas DAMGAARD,,,,,
32,748726,15.50,10-4,FHK,Mål,1:e,93,Anders MARTINUSEN,,,,0,
33,748726,16.26,10-5,TTH,Mål,PL,11,Thomas DAMGAARD,,,,12,Rasmus Storm JENSEN
34,748726,17.03,,FHK,Skud blokeret,PL,97,Reinier TABOADA,Blok af (ret),21,Mathias SMED,,
35,748726,17.28,,FHK,Tilkendt straffe,,41,Evgeni PEVNOV,Forårs. str.,4,Christoffer CICHOSZ,,
36,748726,17.48,11-5,FHK,Mål på straffe,,7,Kasper YOUNG,,,,16,Sander HEIEREN
37,748726,18.19,,TTH,Skud reddet,HB,13,Sven EHRIG,Retur,0,,12,Rasmus Storm JENSEN
38,748726,18.39,,TTH,Skud på stolpe,Gbr,13,Sven EHRIG,,,,12,Rasmus Storm JENSEN
39,748726,19.10,,FHK,Tabt bold,,97,Reinier TABOADA,,,,,
