id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748729,0.00,,,Start 1:e halvleg,,,,,,,,
2,748729,0.44,,GIF,Skud reddet,VF,20,Frederik IVERSEN,,,,12,Peter JOHANNESSON
3,748729,1.14,,GOG,Skud reddet,Gbr,3,Nicolai PEDERSEN,,,,16,Christian WETCHE
4,748729,1.58,,GIF,Skud blokeret,PL,4,Frederik NIELSEN,Blokeret af,66,Anton LINDSKOG,,
5,748729,2.05,1-0,GOG,Mål,2:e,29,Hjalte LYKKE,,,,16,Christian WETCHE
6,748729,2.14,,GIF,Skud reddet,2:e,14,Nicolai SKYTTE,,,,12,Peter JOHANNESSON
7,748729,2.19,2-0,GOG,Mål,1:e,7,Lasse VILHELMSEN,Assist,3,Nicolai PEDERSEN,16,Christian WETCHE
8,748729,3.24,,GIF,Skud blokeret,PL,14,Nicolai SKYTTE,Blokeret af,66,Anton LINDSKOG,,
9,748729,3.32,,GOG,Skud forbi,1:e,9,Henrik JAKOBSEN,,,,16,Christian WETCHE
10,748729,4.10,2-1,GIF,Mål,Gbr,4,Frederik NIELSEN,,,,12,Peter JOHANNESSON
11,748729,5.18,3-1,GOG,Mål,HB 29,29,Hjalte LYKKE,,,,16,Christian WETCHE
12,748729,6.15,,GIF,Tilkendt straffe,,4,Frederik NIELSEN,Forårs. str.,9,Henrik JAKOBSEN,,
13,748729,6.17,3-2,GIF,Mål på straffe,,20,Frederik IVERSEN,,,,12,Peter JOHANNESSON
14,748729,7.05,,GIF,Advarsel,,8,Rolf RAVN,,,,,
15,748729,7.41,4-2,GOG,Mål,Gbr 15,15,Tobias GRØNDAHL,,,,16,Christian WETCHE
16,748729,8.29,4-3,GIF,Mål,ST,17,Kristian Krag ØRSTED,Assist,21,Kristoffer VESTERGAARD,12,Peter JOHANNESSON
17,748729,8.36,,GOG,Tilkendt straffe,,29,Hjalte LYKKE,Forårs. str.,11,Kristoffer JESSEN,,
18,748729,8.36,,GIF,Udvisning,,11,Kristoffer JESSEN,,,,,
19,748729,8.38,5-3,GOG,Mål på straffe,,15,Tobias GRØNDAHL,,,,16,Christian WETCHE
20,748729,9.24,,GIF,Regelfejl,,17,Kristian Krag ØRSTED,,,,,
21,748729,9.32,6-3,GOG,Mål,2:e,23,Joachim Lyng ALS,Assist,15,Tobias GRØNDAHL,16,Christian WETCHE
22,748729,10.32,6-4,GIF,Mål,VF,20,Frederik IVERSEN,Assist,14,Nicolai SKYTTE,12,Peter JOHANNESSON
23,748729,11.21,,GOG,Skud reddet,VB,3,Nicolai PEDERSEN,Retur,15,Tobias GRØNDAHL,16,Christian WETCHE
24,748729,11.27,7-4,GOG,Mål,HF,7,Lasse VILHELMSEN,Assist,29,Hjalte LYKKE,16,Christian WETCHE
25,748729,11.34,,GIF,Time out,,,,,,,,
26,748729,11.58,7-5,GIF,Mål,ST,17,Kristian Krag ØRSTED,Assist,18,Martin RISOM,12,Peter JOHANNESSON
27,748729,12.37,8-5,GOG,Mål,HF,7,Lasse VILHELMSEN,Assist,15,Tobias GRØNDAHL,16,Christian WETCHE
28,748729,13.07,8-6,GIF,Mål,PL,18,Martin RISOM,,,,12,Peter JOHANNESSON
29,748729,13.52,9-6,GOG,Mål,PL,15,Tobias GRØNDAHL,,,,16,Christian WETCHE
30,748729,13.58,9-7,GIF,Mål,2:e,14,Nicolai SKYTTE,,,,12,Peter JOHANNESSON
