id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748731,0.00,,,Start 1:e halvleg,,,,,,,,
2,748731,0.43,,TTH,Tilkendt straffe,,11,Thomas DAMGAARD,Forårs. str.,28,Rasmus MADSEN,,
3,748731,0.55,1-0,TTH,Mål på straffe,,6,Frederik BJERRE,,,,30,Svend RUGHAVE
4,748731,1.55,1-1,MTH,Mål,PL,21,Marcus MIDTGAARD,,,,16,Sander HEIEREN
5,748731,2.29,2-1,TTH,Mål,Gbr,7,William AAR,,,,30,Svend RUGHAVE
6,748731,3.08,,MTH,Tilkendt straffe,,21,Marcus MIDTGAARD,Forårs. str.,18,Edwin ASPENBÄCK,,
7,748731,3.15,2-2,MTH,Mål på straffe,,11,Lasse PEDERSEN,,,,16,Sander HEIEREN
8,748731,3.50,,TTH,Skud reddet,VB,7,William AAR,,,,30,Svend RUGHAVE
9,748731,4.22,,MTH,Tabt bold,,7,Nichlas HALD,,,,,
10,748731,4.54,,TTH,Tabt bold,,7,William AAR,,,,,
11,748731,5.00,,MTH,Skud reddet,1:e,7,Nichlas HALD,,,,16,Sander HEIEREN
12,748731,5.48,,TTH,Tilkendt straffe,,11,Thomas DAMGAARD,Forårs. str.,33,Kasper DIDRIKSEN,,
13,748731,6.10,3-2,TTH,Mål på straffe,,6,Frederik BJERRE,,,,30,Svend RUGHAVE
14,748731,6.37,,TTH,Advarsel,,21,Mathias SMED,,,,,
15,748731,6.58,,MTH,Tilkendt straffe,,7,Nichlas HALD,Forårs. str.,21,Mathias SMED,,
16,748731,7.25,,MTH,Straffekast forbi,,11,Lasse PEDERSEN,,,,16,Sander HEIEREN
17,748731,7.53,4-2,TTH,Mål,ST,4,Christoffer CICHOSZ,Assist,11,Thomas DAMGAARD,30,Svend RUGHAVE
18,748731,8.05,4-3,MTH,Mål,2:e,23,Henrik TILSTED,Assist,7,Nichlas HALD,16,Sander HEIEREN
19,748731,8.13,,TTH,Skud reddet,VB,7,William AAR,Retur,0,,30,Svend RUGHAVE
20,748731,8.21,5-3,TTH,Mål,Gbr,7,William AAR,Assist,6,Frederik BJERRE,30,Svend RUGHAVE
21,748731,9.27,,MTH,Regelfejl,,28,Rasmus MADSEN,,,,,
22,748731,10.02,,TTH,Tilkendt straffe,,18,Edwin ASPENBÄCK,Forårs. str.,23,Henrik TILSTED,,
23,748731,10.12,6-3,TTH,Mål på straffe,,6,Frederik BJERRE,,,,20,Oliver LARSEN
24,748731,11.38,,MTH,Tabt bold,,21,Marcus MIDTGAARD,,,,,
25,748731,11.43,7-3,TTH,Mål,1:e,28,Kevin GULLIKSEN,Assist,25,Jonas PORUP,30,Svend RUGHAVE
26,748731,12.26,7-4,MTH,Mål,ST,28,Rasmus MADSEN,Assist,7,Nichlas HALD,16,Sander HEIEREN
27,748731,12.39,8-4,TTH,Mål,PL,7,William AAR,Assist,18,Edwin ASPENBÄCK,30,Svend RUGHAVE
28,748731,13.22,,MTH,Skud reddet,VF,23,Henrik TILSTED,,,,16,Sander HEIEREN
29,748731,13.28,,TTH,Udvisning,,28,Kevin GULLIKSEN,,,,,
30,748731,13.58,,MTH,Udvisning,,11,Lasse PEDERSEN,,,,,
31,748731,14.11,,TTH,Skud reddet,ST,4,Christoffer CICHOSZ,,,,30,Svend RUGHAVE
32,748731,14.48,8-5,MTH,Mål,Gbr,21,Marcus MIDTGAARD,,,,16,Sander HEIEREN
33,748731,15.13,9-5,TTH,Mål,VB,22,Nikolaj MARKUSSEN,,,,30,Svend RUGHAVE
34,748731,15.20,,MTH,Skud forbi,2:e,15,Henrik Toft HANSEN,,,,16,Sander HEIEREN
35,748731,15.47,,TTH,Tilkendt straffe,,11,Thomas DAMGAARD,Forårs. str.,4,Kasper LINDGREN,,
36,748731,16.10,10-5,TTH,Mål på straffe,,6,Frederik BJERRE,,,,30,Svend RUGHAVE
37,748731,16.48,10-6,MTH,Mål,Gbr,21,Marcus MIDTGAARD,,,,16,Sander HEIEREN
38,748731,17.47,11-6,TTH,Mål,HB,13,Sven EHRIG,,,,30,Svend RUGHAVE
39,748731,18.21,,MTH,Skud reddet,Gbr,9,Kristoffer VESTERGAARD,,,,16,Sander HEIEREN
40,748731,19.14,,TTH,Regelfejl,,13,Sven EHRIG,,,,,
41,748731,19.26,,MTH,Advarsel,,23,Henrik TILSTED,,,,,
42,748731,19.26,,MTH,Time out,,,,,,,,
43,748731,19.58,11-7,MTH,Mål,Gbr,19,Victor NORLYK,,,,16,Sander HEIEREN
44,748731,21.00,12-7,TTH,Mål,Gbr,7,William AAR,,,,30,Svend RUGHAVE
45,748731,21.07,,MTH,Tabt bold,,19,Victor NORLYK,,,,,
46,748731,21.13,13-7,TTH,Mål,1:e,6,Frederik BJERRE,,,,30,Svend RUGHAVE
47,748731,21.13,,MTH,Udvisning,,21,Marcus MIDTGAARD,,,,,
48,748731,21.13,,MTH,Advarsel,B,,Dennis Bo JENSEN,,,,,
49,748731,22.04,,MTH,Skud på stolpe,Gbr,28,Rasmus MADSEN,,,,16,Sander HEIEREN
50,748731,22.37,,TTH,Time out,,,,,,,,
51,748731,22.44,,TTH,Regelfejl,,4,Christoffer CICHOSZ,,,,,
52,748731,23.39,,MTH,Tilkendt straffe,,19,Victor NORLYK,Forårs. str.,25,Jonas PORUP,,
53,748731,24.09,,MTH,Straffekast reddet,,11,Lasse PEDERSEN,,,,16,Sander HEIEREN
54,748731,25.01,,MTH,Udvisning,,11,Lasse PEDERSEN,,,,,
55,748731,25.10,14-7,TTH,Mål,ST,23,Miha ZVIZEJ,Assist,22,Nikolaj MARKUSSEN,30,Svend RUGHAVE
56,748731,25.40,,MTH,Skud reddet,Gbr,28,Rasmus MADSEN,,,,16,Sander HEIEREN
57,748731,26.06,,TTH,Regelfejl,,3,Sebastian ØRUM,,,,,
58,748731,26.18,14-8,MTH,Mål,HF,17,Malthe BULL,,,,16,Sander HEIEREN
59,748731,26.50,,TTH,Tabt bold,,28,Kevin GULLIKSEN,,,,,
60,748731,27.35,14-9,MTH,Mål,HF,17,Malthe BULL,Assist,28,Rasmus MADSEN,16,Sander HEIEREN
61,748731,28.35,,TTH,Skud på stolpe,VB,7,William AAR,,,,20,Oliver LARSEN
62,748731,29.29,,MTH,Regelfejl,,7,Nichlas HALD,,,,,
63,748731,29.56,,TTH,Skud reddet,HB,22,Nikolaj MARKUSSEN,,,,20,Oliver LARSEN
64,748731,30.00,14-9,,Halvleg,,,,,,,,
65,748731,30.00,,,Start 2:e halvleg,,,,,,,,
66,748731,30.39,,MTH,Regelfejl,,33,Kasper DIDRIKSEN,,,,,
67,748731,30.46,,TTH,Regelfejl,,7,William AAR,,,,,
68,748731,31.43,,MTH,Skud forbi,PL,19,Victor NORLYK,,,,16,Sander HEIEREN
69,748731,32.39,15-9,TTH,Mål,ST,4,Christoffer CICHOSZ,Assist,11,Thomas DAMGAARD,20,Oliver LARSEN
70,748731,32.54,15-10,MTH,Mål,2:e,21,Marcus MIDTGAARD,,,,16,Sander HEIEREN
71,748731,33.02,,TTH,Fejlaflevering,,7,William AAR,,,,,
72,748731,33.43,15-11,MTH,Mål,Gbr,19,Victor NORLYK,,,,16,Sander HEIEREN
73,748731,33.54,16-11,TTH,Mål,2:e,18,Edwin ASPENBÄCK,,,,20,Oliver LARSEN
74,748731,34.04,,MTH,Tilkendt straffe,,19,Victor NORLYK,Forårs. str.,21,Mathias SMED,,
75,748731,34.04,,TTH,Udvisning,,21,Mathias SMED,,,,,
76,748731,34.09,16-12,MTH,Mål på straffe,,17,Malthe BULL,,,,16,Sander HEIEREN
77,748731,34.53,,MTH,Udvisning,,33,Kasper DIDRIKSEN,,,,,
78,748731,35.06,17-12,TTH,Mål,VB,7,William AAR,,,,20,Oliver LARSEN
79,748731,35.20,17-13,MTH,Mål,2:e,7,Nichlas HALD,,,,16,Sander HEIEREN
80,748731,35.55,18-13,TTH,Mål,ST,4,Christoffer CICHOSZ,Assist,6,Frederik BJERRE,20,Oliver LARSEN
81,748731,36.47,18-14,MTH,Mål,Gbr,21,Marcus MIDTGAARD,Assist,7,Nichlas HALD,16,Sander HEIEREN
82,748731,36.55,19-14,TTH,Mål,2:e,28,Kevin GULLIKSEN,Assist,18,Edwin ASPENBÄCK,30,Svend RUGHAVE
83,748731,37.36,,MTH,Skud forbi,PL,9,Kristoffer VESTERGAARD,,,,16,Sander HEIEREN
84,748731,37.41,20-14,TTH,Mål,2:e,7,William AAR,,,,30,Svend RUGHAVE
85,748731,37.50,,MTH,Time out,,,,,,,,
86,748731,38.30,20-15,MTH,Mål,PL,18,Anton HOUE,,,,16,Sander HEIEREN
87,748731,38.37,,TTH,Regelfejl,,21,Mathias SMED,,,,,
88,748731,39.43,,MTH,Fejlaflevering,,18,Anton HOUE,,,,,
89,748731,40.08,21-15,TTH,Mål,PL,7,William AAR,,,,30,Svend RUGHAVE
90,748731,40.57,21-16,MTH,Mål,Gbr,21,Marcus MIDTGAARD,Assist,28,Rasmus MADSEN,16,Sander HEIEREN
