id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748732,0.00,,,Start 1:e halvleg,,,,,,,,
2,748732,0.51,0-1,FHK,Mål,ST,41,Evgeni PEVNOV,Assist,31,William ANDERSSON MOBERG,1,Christoffer BONDE
3,748732,1.36,1-1,SKH,Mål,ST,7,Senjamin BURIC,Assist,13,Noah GAUDIN,19,Martin NAGY
4,748732,2.22,,FHK,Tilkendt straffe,,97,Reinier TABOADA,Forårs. str.,21,René RASMUSSEN,,
5,748732,2.48,1-2,FHK,Mål på straffe,,7,Kasper YOUNG,,,,1,Christoffer BONDE
6,748732,3.18,,FHK,Advarsel,,97,Reinier TABOADA,,,,,
7,748732,3.41,2-2,SKH,Mål,Gbr,10,Joaquim NAZARÉ,Assist,22,Jakob RASMUSSEN,19,Martin NAGY
8,748732,4.10,2-3,FHK,Mål,PL,97,Reinier TABOADA,,,,1,Christoffer BONDE
9,748732,4.50,3-3,SKH,Mål,HB,13,Noah GAUDIN,,,,19,Martin NAGY
10,748732,5.40,,FHK,Skud reddet,ST,41,Evgeni PEVNOV,,,,1,Christoffer BONDE
11,748732,5.48,4-3,SKH,Mål,2:e,22,Jakob RASMUSSEN,,,,19,Martin NAGY
12,748732,6.15,,SKH,Advarsel,,7,Senjamin BURIC,,,,,
13,748732,6.41,,FHK,Skud reddet,Gbr,97,Reinier TABOADA,,,,1,Christoffer BONDE
14,748732,6.49,5-3,SKH,Mål,2:e,10,Joaquim NAZARÉ,,,,19,Martin NAGY
15,748732,7.38,,FHK,Skud forbi,PL,93,Anders MARTINUSEN,,,,1,Christoffer BONDE
16,748732,8.39,,SKH,Fejlaflevering,,10,Joaquim NAZARÉ,,,,,
17,748732,8.43,,FHK,Skud på stolpe,2:e,97,Reinier TABOADA,,,,1,Christoffer BONDE
18,748732,8.53,,FHK,Advarsel,,93,Anders MARTINUSEN,,,,,
19,748732,9.20,6-3,SKH,Mål,ST,7,Senjamin BURIC,Assist,13,Noah GAUDIN,19,Martin NAGY
20,748732,9.36,,FHK,Fejlaflevering,,97,Reinier TABOADA,Bold erobret,13,Noah GAUDIN,,
21,748732,9.40,,SKH,Skud reddet,1:e,13,Noah GAUDIN,,,,19,Martin NAGY
22,748732,10.16,6-4,FHK,Mål,HF,20,Fredrik MOSSESTAD,Assist,93,Anders MARTINUSEN,1,Christoffer BONDE
23,748732,11.06,,SKH,Skud reddet,Gbr,10,Joaquim NAZARÉ,,,,19,Martin NAGY
24,748732,11.18,6-5,FHK,Mål,ST,41,Evgeni PEVNOV,,,,1,Christoffer BONDE
25,748732,11.54,,SKH,Skud på stolpe,HF,21,René RASMUSSEN,,,,19,Martin NAGY
26,748732,12.33,6-6,FHK,Mål,VF,9,Martin BISGAARD,Assist,97,Reinier TABOADA,1,Christoffer BONDE
27,748732,12.41,,SKH,Skud reddet,2:e,10,Joaquim NAZARÉ,,,,19,Martin NAGY
