id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748733,0.00,,,Start 1:e halvleg,,,,,,,,
2,748733,0.28,1-0,AAH,Mål,PL,17,Martin LARSEN,,,,16,Andreas HAAGEN
3,748733,1.04,1-1,TMS,Mål,HF,81,Tobias NIELSEN,Assist,19,Benjamin HALLGREN,1,Niklas LANDIN
4,748733,1.42,,AAH,Fejlaflevering,,18,Aleks VLAH,,,,,
5,748733,1.55,,TMS,Tabt bold,,19,Benjamin HALLGREN,,,,,
6,748733,2.03,,AAH,Skud reddet,2:e,19,Kristian BJØRNSEN,,,,16,Andreas HAAGEN
7,748733,2.22,1-2,TMS,Mål,ST,25,Anders AGGER,Assist,5,Mark NIKOLAJSEN,1,Niklas LANDIN
8,748733,2.46,,TMS,Advarsel,,25,Anders AGGER,,,,,
9,748733,3.20,,AAH,Skud blokeret,PL,17,Martin LARSEN,Blokeret af,44,Tobias TOMBAK,,
10,748733,3.45,1-3,TMS,Mål,1:e,19,Benjamin HALLGREN,,,,1,Niklas LANDIN
11,748733,3.55,2-3,AAH,Mål,2:e,18,Aleks VLAH,,,,16,Andreas HAAGEN
12,748733,4.08,2-4,TMS,Mål,Gbr,19,Benjamin HALLGREN,,,,1,Niklas LANDIN
13,748733,4.15,3-4,AAH,Mål,2:e,7,Thomas ARNOLDSEN,,,,16,Andreas HAAGEN
14,748733,4.57,,TMS,Tabt bold,,19,Benjamin HALLGREN,,,,,
15,748733,5.10,4-4,AAH,Mål,1:e,1,Niklas LANDIN,,,,0,
16,748733,5.44,,TMS,Skud reddet,PL,5,Mark NIKOLAJSEN,,,,1,Niklas LANDIN
17,748733,5.53,,AAH,Regelfejl,,7,Thomas ARNOLDSEN,,,,,
18,748733,6.20,4-5,TMS,Mål,ST,44,Tobias TOMBAK,Assist,19,Benjamin HALLGREN,1,Niklas LANDIN
19,748733,6.33,5-5,AAH,Mål,2:e,7,Thomas ARNOLDSEN,,,,16,Andreas HAAGEN
20,748733,7.03,,TMS,Skud forbi,PL,5,Mark NIKOLAJSEN,,,,1,Niklas LANDIN
21,748733,7.08,6-5,AAH,Mål,1:e,1,Niklas LANDIN,,,,0,
22,748733,7.27,6-6,TMS,Mål,ST,44,Tobias TOMBAK,Assist,19,Benjamin HALLGREN,1,Niklas LANDIN
23,748733,7.51,7-6,AAH,Mål,Gbr,7,Thomas ARNOLDSEN,,,,16,Andreas HAAGEN
24,748733,8.18,7-7,TMS,Mål,HB,19,Benjamin HALLGREN,,,,1,Niklas LANDIN
25,748733,8.50,8-7,AAH,Mål,HF,19,Kristian BJØRNSEN,Assist,17,Martin LARSEN,16,Andreas HAAGEN
26,748733,9.31,,TMS,Regelfejl,,35,Mikkel PREHN,,,,,
27,748733,9.35,9-7,AAH,Mål,2:e,7,Thomas ARNOLDSEN,,,,16,Andreas HAAGEN
28,748733,10.26,,TMS,Tilkendt straffe,,81,Tobias NIELSEN,Forårs. str.,6,Sebastian BARTHOLD,1,Niklas LANDIN
29,748733,10.26,,TMS,Straffekast reddet,,27,Victor WOLF,,,,1,Niklas LANDIN
30,748733,10.59,10-7,AAH,Mål,HF,19,Kristian BJØRNSEN,Assist,7,Thomas ARNOLDSEN,16,Andreas HAAGEN
31,748733,11.45,,TMS,Skud blokeret,PL,5,Mark NIKOLAJSEN,Blok af (ret),11,Simon HALD,,
32,748733,11.57,10-8,TMS,Mål,Gbr,5,Mark NIKOLAJSEN,,,,1,Niklas LANDIN
33,748733,12.44,,TMS,Udvisning,,35,Mikkel PREHN,,,,,
34,748733,13.07,,AAH,Skud reddet,VF,6,Sebastian BARTHOLD,,,,16,Andreas HAAGEN
35,748733,14.03,,TMS,Skud reddet,VB,7,Christoffer DREYER,,,,1,Niklas LANDIN
36,748733,14.34,,AAH,Regelfejl,,19,Kristian BJØRNSEN,,,,,
37,748733,14.52,,TMS,Tabt bold,,10,Frederik HORN,,,,,
38,748733,15.00,11-8,AAH,Mål,1:e,20,Felix MÖLLER,,,,0,
39,748733,15.25,11-9,TMS,Mål,Gbr,10,Frederik HORN,,,,1,Niklas LANDIN
40,748733,15.56,,AAH,Fejlaflevering,,19,Kristian BJØRNSEN,Bold erobret,44,Tobias TOMBAK,,
