id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748734,0.00,,,Start 1:e halvleg,,,,,,,,
2,748734,0.33,,KIF,Skud reddet,HB,28,Lauritz LEGÉR,Retur,0,,16,Ágúst BJÖRGVINSSON
3,748734,0.37,,KIF,Skud reddet,ST,28,Lauritz LEGÉR,,,,16,Ágúst BJÖRGVINSSON
4,748734,0.46,,REH,Skud reddet,2:e,49,Karl WALLINIUS,Retur,0,,12,Josip CAVAR
5,748734,1.13,0-1,REH,Mål,PL,14,Nicolaj SPANGGAARD,,,,12,Josip CAVAR
6,748734,1.35,,KIF,Skud reddet,HB,5,Oliver NORLYK,,,,16,Ágúst BJÖRGVINSSON
7,748734,2.12,0-2,REH,Mål,PL,14,Nicolaj SPANGGAARD,,,,12,Josip CAVAR
8,748734,2.55,,KIF,Tilkendt straffe,,13,Mathias HEDEGAARD,Forårs. str.,17,Andreas SØGAARD,,
9,748734,2.56,,REH,Advarsel,,6,Jonathan WÜRTZ,,,,,
10,748734,2.59,1-2,KIF,Mål på straffe,,11,Magnus KRONBORG,,,,1,Niklas KRAFT
11,748734,3.50,,REH,Skud reddet,HB,14,Nicolaj SPANGGAARD,,,,12,Josip CAVAR
12,748734,3.55,2-2,KIF,Mål,1:e,4,Lars SKAARUP,Assist,5,Oliver NORLYK,16,Ágúst BJÖRGVINSSON
13,748734,4.08,,REH,Skud på stolpe,2:e,31,Morten JØRGENSEN,Retur,11,Mathias JØRGENSEN,12,Josip CAVAR
14,748734,4.13,2-3,REH,Mål,ST,11,Mathias JØRGENSEN,,,,12,Josip CAVAR
15,748734,4.42,,KIF,Tilkendt straffe,,28,Lauritz LEGÉR,Forårs. str.,11,Mathias JØRGENSEN,,
16,748734,5.05,3-3,KIF,Mål på straffe,,11,Magnus KRONBORG,,,,16,Ágúst BJÖRGVINSSON
17,748734,5.41,3-4,REH,Mål,HF,11,Mathias JØRGENSEN,Assist,81,Alfred JÖNSSON,12,Josip CAVAR
18,748734,5.55,,KIF,Fejlaflevering,,11,Magnus KRONBORG,,,,,
19,748734,6.04,,REH,Fejlaflevering,,16,Ágúst BJÖRGVINSSON,,,,,
20,748734,6.28,,KIF,Skud reddet,HB,5,Oliver NORLYK,,,,16,Ágúst BJÖRGVINSSON
21,748734,6.54,3-5,REH,Mål,HB,81,Alfred JÖNSSON,,,,12,Josip CAVAR
22,748734,7.42,,KIF,Tilkendt straffe,,11,Magnus KRONBORG,Forårs. str.,17,Andreas SØGAARD,,
23,748734,7.59,4-5,KIF,Mål på straffe,,11,Magnus KRONBORG,,,,16,Ágúst BJÖRGVINSSON
24,748734,8.33,,KIF,Advarsel,,6,Jonas TIDEMAND,,,,,
25,748734,8.54,4-6,REH,Mål,Gbr,14,Nicolaj SPANGGAARD,Assist,49,Karl WALLINIUS,12,Josip CAVAR
26,748734,9.08,,KIF,Tilkendt straffe,,28,Lauritz LEGÉR,Forårs. str.,14,Nicolaj SPANGGAARD,,
27,748734,9.13,,KIF,Straffekast reddet,,11,Magnus KRONBORG,,,,1,Niklas KRAFT
28,748734,9.46,,REH,Skud reddet,PL,49,Karl WALLINIUS,,,,12,Josip CAVAR
