id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748735,0.00,,,Start 1:e halvleg,,,,,,,,
2,748735,0.40,,SJE,Skud forbi,PL,11,Nicolaj JØRGENSEN,,,,29,Jimmi ANDERSEN
3,748735,1.21,0-1,NSH,Mål,Gbr,57,Nikolaj LARSSON,,,,30,Julius STEN
4,748735,1.33,,SJE,Skud reddet,ST,18,Morten BJØRNSHAUGE,,,,29,Jimmi ANDERSEN
5,748735,1.44,,NSH,Skud reddet,2:e,3,Carl-Emil HAUNSTRUP,,,,30,Julius STEN
6,748735,2.30,,SJE,Skud reddet,Gbr,48,Gabriel SETTERBLOM,,,,29,Jimmi ANDERSEN
7,748735,3.06,0-2,NSH,Mål,ST,5,Julius MØRCH,Assist,57,Nikolaj LARSSON,30,Julius STEN
8,748735,3.48,,SJE,Skud reddet,HB,48,Gabriel SETTERBLOM,,,,29,Jimmi ANDERSEN
9,748735,4.47,,NSH,Skud reddet,PL,57,Nikolaj LARSSON,,,,30,Julius STEN
10,748735,4.57,1-2,SJE,Mål,2:e,29,Magnus FREDRIKSEN,,,,29,Jimmi ANDERSEN
11,748735,5.30,,SJE,Udvisning,,18,Morten BJØRNSHAUGE,,,,,
12,748735,6.00,1-3,NSH,Mål,HF,3,Carl-Emil HAUNSTRUP,Assist,42,Matias CAMPBELL,30,Julius STEN
13,748735,6.36,2-3,SJE,Mål,HB,48,Gabriel SETTERBLOM,,,,29,Jimmi ANDERSEN
14,748735,7.12,,NSH,Regelfejl,,79,Oliver KLARSKOV,,,,,
15,748735,7.42,,SJE,Skud på stolpe,HB,48,Gabriel SETTERBLOM,,,,29,Jimmi ANDERSEN
16,748735,8.20,,NSH,Tilkendt straffe,,7,Léo MARTINEZ,Forårs. str.,18,Morten BJØRNSHAUGE,,
17,748735,8.20,,SJE,Udvisning,,18,Morten BJØRNSHAUGE,,,,,
18,748735,8.24,2-4,NSH,Mål på straffe,,3,Carl-Emil HAUNSTRUP,,,,30,Julius STEN
19,748735,9.14,3-4,SJE,Mål,Gbr,29,Magnus FREDRIKSEN,,,,29,Jimmi ANDERSEN
20,748735,9.21,,NSH,Udvisning,,11,Jonas RAUNDAHL,,,,,
21,748735,9.49,3-5,NSH,Mål,PL,42,Matias CAMPBELL,,,,30,Julius STEN
22,748735,10.15,4-5,SJE,Mål,Gbr,48,Gabriel SETTERBLOM,,,,29,Jimmi ANDERSEN
23,748735,11.11,,NSH,Regelfejl,,57,Nikolaj LARSSON,,,,,
24,748735,11.18,,SJE,Tilkendt straffe,,0,Forårs. str.,42,,Matias CAMPBELL,,
25,748735,11.18,,NSH,Udvisning,,42,Matias CAMPBELL,,,,,
26,748735,11.20,5-5,SJE,Mål på straffe,,11,Nicolaj JØRGENSEN,,,,29,Jimmi ANDERSEN
27,748735,12.10,,NSH,Regelfejl,,14,Rasmus MADSBØLL,,,,,
28,748735,12.36,,SJE,Fejlaflevering,,11,Nicolaj JØRGENSEN,,,,,
29,748735,12.42,5-6,NSH,Mål,1:e,13,Gustav BRUUN,,,,0,
30,748735,13.08,6-6,SJE,Mål,HF,33,Ebbe STANKIEWICZ,Assist,48,Gabriel SETTERBLOM,29,Jimmi ANDERSEN
31,748735,13.46,,NSH,Tilkendt straffe,,7,Léo MARTINEZ,Forårs. str.,2,Tobias Gregers SCHMIDT,,
32,748735,13.54,6-7,NSH,Mål på straffe,,3,Carl-Emil HAUNSTRUP,,,,1,Matthias DORGELO
33,748735,14.33,,SJE,Skud reddet,Gbr,48,Gabriel SETTERBLOM,Retur,14,Jacob BAGERSTED,29,Jimmi ANDERSEN
34,748735,14.43,7-7,SJE,Mål,ST,14,Jacob BAGERSTED,,,,29,Jimmi ANDERSEN
35,748735,14.47,,NSH,Regelfejl,,13,Gustav BRUUN,,,,,
36,748735,15.20,8-7,SJE,Mål,Gbr,11,Nicolaj JØRGENSEN,Assist,20,August WIGER,29,Jimmi ANDERSEN
37,748735,16.02,,NSH,Tilkendt straffe,,7,Léo MARTINEZ,Forårs. str.,11,Nicolaj JØRGENSEN,,
38,748735,16.35,8-8,NSH,Mål på straffe,,3,Carl-Emil HAUNSTRUP,,,,30,Julius STEN
39,748735,17.13,,SJE,Skud forbi,PL,20,August WIGER,,,,29,Jimmi ANDERSEN
40,748735,17.24,,NSH,Regelfejl,,42,Matias CAMPBELL,,,,,
41,748735,17.32,9-8,SJE,Mål,2:e,24,Sebastian AUGUSTINUSSEN,Assist,20,August WIGER,29,Jimmi ANDERSEN
42,748735,18.07,,NSH,Regelfejl,,57,Nikolaj LARSSON,,,,,
43,748735,18.50,10-8,SJE,Mål,ST,14,Jacob BAGERSTED,Assist,20,August WIGER,29,Jimmi ANDERSEN
44,748735,19.53,,NSH,Tilkendt straffe,,11,Jonas RAUNDAHL,Forårs. str.,24,Sebastian AUGUSTINUSSEN,,
45,748735,19.59,10-9,NSH,Mål på straffe,,3,Carl-Emil HAUNSTRUP,,,,1,Matthias DORGELO
46,748735,20.25,,SJE,Tilkendt straffe,,48,Gabriel SETTERBLOM,Forårs. str.,19,Thomas BOILESEN,,
47,748735,20.31,11-9,SJE,Mål på straffe,,11,Nicolaj JØRGENSEN,,,,16,Magnus PETERSEN
48,748735,20.59,,NSH,Skud reddet,PL,7,Léo MARTINEZ,,,,30,Julius STEN
49,748735,21.32,12-9,SJE,Mål,PL,11,Nicolaj JØRGENSEN,,,,16,Magnus PETERSEN
50,748735,22.20,,NSH,Skud reddet,ST,11,Jonas RAUNDAHL,,,,30,Julius STEN
51,748735,23.04,,SJE,Skud reddet,VF,28,Patrick VOLZ,,,,16,Magnus PETERSEN
52,748735,23.15,12-10,NSH,Mål,ST,11,Jonas RAUNDAHL,Assist,20,Jesper DAHL,30,Julius STEN
53,748735,24.02,,SJE,Fejlaflevering,,48,Gabriel SETTERBLOM,,,,,
54,748735,24.10,12-11,NSH,Mål,1:e,14,Rasmus MADSBØLL,Assist,11,Jonas RAUNDAHL,30,Julius STEN
55,748735,24.11,,SJE,Time out,,,,,,,,
