id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748738,0.00,,,Start 1:e halvleg,,,,,,,,
2,748738,1.04,,SJE,Tilkendt straffe,,29,Magnus FREDRIKSEN,Forårs. str.,17,Andreas SØGAARD,,
3,748738,1.04,,REH,Udvisning,,17,Andreas SØGAARD,,,,,
4,748738,1.06,0-1,SJE,Mål på straffe,,11,Nicolaj JØRGENSEN,,,,16,Ágúst BJÖRGVINSSON
5,748738,1.43,,SJE,Advarsel,,18,Morten BJØRNSHAUGE,,,,,
6,748738,1.58,,SJE,Udvisning,,14,Jacob BAGERSTED,,,,,
7,748738,2.29,,REH,Tabt bold,,11,Mathias JØRGENSEN,,,,,
8,748738,3.17,,SJE,Skud blokeret,VB,48,Gabriel SETTERBLOM,Blokeret af,17,Andreas SØGAARD,,
9,748738,3.22,1-1,REH,Mål,1:e,31,Morten JØRGENSEN,,,,0,
10,748738,3.52,,SJE,Skud reddet,HB,11,Nicolaj JØRGENSEN,,,,16,Ágúst BJÖRGVINSSON
11,748738,3.57,,REH,Skud forbi,1:e,16,Ágúst BJÖRGVINSSON,,,,0,
12,748738,4.56,,SJE,Regelfejl,,33,Ebbe STANKIEWICZ,,,,,
13,748738,5.07,,REH,Skud reddet,Gbr,8,Simon BIRKEFELDT,,,,30,Julius STEN
14,748738,5.56,1-2,SJE,Mål,Gbr,29,Magnus FREDRIKSEN,,,,16,Ágúst BJÖRGVINSSON
15,748738,6.04,2-2,REH,Mål,VB,49,Karl WALLINIUS,,,,30,Julius STEN
16,748738,6.55,,SJE,Skud reddet,PL,29,Magnus FREDRIKSEN,Retur,0,,16,Ágúst BJÖRGVINSSON
17,748738,7.12,,SJE,Skud forbi,HF,33,Ebbe STANKIEWICZ,,,,16,Ágúst BJÖRGVINSSON
18,748738,7.45,3-2,REH,Mål,HF,11,Mathias JØRGENSEN,Assist,81,Alfred JÖNSSON,30,Julius STEN
19,748738,8.22,3-3,SJE,Mål,VF,28,Patrick VOLZ,Assist,29,Magnus FREDRIKSEN,16,Ágúst BJÖRGVINSSON
20,748738,8.28,,REH,Skud forbi,2:e,81,Alfred JÖNSSON,,,,30,Julius STEN
21,748738,8.59,,SJE,Fejlaflevering,,48,Gabriel SETTERBLOM,Bold erobret,8,Simon BIRKEFELDT,,
22,748738,9.03,4-3,REH,Mål,1:e,17,Andreas SØGAARD,,,,30,Julius STEN
23,748738,10.22,,SJE,Skud reddet,ST,18,Morten BJØRNSHAUGE,,,,16,Ágúst BJÖRGVINSSON
24,748738,10.56,,REH,Skud blokeret,PL,14,Nicolaj SPANGGAARD,Blok af (ret),18,Morten BJØRNSHAUGE,,
25,748738,11.23,,REH,Skud reddet,VB,49,Karl WALLINIUS,,,,30,Julius STEN
26,748738,11.35,,SJE,Skud reddet,HF,33,Ebbe STANKIEWICZ,Retur,0,,16,Ágúst BJÖRGVINSSON
27,748738,12.19,4-4,SJE,Mål,Gbr,48,Gabriel SETTERBLOM,Assist,29,Magnus FREDRIKSEN,16,Ágúst BJÖRGVINSSON
28,748738,13.20,5-4,REH,Mål,Gbr,81,Alfred JÖNSSON,,,,30,Julius STEN
29,748738,13.56,,SJE,Fejlaflevering,,11,Nicolaj JØRGENSEN,,,,,
30,748738,14.54,,REH,Skud reddet,PL,14,Nicolaj SPANGGAARD,Retur,0,,30,Julius STEN
31,748738,15.13,6-4,REH,Mål,PL,81,Alfred JÖNSSON,,,,30,Julius STEN
32,748738,15.44,,SJE,Skud reddet,PL,11,Nicolaj JØRGENSEN,,,,16,Ágúst BJÖRGVINSSON
33,748738,16.26,,REH,Skud reddet,HF,11,Mathias JØRGENSEN,,,,30,Julius STEN
34,748738,17.01,6-5,SJE,Mål,Gbr,20,August WIGER,,,,16,Ágúst BJÖRGVINSSON
35,748738,17.37,7-5,REH,Mål,VF,31,Morten JØRGENSEN,Assist,81,Alfred JÖNSSON,30,Julius STEN
36,748738,18.18,7-6,SJE,Mål,Gbr,20,August WIGER,,,,16,Ágúst BJÖRGVINSSON
