id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748739,0.00,,,Start 1:e halvleg,,,,,,,,
2,748739,0.37,,TMS,Skud reddet,HB,19,Benjamin HALLGREN,,,,12,Josip CAVAR
3,748739,0.42,0-1,KIF,Mål,2:e,4,Lars SKAARUP,,,,16,Andreas HAAGEN
4,748739,1.04,1-1,TMS,Mål,VB,7,Christoffer DREYER,,,,12,Josip CAVAR
5,748739,2.01,1-2,KIF,Mål,Gbr,5,Oliver NORLYK,,,,16,Andreas HAAGEN
6,748739,2.36,2-2,TMS,Mål,ST,25,Anders AGGER,Assist,19,Benjamin HALLGREN,12,Josip CAVAR
7,748739,3.34,2-3,KIF,Mål,HB,5,Oliver NORLYK,,,,16,Andreas HAAGEN
8,748739,4.17,3-3,TMS,Mål,Gbr,5,Mark NIKOLAJSEN,Assist,27,Victor WOLF,12,Josip CAVAR
9,748739,5.11,,KIF,Fejlaflevering,,27,Sebastian BERTELSEN,Bold erobret,0,,,
10,748739,5.22,,KIF,Advarsel,,6,Jonas TIDEMAND,,,,,
11,748739,5.54,4-3,TMS,Mål,Gbr,19,Benjamin HALLGREN,,,,12,Josip CAVAR
12,748739,6.44,4-4,KIF,Mål,ST,6,Jonas TIDEMAND,Assist,11,Magnus KRONBORG,16,Andreas HAAGEN
13,748739,6.56,5-4,TMS,Mål,PL,7,Christoffer DREYER,,,,12,Josip CAVAR
14,748739,7.25,5-5,KIF,Mål,Gbr,5,Oliver NORLYK,,,,16,Andreas HAAGEN
15,748739,7.35,6-5,TMS,Mål,Gbr,5,Mark NIKOLAJSEN,Assist,7,Christoffer DREYER,12,Josip CAVAR
16,748739,8.32,,KIF,Skud blokeret,PL,11,Magnus KRONBORG,Blokeret af,25,Anders AGGER,,
17,748739,8.57,,TMS,Skud reddet,PL,19,Benjamin HALLGREN,,,,12,Josip CAVAR
18,748739,9.29,,TMS,Advarsel,,5,Mark NIKOLAJSEN,,,,,
19,748739,9.52,,KIF,Tilkendt straffe,,27,Sebastian BERTELSEN,Forårs. str.,7,Christoffer DREYER,,
20,748739,10.00,6-6,KIF,Mål på straffe,,11,Magnus KRONBORG,,,,29,Malte EICHHORST
21,748739,10.35,,TMS,Fejlaflevering,,19,Benjamin HALLGREN,Bold erobret,12,Josip CAVAR,,
22,748739,11.16,,KIF,Fejlaflevering,,24,Diogo SILVA,Bold erobret,5,Mark NIKOLAJSEN,,
23,748739,11.21,7-6,TMS,Mål,1:e,5,Mark NIKOLAJSEN,,,,12,Josip CAVAR
24,748739,11.56,,KIF,Skud forbi,Gbr,5,Oliver NORLYK,,,,16,Andreas HAAGEN
25,748739,12.31,8-6,TMS,Mål,Gbr,7,Christoffer DREYER,,,,12,Josip CAVAR
26,748739,12.41,,KIF,Fejlaflevering,,5,Oliver NORLYK,Bold erobret,27,Victor WOLF,,
27,748739,13.21,,TMS,Tilkendt straffe,,5,Mark NIKOLAJSEN,Forårs. str.,2,Mads KRAGH THOMSEN,,
28,748739,13.33,9-6,TMS,Mål på straffe,,49,Oscar LYKKE,,,,12,Josip CAVAR
29,748739,13.35,,KIF,Time out,,,,,,,,
30,748739,14.10,9-7,KIF,Mål,VF,4,Lars SKAARUP,Assist,11,Magnus KRONBORG,16,Andreas HAAGEN
31,748739,14.49,,TMS,Skud blokeret,PL,5,Mark NIKOLAJSEN,Blokeret af,13,Mathias HEDEGAARD,,
32,748739,14.59,,KIF,Skud reddet,2:e,11,Magnus KRONBORG,,,,16,Andreas HAAGEN
33,748739,15.26,10-7,TMS,Mål,VB,7,Christoffer DREYER,,,,12,Josip CAVAR
34,748739,16.13,,KIF,Skud reddet,PL,21,Kristian STOKLUND,Retur,0,,29,Malte EICHHORST
35,748739,16.38,,KIF,Fejlaflevering,,21,Kristian STOKLUND,Bold erobret,27,Victor WOLF,,
36,748739,16.42,11-7,TMS,Mål,1:e,27,Victor WOLF,,,,0,
37,748739,17.11,,KIF,Fejlaflevering,,21,Kristian STOKLUND,Bold erobret,0,,,
38,748739,17.16,,TMS,Skud forbi,1:e,81,Tobias NIELSEN,,,,0,
39,748739,17.47,11-8,KIF,Mål,Gbr,5,Oliver NORLYK,Assist,27,Sebastian BERTELSEN,29,Malte EICHHORST
