id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748742,0.00,,,Start 1:e halvleg,,,,,,,,
2,748742,0.38,,GIF,Skud reddet,VF,20,Frederik IVERSEN,,,,16,Magnus PETERSEN
3,748742,1.29,,NSH,Skud reddet,HB,57,Nikolaj LARSSON,,,,1,Frederik SKOVGAARD
4,748742,2.19,,GIF,Skud forbi,PL,4,Frederik NIELSEN,,,,16,Magnus PETERSEN
5,748742,2.29,0-1,NSH,Mål,2:e,5,Julius MØRCH,Assist,42,Matias CAMPBELL,1,Frederik SKOVGAARD
6,748742,2.36,1-1,GIF,Mål,2:e,4,Frederik NIELSEN,,,,16,Magnus PETERSEN
7,748742,2.46,,NSH,Skud reddet,2:e,5,Julius MØRCH,,,,1,Frederik SKOVGAARD
8,748742,2.54,,GIF,Skud reddet,2:e,18,Martin RISOM,,,,16,Magnus PETERSEN
9,748742,3.27,1-2,NSH,Mål,Gbr,57,Nikolaj LARSSON,,,,1,Frederik SKOVGAARD
10,748742,3.38,,GIF,Skud reddet,2:e,17,Kristian Krag ØRSTED,,,,16,Magnus PETERSEN
11,748742,3.46,1-3,NSH,Mål,2:e,14,Rasmus MADSBØLL,Assist,19,Thomas BOILESEN,1,Frederik SKOVGAARD
12,748742,4.23,2-3,GIF,Mål,ST,17,Kristian Krag ØRSTED,Assist,18,Martin RISOM,16,Magnus PETERSEN
13,748742,5.21,,NSH,Skud reddet,Gbr,19,Thomas BOILESEN,Retur,7,Léo MARTINEZ,1,Frederik SKOVGAARD
14,748742,5.28,2-4,NSH,Mål,Gbr,7,Léo MARTINEZ,,,,1,Frederik SKOVGAARD
15,748742,5.59,,GIF,Regelfejl,,18,Martin RISOM,,,,,
16,748742,6.50,,NSH,Skud reddet,PL,7,Léo MARTINEZ,Retur,5,Julius MØRCH,1,Frederik SKOVGAARD
17,748742,7.03,,NSH,Skud reddet,ST,5,Julius MØRCH,Retur,0,,1,Frederik SKOVGAARD
18,748742,7.39,,GIF,Advarsel,,4,Frederik NIELSEN,,,,,
19,748742,8.17,,NSH,Skud reddet,Gbr,19,Thomas BOILESEN,,,,1,Frederik SKOVGAARD
20,748742,8.20,,NSH,Udvisning,,19,Thomas BOILESEN,,,,,
21,748742,8.40,,GIF,Fejlaflevering,,4,Frederik NIELSEN,,,,,
22,748742,9.17,,NSH,Skud reddet,Gbr,7,Léo MARTINEZ,,,,1,Frederik SKOVGAARD
23,748742,9.46,3-4,GIF,Mål,Gbr,4,Frederik NIELSEN,,,,16,Magnus PETERSEN
24,748742,10.24,3-5,NSH,Mål,PL,57,Nikolaj LARSSON,,,,1,Frederik SKOVGAARD
25,748742,10.53,,GIF,Skud forbi,Gbr,18,Martin RISOM,,,,16,Magnus PETERSEN
26,748742,11.45,3-6,NSH,Mål,HF,3,Carl-Emil HAUNSTRUP,Assist,13,Gustav BRUUN,1,Frederik SKOVGAARD
27,748742,12.20,,GIF,Skud reddet,ST,22,Hjalmar ANDERSEN,,,,16,Magnus PETERSEN
28,748742,12.31,3-7,NSH,Mål,1:e,3,Carl-Emil HAUNSTRUP,,0,,1,Frederik SKOVGAARD
29,748742,13.02,4-7,GIF,Mål,ST,22,Hjalmar ANDERSEN,,,,16,Magnus PETERSEN
30,748742,13.44,,NSH,Fejlaflevering,,57,Nikolaj LARSSON,,,,,
31,748742,14.37,5-7,GIF,Mål,Gbr,18,Martin RISOM,,,,16,Magnus PETERSEN
32,748742,14.56,5-8,NSH,Mål,Gbr,13,Gustav BRUUN,,,,1,Frederik SKOVGAARD
33,748742,15.32,,GIF,Tilkendt straffe,,22,Hjalmar ANDERSEN,Forårs. str.,5,Julius MØRCH,16,Magnus PETERSEN
34,748742,15.36,,GIF,Straffekast på stolpe,,20,Frederik IVERSEN,,,,16,Magnus PETERSEN
35,748742,16.13,5-9,NSH,Mål,ST,14,Rasmus MADSBØLL,Assist,7,Léo MARTINEZ,1,Frederik SKOVGAARD
36,748742,17.07,6-9,GIF,Mål,ST,22,Hjalmar ANDERSEN,Assist,4,Frederik NIELSEN,16,Magnus PETERSEN
37,748742,17.13,,GIF,Udvisning,,20,Frederik IVERSEN,,,,,
38,748742,17.41,6-10,NSH,Mål,ST,21,Tim RANTALA,Assist,42,Matias CAMPBELL,1,Frederik SKOVGAARD
39,748742,18.38,,GIF,Skud blokeret,PL,23,Bjarke NYBO,Blok af (ret),42,Matias CAMPBELL,,
40,748742,18.53,,GIF,Skud blokeret,PL,14,Nicolai SKYTTE,Blokeret af,42,Matias CAMPBELL,,
41,748742,19.20,,NSH,Regelfejl,,21,Tim RANTALA,,,,,
42,748742,20.02,,GIF,Skud reddet,PL,21,Kristoffer VESTERGAARD,,,,16,Magnus PETERSEN
43,748742,20.07,6-11,NSH,Mål,1:e,16,Magnus PETERSEN,,0,,1,Frederik SKOVGAARD
44,748742,20.13,,GIF,Time out,,,,,,,,
