id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748743,0.00,,,Start 1:e halvleg,,,,,,,,
2,748743,0.43,,GIF,Skud reddet,PL,21,Kristoffer VESTERGAARD,,,,12,Magnus BRANDBYGE
3,748743,0.50,,SAH,Skud på stolpe,1:e,25,Jeppe CIESLAK,,,,1,Frederik SKOVGAARD
4,748743,0.59,,GIF,Tilkendt straffe,,14,Nicolai SKYTTE,Forårs. str.,3,Kristjan ÖRN KRISTJANSSON,,
5,748743,1.18,0-1,GIF,Mål på straffe,,20,Frederik IVERSEN,,,,12,Magnus BRANDBYGE
6,748743,1.57,1-1,SAH,Mål,Gbr,3,Kristjan ÖRN KRISTJANSSON,,,,1,Frederik SKOVGAARD
7,748743,2.40,,GIF,Tilkendt straffe,,14,Nicolai SKYTTE,Forårs. str.,11,Mikkel LANG,,
8,748743,3.00,1-2,GIF,Mål på straffe,,20,Frederik IVERSEN,,,,12,Magnus BRANDBYGE
9,748743,3.26,,SAH,Fejlaflevering,,3,Kristjan ÖRN KRISTJANSSON,Bold erobret,7,Jakob VILLEMOES,,
10,748743,3.32,,GIF,Skud reddet,1:e,7,Jakob VILLEMOES,,,,12,Magnus BRANDBYGE
11,748743,3.45,2-2,SAH,Mål,2:e,15,Emil LÆRKE,,,,1,Frederik SKOVGAARD
12,748743,4.26,,GIF,Tilkendt straffe,,17,Kristian Krag ØRSTED,Forårs. str.,6,Kristian BONEFELD,,
13,748743,4.36,,SAH,Advarsel,,6,Kristian BONEFELD,,,,,
14,748743,4.49,2-3,GIF,Mål på straffe,,20,Frederik IVERSEN,,,,12,Magnus BRANDBYGE
15,748743,5.16,3-3,SAH,Mål,PL,15,Emil LÆRKE,,,,1,Frederik SKOVGAARD
16,748743,6.07,,GIF,Skud blokeret,PL,21,Kristoffer VESTERGAARD,Blok af (ret),6,Kristian BONEFELD,,
17,748743,6.22,3-4,GIF,Mål,HF,7,Jakob VILLEMOES,Assist,18,Martin RISOM,12,Magnus BRANDBYGE
18,748743,6.54,,SAH,Skud blokeret,VB,32,Fredrik OLSSON,Blok af (ret),7,Jakob VILLEMOES,,
19,748743,7.01,,SAH,Skud reddet,PL,3,Kristjan ÖRN KRISTJANSSON,,,,1,Frederik SKOVGAARD
20,748743,7.40,3-5,GIF,Mål,Gbr,4,Frederik NIELSEN,,,,12,Magnus BRANDBYGE
21,748743,7.45,,SAH,Skud reddet,1:e,15,Emil LÆRKE,,,,1,Frederik SKOVGAARD
22,748743,8.26,3-6,GIF,Mål,VF,20,Frederik IVERSEN,Assist,4,Frederik NIELSEN,12,Magnus BRANDBYGE
