id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748744,0.00,,,Start 1:e halvleg,,,,,,,,
2,748744,0.44,1-0,TTH,Mål,VF,10,Magnus BRAMMING,Assist,11,Thomas DAMGAARD,12,Peter JOHANNESSON
3,748744,1.45,,GOG,Fejlaflevering,,15,Tobias GRØNDAHL,Bold erobret,18,Edwin ASPENBÄCK,,
4,748744,1.50,2-0,TTH,Mål,1:e,7,William AAR,Assist,18,Edwin ASPENBÄCK,12,Peter JOHANNESSON
5,748744,1.59,,GOG,Fejlaflevering,,29,Hjalte LYKKE,Bold erobret,10,Magnus BRAMMING,,
6,748744,3.02,3-0,TTH,Mål,ST,23,Miha ZVIZEJ,Assist,11,Thomas DAMGAARD,12,Peter JOHANNESSON
7,748744,4.01,,GOG,Skud reddet,HB,29,Hjalte LYKKE,,,,16,Sander HEIEREN
8,748744,4.47,4-0,TTH,Mål,PL,7,William AAR,,,,12,Peter JOHANNESSON
9,748744,4.55,4-1,GOG,Mål,2:e,8,Frederik TILSTED,,,,16,Sander HEIEREN
10,748744,5.29,,TTH,Tilkendt straffe,,11,Thomas DAMGAARD,Forårs. str.,29,Hjalte LYKKE,,
11,748744,5.52,5-1,TTH,Mål på straffe,,6,Frederik BJERRE,,,,12,Peter JOHANNESSON
12,748744,6.24,5-2,GOG,Mål,VF,23,Joachim Lyng ALS,Assist,8,Frederik TILSTED,16,Sander HEIEREN
13,748744,7.03,,TTH,Skud reddet,PL,7,William AAR,,,,12,Peter JOHANNESSON
14,748744,7.12,5-3,GOG,Mål,2:e,15,Tobias GRØNDAHL,,,,16,Sander HEIEREN
15,748744,7.36,6-3,TTH,Mål,Gbr,7,William AAR,,,,12,Peter JOHANNESSON
16,748744,7.43,6-4,GOG,Mål,2:e,8,Frederik TILSTED,,,,16,Sander HEIEREN
17,748744,8.41,,TTH,Skud reddet,HB,11,Thomas DAMGAARD,,,,12,Peter JOHANNESSON
18,748744,8.49,6-5,GOG,Mål,2:e,29,Hjalte LYKKE,,,,16,Sander HEIEREN
19,748744,9.41,,TTH,Skud på stolpe,HF,28,Kevin GULLIKSEN,,,,12,Peter JOHANNESSON
20,748744,9.47,6-6,GOG,Mål,2:e,8,Frederik TILSTED,,,,16,Sander HEIEREN
21,748744,10.25,,TTH,Fejlaflevering,,11,Thomas DAMGAARD,Bold erobret,8,Frederik TILSTED,,
22,748744,10.33,,GOG,Skud forbi,1:e,23,Joachim Lyng ALS,,,,16,Sander HEIEREN
23,748744,10.34,,TTH,Time out,,0,,,,,,
24,748744,11.02,,TTH,Skud på stolpe,HB,13,Sven EHRIG,,,,12,Peter JOHANNESSON
25,748744,11.39,,GOG,Fejlaflevering,,29,Hjalte LYKKE,Bold erobret,28,Kevin GULLIKSEN,,
26,748744,11.49,,TTH,Skud reddet,2:e,13,Sven EHRIG,,,,12,Peter JOHANNESSON
27,748744,12.53,6-7,GOG,Mål,Gbr,29,Hjalte LYKKE,,,,16,Sander HEIEREN
28,748744,13.28,7-7,TTH,Mål,VF,10,Magnus BRAMMING,Assist,7,William AAR,12,Peter JOHANNESSON
29,748744,13.37,,GOG,Udvisning,,66,Anton LINDSKOG,,,,,
30,748744,14.13,,GOG,Regelfejl,,23,Joachim Lyng ALS,,,,,
