id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748746,0.00,,,Start 1:e halvleg,,,,,,,,
2,748746,0.33,1-0,AAH,Mål,ST,20,Felix MÖLLER,Assist,9,Miguel MARTINS,30,Svend RUGHAVE
3,748746,1.47,,MTH,Skud blokeret,HB,21,Marcus MIDTGAARD,Blok af (ret),7,Thomas ARNOLDSEN,,
4,748746,2.20,,MTH,Tilkendt straffe,,28,Rasmus MADSEN,Forårs. str.,15,Jack THURIN,,
5,748746,2.27,1-1,MTH,Mål på straffe,,17,Malthe BULL,,,,1,Niklas LANDIN
6,748746,2.57,,AAH,Skud reddet,Gbr,9,Miguel MARTINS,,,,30,Svend RUGHAVE
7,748746,3.09,,MTH,Skud reddet,2:e,28,Rasmus MADSEN,,,,1,Niklas LANDIN
8,748746,3.18,2-1,AAH,Mål,1:e,4,Patrick WIESMACH,Assist,21,Henrik MØLLGAARD,30,Svend RUGHAVE
9,748746,3.51,,MTH,Skud reddet,Gbr,21,Marcus MIDTGAARD,Retur,0,,1,Niklas LANDIN
10,748746,4.27,,MTH,Skud reddet,PL,7,Nichlas HALD,,,,1,Niklas LANDIN
11,748746,4.35,3-1,AAH,Mål,1:e,20,Felix MÖLLER,Assist,7,Thomas ARNOLDSEN,30,Svend RUGHAVE
12,748746,5.19,,MTH,Regelfejl,,7,Nichlas HALD,,,,,
13,748746,5.31,4-1,AAH,Mål,2:e,17,Martin LARSEN,,,,30,Svend RUGHAVE
14,748746,5.42,4-2,MTH,Mål,2:e,7,Nichlas HALD,,,,1,Niklas LANDIN
15,748746,6.10,5-2,AAH,Mål,PL,7,Thomas ARNOLDSEN,,,,30,Svend RUGHAVE
16,748746,7.28,,MTH,Skud forbi,PL,7,Nichlas HALD,,,,1,Niklas LANDIN
17,748746,7.46,,AAH,Tilkendt straffe,,17,Martin LARSEN,Forårs. str.,4,Kasper LINDGREN,,
18,748746,7.52,,MTH,Advarsel,,4,Kasper LINDGREN,,,,,
19,748746,8.01,6-2,AAH,Mål på straffe,,7,Thomas ARNOLDSEN,,,,30,Svend RUGHAVE
20,748746,8.30,6-3,MTH,Mål,ST,33,Kasper DIDRIKSEN,Assist,21,Marcus MIDTGAARD,1,Niklas LANDIN
21,748746,8.46,7-3,AAH,Mål,2:e,17,Martin LARSEN,,,,30,Svend RUGHAVE
22,748746,9.22,,MTH,Tilkendt straffe,,28,Rasmus MADSEN,Forårs. str.,7,Thomas ARNOLDSEN,,
23,748746,9.26,,AAH,Advarsel,,7,Thomas ARNOLDSEN,,,,,
24,748746,9.46,7-4,MTH,Mål på straffe,,17,Malthe BULL,,,,1,Niklas LANDIN
25,748746,10.58,8-4,AAH,Mål,HB,9,Miguel MARTINS,,,,30,Svend RUGHAVE
26,748746,11.35,,MTH,Skud forbi,VB,7,Nichlas HALD,,,,1,Niklas LANDIN
27,748746,11.47,9-4,AAH,Mål,2:e,7,Thomas ARNOLDSEN,,,,30,Svend RUGHAVE
28,748746,11.58,,MTH,Time out,,,,,,,,
29,748746,12.16,,AAH,Udvisning,,20,Felix MÖLLER,,,,,
30,748746,12.39,,MTH,Tilkendt straffe,,21,Marcus MIDTGAARD,Forårs. str.,25,Marinus MUNK,,
31,748746,12.46,,MTH,Straffekast reddet,,17,Malthe BULL,,,,12,Fabian NORSTEN
32,748746,13.31,10-4,AAH,Mål,ST,22,Rene ANTONSEN,Assist,9,Miguel MARTINS,30,Svend RUGHAVE
33,748746,14.00,10-5,MTH,Mål,VF,25,Magnus NORLYK,Assist,7,Nichlas HALD,1,Niklas LANDIN
34,748746,14.40,,AAH,Fejlaflevering,,17,Martin LARSEN,,,,,
35,748746,14.50,10-6,MTH,Mål,1:e,25,Magnus NORLYK,Assist,15,Henrik Toft HANSEN,1,Niklas LANDIN
36,748746,15.15,,AAH,Regelfejl,,9,Miguel MARTINS,,,,,
37,748746,15.52,,MTH,Skud reddet,ST,17,Malthe BULL,Retur,0,,1,Niklas LANDIN
38,748746,16.12,10-7,MTH,Mål,PL,9,Kristoffer VESTERGAARD,,,,1,Niklas LANDIN
39,748746,16.42,11-7,AAH,Mål,Gbr,9,Miguel MARTINS,,,,30,Svend RUGHAVE
40,748746,16.54,,MTH,Skud reddet,VB,7,Nichlas HALD,,,,1,Niklas LANDIN
41,748746,17.12,,AAH,Skud reddet,PL,17,Martin LARSEN,,,,30,Svend RUGHAVE
42,748746,17.40,,MTH,Skud reddet,PL,19,Victor NORLYK,,,,1,Niklas LANDIN
43,748746,18.21,,AAH,Skud reddet,VF,6,Sebastian BARTHOLD,Retur,0,,30,Svend RUGHAVE
44,748746,19.03,,AAH,Fejlaflevering,,9,Miguel MARTINS,,,,,
