id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748747,0.00,,,Start 1:e halvleg,,,,,,,,
2,748747,0.34,0-1,FHK,Mål,HB,93,Anders MARTINUSEN,,,,1,Emil TELLERUP
3,748747,1.21,1-1,KIF,Mål,PL,11,Magnus KRONBORG,,,,1,Sebastian FRANDSEN
4,748747,2.09,1-2,FHK,Mål,VB,97,Reinier TABOADA,Assist,93,Anders MARTINUSEN,1,Emil TELLERUP
5,748747,2.26,2-2,KIF,Mål,Gbr,5,Oliver NORLYK,Assist,11,Magnus KRONBORG,1,Sebastian FRANDSEN
6,748747,3.31,,FHK,Regelfejl,,41,Evgeni PEVNOV,,,,,
7,748747,3.36,,KIF,Fejlaflevering,,5,Oliver NORLYK,,,,,
8,748747,4.16,,FHK,Regelfejl,,41,Evgeni PEVNOV,,,,,
9,748747,4.55,,KIF,Regelfejl,,4,Lars SKAARUP,,,,,
10,748747,5.07,,FHK,Fejlaflevering,,93,Anders MARTINUSEN,Bold erobret,13,Mathias HEDEGAARD,,
11,748747,5.53,3-2,KIF,Mål,HF,29,Viktor NEVERS,Assist,5,Oliver NORLYK,1,Sebastian FRANDSEN
12,748747,6.28,,FHK,Tilkendt straffe,,97,Reinier TABOADA,Forårs. str.,5,Oliver NORLYK,,
13,748747,6.54,3-3,FHK,Mål på straffe,,7,Kasper YOUNG,,,,1,Emil TELLERUP
14,748747,7.29,4-3,KIF,Mål,PL,5,Oliver NORLYK,,,,1,Sebastian FRANDSEN
15,748747,8.55,4-4,FHK,Mål,Gbr,7,Kasper YOUNG,,,,1,Emil TELLERUP
16,748747,9.33,,KIF,Skud reddet,VF,11,Magnus KRONBORG,,,,1,Sebastian FRANDSEN
17,748747,9.45,,FHK,Skud reddet,ST,41,Evgeni PEVNOV,,,,1,Emil TELLERUP
18,748747,10.28,,KIF,Fejlaflevering,,28,Lauritz LEGÉR,,,,,
19,748747,11.17,,FHK,Regelfejl,,31,William ANDERSSON MOBERG,,,,,
20,748747,11.46,,FHK,Advarsel,,9,Martin BISGAARD,,,,,
21,748747,12.05,,KIF,Skud reddet,PL,5,Oliver NORLYK,Retur,0,,1,Sebastian FRANDSEN
22,748747,12.14,,KIF,Skud reddet,ST,13,Mathias HEDEGAARD,,,,1,Sebastian FRANDSEN
23,748747,12.44,,FHK,Skud på stolpe,HB,93,Anders MARTINUSEN,,,,1,Emil TELLERUP
24,748747,13.18,5-4,KIF,Mål,2:e,28,Lauritz LEGÉR,Assist,11,Magnus KRONBORG,1,Sebastian FRANDSEN
25,748747,13.27,5-5,FHK,Mål,ST,97,Reinier TABOADA,Assist,41,Evgeni PEVNOV,1,Emil TELLERUP
26,748747,14.38,6-5,KIF,Mål,ST,6,Jonas TIDEMAND,Assist,28,Lauritz LEGÉR,1,Sebastian FRANDSEN
27,748747,14.43,,FHK,Udvisning,,97,Reinier TABOADA,,,,,
28,748747,15.24,,FHK,Skud forbi,PL,93,Anders MARTINUSEN,,,,1,Emil TELLERUP
29,748747,15.36,,FHK,Advarsel,B,,Gudmundur GUDMUNDSSON,,,,,
30,748747,15.59,,KIF,Skud reddet,HF,29,Viktor NEVERS,,,,1,Sebastian FRANDSEN
31,748747,16.26,6-6,FHK,Mål,HF,7,Kasper YOUNG,Assist,93,Anders MARTINUSEN,1,Emil TELLERUP
32,748747,16.57,,KIF,Skud på stolpe,Gbr,28,Lauritz LEGÉR,,,,1,Sebastian FRANDSEN
33,748747,17.17,,FHK,Skud forbi,Gbr,31,William ANDERSSON MOBERG,,,,12,Josip CAVAR
34,748747,17.45,,KIF,Skud reddet,HB,5,Oliver NORLYK,,,,1,Sebastian FRANDSEN
35,748747,18.15,6-7,FHK,Mål,Gbr,93,Anders MARTINUSEN,Assist,15,Mads KJELDGAARD,12,Josip CAVAR
36,748747,18.47,,KIF,Fejlaflevering,,28,Lauritz LEGÉR,,,,,
37,748747,19.24,,FHK,Fejlaflevering,,15,Mads KJELDGAARD,Bold erobret,29,Viktor NEVERS,,
38,748747,19.28,,KIF,Fejlaflevering,,29,Viktor NEVERS,Bold erobret,15,Mads KJELDGAARD,,
39,748747,19.35,6-8,FHK,Mål,VF,9,Martin BISGAARD,Assist,15,Mads KJELDGAARD,12,Josip CAVAR
40,748747,19.36,,KIF,Time out,,,,,,,,
41,748747,20.33,,KIF,Skud forbi,PL,11,Magnus KRONBORG,,,,1,Sebastian FRANDSEN
42,748747,20.44,6-9,FHK,Mål,VF,9,Martin BISGAARD,Assist,15,Mads KJELDGAARD,12,Josip CAVAR
43,748747,21.30,7-9,KIF,Mål,PL,11,Magnus KRONBORG,,,,1,Sebastian FRANDSEN
44,748747,22.33,,FHK,Skud forbi,HB,93,Anders MARTINUSEN,,,,12,Josip CAVAR
45,748747,23.12,,KIF,Skud blokeret,HB,5,Oliver NORLYK,Blok af (ret),15,Mads KJELDGAARD,,
46,748747,23.27,8-9,KIF,Mål,Gbr,28,Lauritz LEGÉR,Assist,21,Kristian STOKLUND,1,Sebastian FRANDSEN
47,748747,23.37,8-10,FHK,Mål,HF,7,Kasper YOUNG,Assist,93,Anders MARTINUSEN,12,Josip CAVAR
48,748747,23.37,,KIF,Udvisning,,4,Lars SKAARUP,,,,,
49,748747,24.29,,KIF,Skud reddet,PL,11,Magnus KRONBORG,,,,1,Sebastian FRANDSEN
50,748747,24.40,,FHK,Skud reddet,Gbr,15,Mads KJELDGAARD,Retur,0,,12,Josip CAVAR
51,748747,25.02,8-11,FHK,Mål,HF,7,Kasper YOUNG,Assist,91,Kasper PALMAR,12,Josip CAVAR
52,748747,26.10,,KIF,Skud reddet,Gbr,11,Magnus KRONBORG,Retur,0,,1,Sebastian FRANDSEN
53,748747,26.38,9-11,KIF,Mål,ST,6,Jonas TIDEMAND,Assist,11,Magnus KRONBORG,1,Sebastian FRANDSEN
54,748747,27.10,9-12,FHK,Mål,Gbr,31,William ANDERSSON MOBERG,,,,12,Josip CAVAR
55,748747,27.39,,KIF,Fejlaflevering,,5,Oliver NORLYK,Bold erobret,13,Lasse BALSTAD,,
56,748747,27.44,9-13,FHK,Mål,PL,13,Lasse BALSTAD,,,,0,
57,748747,28.26,,KIF,Regelfejl,,28,Lauritz LEGÉR,,,,,
58,748747,28.56,,FHK,Skud reddet,HB,15,Mads KJELDGAARD,,,,12,Josip CAVAR
59,748747,29.35,,KIF,Skud reddet,VB,28,Lauritz LEGÉR,,,,1,Sebastian FRANDSEN
60,748747,29.43,,FHK,Time out,,,,,,,,
61,748747,29.52,,FHK,Fejlaflevering,,91,Kasper PALMAR,Bold erobret,24,Diogo SILVA,,
62,748747,30.00,10-13,KIF,Mål,1:e,24,Diogo SILVA,,,,1,Sebastian FRANDSEN
63,748747,30.00,10-13,,Halvleg,,,,,,,,
64,748747,30.00,,,Start 2:e halvleg,,,,,,,,
65,748747,30.44,,KIF,Fejlaflevering,,28,Lauritz LEGÉR,Bold erobret,15,Mads KJELDGAARD,,
66,748747,30.55,,FHK,Skud på stolpe,PL,15,Mads KJELDGAARD,,,,12,Josip CAVAR
67,748747,31.29,,KIF,Skud reddet,Gbr,28,Lauritz LEGÉR,Retur,5,Oliver NORLYK,1,Sebastian FRANDSEN
68,748747,31.59,11-13,KIF,Mål,PL,11,Magnus KRONBORG,,,,1,Sebastian FRANDSEN
69,748747,32.37,11-14,FHK,Mål,PL,93,Anders MARTINUSEN,,,,12,Josip CAVAR
70,748747,33.13,,KIF,Skud reddet,HB,5,Oliver NORLYK,,,,1,Sebastian FRANDSEN
71,748747,33.58,11-15,FHK,Mål,PL,93,Anders MARTINUSEN,,,,12,Josip CAVAR
72,748747,35.16,,KIF,Skud reddet,VF,4,Lars SKAARUP,,,,1,Sebastian FRANDSEN
73,748747,35.25,11-16,FHK,Mål,2:e,93,Anders MARTINUSEN,,,,12,Josip CAVAR
74,748747,35.28,,KIF,Time out,,,,,,,,
75,748747,36.28,,KIF,Regelfejl,,28,Lauritz LEGÉR,,,,,
76,748747,37.06,,FHK,Skud forbi,PL,15,Mads KJELDGAARD,,,,12,Josip CAVAR
