id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748752,0.00,,,Start 1:e halvleg,,,,,,,,
2,748752,0.59,0-1,TTH,Mål,PL,7,William AAR,,,,12,Magnus BRANDBYGE
3,748752,2.18,,SAH,Skud reddet,ST,19,Thor CHRISTENSEN,,,,16,Sander HEIEREN
4,748752,2.34,,TTH,Tilkendt straffe,,11,Thomas DAMGAARD,Forårs. str.,6,Kristian BONEFELD,,
5,748752,3.00,,TTH,Straffekast forbi,,6,Frederik BJERRE,,,,12,Magnus BRANDBYGE
6,748752,3.32,,SAH,Tabt bold,,3,Kristjan ÖRN KRISTJANSSON,,,,,
7,748752,3.37,0-2,TTH,Mål,1:e,7,William AAR,Assist,21,Mathias SMED,12,Magnus BRANDBYGE
8,748752,4.03,,TTH,Advarsel,,23,Miha ZVIZEJ,,,,,
9,748752,4.25,1-2,SAH,Mål,HB,3,Kristjan ÖRN KRISTJANSSON,,,,16,Sander HEIEREN
10,748752,5.02,,TTH,Regelfejl,,7,William AAR,,,,,
11,748752,5.10,2-2,SAH,Mål,2:e,15,Emil LÆRKE,,,,16,Sander HEIEREN
12,748752,5.12,,TTH,Udvisning,,23,Miha ZVIZEJ,,,,,
13,748752,5.12,,SAH,Udvisning,,19,Thor CHRISTENSEN,,,,,
14,748752,5.31,2-3,TTH,Mål,Gbr,7,William AAR,,,,12,Magnus BRANDBYGE
15,748752,6.07,,SAH,Skud på stolpe,VB,32,Fredrik OLSSON,,,,16,Sander HEIEREN
16,748752,6.13,2-4,TTH,Mål,1:e,7,William AAR,,,,0,
17,748752,6.47,,SAH,Fejlaflevering,,32,Fredrik OLSSON,,,,,
18,748752,6.51,2-5,TTH,Mål,1:e,6,Frederik BJERRE,Assist,28,Kevin GULLIKSEN,0,
19,748752,6.54,,SAH,Time out,,,,,,,,
20,748752,7.04,,SAH,Fejlaflevering,,3,Kristjan ÖRN KRISTJANSSON,Bold erobret,6,Frederik BJERRE,,
21,748752,7.09,2-6,TTH,Mål,1:e,6,Frederik BJERRE,,,,0,
22,748752,7.34,3-6,SAH,Mål,PL,15,Emil LÆRKE,,,,16,Sander HEIEREN
23,748752,8.05,,TTH,Skud reddet,HF,28,Kevin GULLIKSEN,,,,12,Magnus BRANDBYGE
24,748752,8.17,,SAH,Tilkendt straffe,,32,Fredrik OLSSON,Forårs. str.,18,Edwin ASPENBÄCK,,
25,748752,8.26,,TTH,Advarsel,,18,Edwin ASPENBÄCK,,,,,
26,748752,8.44,4-6,SAH,Mål på straffe,,23,Morten Hempel JENSEN,,,,16,Sander HEIEREN
27,748752,9.12,4-7,TTH,Mål,PL,7,William AAR,,,,12,Magnus BRANDBYGE
28,748752,9.48,,SAH,Skud reddet,VB,15,Emil LÆRKE,,,,16,Sander HEIEREN
29,748752,9.56,,TTH,Skud forbi,2:e,18,Edwin ASPENBÄCK,,,,12,Magnus BRANDBYGE
30,748752,10.30,,SAH,Skud reddet,VB,15,Emil LÆRKE,Retur,25,Jeppe CIESLAK,16,Sander HEIEREN
31,748752,10.39,,SAH,Tilkendt straffe,,25,Jeppe CIESLAK,Forårs. str.,28,Kevin GULLIKSEN,,
32,748752,11.00,5-7,SAH,Mål på straffe,,23,Morten Hempel JENSEN,,,,16,Sander HEIEREN
33,748752,11.30,,TTH,Tilkendt straffe,,11,Thomas DAMGAARD,Forårs. str.,11,Mikkel LANG,,
34,748752,12.01,5-8,TTH,Mål på straffe,,10,Magnus BRAMMING,,,,12,Magnus BRANDBYGE
35,748752,12.32,6-8,SAH,Mål,ST,19,Thor CHRISTENSEN,Assist,15,Emil LÆRKE,16,Sander HEIEREN
36,748752,13.00,6-9,TTH,Mål,VF,6,Frederik BJERRE,Assist,11,Thomas DAMGAARD,12,Magnus BRANDBYGE
37,748752,13.35,7-9,SAH,Mål,Gbr,3,Kristjan ÖRN KRISTJANSSON,,,,16,Sander HEIEREN
38,748752,14.20,7-10,TTH,Mål,PL,7,William AAR,,,,12,Magnus BRANDBYGE
39,748752,14.32,8-10,SAH,Mål,2:e,3,Kristjan ÖRN KRISTJANSSON,,,,16,Sander HEIEREN
40,748752,15.16,,TTH,Fejlaflevering,,7,William AAR,,,,,
41,748752,15.26,9-10,SAH,Mål,2:e,23,Morten Hempel JENSEN,,,,16,Sander HEIEREN
42,748752,15.26,,TTH,"Rødt kort, direkte",,18,Edwin ASPENBÄCK,,,,,
43,748752,16.05,,TTH,Fejlaflevering,,11,Thomas DAMGAARD,,,,,
44,748752,16.40,10-10,SAH,Mål,ST,28,Morten KAALUND,Assist,15,Emil LÆRKE,16,Sander HEIEREN
45,748752,17.14,10-11,TTH,Mål,ST,23,Miha ZVIZEJ,Assist,11,Thomas DAMGAARD,12,Magnus BRANDBYGE
46,748752,17.24,11-11,SAH,Mål,2:e,15,Emil LÆRKE,,,,16,Sander HEIEREN
47,748752,18.15,,TTH,Regelfejl,,17,Simon KIRKEGAARD,,,,,
48,748752,18.50,12-11,SAH,Mål,HF,11,Mikkel LANG,Assist,7,Jonatan MOLLERUP,16,Sander HEIEREN
49,748752,19.55,,TTH,Skud reddet,VF,6,Frederik BJERRE,Retur,0,,12,Magnus BRANDBYGE
50,748752,20.09,,TTH,Time out,,,,,,,,
51,748752,20.21,,TTH,Fejlaflevering,,11,Thomas DAMGAARD,Bold erobret,11,Mikkel LANG,,
52,748752,20.25,13-11,SAH,Mål,1:e,11,Mikkel LANG,,,,0,
53,748752,20.53,13-12,TTH,Mål,Gbr,28,Kevin GULLIKSEN,,,,12,Magnus BRANDBYGE
54,748752,21.31,14-12,SAH,Mål,Gbr,7,Jonatan MOLLERUP,,,,1,Frank MIKKELSEN
55,748752,22.20,,TTH,Skud forbi,VB,11,Thomas DAMGAARD,,,,12,Magnus BRANDBYGE
56,748752,22.32,,SAH,Regelfejl,,23,Morten Hempel JENSEN,,,,,
57,748752,23.26,,TTH,Skud reddet,PL,11,Thomas DAMGAARD,,,,12,Magnus BRANDBYGE
58,748752,23.33,15-12,SAH,Mål,1:e,11,Mikkel LANG,Assist,7,Jonatan MOLLERUP,1,Frank MIKKELSEN
59,748752,24.29,,TTH,Fejlaflevering,,11,Thomas DAMGAARD,Bold erobret,7,Jonatan MOLLERUP,,
60,748752,24.35,,SAH,Skud reddet,1:e,25,Jeppe CIESLAK,Retur,0,,1,Frank MIKKELSEN
61,748752,25.03,16-12,SAH,Mål,HF,11,Mikkel LANG,Assist,7,Jonatan MOLLERUP,1,Frank MIKKELSEN
62,748752,25.14,,TTH,Fejlaflevering,,22,Nikolaj MARKUSSEN,,,,,
63,748752,25.21,17-12,SAH,Mål,2:e,6,Kristian BONEFELD,,,,1,Frank MIKKELSEN
64,748752,25.25,,TTH,Time out,,,,,,,,
65,748752,25.53,,TTH,Tabt bold,,23,Miha ZVIZEJ,,,,,
66,748752,26.05,18-12,SAH,Mål,2:e,25,Jeppe CIESLAK,Assist,28,Morten KAALUND,1,Frank MIKKELSEN
67,748752,26.54,,TTH,Skud reddet,PL,7,William AAR,,,,12,Magnus BRANDBYGE
68,748752,27.59,19-12,SAH,Mål,PL,15,Emil LÆRKE,,,,1,Frank MIKKELSEN
69,748752,28.28,,SAH,Udvisning,,19,Thor CHRISTENSEN,,,,,
70,748752,28.35,19-13,TTH,Mål,PL,22,Nikolaj MARKUSSEN,,,,12,Magnus BRANDBYGE
71,748752,29.31,20-13,SAH,Mål,HB,7,Jonatan MOLLERUP,,,,1,Frank MIKKELSEN
72,748752,29.51,,TTH,Tilkendt straffe,,3,Sebastian ØRUM,Forårs. str.,11,Mikkel LANG,,
73,748752,30.00,,TTH,Straffekast reddet,,10,Magnus BRAMMING,,,,12,Magnus BRANDBYGE
74,748752,30.00,20-13,,Halvleg,,,,,,,,
75,748752,30.00,,,Start 2:e halvleg,,,,,,,,
76,748752,30.43,,SAH,Fejlaflevering,,7,Jonatan MOLLERUP,,,,,
77,748752,31.13,20-14,TTH,Mål,PL,7,William AAR,,,,12,Magnus BRANDBYGE
78,748752,32.15,,SAH,Skud reddet,PL,7,Jonatan MOLLERUP,,,,16,Sander HEIEREN
79,748752,32.55,20-15,TTH,Mål,ST,4,Christoffer CICHOSZ,Assist,7,William AAR,12,Magnus BRANDBYGE
80,748752,33.46,,SAH,Tilkendt straffe,,11,Mikkel LANG,Forårs. str.,10,Magnus BRAMMING,,
81,748752,33.46,,TTH,Udvisning,,10,Magnus BRAMMING,,,,,
82,748752,33.48,21-15,SAH,Mål på straffe,,23,Morten Hempel JENSEN,,,,16,Sander HEIEREN
83,748752,34.39,,TTH,Skud reddet,HB,22,Nikolaj MARKUSSEN,,,,12,Magnus BRANDBYGE
84,748752,34.46,22-15,SAH,Mål,1:e,11,Mikkel LANG,Assist,6,Kristian BONEFELD,16,Sander HEIEREN
85,748752,35.28,,TTH,Tabt bold,,11,Thomas DAMGAARD,,,,,
86,748752,35.45,23-15,SAH,Mål,2:e,23,Morten Hempel JENSEN,,,,16,Sander HEIEREN
87,748752,36.20,,TTH,Skud reddet,ST,4,Christoffer CICHOSZ,,,,12,Magnus BRANDBYGE
88,748752,36.25,24-15,SAH,Mål,1:e,25,Jeppe CIESLAK,Assist,6,Kristian BONEFELD,16,Sander HEIEREN
89,748752,36.55,,TTH,Tilkendt straffe,,11,Thomas DAMGAARD,Forårs. str.,25,Jeppe CIESLAK,,
90,748752,37.07,24-16,TTH,Mål på straffe,,6,Frederik BJERRE,,,,12,Magnus BRANDBYGE
91,748752,37.58,25-16,SAH,Mål,PL,7,Jonatan MOLLERUP,,,,16,Sander HEIEREN
92,748752,38.04,25-17,TTH,Mål,2:e,28,Kevin GULLIKSEN,,,,12,Magnus BRANDBYGE
93,748752,38.52,,SAH,Regelfejl,,7,Jonatan MOLLERUP,,,,,
94,748752,39.00,,TTH,Regelfejl,,11,Thomas DAMGAARD,,,,,
95,748752,40.18,,SAH,Regelfejl,,7,Jonatan MOLLERUP,,,,,
96,748752,40.32,,TTH,Skud reddet,PL,7,William AAR,,,,12,Magnus BRANDBYGE
