id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748753,0.00,,,Start 1:e halvleg,,,,,,,,
2,748753,0.45,,NSH,Skud på stolpe,Gbr,13,Gustav BRUUN,,,,16,Andreas HAAGEN
3,748753,1.48,1-0,TMS,Mål,VF,22,Axel ANDERSSON,,,,29,Jimmi ANDERSEN
4,748753,2.20,,NSH,Skud reddet,Gbr,7,Léo MARTINEZ,Retur,0,,16,Andreas HAAGEN
5,748753,2.45,,NSH,Skud reddet,Gbr,7,Léo MARTINEZ,,,,16,Andreas HAAGEN
6,748753,2.53,2-0,TMS,Mål,2:e,19,Benjamin HALLGREN,,,,29,Jimmi ANDERSEN
7,748753,3.47,,NSH,Regelfejl,,57,Nikolaj LARSSON,,,,,
8,748753,4.07,,TMS,Tilkendt straffe,,19,Benjamin HALLGREN,Forårs. str.,42,Matias CAMPBELL,,
9,748753,4.20,3-0,TMS,Mål på straffe,,81,Tobias NIELSEN,,,,29,Jimmi ANDERSEN
10,748753,4.49,3-1,NSH,Mål,PL,13,Gustav BRUUN,,,,16,Andreas HAAGEN
11,748753,5.48,,NSH,Advarsel,,42,Matias CAMPBELL,,,,,
12,748753,6.20,,TMS,Regelfejl,,25,Anders AGGER,,,,,
13,748753,6.27,3-2,NSH,Mål,2:e,13,Gustav BRUUN,,,,16,Andreas HAAGEN
14,748753,7.02,,TMS,Fejlaflevering,,19,Benjamin HALLGREN,Bold erobret,13,Gustav BRUUN,,
15,748753,7.07,3-3,NSH,Mål,1:e,11,Jonas RAUNDAHL,Assist,13,Gustav BRUUN,16,Andreas HAAGEN
16,748753,7.37,4-3,TMS,Mål,Gbr,7,Christoffer DREYER,,,,29,Jimmi ANDERSEN
17,748753,8.13,4-4,NSH,Mål,VF,14,Rasmus MADSBØLL,,,,16,Andreas HAAGEN
18,748753,8.45,,TMS,Tabt bold,,19,Benjamin HALLGREN,,,,,
19,748753,9.05,,NSH,Tilkendt straffe,,7,Léo MARTINEZ,Forårs. str.,25,Anders AGGER,,
20,748753,9.28,,NSH,Straffekast reddet,,3,Carl-Emil HAUNSTRUP,,,,16,Andreas HAAGEN
21,748753,9.38,,TMS,Advarsel,,19,Benjamin HALLGREN,,,,,
22,748753,10.20,5-4,TMS,Mål,Gbr,19,Benjamin HALLGREN,Assist,7,Christoffer DREYER,29,Jimmi ANDERSEN
23,748753,11.03,5-5,NSH,Mål,VB,13,Gustav BRUUN,,,,16,Andreas HAAGEN
24,748753,11.30,6-5,TMS,Mål,Gbr,19,Benjamin HALLGREN,Assist,5,Mark NIKOLAJSEN,29,Jimmi ANDERSEN
25,748753,11.45,,NSH,Skud på stolpe,Gbr,7,Léo MARTINEZ,,,,16,Andreas HAAGEN
26,748753,12.18,,TMS,Skud reddet,PL,5,Mark NIKOLAJSEN,,,,29,Jimmi ANDERSEN
27,748753,13.03,6-6,NSH,Mål,PL,57,Nikolaj LARSSON,,,,16,Andreas HAAGEN
28,748753,13.37,7-6,TMS,Mål,PL,7,Christoffer DREYER,,,,29,Jimmi ANDERSEN
