id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748755,0.00,,,Start 1:e halvleg,,,,,,,,
2,748755,0.33,1-0,MTH,Mål,PL,28,Rasmus MADSEN,,,,12,Josip CAVAR
3,748755,0.43,1-1,KIF,Mål,2:e,5,Oliver NORLYK,,,,30,Svend RUGHAVE
4,748755,1.11,2-1,MTH,Mål,Gbr,21,Marcus MIDTGAARD,,,,12,Josip CAVAR
5,748755,1.52,,KIF,Fejlaflevering,,21,Kristian STOKLUND,,,,,
6,748755,2.31,,MTH,Skud forbi,PL,10,Mads Svane KNUDSEN,,,,12,Josip CAVAR
7,748755,2.40,,KIF,Fejlaflevering,,5,Oliver NORLYK,Bold erobret,10,Mads Svane KNUDSEN,,
8,748755,3.22,,MTH,Skud reddet,ST,33,Kasper DIDRIKSEN,,,,12,Josip CAVAR
9,748755,4.33,,KIF,Skud forbi,PL,15,Jens SVANE,,,,30,Svend RUGHAVE
10,748755,5.12,,MTH,Skud blokeret,PL,28,Rasmus MADSEN,Blokeret af,18,Benjamin PEDERSEN,,
11,748755,5.18,2-2,KIF,Mål,1:e,4,Lars SKAARUP,Assist,,,12,Josip CAVAR
12,748755,6.03,,MTH,Tilkendt straffe,,11,Lasse PEDERSEN,Forårs. str.,18,Benjamin PEDERSEN,,
13,748755,6.03,,KIF,Udvisning,,18,Benjamin PEDERSEN,,,,,
14,748755,6.04,3-2,MTH,Mål på straffe,,10,Mads Svane KNUDSEN,,,,12,Josip CAVAR
15,748755,6.39,3-3,KIF,Mål,2:e,15,Jens SVANE,,,,30,Svend RUGHAVE
16,748755,7.07,4-3,MTH,Mål,Gbr,21,Marcus MIDTGAARD,,,,12,Josip CAVAR
17,748755,7.39,,KIF,Skud reddet,PL,15,Jens SVANE,,,,30,Svend RUGHAVE
18,748755,7.45,5-3,MTH,Mål,1:e,21,Marcus MIDTGAARD,Assist,,,12,Josip CAVAR
19,748755,8.23,,KIF,Skud blokeret,HB,5,Oliver NORLYK,Blokeret af,33,Kasper DIDRIKSEN,,
20,748755,9.32,,MTH,Tilkendt straffe,,25,Magnus NORLYK,Forårs. str.,18,Benjamin PEDERSEN,,
21,748755,9.32,,KIF,Udvisning,,6,Jonas TIDEMAND,,,,,
22,748755,9.36,,MTH,Straffekast reddet,,11,Lasse PEDERSEN,,,,12,Josip CAVAR
23,748755,10.43,,KIF,Fejlaflevering,,5,Oliver NORLYK,Bold erobret,25,Magnus NORLYK,,
24,748755,10.48,,MTH,Skud forbi,1:e,25,Magnus NORLYK,,,,12,Josip CAVAR
25,748755,11.21,5-4,KIF,Mål,HB,21,Kristian STOKLUND,,,,30,Svend RUGHAVE
26,748755,12.20,6-4,MTH,Mål,PL,21,Marcus MIDTGAARD,,,,12,Josip CAVAR
27,748755,12.57,,KIF,Skud reddet,Gbr,15,Jens SVANE,,,,30,Svend RUGHAVE
28,748755,13.02,,MTH,Tilkendt straffe,,10,Mads Svane KNUDSEN,Forårs. str.,5,Oliver NORLYK,,
29,748755,13.08,7-4,MTH,Mål på straffe,,10,Mads Svane KNUDSEN,,,,12,Josip CAVAR
30,748755,14.09,7-5,KIF,Mål,PL,15,Jens SVANE,,,,30,Svend RUGHAVE
31,748755,14.39,8-5,MTH,Mål,HB,9,Kristoffer VESTERGAARD,,,,12,Josip CAVAR
32,748755,15.16,,KIF,Skud reddet,VB,23,Mads HOÉ JØRGENSEN,,,,0,
33,748755,15.24,,MTH,Fejlaflevering,,10,Mads Svane KNUDSEN,Bold erobret,4,Lars SKAARUP,,
34,748755,15.29,,KIF,Fejlaflevering,,5,Oliver NORLYK,,,,,
35,748755,16.06,9-5,MTH,Mål,Gbr,10,Mads Svane KNUDSEN,Assist,21,Marcus MIDTGAARD,12,Josip CAVAR
36,748755,16.24,9-6,KIF,Mål,HF,29,Viktor NEVERS,Assist,5,Oliver NORLYK,30,Svend RUGHAVE
37,748755,16.55,,MTH,Fejlaflevering,,10,Mads Svane KNUDSEN,,,,,
38,748755,17.22,,MTH,Advarsel,,33,Kasper DIDRIKSEN,,,,,
39,748755,18.06,9-7,KIF,Mål,PL,23,Mads HOÉ JØRGENSEN,,,,30,Svend RUGHAVE
40,748755,18.38,10-7,MTH,Mål,PL,9,Kristoffer VESTERGAARD,,,,12,Josip CAVAR
41,748755,18.42,,KIF,Udvisning,,6,Jonas TIDEMAND,,,,,
42,748755,19.11,10-8,KIF,Mål,Gbr,5,Oliver NORLYK,,,,30,Svend RUGHAVE
43,748755,19.46,11-8,MTH,Mål,ST,15,Henrik Toft HANSEN,Assist,21,Marcus MIDTGAARD,1,Emil TELLERUP
44,748755,20.16,,KIF,Fejlaflevering,,23,Mads HOÉ JØRGENSEN,Bold erobret,21,Marcus MIDTGAARD,,
45,748755,20.22,12-8,MTH,Mål,1:e,21,Marcus MIDTGAARD,,,,1,Emil TELLERUP
46,748755,20.43,,KIF,Time out,,,,,,,,
47,748755,21.14,,KIF,Tilkendt straffe,,23,Mads HOÉ JØRGENSEN,Forårs. str.,22,Gustav SUNESEN,,
48,748755,21.30,12-9,KIF,Mål på straffe,,21,Kristian STOKLUND,,,,30,Svend RUGHAVE
49,748755,22.13,13-9,MTH,Mål,PL,19,Victor NORLYK,,,,1,Emil TELLERUP
50,748755,22.51,,KIF,Tilkendt straffe,,18,Benjamin PEDERSEN,Forårs. str.,4,Kasper LINDGREN,,
51,748755,23.00,,KIF,Straffekast reddet,,21,Kristian STOKLUND,,,,30,Svend RUGHAVE
52,748755,23.52,14-9,MTH,Mål,PL,19,Victor NORLYK,,,,1,Emil TELLERUP
