id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748757,0.00,,,Start 1:e halvleg,,,,,,,,
2,748757,0.38,,GIF,Regelfejl,,22,Hjalmar ANDERSEN,,,,,
3,748757,0.43,,TTH,Skud reddet,1:e,23,Miha ZVIZEJ,,,,16,Christian WETCHE
4,748757,1.25,,GIF,Skud reddet,HF,3,Thomas THEILGAARD,,,,16,Sander HEIEREN
5,748757,1.37,,TTH,Skud reddet,2:e,7,William AAR,,,,16,Christian WETCHE
6,748757,2.34,0-1,GIF,Mål,ST,17,Kristian Krag ØRSTED,Assist,8,Rolf RAVN,16,Sander HEIEREN
7,748757,3.04,1-1,TTH,Mål,Gbr,18,Edwin ASPENBÄCK,,,,16,Christian WETCHE
8,748757,3.13,,TTH,Udvisning,,7,William AAR,,,,,
9,748757,3.25,1-2,GIF,Mål,PL,21,Kristoffer VESTERGAARD,,,,16,Sander HEIEREN
10,748757,3.58,2-2,TTH,Mål,Gbr,11,Thomas DAMGAARD,Assist,18,Edwin ASPENBÄCK,16,Christian WETCHE
11,748757,4.52,,GIF,Skud reddet,HF,3,Thomas THEILGAARD,,,,16,Sander HEIEREN
12,748757,5.18,,TTH,Skud blokeret,PL,18,Edwin ASPENBÄCK,Blokeret af,11,Kristoffer JESSEN,,
13,748757,5.54,,GIF,Skud reddet,PL,21,Kristoffer VESTERGAARD,,,,16,Sander HEIEREN
14,748757,6.12,3-2,TTH,Mål,1:e,28,Kevin GULLIKSEN,,,,16,Christian WETCHE
15,748757,6.28,3-3,GIF,Mål,Gbr,4,Frederik NIELSEN,,,,16,Sander HEIEREN
16,748757,7.22,,GIF,Advarsel,,3,Thomas THEILGAARD,,,,,
17,748757,7.40,4-3,TTH,Mål,Gbr,11,Thomas DAMGAARD,,,,16,Christian WETCHE
18,748757,7.53,,GIF,Skud reddet,2:e,14,Nicolai SKYTTE,,,,16,Sander HEIEREN
19,748757,8.04,,TTH,Skud forbi,2:e,18,Edwin ASPENBÄCK,,,,16,Christian WETCHE
20,748757,8.56,,GIF,Fejlaflevering,,21,Kristoffer VESTERGAARD,Bold erobret,11,Thomas DAMGAARD,,
21,748757,9.00,,TTH,Tilkendt straffe,,28,Kevin GULLIKSEN,Forårs. str.,4,Frederik NIELSEN,,
22,748757,9.01,5-3,TTH,Mål på straffe,,6,Frederik BJERRE,,,,16,Christian WETCHE
23,748757,9.24,,GIF,Udvisning,,4,Frederik NIELSEN,,,,,
24,748757,10.07,,GIF,Skud reddet,PL,18,Martin RISOM,,,,16,Sander HEIEREN
25,748757,10.32,,TTH,Skud reddet,VB,7,William AAR,,,,16,Christian WETCHE
26,748757,11.23,,TTH,Udvisning,,23,Miha ZVIZEJ,,,,,
27,748757,11.36,5-4,GIF,Mål,Gbr,14,Nicolai SKYTTE,,,,16,Sander HEIEREN
28,748757,12.11,6-4,TTH,Mål,Gbr,18,Edwin ASPENBÄCK,,,,16,Christian WETCHE
29,748757,12.18,,TTH,Udvisning,,4,Christoffer CICHOSZ,,,,,
30,748757,12.32,,GIF,Regelfejl,,18,Martin RISOM,,,,,
31,748757,13.28,7-4,TTH,Mål,ST,28,Kevin GULLIKSEN,Assist,11,Thomas DAMGAARD,16,Christian WETCHE
32,748757,13.55,7-5,GIF,Mål,Gbr,18,Martin RISOM,,,,16,Sander HEIEREN
33,748757,14.48,8-5,TTH,Mål,Gbr,18,Edwin ASPENBÄCK,Assist,11,Thomas DAMGAARD,16,Christian WETCHE
34,748757,15.02,,GIF,Time out,,,,,,,,
35,748757,15.39,,GIF,Skud reddet,PL,21,Kristoffer VESTERGAARD,,,,16,Sander HEIEREN
36,748757,15.45,9-5,TTH,Mål,1:e,6,Frederik BJERRE,,,,16,Christian WETCHE
37,748757,16.16,,GIF,Skud reddet,Gbr,4,Frederik NIELSEN,,,,16,Sander HEIEREN
38,748757,16.22,10-5,TTH,Mål,1:e,7,William AAR,Assist,13,Sven EHRIG,16,Christian WETCHE
39,748757,17.14,,GIF,Fejlaflevering,,17,Kristian Krag ØRSTED,Bold erobret,7,William AAR,,
40,748757,17.24,,TTH,Skud reddet,1:e,13,Sven EHRIG,,,,16,Christian WETCHE
41,748757,17.29,10-6,GIF,Mål,2:e,7,Jakob VILLEMOES,,,,16,Sander HEIEREN
42,748757,18.00,11-6,TTH,Mål,Gbr,11,Thomas DAMGAARD,Assist,18,Edwin ASPENBÄCK,16,Christian WETCHE
43,748757,18.13,,GIF,Regelfejl,,17,Kristian Krag ØRSTED,,,,,
44,748757,18.16,12-6,TTH,Mål,1:e,7,William AAR,,,,16,Christian WETCHE
45,748757,18.24,,GIF,Time out,,,,,,,,
