id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748762,0.00,,,Start 1:e halvleg,,,,,,,,
2,748762,0.57,,FHK,Regelfejl,,41,Evgeni PEVNOV,,,,,
3,748762,1.34,1-0,NSH,Mål,Gbr,13,Gustav BRUUN,,,,16,Thorsten FRIES
4,748762,2.23,1-1,FHK,Mål,PL,97,Reinier TABOADA,,,,16,Magnus PETERSEN
5,748762,2.38,2-1,NSH,Mål,ST,5,Julius MØRCH,Assist,13,Gustav BRUUN,16,Thorsten FRIES
6,748762,3.09,,FHK,Skud blokeret,PL,93,Anders MARTINUSEN,Blokeret af,42,Matias CAMPBELL,,
7,748762,4.15,3-1,NSH,Mål,HF,3,Carl-Emil HAUNSTRUP,,,,16,Thorsten FRIES
8,748762,4.26,,FHK,Tabt bold,,0,,,,,,
9,748762,5.06,,NSH,Skud på stolpe,Gbr,13,Gustav BRUUN,,,,16,Thorsten FRIES
10,748762,5.08,3-2,FHK,Mål,VB,97,Reinier TABOADA,,,,16,Magnus PETERSEN
11,748762,5.19,4-2,NSH,Mål,ST,5,Julius MØRCH,,,,16,Thorsten FRIES
12,748762,5.40,,FHK,Skud forbi,VB,97,Reinier TABOADA,,,,16,Magnus PETERSEN
13,748762,6.12,5-2,NSH,Mål,Gbr,7,Léo MARTINEZ,,,,16,Thorsten FRIES
14,748762,6.26,5-3,FHK,Mål,VF,9,Martin BISGAARD,Assist,31,William ANDERSSON MOBERG16,16,Magnus PETERSEN
15,748762,7.16,,NSH,Regelfejl,,57,Nikolaj LARSSON,,,,,
16,748762,8.06,,FHK,Skud reddet,ST,31,William ANDERSSON MOBERG,,,,16,Magnus PETERSEN
17,748762,8.17,,NSH,Skud forbi,VF,14,Rasmus MADSBØLL,,,,16,Thorsten FRIES
18,748762,8.43,,FHK,Skud reddet,PL,93,Anders MARTINUSEN,,,,16,Magnus PETERSEN
19,748762,8.55,6-3,NSH,Mål,Gbr,13,Gustav BRUUN,,,,16,Thorsten FRIES
20,748762,8.55,,FHK,Time out,,,,,,,,
21,748762,9.50,6-4,FHK,Mål,Gbr,97,Reinier TABOADA,,,,16,Magnus PETERSEN
22,748762,10.39,,FHK,Advarsel,,13,Lasse BALSTAD,,,,,
23,748762,11.17,7-4,NSH,Mål,HB,57,Nikolaj LARSSON,,,,16,Thorsten FRIES
24,748762,11.53,7-5,FHK,Mål,PL,91,Kasper PALMAR,,,,16,Magnus PETERSEN
25,748762,12.03,,FHK,Udvisning,,91,Kasper PALMAR,,,,,
26,748762,12.21,8-5,NSH,Mål,Gbr,19,Thomas BOILESEN,Assist,42,Matias CAMPBELL,12,Rasmus Storm JENSEN
27,748762,13.03,8-6,FHK,Mål,ST,41,Evgeni PEVNOV,Assist,3,Jonas Kruse KRISTENSEN,16,Magnus PETERSEN
28,748762,13.47,,NSH,Tabt bold,,42,Matias CAMPBELL,,,,,
29,748762,14.01,8-7,FHK,Mål,Gbr,3,Jonas Kruse KRISTENSEN,,,,16,Magnus PETERSEN
30,748762,15.06,9-7,NSH,Mål,VF,14,Rasmus MADSBØLL,Assist,13,Gustav BRUUN,12,Rasmus Storm JENSEN
31,748762,15.34,9-8,FHK,Mål,HB,91,Kasper PALMAR,,,,16,Magnus PETERSEN
32,748762,15.46,,NSH,Tabt bold,,19,Thomas BOILESEN,,,,,
33,748762,15.55,9-9,FHK,Mål,ST,41,Evgeni PEVNOV,Assist,91,Kasper PALMAR,16,Magnus PETERSEN
34,748762,15.55,,NSH,Udvisning,,19,Thomas BOILESEN,,,,,
35,748762,16.51,,NSH,Skud forbi,PL,42,Matias CAMPBELL,,,,12,Rasmus Storm JENSEN
36,748762,17.20,,FHK,Skud reddet,ST,3,Jonas Kruse KRISTENSEN,,,,16,Magnus PETERSEN
37,748762,18.03,10-9,NSH,Mål,Gbr,7,Léo MARTINEZ,,,,12,Rasmus Storm JENSEN
38,748762,18.45,,FHK,Fejlaflevering,,91,Kasper PALMAR,Bold erobret,42,Matias CAMPBELL,,
39,748762,18.52,11-9,NSH,Mål,1:e,14,Rasmus MADSBØLL,,,,12,Rasmus Storm JENSEN
40,748762,19.24,11-10,FHK,Mål,ST,41,Evgeni PEVNOV,,,,16,Magnus PETERSEN
41,748762,20.00,,NSH,Fejlaflevering,,7,Léo MARTINEZ,Bold erobret,97,Reinier TABOADA,,
42,748762,20.11,11-11,FHK,Mål,1:e,9,Martin BISGAARD,Assist,13,Lasse BALSTAD,16,Magnus PETERSEN
43,748762,20.53,12-11,NSH,Mål,VB,13,Gustav BRUUN,,,,12,Rasmus Storm JENSEN
44,748762,21.32,,FHK,Skud reddet,HF,20,Fredrik MOSSESTAD,Retur,0,,16,Magnus PETERSEN
45,748762,22.05,,FHK,Skud reddet,HB,91,Kasper PALMAR,Retur,0,,16,Magnus PETERSEN
46,748762,22.46,12-12,FHK,Mål,Gbr,97,Reinier TABOADA,,,,16,Magnus PETERSEN
47,748762,22.57,13-12,NSH,Mål,2:e,3,Carl-Emil HAUNSTRUP,Assist,17,Assar KAMMENHED,16,Thorsten FRIES
48,748762,23.26,,NSH,Advarsel,A,,Laurids Søgaard PETERSEN,,,,,
49,748762,23.36,13-13,FHK,Mål,HB,91,Kasper PALMAR,,,,16,Magnus PETERSEN
50,748762,23.52,14-13,NSH,Mål,ST,5,Julius MØRCH,Assist,13,Gustav BRUUN,16,Thorsten FRIES
51,748762,24.28,14-14,FHK,Mål,ST,41,Evgeni PEVNOV,Assist,15,Mads KJELDGAARD,16,Magnus PETERSEN
52,748762,25.12,15-14,NSH,Mål,VB,13,Gustav BRUUN,,,,16,Thorsten FRIES
53,748762,26.05,,FHK,Skud blokeret,PL,3,Jonas Kruse KRISTENSEN,Blokeret af,0,,,
54,748762,26.19,,NSH,Skud reddet,2:e,14,Rasmus MADSBØLL,,,,16,Thorsten FRIES
55,748762,26.45,15-15,FHK,Mål,Gbr,3,Jonas Kruse KRISTENSEN,,,,16,Magnus PETERSEN
56,748762,27.25,,NSH,Skud reddet,ST,21,Tim RANTALA,Retur,0,,16,Thorsten FRIES
57,748762,27.35,16-15,NSH,Mål,ST,11,Jonas RAUNDAHL,,,,16,Thorsten FRIES
58,748762,28.09,,FHK,Skud blokeret,PL,91,Kasper PALMAR,Blok af (ret),42,Matias CAMPBELL,,
59,748762,28.26,16-16,FHK,Mål,ST,41,Evgeni PEVNOV,Assist,91,Kasper PALMAR,16,Magnus PETERSEN
60,748762,29.17,,NSH,Time out,,,,,,,,
61,748762,29.33,,NSH,Skud på stolpe,VB,13,Gustav BRUUN,,,,16,Thorsten FRIES
62,748762,29.58,,FHK,Fejlaflevering,,15,Mads KJELDGAARD,Bold erobret,42,Matias CAMPBELL,,
63,748762,29.59,,NSH,Skud reddet,2:e,42,Matias CAMPBELL,,,,16,Thorsten FRIES
64,748762,30.00,16-16,,Halvleg,,,,,,,,
65,748762,30.00,,,Start 2:e halvleg,,,,,,,,
66,748762,30.32,,NSH,Skud reddet,Gbr,57,Nikolaj LARSSON,,,,16,Thorsten FRIES
67,748762,31.06,16-17,FHK,Mål,PL,97,Reinier TABOADA,,,,16,Magnus PETERSEN
68,748762,31.14,17-17,NSH,Mål,2:e,57,Nikolaj LARSSON,,,,16,Thorsten FRIES
69,748762,31.48,,FHK,Skud blokeret,PL,97,Reinier TABOADA,Blok af (ret),42,Matias CAMPBELL,,
70,748762,32.05,17-18,FHK,Mål,HB,91,Kasper PALMAR,,,,16,Magnus PETERSEN
71,748762,32.40,,NSH,Fejlaflevering,,13,Gustav BRUUN,,,,,
72,748762,33.18,,FHK,Skud reddet,HF,20,Fredrik MOSSESTAD,,,,16,Magnus PETERSEN
73,748762,33.28,,NSH,Skud reddet,2:e,42,Matias CAMPBELL,,,,16,Thorsten FRIES
74,748762,34.09,17-19,FHK,Mål,Gbr,3,Jonas Kruse KRISTENSEN,,,,16,Magnus PETERSEN
75,748762,34.40,,NSH,Tabt bold,,7,Léo MARTINEZ,,,,,
76,748762,35.30,17-20,FHK,Mål,Gbr,3,Jonas Kruse KRISTENSEN,,,,16,Magnus PETERSEN
77,748762,36.08,,NSH,Regelfejl,,17,Assar KAMMENHED,,,,,
78,748762,36.36,17-21,FHK,Mål,PL,91,Kasper PALMAR,,,,16,Magnus PETERSEN
79,748762,36.48,18-21,NSH,Mål,Gbr,13,Gustav BRUUN,,,,16,Thorsten FRIES
80,748762,37.35,18-22,FHK,Mål,VB,97,Reinier TABOADA,,,,16,Magnus PETERSEN
81,748762,37.50,,NSH,Time out,,,,,,,,
82,748762,38.24,19-22,NSH,Mål,Gbr,13,Gustav BRUUN,,,,16,Thorsten FRIES
