id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748765,0.00,,,Start 1:e halvleg,,,,,,,,
2,748765,1.03,,GOG,Skud på stolpe,PL,15,Tobias GRØNDAHL,Retur,0,,1,Emil TELLERUP
3,748765,1.23,,GOG,Skud blokeret,PL,8,Frederik TILSTED,Blok af (ret),18,Benjamin PEDERSEN,,
4,748765,2.09,,GOG,Skud reddet,VB,8,Frederik TILSTED,,,,1,Emil TELLERUP
5,748765,2.59,,KIF,Tilkendt straffe,,5,Oliver NORLYK,Forårs. str.,23,Joachim Lyng ALS,,
6,748765,3.18,0-1,KIF,Mål på straffe,,21,Kristian STOKLUND,,,,12,Peter JOHANNESSON
7,748765,3.52,1-1,GOG,Mål,VB,15,Tobias GRØNDAHL,,,,1,Emil TELLERUP
8,748765,4.21,,KIF,Skud reddet,PL,5,Oliver NORLYK,,,,12,Peter JOHANNESSON
9,748765,4.30,2-1,GOG,Mål,2:e,9,Henrik JAKOBSEN,Assist,15,Tobias GRØNDAHL,1,Emil TELLERUP
10,748765,5.25,,KIF,Skud forbi,HB,5,Oliver NORLYK,,,,12,Peter JOHANNESSON
11,748765,6.04,,GOG,Skud reddet,PL,15,Tobias GRØNDAHL,,,,1,Emil TELLERUP
12,748765,6.11,2-2,KIF,Mål,1:e,27,Sebastian BERTELSEN,Assist,5,Oliver NORLYK,12,Peter JOHANNESSON
13,748765,6.39,,GOG,Skud på stolpe,Gbr,29,Hjalte LYKKE,,,,1,Emil TELLERUP
14,748765,6.47,2-3,KIF,Mål,2:e,27,Sebastian BERTELSEN,Assist,5,Oliver NORLYK,12,Peter JOHANNESSON
15,748765,7.04,3-3,GOG,Mål,ST,9,Henrik JAKOBSEN,Assist,8,Frederik TILSTED,1,Emil TELLERUP
16,748765,7.36,,KIF,Skud blokeret,PL,28,Lauritz LEGÉR,Blokeret af,66,Anton LINDSKOG,,
17,748765,7.44,,GOG,Fejlaflevering,,23,Joachim Lyng ALS,,,,,
18,748765,8.14,,KIF,Regelfejl,,28,Lauritz LEGÉR,,,,,
19,748765,9.08,,KIF,Udvisning,,6,Jonas TIDEMAND,,,,,
20,748765,9.33,4-3,GOG,Mål,HF,19,Oskar VIND,Assist,15,Tobias GRØNDAHL,1,Emil TELLERUP
21,748765,10.40,,GOG,Udvisning,,8,Frederik TILSTED,,,,,
22,748765,10.59,4-4,KIF,Mål,Gbr,5,Oliver NORLYK,,,,12,Peter JOHANNESSON
23,748765,11.23,,GOG,Regelfejl,,37,Linus PERSSON,,,,,
24,748765,11.41,4-5,KIF,Mål,Gbr,15,Jens SVANE,,,,12,Peter JOHANNESSON
25,748765,12.16,,GOG,Tilkendt straffe,,15,Tobias GRØNDAHL,Forårs. str.,6,Jonas TIDEMAND,,
26,748765,12.16,,KIF,Udvisning,,6,Jonas TIDEMAND,,,,,
27,748765,12.18,5-5,GOG,Mål på straffe,,15,Tobias GRØNDAHL,,,,12,Josip CAVAR
28,748765,12.47,5-6,KIF,Mål,Gbr,5,Oliver NORLYK,Assist,15,Jens SVANE,12,Peter JOHANNESSON
29,748765,13.16,6-6,GOG,Mål,ST,66,Anton LINDSKOG,Assist,15,Tobias GRØNDAHL,1,Emil TELLERUP
30,748765,13.50,6-7,KIF,Mål,ST,18,Benjamin PEDERSEN,Assist,5,Oliver NORLYK,12,Peter JOHANNESSON
31,748765,14.22,7-7,GOG,Mål,HF,19,Oskar VIND,Assist,15,Tobias GRØNDAHL,1,Emil TELLERUP
32,748765,14.53,,KIF,Fejlaflevering,,5,Oliver NORLYK,,,,,
33,748765,15.34,,GOG,Skud blokeret,VB,8,Frederik TILSTED,Blok af (ret),5,Oliver NORLYK,,
34,748765,15.44,,GOG,Regelfejl,,37,Linus PERSSON,,,,,
35,748765,17.09,,KIF,Skud reddet,VF,4,Lars SKAARUP,,,,12,Peter JOHANNESSON
36,748765,17.18,8-7,GOG,Mål,2:e,37,Linus PERSSON,,,,1,Emil TELLERUP
37,748765,17.53,,KIF,Skud reddet,HF,27,Sebastian BERTELSEN,,,,12,Peter JOHANNESSON
38,748765,18.10,,GOG,Time out,,,,,,,,
39,748765,18.33,9-7,GOG,Mål,PL,3,Nicolai PEDERSEN,Assist,29,Hjalte LYKKE,1,Emil TELLERUP
40,748765,19.37,,KIF,Skud reddet,VB,23,Mads HOÉ JØRGENSEN,,,,12,Peter JOHANNESSON
41,748765,20.30,,GOG,Tilkendt straffe,,29,Hjalte LYKKE,Forårs. str.,21,Kristian STOKLUND,,
42,748765,21.01,10-7,GOG,Mål på straffe,,15,Tobias GRØNDAHL,,,,12,Josip CAVAR
43,748765,22.03,,KIF,Skud reddet,Gbr,28,Lauritz LEGÉR,,,,12,Peter JOHANNESSON
44,748765,22.14,11-7,GOG,Mål,Gbr,3,Nicolai PEDERSEN,,,,12,Josip CAVAR
45,748765,22.16,,KIF,Time out,,,,,,,,
46,748765,22.43,,KIF,Tilkendt straffe,,28,Lauritz LEGÉR,Forårs. str.,3,Nicolai PEDERSEN,,
47,748765,23.01,11-8,KIF,Mål på straffe,,21,Kristian STOKLUND,,,,12,Peter JOHANNESSON
48,748765,23.34,,GOG,Skud forbi,PL,29,Hjalte LYKKE,,,,12,Josip CAVAR
49,748765,24.16,,KIF,Regelfejl,,28,Lauritz LEGÉR,,,,,
50,748765,24.49,,GOG,Skud på stolpe,Gbr,10,Frederik PEDERSEN,,,,12,Josip CAVAR
