id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748766,0.00,,,Start 1:e halvleg,,,,,,,,
2,748766,0.41,1-0,SAH,Mål,HB,3,Kristjan ÖRN KRISTJANSSON,,,,1,Niklas LANDIN
3,748766,1.37,,AAH,Fejlaflevering,,9,Miguel MARTINS,,,,,
4,748766,1.46,2-0,SAH,Mål,2:e,3,Kristjan ÖRN KRISTJANSSON,,,,1,Niklas LANDIN
5,748766,2.17,2-1,AAH,Mål,HB,15,Jack THURIN,,,,1,Kristoffer LAURSEN
6,748766,3.04,,AAH,Udvisning,,21,Henrik MØLLGAARD,,,,,
7,748766,3.18,,SAH,Tilkendt straffe,,32,Fredrik OLSSON,Forårs. str.,15,Jack THURIN,,
8,748766,3.36,3-1,SAH,Mål på straffe,,23,Morten Hempel JENSEN,,,,1,Niklas LANDIN
9,748766,4.23,3-2,AAH,Mål,ST,20,Felix MÖLLER,Assist,9,Miguel MARTINS,1,Kristoffer LAURSEN
10,748766,5.03,,,Video Proof,,0,,,,,,
11,748766,5.03,,,Video Proof slut,,0,,,,,,
12,748766,5.04,4-2,SAH,Mål,VB,32,Fredrik OLSSON,,,,1,Niklas LANDIN
13,748766,5.24,4-3,AAH,Mål,Gbr,15,Jack THURIN,,,,1,Kristoffer LAURSEN
14,748766,5.52,,SAH,Skud forbi,PL,32,Fredrik OLSSON,,,,1,Niklas LANDIN
15,748766,6.03,4-4,AAH,Mål,2:e,25,Marinus MUNK,,,,1,Kristoffer LAURSEN
16,748766,6.28,5-4,SAH,Mål,VB,23,Morten Hempel JENSEN,,,,1,Niklas LANDIN
17,748766,7.17,,AAH,Fejlaflevering,,9,Miguel MARTINS,,,,,
18,748766,7.22,,SAH,Fejlaflevering,,23,Morten Hempel JENSEN,Bold erobret,6,Sebastian BARTHOLD,,
19,748766,7.28,5-5,AAH,Mål,1:e,20,Felix MÖLLER,Assist,9,Miguel MARTINS,1,Kristoffer LAURSEN
20,748766,7.59,6-5,SAH,Mål,VB,32,Fredrik OLSSON,,,,1,Niklas LANDIN
21,748766,8.30,,SAH,Advarsel,,19,Thor CHRISTENSEN,,,,,
22,748766,8.59,,AAH,Skud reddet,PL,9,Miguel MARTINS,,,,1,Kristoffer LAURSEN
23,748766,9.44,,SAH,Fejlaflevering,,23,Morten Hempel JENSEN,,,,,
24,748766,9.52,,AAH,Regelfejl,,25,Marinus MUNK,,,,,
25,748766,10.35,,SAH,Skud blokeret,PL,3,Kristjan ÖRN KRISTJANSSON,Blokeret af,21,Henrik MØLLGAARD,,
26,748766,11.06,6-6,AAH,Mål,ST,20,Felix MÖLLER,Assist,15,Jack THURIN,1,Kristoffer LAURSEN
27,748766,11.42,7-6,SAH,Mål,HB,3,Kristjan ÖRN KRISTJANSSON,,,,1,Niklas LANDIN
