id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748769,0.00,,,Start 1:e halvleg,,,,,,,,
2,748769,0.35,1-0,MTH,Mål,PL,10,Mads Svane KNUDSEN,,,,16,Magnus PETERSEN
3,748769,0.47,1-1,NSH,Mål,2:e,19,Thomas BOILESEN,,,,30,Svend RUGHAVE
4,748769,0.55,2-1,MTH,Mål,2:e,28,Rasmus MADSEN,,,,16,Magnus PETERSEN
5,748769,1.10,2-2,NSH,Mål,HF,3,Carl-Emil HAUNSTRUP,Assist,20,Jesper DAHL,30,Svend RUGHAVE
6,748769,1.20,,MTH,Skud reddet,2:e,10,Mads Svane KNUDSEN,,,,16,Magnus PETERSEN
7,748769,2.13,2-3,NSH,Mål,PL,20,Jesper DAHL,,,,30,Svend RUGHAVE
8,748769,2.24,3-3,MTH,Mål,2:e,28,Rasmus MADSEN,,,,16,Magnus PETERSEN
9,748769,2.33,3-4,NSH,Mål,2:e,14,Rasmus MADSBØLL,Assist,19,Thomas BOILESEN,30,Svend RUGHAVE
10,748769,3.08,4-4,MTH,Mål,Gbr,21,Marcus MIDTGAARD,,,,16,Magnus PETERSEN
11,748769,3.41,,NSH,Skud reddet,Gbr,7,Léo MARTINEZ,,,,30,Svend RUGHAVE
12,748769,4.21,,NSH,Advarsel,,5,Julius MØRCH,,,,,
13,748769,4.44,5-4,MTH,Mål,Gbr,28,Rasmus MADSEN,Assist,21,Marcus MIDTGAARD,16,Magnus PETERSEN
14,748769,4.53,5-5,NSH,Mål,2:e,20,Jesper DAHL,Assist,42,Matias CAMPBELL,30,Svend RUGHAVE
15,748769,5.36,6-5,MTH,Mål,Gbr,10,Mads Svane KNUDSEN,,,,16,Magnus PETERSEN
16,748769,6.24,,NSH,Regelfejl,,7,Léo MARTINEZ,,,,,
17,748769,6.32,,MTH,Skud reddet,2:e,10,Mads Svane KNUDSEN,Retur,0,,16,Magnus PETERSEN
18,748769,7.10,7-5,MTH,Mål,Gbr,21,Marcus MIDTGAARD,,,,16,Magnus PETERSEN
19,748769,7.17,,NSH,Skud reddet,2:e,20,Jesper DAHL,,,,30,Svend RUGHAVE
20,748769,7.28,,MTH,Skud reddet,2:e,25,Magnus NORLYK,,,,16,Magnus PETERSEN
21,748769,8.17,,MTH,Advarsel,,28,Rasmus MADSEN,,,,,
22,748769,8.37,7-6,NSH,Mål,Gbr,7,Léo MARTINEZ,,,,30,Svend RUGHAVE
23,748769,9.15,,MTH,Skud reddet,Gbr,21,Marcus MIDTGAARD,Retur,0,,16,Magnus PETERSEN
24,748769,9.18,8-6,MTH,Mål,ST,25,Magnus NORLYK,Assist,0,,16,Magnus PETERSEN
25,748769,9.25,8-7,NSH,Mål,2:e,7,Léo MARTINEZ,,,,30,Svend RUGHAVE
26,748769,9.34,9-7,MTH,Mål,2:e,10,Mads Svane KNUDSEN,,,,16,Magnus PETERSEN
27,748769,9.43,,NSH,Udvisning,,5,Julius MØRCH,,,,,
28,748769,10.21,,MTH,Udvisning,,15,Henrik Toft HANSEN,,,,,
29,748769,10.37,9-8,NSH,Mål,Gbr,19,Thomas BOILESEN,Assist,42,Matias CAMPBELL,30,Svend RUGHAVE
30,748769,11.07,,MTH,Fejlaflevering,,10,Mads Svane KNUDSEN,,,,,
