id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748771,0.00,,,Start 1:e halvleg,,,,,,,,
2,748771,0.33,0-1,GIF,Mål,PL,21,Kristoffer VESTERGAARD,,,,1,Christoffer BONDE
3,748771,1.47,,SKH,Skud blokeret,PL,10,Joaquim NAZARÉ,Blok af (ret),7,Jakob VILLEMOES,,
4,748771,2.03,,SKH,Skud blokeret,HB,13,Noah GAUDIN,Blok af (ret),17,Kristian Krag ØRSTED,,
5,748771,2.27,1-1,SKH,Mål,VB,18,Vetle RØNNINGEN,,,,16,Christian WETCHE
6,748771,3.29,,GIF,Skud reddet,PL,14,Nicolai SKYTTE,,,,1,Christoffer BONDE
7,748771,3.42,2-1,SKH,Mål,ST,18,Vetle RØNNINGEN,Assist,13,Noah GAUDIN,16,Christian WETCHE
8,748771,4.36,,GIF,Tilkendt straffe,,21,Kristoffer VESTERGAARD,Forårs. str.,10,Joaquim NAZARÉ,,
9,748771,4.39,,SKH,Advarsel,,10,Joaquim NAZARÉ,,,,,
10,748771,4.53,2-2,GIF,Mål på straffe,,21,Kristoffer VESTERGAARD,,,,1,Christoffer BONDE
11,748771,5.30,,GIF,Advarsel,,8,Rolf RAVN,,,,,
12,748771,6.10,,SKH,Tilkendt straffe,,10,Joaquim NAZARÉ,Forårs. str.,19,Magnus SADOVA,,
13,748771,6.34,3-2,SKH,Mål på straffe,,15,Lasse MIKKELSEN,,,,16,Christian WETCHE
14,748771,7.05,3-3,GIF,Mål,Gbr,21,Kristoffer VESTERGAARD,Assist,14,Nicolai SKYTTE,1,Christoffer BONDE
15,748771,7.13,4-3,SKH,Mål,2:e,10,Joaquim NAZARÉ,,,,16,Christian WETCHE
16,748771,7.48,4-4,GIF,Mål,Gbr,4,Frederik NIELSEN,,,,1,Christoffer BONDE
17,748771,7.56,5-4,SKH,Mål,2:e,13,Noah GAUDIN,,,,16,Christian WETCHE
18,748771,8.53,,GIF,Fejlaflevering,,21,Kristoffer VESTERGAARD,,,,,
19,748771,9.00,,SKH,Skud reddet,2:e,13,Noah GAUDIN,,,,16,Christian WETCHE
20,748771,9.50,,GIF,Fejlaflevering,,21,Kristoffer VESTERGAARD,Bold erobret,5,Viktor BERGHOLT,,
21,748771,9.57,6-4,SKH,Mål,1:e,14,Emil BERGHOLT,Assist,13,Noah GAUDIN,0,
22,748771,10.28,6-5,GIF,Mål,HF,7,Jakob VILLEMOES,Assist,18,Martin RISOM,1,Christoffer BONDE
23,748771,10.57,7-5,SKH,Mål,HF,21,René RASMUSSEN,Assist,10,Joaquim NAZARÉ,16,Christian WETCHE
24,748771,11.30,7-6,GIF,Mål,PL,21,Kristoffer VESTERGAARD,,,,1,Christoffer BONDE
25,748771,11.36,8-6,SKH,Mål,2:e,13,Noah GAUDIN,,,,16,Christian WETCHE
26,748771,12.13,,GIF,Fejlaflevering,,4,Frederik NIELSEN,Bold erobret,13,Noah GAUDIN,,
27,748771,12.15,,SKH,Skud på stolpe,1:e,13,Noah GAUDIN,Retur,0,,,
28,748771,12.16,9-6,SKH,Mål,2:e,13,Noah GAUDIN,,,,16,Christian WETCHE
29,748771,12.25,,GIF,Time out,,,,,,,,
30,748771,12.48,,GIF,Fejlaflevering,,14,Nicolai SKYTTE,Bold erobret,21,René RASMUSSEN,,
31,748771,12.53,10-6,SKH,Mål,2:e,5,Viktor BERGHOLT,Assist,13,Noah GAUDIN,16,Christian WETCHE
32,748771,13.22,,GIF,Fejlaflevering,,21,Kristoffer VESTERGAARD,Bold erobret,18,Vetle RØNNINGEN,,
33,748771,13.34,11-6,SKH,Mål,1:e,5,Viktor BERGHOLT,Assist,14,Emil BERGHOLT,16,Christian WETCHE
34,748771,14.04,,GIF,Skud på stolpe,PL,18,Martin RISOM,,,,1,Christoffer BONDE
35,748771,14.12,12-6,SKH,Mål,1:e,5,Viktor BERGHOLT,,,,16,Christian WETCHE
36,748771,15.23,,GIF,Tilkendt straffe,,4,Frederik NIELSEN,Forårs. str.,14,Emil BERGHOLT,,
37,748771,15.25,12-7,GIF,Mål på straffe,,21,Kristoffer VESTERGAARD,,,,16,Tim WINKLER
38,748771,16.30,,SKH,Skud forbi,PL,22,Jakob RASMUSSEN,,,,1,Frederik SKOVGAARD
39,748771,17.16,,GIF,Tilkendt straffe,,17,Kristian Krag ØRSTED,Forårs. str.,14,Emil BERGHOLT,,
40,748771,17.19,12-8,GIF,Mål på straffe,,21,Kristoffer VESTERGAARD,,,,1,Christoffer BONDE
41,748771,17.48,13-8,SKH,Mål,Gbr,22,Jakob RASMUSSEN,,,,1,Frederik SKOVGAARD
42,748771,18.34,13-9,GIF,Mål,Gbr,18,Martin RISOM,,,,1,Christoffer BONDE
43,748771,18.47,,SKH,Tilkendt straffe,,9,Simo ŠIJAN,Forårs. str.,17,Kristian Krag ØRSTED,,
44,748771,18.47,,GIF,Udvisning,,17,Kristian Krag ØRSTED,,,,,
45,748771,18.50,,SKH,Straffekast reddet,,15,Lasse MIKKELSEN,,,,1,Frederik SKOVGAARD
46,748771,19.27,13-10,GIF,Mål,HB,18,Martin RISOM,,,,1,Christoffer BONDE
47,748771,19.53,14-10,SKH,Mål,VF,5,Viktor BERGHOLT,Assist,13,Noah GAUDIN,1,Frederik SKOVGAARD
48,748771,20.20,14-11,GIF,Mål,Gbr,18,Martin RISOM,,,,1,Christoffer BONDE
49,748771,20.31,,SKH,Time out,,,,,,,,
50,748771,21.17,15-11,SKH,Mål,HB,10,Joaquim NAZARÉ,,,,1,Frederik SKOVGAARD
51,748771,21.58,15-12,GIF,Mål,HF,7,Jakob VILLEMOES,Assist,18,Martin RISOM,1,Christoffer BONDE
52,748771,22.07,,SKH,Skud reddet,2:e,9,Simo ŠIJAN,,,,1,Frederik SKOVGAARD
53,748771,22.42,15-13,GIF,Mål,Gbr,14,Nicolai SKYTTE,,,,1,Christoffer BONDE
54,748771,23.26,16-13,SKH,Mål,PL,10,Joaquim NAZARÉ,,,,1,Frederik SKOVGAARD
55,748771,24.29,16-14,GIF,Mål,PL,18,Martin RISOM,,,,1,Christoffer BONDE
56,748771,25.15,17-14,SKH,Mål,PL,2,Mads BJERGFELT,,,,1,Frederik SKOVGAARD
57,748771,26.14,,GIF,Skud reddet,PL,18,Martin RISOM,,,,16,Tim WINKLER
58,748771,26.51,,SKH,Fejlaflevering,,2,Mads BJERGFELT,Bold erobret,18,Martin RISOM,,
59,748771,27.01,,GIF,Regelfejl,,4,Frederik NIELSEN,,,,,
60,748771,27.09,18-14,SKH,Mål,2:e,14,Emil BERGHOLT,Assist,22,Jakob RASMUSSEN,1,Frederik SKOVGAARD
61,748771,28.40,,GIF,Skud blokeret,PL,14,Nicolai SKYTTE,Blokeret af,18,Vetle RØNNINGEN,,
62,748771,29.04,,SKH,Skud reddet,Gbr,10,Joaquim NAZARÉ,,,,1,Frederik SKOVGAARD
63,748771,30.00,,GIF,Skud blokeret,VB,14,Nicolai SKYTTE,Blok af (ret),0,,,
64,748771,30.00,18-14,,Halvleg,,,,,,,,
65,748771,30.00,,,Start 2:e halvleg,,,,,,,,
66,748771,30.32,,SKH,Tilkendt straffe,,14,Emil BERGHOLT,Forårs. str.,11,Kristoffer JESSEN,,
67,748771,30.38,19-14,SKH,Mål på straffe,,19,Bjarke CHRISTENSEN,,,,1,Frederik SKOVGAARD
68,748771,31.12,19-15,GIF,Mål,ST,17,Kristian Krag ØRSTED,Assist,18,Martin RISOM,16,Tim WINKLER
69,748771,31.20,,SKH,Skud reddet,2:e,5,Viktor BERGHOLT,,,,16,Christian WETCHE
70,748771,31.24,,GIF,Advarsel,B,,Lasse BOESEN,,,,,
71,748771,31.52,,GIF,Skud reddet,Gbr,18,Martin RISOM,Retur,0,,16,Tim WINKLER
72,748771,32.33,,GIF,Tilkendt straffe,,4,Frederik NIELSEN,Forårs. str.,10,Joaquim NAZARÉ,,
73,748771,32.51,19-16,GIF,Mål på straffe,,21,Kristoffer VESTERGAARD,,,,16,Tim WINKLER
74,748771,33.18,,SKH,Regelfejl,,14,Emil BERGHOLT,,,,,
75,748771,33.24,,GIF,Skud på stolpe,2:e,4,Frederik NIELSEN,Retur,0,,16,Tim WINKLER
76,748771,33.56,19-17,GIF,Mål,VF,19,Magnus SADOVA,Assist,4,Frederik NIELSEN,16,Tim WINKLER
77,748771,34.31,20-17,SKH,Mål,ST,14,Emil BERGHOLT,Assist,10,Joaquim NAZARÉ,16,Christian WETCHE
78,748771,35.13,,GIF,Fejlaflevering,,18,Martin RISOM,,,,,
79,748771,35.15,21-17,SKH,Mål,1:e,10,Joaquim NAZARÉ,Assist,14,Emil BERGHOLT,0,
80,748771,35.44,21-18,GIF,Mål,ST,22,Hjalmar ANDERSEN,Assist,21,Kristoffer VESTERGAARD,16,Tim WINKLER
81,748771,36.34,22-18,SKH,Mål,ST,21,René RASMUSSEN,Assist,13,Noah GAUDIN,16,Christian WETCHE
82,748771,37.11,,GIF,Skud reddet,ST,17,Kristian Krag ØRSTED,,,,16,Tim WINKLER
83,748771,37.20,23-18,SKH,Mål,2:e,21,René RASMUSSEN,Assist,10,Joaquim NAZARÉ,16,Christian WETCHE
84,748771,38.03,,GIF,Skud reddet,Gbr,4,Frederik NIELSEN,,,,16,Tim WINKLER
85,748771,38.10,24-18,SKH,Mål,1:e,18,Vetle RØNNINGEN,,,,16,Christian WETCHE
86,748771,38.16,,GIF,Time out,,,,,,,,
87,748771,38.41,24-19,GIF,Mål,Gbr,18,Martin RISOM,Assist,21,Kristoffer VESTERGAARD,16,Tim WINKLER
88,748771,39.21,,SKH,Skud reddet,PL,10,Joaquim NAZARÉ,,,,16,Christian WETCHE
89,748771,39.50,,GIF,Skud reddet,Gbr,18,Martin RISOM,,,,16,Tim WINKLER
90,748771,40.06,,SKH,Tilkendt straffe,,14,Emil BERGHOLT,Forårs. str.,11,Kristoffer JESSEN,,
91,748771,40.13,25-19,SKH,Mål på straffe,,19,Bjarke CHRISTENSEN,,,,1,Frederik SKOVGAARD
92,748771,40.46,,GIF,Skud reddet,Gbr,14,Nicolai SKYTTE,,,,16,Tim WINKLER
93,748771,41.25,,SKH,Skud blokeret,PL,22,Jakob RASMUSSEN,Blok af (ret),11,Kristoffer JESSEN,,
94,748771,41.44,26-19,SKH,Mål,Gbr,22,Jakob RASMUSSEN,Assist,14,Emil BERGHOLT,1,Frederik SKOVGAARD
95,748771,42.40,26-20,GIF,Mål,Gbr,21,Kristoffer VESTERGAARD,Assist,14,Nicolai SKYTTE,16,Tim WINKLER
96,748771,43.20,,SKH,Fejlaflevering,,13,Noah GAUDIN,,,,,
97,748771,43.23,,GIF,Skud reddet,2:e,21,Kristoffer VESTERGAARD,,,,16,Tim WINKLER
98,748771,44.02,27-20,SKH,Mål,Gbr,22,Jakob RASMUSSEN,,,,16,Christian WETCHE
99,748771,44.41,,GIF,Regelfejl,,18,Martin RISOM,,,,,
100,748771,45.10,,SKH,Skud på stolpe,PL,2,Mads BJERGFELT,,,,16,Christian WETCHE
101,748771,45.40,27-21,GIF,Mål,ST,22,Hjalmar ANDERSEN,Assist,21,Kristoffer VESTERGAARD,16,Tim WINKLER
102,748771,46.23,28-21,SKH,Mål,PL,25,Eivind TANGEN,,,,16,Christian WETCHE
103,748771,46.59,28-22,GIF,Mål,VF,19,Magnus SADOVA,Assist,14,Nicolai SKYTTE,16,Tim WINKLER
104,748771,47.27,,,,,,,,,,,
105,748771,47.29,,GIF,Udvisning,,11,Kristoffer JESSEN,,,,,
106,748771,48.14,,GIF,Skud reddet,ST,17,Kristian Krag ØRSTED,,,,16,Tim WINKLER
107,748771,48.43,29-22,SKH,Mål,ST,14,Emil BERGHOLT,Assist,25,Eivind TANGEN,16,Christian WETCHE
108,748771,49.56,29-23,GIF,Mål,Gbr,18,Martin RISOM,,,,16,Tim WINKLER
109,748771,50.35,,SKH,Time out,,,,,,,,
110,748771,50.50,,SKH,Skud reddet,HB,22,Jakob RASMUSSEN,,,,16,Christian WETCHE
111,748771,51.49,29-24,GIF,Mål,ST,22,Hjalmar ANDERSEN,Assist,4,Frederik NIELSEN,16,Tim WINKLER
112,748771,52.00,,SKH,Skud reddet,VF,5,Viktor BERGHOLT,Retur,0,,16,Christian WETCHE
113,748771,52.07,30-24,SKH,Mål,ST,14,Emil BERGHOLT,,,,16,Christian WETCHE
114,748771,52.33,,GIF,Skud blokeret,PL,18,Martin RISOM,Blokeret af,18,Vetle RØNNINGEN,,
115,748771,53.04,,SKH,Skud reddet,Gbr,22,Jakob RASMUSSEN,,,,16,Christian WETCHE
116,748771,53.55,30-25,GIF,Mål,HF,3,Thomas THEILGAARD,Assist,18,Martin RISOM,16,Tim WINKLER
117,748771,54.28,,SKH,Skud forbi,VB,13,Noah GAUDIN,,,,16,Christian WETCHE
118,748771,55.02,30-26,GIF,Mål,Gbr,18,Martin RISOM,,,,16,Tim WINKLER
119,748771,55.27,,SKH,Time out,,,,,,,,
120,748771,55.46,,SKH,Fejlaflevering,,13,Noah GAUDIN,,,,,
121,748771,55.58,30-27,GIF,Mål,2:e,3,Thomas THEILGAARD,Assist,8,Rolf RAVN,16,Tim WINKLER
122,748771,56.43,,SKH,Fejlaflevering,,10,Joaquim NAZARÉ,,,,,
123,748771,57.20,30-28,GIF,Mål,HF,3,Thomas THEILGAARD,Assist,18,Martin RISOM,16,Tim WINKLER
124,748771,58.17,31-28,SKH,Mål,ST,14,Emil BERGHOLT,Assist,25,Eivind TANGEN,16,Christian WETCHE
125,748771,58.27,,GIF,Time out,,,,,,,,
126,748771,58.45,,GIF,Tilkendt straffe,,22,Hjalmar ANDERSEN,Forårs. str.,14,Emil BERGHOLT,,
127,748771,58.48,31-29,GIF,Mål på straffe,,21,Kristoffer VESTERGAARD,,,,16,Tim WINKLER
128,748771,59.19,32-29,SKH,Mål,Gbr,22,Jakob RASMUSSEN,Assist,25,Eivind TANGEN,16,Christian WETCHE
129,748771,59.58,,GIF,Regelfejl,,17,Kristian Krag ØRSTED,,,,,
