id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748772,0.00,,,Start 1:e halvleg,,,,,,,,
2,748772,0.00,,,Start 1:e halvleg,,,,,,,,
3,748772,0.00,,,Start 1:e halvleg,,,,,,,,
4,748772,0.37,1-0,AAH,Mål,PL,15,Jack THURIN,Assist,5,Sander SAGOSEN,16,Sander HEIEREN
5,748772,0.47,1-1,TTH,Mål,2:e,18,Edwin ASPENBÄCK,,,,12,Fabian NORSTEN
6,748772,1.26,,TTH,Advarsel,,21,Mathias SMED,,,,,
7,748772,1.48,,AAH,Tilkendt straffe,,5,Sander SAGOSEN,Forårs. str.,21,Mathias SMED,,
8,748772,1.50,2-1,AAH,Mål på straffe,,15,Jack THURIN,,,,1,Frank MIKKELSEN
9,748772,2.47,,TTH,Skud reddet,VB,7,William AAR,,,,12,Fabian NORSTEN
10,748772,3.02,,TTH,Udvisning,,7,William AAR,,,,,
11,748772,3.20,,TTH,Udvisning,,23,Miha ZVIZEJ,,,,,
12,748772,3.32,3-1,AAH,Mål,Gbr,18,Aleks VLAH,,,,16,Sander HEIEREN
13,748772,4.31,,TTH,Skud blokeret,PL,18,Edwin ASPENBÄCK,Blok af (ret),22,Rene ANTONSEN,,
14,748772,4.52,,TTH,Skud reddet,VB,25,Jonas PORUP,Retur,0,,12,Fabian NORSTEN
15,748772,5.29,3-2,TTH,Mål,VB,25,Jonas PORUP,,,,12,Fabian NORSTEN
16,748772,6.06,,AAH,Skud reddet,HB,15,Jack THURIN,Retur,0,,16,Sander HEIEREN
17,748772,6.34,,,Video Proof,,0,,,,,,
18,748772,6.34,,,Video Proof slut,,0,,,,,,
19,748772,6.34,,TTH,"Rødt kort, direkte",,4,Christoffer CICHOSZ,,,,,
20,748772,6.48,4-2,AAH,Mål,VF,6,Sebastian BARTHOLD,Assist,7,Thomas ARNOLDSEN,16,Sander HEIEREN
21,748772,7.38,4-3,TTH,Mål,ST,23,Miha ZVIZEJ,Assist,18,Edwin ASPENBÄCK,12,Fabian NORSTEN
22,748772,7.58,,AAH,Skud reddet,PL,5,Sander SAGOSEN,,,,16,Sander HEIEREN
23,748772,8.41,4-4,TTH,Mål,PL,7,William AAR,,,,12,Fabian NORSTEN
24,748772,9.22,,AAH,Skud reddet,HF,19,Kristian BJØRNSEN,,,,16,Sander HEIEREN
25,748772,9.49,,TTH,Skud reddet,Gbr,11,Thomas DAMGAARD,,,,12,Fabian NORSTEN
26,748772,9.56,5-4,AAH,Mål,2:e,15,Jack THURIN,,,,16,Sander HEIEREN
27,748772,10.36,,TTH,Fejlaflevering,,7,William AAR,Bold erobret,5,Sander SAGOSEN,,
28,748772,10.45,,AAH,Skud på stolpe,1:e,19,Kristian BJØRNSEN,,,,16,Sander HEIEREN
29,748772,11.00,,TTH,Skud reddet,Gbr,11,Thomas DAMGAARD,,,,12,Fabian NORSTEN
30,748772,11.43,,AAH,Skud reddet,PL,18,Aleks VLAH,,,,16,Sander HEIEREN
31,748772,12.18,5-5,TTH,Mål,VB,7,William AAR,,,,12,Fabian NORSTEN
32,748772,13.06,,AAH,Fejlaflevering,,15,Jack THURIN,Bold erobret,7,William AAR,,
