id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748775,0.00,,,Start 1:e halvleg,,,,,,,,
2,748775,0.39,,BSH,Skud reddet,PL,97,Magnus RAHBEK,,,,16,Magnus PETERSEN
3,748775,0.48,1-0,NSH,Mål,2:e,19,Thomas BOILESEN,,,,1,Mikkel LØVKVIST
4,748775,1.15,,BSH,Skud reddet,HB,26,Peter BALLING,Retur,0,,16,Magnus PETERSEN
5,748775,1.39,,BSH,Skud blokeret,PL,97,Magnus RAHBEK,Blok af (ret),5,Julius MØRCH,,
6,748775,1.53,,BSH,Regelfejl,,22,Anders ZACHARIASSEN,,,,,
7,748775,2.08,,BSH,Advarsel,,26,Peter BALLING,,,,,
8,748775,3.03,,NSH,Passivt spil,,0,,,,,,
9,748775,3.17,,BSH,Tilkendt straffe,,4,Patrick BOLDSEN,Forårs. str.,19,Thomas BOILESEN,,
10,748775,3.34,1-1,BSH,Mål på straffe,,9,Gudmundur Bragi ASTPARSSON,,,,16,Magnus PETERSEN
11,748775,4.13,,NSH,Skud reddet,ST,5,Julius MØRCH,,,,1,Mikkel LØVKVIST
12,748775,4.50,,NSH,Advarsel,,5,Julius MØRCH,,,,,
13,748775,5.06,,BSH,Fejlaflevering,,26,Peter BALLING,Bold erobret,19,Thomas BOILESEN,,
14,748775,5.41,,NSH,Skud reddet,PL,57,Nikolaj LARSSON,,,,1,Mikkel LØVKVIST
15,748775,5.51,1-2,BSH,Mål,2:e,22,Anders ZACHARIASSEN,Assist,32,Nikolaj LÆSØ,16,Magnus PETERSEN
16,748775,6.31,,NSH,Skud reddet,VB,19,Thomas BOILESEN,,,,1,Mikkel LØVKVIST
17,748775,6.35,1-3,BSH,Mål,1:e,4,Patrick BOLDSEN,Assist,,,1,Mikkel LØVKVIST
18,748775,7.14,2-3,NSH,Mål,PL,19,Thomas BOILESEN,,,,1,Mikkel LØVKVIST
19,748775,7.56,2-4,BSH,Mål,ST,22,Anders ZACHARIASSEN,Assist,32,Nikolaj LÆSØ,16,Magnus PETERSEN
20,748775,8.09,3-4,NSH,Mål,2:e,5,Julius MØRCH,Assist,19,Thomas BOILESEN,1,Mikkel LØVKVIST
21,748775,8.50,3-5,BSH,Mål,Gbr,97,Magnus RAHBEK,,,,16,Magnus PETERSEN
22,748775,9.40,,NSH,Regelfejl,,14,Rasmus MADSBØLL,,,,,
23,748775,10.30,3-6,BSH,Mål,Gbr,32,Nikolaj LÆSØ,,,,16,Magnus PETERSEN
24,748775,11.16,,NSH,Skud på stolpe,VB,19,Thomas BOILESEN,,,,1,Mikkel LØVKVIST
25,748775,11.24,3-7,BSH,Mål,2:e,4,Patrick BOLDSEN,,,,16,Magnus PETERSEN
26,748775,11.59,4-7,NSH,Mål,VF,14,Rasmus MADSBØLL,Assist,19,Thomas BOILESEN,1,Mikkel LØVKVIST
27,748775,12.34,4-8,BSH,Mål,PL,97,Magnus RAHBEK,,,,16,Magnus PETERSEN
28,748775,12.45,,NSH,Fejlaflevering,,19,Thomas BOILESEN,,,,,
29,748775,12.47,4-9,BSH,Mål,1:e,4,Patrick BOLDSEN,,,,16,Magnus PETERSEN
