id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748776,0.00,,,Start 1:e halvleg,,,,,,,,
2,748776,0.31,,MTH,Skud reddet,PL,28,Rasmus MADSEN,,,,16,Ágúst BJÖRGVINSSON
3,748776,0.39,1-0,REH,Mål,2:e,49,Karl WALLINIUS,,,,30,Svend RUGHAVE
4,748776,0.47,1-1,MTH,Mål,2:e,28,Rasmus MADSEN,,,,16,Ágúst BJÖRGVINSSON
5,748776,0.56,2-1,REH,Mål,2:e,8,Simon BIRKEFELDT,Assist,49,Karl WALLINIUS,30,Svend RUGHAVE
6,748776,2.02,2-2,MTH,Mål,HB,28,Rasmus MADSEN,,,,16,Ágúst BJÖRGVINSSON
7,748776,2.40,,MTH,Advarsel,,33,Kasper DIDRIKSEN,,,,,
8,748776,3.08,,REH,Regelfejl,,11,Mathias JØRGENSEN,,,,,
9,748776,3.41,,MTH,Fejlaflevering,,10,Mads Svane KNUDSEN,,,,,
10,748776,3.47,3-2,REH,Mål,2:e,49,Karl WALLINIUS,,,,30,Svend RUGHAVE
11,748776,4.23,3-3,MTH,Mål,Gbr,10,Mads Svane KNUDSEN,Assist,21,Marcus MIDTGAARD,16,Ágúst BJÖRGVINSSON
12,748776,4.32,4-3,REH,Mål,VF,92,Sune IVERSEN,Assist,49,Karl WALLINIUS,30,Svend RUGHAVE
13,748776,5.36,4-4,MTH,Mål,Gbr,21,Marcus MIDTGAARD,Assist,10,Mads Svane KNUDSEN,16,Ágúst BJÖRGVINSSON
14,748776,5.45,5-4,REH,Mål,Gbr,81,Alfred JÖNSSON,Assist,49,Karl WALLINIUS,30,Svend RUGHAVE
15,748776,5.56,5-5,MTH,Mål,Gbr,21,Marcus MIDTGAARD,Assist,10,Mads Svane KNUDSEN,16,Ágúst BJÖRGVINSSON
16,748776,6.20,,REH,Skud forbi,HB,14,Nicolaj SPANGGAARD,,,,30,Svend RUGHAVE
17,748776,6.29,,REH,Udvisning,,81,Alfred JÖNSSON,,,,,
18,748776,6.44,5-6,MTH,Mål,Gbr,21,Marcus MIDTGAARD,,,,16,Ágúst BJÖRGVINSSON
19,748776,7.23,6-6,REH,Mål,ST,4,Elvar ASGEIRSSON,Assist,49,Karl WALLINIUS,30,Svend RUGHAVE
20,748776,7.51,6-7,MTH,Mål,ST,4,Kasper LINDGREN,Assist,10,Mads Svane KNUDSEN,16,Ágúst BJÖRGVINSSON
21,748776,8.30,,REH,Regelfejl,,4,Elvar ASGEIRSSON,,,,,
22,748776,8.39,6-8,MTH,Mål,2:e,7,Nichlas HALD,Assist,11,Lasse PEDERSEN,16,Ágúst BJÖRGVINSSON
23,748776,9.18,7-8,REH,Mål,PL,81,Alfred JÖNSSON,,,,30,Svend RUGHAVE
24,748776,9.30,7-9,MTH,Mål,HF,11,Lasse PEDERSEN,Assist,10,Mads Svane KNUDSEN,16,Ágúst BJÖRGVINSSON
25,748776,9.48,,REH,Skud blokeret,HB,14,Nicolaj SPANGGAARD,Blokeret af,0,,,
26,748776,10.51,7-10,MTH,Mål,1:e,21,Marcus MIDTGAARD,,,,16,Ágúst BJÖRGVINSSON
27,748776,10.57,,REH,Time out,,,,,,,,
28,748776,12.00,,REH,Skud reddet,PL,81,Alfred JÖNSSON,,,,30,Svend RUGHAVE
29,748776,12.11,,MTH,Skud forbi,1:e,25,Magnus NORLYK,,,,12,Mads Brandt IVERSEN
30,748776,12.43,,REH,Skud reddet,PL,49,Karl WALLINIUS,,,,30,Svend RUGHAVE
31,748776,12.51,7-11,MTH,Mål,1:e,7,Nichlas HALD,,,,12,Mads Brandt IVERSEN
32,748776,12.59,8-11,REH,Mål,ST,17,Andreas SØGAARD,Assist,49,Karl WALLINIUS,30,Svend RUGHAVE
33,748776,13.30,,MTH,Tabt bold,,10,Mads Svane KNUDSEN,,,,,
34,748776,13.46,9-11,REH,Mål,VF,92,Sune IVERSEN,Assist,81,Alfred JÖNSSON,30,Svend RUGHAVE
35,748776,14.09,9-12,MTH,Mål,PL,9,Kristoffer VESTERGAARD,,,,12,Mads Brandt IVERSEN
36,748776,15.11,10-12,REH,Mål,HF,11,Mathias JØRGENSEN,Assist,49,Karl WALLINIUS,30,Svend RUGHAVE
37,748776,15.20,10-13,MTH,Mål,PL,10,Mads Svane KNUDSEN,,,,12,Mads Brandt IVERSEN
38,748776,15.31,,REH,Skud reddet,PL,0,,,,,30,Svend RUGHAVE
39,748776,15.35,,MTH,Skud reddet,2:e,10,Mads Svane KNUDSEN,,,,12,Mads Brandt IVERSEN
40,748776,15.47,11-13,REH,Mål,PL,81,Alfred JÖNSSON,,,,30,Svend RUGHAVE
41,748776,16.19,,MTH,Skud reddet,PL,10,Mads Svane KNUDSEN,,,,12,Mads Brandt IVERSEN
42,748776,16.32,,REH,Advarsel,B,,Marc UHD,,,,,
43,748776,16.52,,REH,Skud reddet,Gbr,18,Marcus MØRK,,,,30,Svend RUGHAVE
44,748776,17.43,,MTH,Skud reddet,PL,21,Marcus MIDTGAARD,,,,12,Mads Brandt IVERSEN
45,748776,18.45,,REH,Skud reddet,HB,26,Christian TERMANSEN,Retur,92,Sune IVERSEN,30,Svend RUGHAVE
46,748776,18.51,,REH,Skud reddet,ST,92,Sune IVERSEN,,,,30,Svend RUGHAVE
47,748776,19.27,,MTH,Skud blokeret,PL,9,Kristoffer VESTERGAARD,Blok af (ret),6,Jonathan WÜRTZ,,
48,748776,19.46,,MTH,Skud reddet,PL,9,Kristoffer VESTERGAARD,Retur,15,Henrik Toft HANSEN,12,Mads Brandt IVERSEN
49,748776,19.52,11-14,MTH,Mål,ST,15,Henrik Toft HANSEN,,,,12,Mads Brandt IVERSEN
50,748776,20.25,,REH,Fejlaflevering,,4,Elvar ASGEIRSSON,,,,,
51,748776,21.19,,MTH,Skud reddet,Gbr,7,Nichlas HALD,,,,12,Mads Brandt IVERSEN
52,748776,21.27,12-14,REH,Mål,2:e,4,Elvar ASGEIRSSON,,,,30,Svend RUGHAVE
53,748776,22.07,12-15,MTH,Mål,HF,11,Lasse PEDERSEN,,,,12,Mads Brandt IVERSEN
54,748776,22.19,,REH,Fejlaflevering,,4,Elvar ASGEIRSSON,,,,,
55,748776,22.29,,MTH,Tilkendt straffe,,7,Nichlas HALD,Forårs. str.,11,Mathias JØRGENSEN,,
56,748776,22.33,12-16,MTH,Mål på straffe,,10,Mads Svane KNUDSEN,,,,12,Mads Brandt IVERSEN
57,748776,23.33,13-16,REH,Mål,Gbr,18,Marcus MØRK,,,,30,Svend RUGHAVE
58,748776,24.16,,MTH,Skud reddet,ST,25,Magnus NORLYK,,,,12,Mads Brandt IVERSEN
59,748776,24.54,,MTH,Udvisning,,25,Magnus NORLYK,,,,,
60,748776,25.21,14-16,REH,Mål,VF,92,Sune IVERSEN,Assist,4,Elvar ASGEIRSSON,30,Svend RUGHAVE
61,748776,26.06,,MTH,Tilkendt straffe,,28,Rasmus MADSEN,Forårs. str.,49,Karl WALLINIUS,,
62,748776,26.12,14-17,MTH,Mål på straffe,,10,Mads Svane KNUDSEN,,,,16,Ágúst BJÖRGVINSSON
63,748776,26.38,15-17,REH,Mål,Gbr,81,Alfred JÖNSSON,Assist,26,Christian TERMANSEN,30,Svend RUGHAVE
64,748776,27.09,,MTH,Skud reddet,PL,7,Nichlas HALD,,,,12,Mads Brandt IVERSEN
65,748776,27.19,16-17,REH,Mål,VF,92,Sune IVERSEN,Assist,18,Marcus MØRK,30,Svend RUGHAVE
66,748776,27.23,,MTH,Time out,,,,,,,,
67,748776,28.09,16-18,MTH,Mål,VF,25,Magnus NORLYK,Assist,7,Nichlas HALD,12,Mads Brandt IVERSEN
68,748776,28.48,17-18,REH,Mål,PL,18,Marcus MØRK,,,,30,Svend RUGHAVE
69,748776,29.21,,MTH,Skud reddet,PL,10,Mads Svane KNUDSEN,,,,12,Mads Brandt IVERSEN
70,748776,29.54,,REH,Skud reddet,Gbr,26,Christian TERMANSEN,,,,30,Svend RUGHAVE
71,748776,29.58,17-19,MTH,Mål,1:e,25,Magnus NORLYK,,,,12,Mads Brandt IVERSEN
72,748776,30.00,17-19,,Halvleg,,,,,,,,
73,748776,30.00,,,Start 2:e halvleg,,,,,,,,
74,748776,30.32,18-19,REH,Mål,HB,14,Nicolaj SPANGGAARD,Assist,18,Marcus MØRK,20,Oliver LARSEN
75,748776,31.09,,MTH,Regelfejl,,21,Marcus MIDTGAARD,,,,,
76,748776,31.58,,REH,Skud reddet,PL,18,Marcus MØRK,Retur,0,,20,Oliver LARSEN
77,748776,32.42,,REH,Skud forbi,VB,49,Karl WALLINIUS,,,,20,Oliver LARSEN
78,748776,32.58,18-20,MTH,Mål,Gbr,21,Marcus MIDTGAARD,Assist,10,Mads Svane KNUDSEN,12,Mads Brandt IVERSEN
79,748776,33.34,,MTH,Udvisning,,4,Kasper LINDGREN,,,,,
80,748776,33.47,19-20,REH,Mål,Gbr,4,Elvar ASGEIRSSON,,,,20,Oliver LARSEN
81,748776,34.45,,MTH,Skud reddet,HB,28,Rasmus MADSEN,,,,12,Mads Brandt IVERSEN
82,748776,35.05,20-20,REH,Mål,ST,17,Andreas SØGAARD,Assist,26,Christian TERMANSEN,20,Oliver LARSEN
