id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748177,0.00,,,Start 1:e halvleg,,,,,,,,
2,748177,0.29,0-1,IKA,Mål,PL,14,Emma LINDQVIST,,,,20,Clara BAK
3,748177,0.37,,BFH,Tabt bold,,19,Rikke Dahl NIELSEN,,,,,
4,748177,0.46,0-2,IKA,Mål,VF,22,Lærke NOLSØE,Assist,51,Markéta JERÁBKOVÁ,20,Clara BAK
5,748177,1.28,1-2,BFH,Mål,PL,31,Marianne HAUGSTED,,,,12,Filippa IDÉHN
6,748177,2.03,,IKA,Fejlaflevering,,14,Emma LINDQVIST,Bold erobret,9,Mathilde PIIL,,
7,748177,2.45,2-2,BFH,Mål,ST,5,Sofie LUND,Assist,31,Marianne HAUGSTED,12,Filippa IDÉHN
8,748177,3.21,,IKA,Skud på stolpe,PL,7,Stine SKOGRAND,,,,20,Clara BAK
9,748177,3.47,,BFH,Skud blokeret,VB,31,Marianne HAUGSTED,Blok af (ret),7,Stine SKOGRAND,,
10,748177,4.06,,BFH,Fejlaflevering,,72,Line FRANDSEN,,,,,
11,748177,4.13,,IKA,Skud reddet,PL,51,Markéta JERÁBKOVÁ,,,,20,Clara BAK
12,748177,4.48,,BFH,Skud reddet,HF,10,Melina KRISTENSEN,,,,12,Filippa IDÉHN
13,748177,5.28,2-3,IKA,Mål,PL,7,Stine SKOGRAND,,,,20,Clara BAK
14,748177,6.00,3-3,BFH,Mål,ST,5,Sofie LUND,Assist,31,Marianne HAUGSTED,12,Filippa IDÉHN
15,748177,6.13,3-4,IKA,Mål,PL,51,Markéta JERÁBKOVÁ,,,,20,Clara BAK
16,748177,6.41,,BFH,Skud forbi,PL,72,Line FRANDSEN,,,,12,Filippa IDÉHN
17,748177,7.07,,IKA,Skud reddet,Gbr,7,Stine SKOGRAND,,,,20,Clara BAK
18,748177,7.20,4-4,BFH,Mål,1:e,9,Mathilde PIIL,Assist,0,,12,Filippa IDÉHN
19,748177,7.35,,IKA,Skud reddet,PL,14,Emma LINDQVIST,,,,20,Clara BAK
20,748177,8.18,,BFH,Regelfejl,,5,Sofie LUND,,,,,
21,748177,8.48,4-5,IKA,Mål,PL,7,Stine SKOGRAND,,,,20,Clara BAK
22,748177,9.21,,BFH,Skud reddet,HF,10,Melina KRISTENSEN,,,,12,Filippa IDÉHN
23,748177,9.31,,IKA,Fejlaflevering,,51,Markéta JERÁBKOVÁ,,,,,
24,748177,10.13,,BFH,Fejlaflevering,,72,Line FRANDSEN,,,,,
25,748177,10.18,,IKA,Fejlaflevering,,11,Sarah Aaberg IVERSEN,Bold erobret,31,Marianne HAUGSTED,,
26,748177,10.45,,BFH,Skud forbi,ST,19,Rikke Dahl NIELSEN,,,,12,Filippa IDÉHN
27,748177,10.54,4-6,IKA,Mål,Gbr,14,Emma LINDQVIST,,,,20,Clara BAK
28,748177,11.35,,BFH,Skud blokeret,PL,31,Marianne HAUGSTED,Blokeret af,11,Sarah Aaberg IVERSEN,,
29,748177,11.50,4-7,IKA,Mål,1:e,22,Lærke NOLSØE,Assist,12,Filippa IDÉHN,20,Clara BAK
30,748177,12.07,,BFH,Skud på stolpe,PL,7,Line GYLDENLØVE,Retur,9,Mathilde PIIL,12,Filippa IDÉHN
31,748177,12.15,,BFH,Skud på stolpe,VF,9,Mathilde PIIL,,,,12,Filippa IDÉHN
32,748177,12.21,,IKA,Skud på stolpe,VF,22,Lærke NOLSØE,,,,20,Clara BAK
33,748177,13.11,,BFH,Skud reddet,PL,7,Line GYLDENLØVE,,,,12,Filippa IDÉHN
34,748177,13.18,,IKA,Fejlaflevering,,12,Filippa IDÉHN,Bold erobret,5,Sofie LUND,,
35,748177,13.50,5-7,BFH,Mål,PL,72,Line FRANDSEN,,,,12,Filippa IDÉHN
36,748177,14.28,5-8,IKA,Mål,Gbr,7,Stine SKOGRAND,,,,20,Clara BAK
37,748177,15.05,,BFH,Fejlaflevering,,21,Emma ERNST,,,,,
38,748177,15.19,,IKA,Fejlaflevering,,0,,Bold erobret,19,Rikke Dahl NIELSEN,,
39,748177,15.41,,BFH,Skud reddet,Gbr,72,Line FRANDSEN,,,,12,Filippa IDÉHN
40,748177,15.50,,IKA,Fejlaflevering,,7,Stine SKOGRAND,Bold erobret,19,Rikke Dahl NIELSEN,,
41,748177,16.42,,BFH,Skud reddet,VF,9,Mathilde PIIL,,,,12,Filippa IDÉHN
42,748177,17.16,5-9,IKA,Mål,Gbr,14,Emma LINDQVIST,,,,20,Clara BAK
43,748177,17.52,,BFH,Skud på stolpe,Gbr,7,Line GYLDENLØVE,,,,12,Filippa IDÉHN
44,748177,18.28,,IKA,Regelfejl,,14,Emma LINDQVIST,,,,,
45,748177,19.08,,BFH,Regelfejl,,5,Sofie LUND,,,,,
46,748177,20.28,5-10,IKA,Mål,VF,22,Lærke NOLSØE,Assist,51,Markéta JERÁBKOVÁ,20,Clara BAK
47,748177,20.33,,BFH,Time out,,,,,,,,
48,748177,21.14,6-10,BFH,Mål,Gbr,21,Emma ERNST,,,,12,Filippa IDÉHN
49,748177,21.25,6-11,IKA,Mål,ST,18,Maria LYKKEGAARD,Assist,51,Markéta JERÁBKOVÁ,24,Josephine NORDSTRØM
50,748177,22.12,7-11,BFH,Mål,ST,18,Sidsel POULSEN,Assist,72,Line FRANDSEN,12,Filippa IDÉHN
51,748177,22.42,,IKA,Skud blokeret,PL,7,Stine SKOGRAND,Blok af (ret),18,Sidsel POULSEN,,
52,748177,23.10,7-12,IKA,Mål,VF,22,Lærke NOLSØE,Assist,51,Markéta JERÁBKOVÁ,24,Josephine NORDSTRØM
53,748177,23.42,8-12,BFH,Mål,PL,72,Line FRANDSEN,,,,12,Filippa IDÉHN
54,748177,24.45,8-13,IKA,Mål,HB,7,Stine SKOGRAND,,,,24,Josephine NORDSTRØM
55,748177,25.24,,BFH,Fejlaflevering,,7,Line GYLDENLØVE,,,,,
56,748177,25.36,8-14,IKA,Mål,HF,6,Cecilie BRANDT,Assist,7,Stine SKOGRAND,24,Josephine NORDSTRØM
57,748177,26.05,9-14,BFH,Mål,Gbr,7,Line GYLDENLØVE,,,,12,Filippa IDÉHN
58,748177,26.15,,IKA,Skud på stolpe,1:e,18,Maria LYKKEGAARD,,,,0,
59,748177,27.24,10-14,BFH,Mål,VF,4,Emilie BANGSHØI,Assist,21,Emma ERNST,12,Filippa IDÉHN
60,748177,27.54,10-15,IKA,Mål,HF,6,Cecilie BRANDT,Assist,7,Stine SKOGRAND,24,Josephine NORDSTRØM
61,748177,28.38,11-15,BFH,Mål,HF,44,Louise HALD,Assist,72,Line FRANDSEN,12,Filippa IDÉHN
62,748177,28.48,11-16,IKA,Mål,1:e,18,Maria LYKKEGAARD,,,,0,
63,748177,29.25,,BFH,Regelfejl,,4,Emilie BANGSHØI,,,,,
64,748177,29.37,,IKA,Time out,,,,,,,,
65,748177,29.55,,IKA,Skud reddet,HF,6,Cecilie BRANDT,,,,24,Josephine NORDSTRØM
66,748177,30.00,11-16,,Halvleg,,,,,,,,
67,748177,30.00,,,Start 2:e halvleg,,,,,,,,
68,748177,30.45,,BFH,Skud reddet,VB,7,Line GYLDENLØVE,,,,12,Filippa IDÉHN
69,748177,31.25,,IKA,Skud forbi,HF,6,Cecilie BRANDT,,,,20,Clara BAK
70,748177,32.07,,BFH,Skud på stolpe,PL,72,Line FRANDSEN,,,,12,Filippa IDÉHN
71,748177,32.14,11-17,IKA,Mål,1:e,6,Cecilie BRANDT,Assist,14,Emma LINDQVIST,20,Clara BAK
72,748177,32.40,,BFH,Skud forbi,PL,11,Arlinda HAJDARI,,,,12,Filippa IDÉHN
73,748177,33.13,,IKA,Skud reddet,PL,10,Sofia STENHOLT,,,,20,Clara BAK
74,748177,33.35,,BFH,Fejlaflevering,,72,Line FRANDSEN,Bold erobret,10,Sofia STENHOLT,,
75,748177,33.43,11-18,IKA,Mål,1:e,10,Sofia STENHOLT,,,,20,Clara BAK
76,748177,33.50,12-18,BFH,Mål,Gbr,7,Line GYLDENLØVE,,,,12,Filippa IDÉHN
77,748177,34.31,,IKA,Skud på stolpe,PL,7,Stine SKOGRAND,,,,20,Clara BAK
78,748177,35.08,,BFH,Skud reddet,ST,18,Sidsel POULSEN,,,,12,Filippa IDÉHN
79,748177,35.18,,IKA,Regelfejl,,10,Sofia STENHOLT,,,,,
80,748177,35.29,,BFH,Fejlaflevering,,72,Line FRANDSEN,Bold erobret,10,Sofia STENHOLT,,
81,748177,35.36,12-19,IKA,Mål,1:e,10,Sofia STENHOLT,Assist,14,Emma LINDQVIST,20,Clara BAK
82,748177,36.27,,BFH,Skud reddet,VB,31,Marianne HAUGSTED,,,,12,Filippa IDÉHN
83,748177,37.07,,IKA,Skud reddet,Gbr,10,Sofia STENHOLT,,,,20,Clara BAK
84,748177,37.28,,BFH,Regelfejl,,11,Arlinda HAJDARI,,,,,
85,748177,38.16,12-20,IKA,Mål,Gbr,10,Sofia STENHOLT,,,,20,Clara BAK
86,748177,38.49,,BFH,Fejlaflevering,,7,Line GYLDENLØVE,,,,,
87,748177,38.59,,IKA,Skud forbi,1:e,12,Filippa IDÉHN,,,,0,
88,748177,39.22,13-20,BFH,Mål,VB,31,Marianne HAUGSTED,,,,12,Filippa IDÉHN
89,748177,39.29,13-21,IKA,Mål,2:e,14,Emma LINDQVIST,Assist,12,Filippa IDÉHN,20,Clara BAK
90,748177,39.55,14-21,BFH,Mål,VF,9,Mathilde PIIL,Assist,31,Marianne HAUGSTED,12,Filippa IDÉHN
91,748177,40.08,,IKA,Fejlaflevering,,7,Stine SKOGRAND,Bold erobret,0,,,
92,748177,40.40,15-21,BFH,Mål,ST,18,Sidsel POULSEN,Assist,7,Line GYLDENLØVE,12,Filippa IDÉHN
93,748177,40.55,15-22,IKA,Mål,2:e,2,Matilde KONDRUP NIELSEN,Assist,14,Emma LINDQVIST,20,Clara BAK
94,748177,41.30,,BFH,Skud reddet,HF,10,Melina KRISTENSEN,,,,12,Filippa IDÉHN
95,748177,42.04,15-23,IKA,Mål,PL,14,Emma LINDQVIST,,,,20,Clara BAK
96,748177,42.38,16-23,BFH,Mål,VF,9,Mathilde PIIL,Assist,31,Marianne HAUGSTED,12,Filippa IDÉHN
97,748177,43.48,,IKA,Fejlaflevering,,51,Markéta JERÁBKOVÁ,Bold erobret,9,Mathilde PIIL,,
98,748177,43.55,17-23,BFH,Mål,1:e,18,Sidsel POULSEN,Assist,0,,12,Filippa IDÉHN
99,748177,44.24,,BFH,Udvisning,,19,Rikke Dahl NIELSEN,,,,,
100,748177,44.38,17-24,IKA,Mål,Gbr,51,Markéta JERÁBKOVÁ,Assist,11,Sarah Aaberg IVERSEN,20,Clara BAK
101,748177,45.21,,BFH,Skud reddet,PL,31,Marianne HAUGSTED,,,,12,Filippa IDÉHN
102,748177,45.48,,IKA,Regelfejl,,29,Caroline KOTTAL CLAUSEN,,,,,
103,748177,46.18,,BFH,Fejlaflevering,,11,Arlinda HAJDARI,,,,,
104,748177,46.29,,,,,,,,,,,
105,748177,46.49,18-24,BFH,Mål,Gbr,11,Arlinda HAJDARI,Assist,31,Marianne HAUGSTED,12,Filippa IDÉHN
106,748177,46.54,,IKA,Time out,,,,,,,,
107,748177,47.41,,IKA,Fejlaflevering,,7,Stine SKOGRAND,Bold erobret,19,Rikke Dahl NIELSEN,,
108,748177,48.16,,BFH,Skud forbi,VF,4,Emilie BANGSHØI,,,,12,Filippa IDÉHN
109,748177,49.18,,IKA,Skud reddet,PL,14,Emma LINDQVIST,,,,20,Clara BAK
110,748177,49.52,,BFH,Fejlaflevering,,7,Line GYLDENLØVE,,,,,
111,748177,50.10,,IKA,Tabt bold,,0,,,,,,
112,748177,50.24,19-24,BFH,Mål,ST,19,Rikke Dahl NIELSEN,Assist,31,Marianne HAUGSTED,12,Filippa IDÉHN
113,748177,50.57,19-25,IKA,Mål,PL,14,Emma LINDQVIST,,,,20,Clara BAK
114,748177,51.31,,BFH,Regelfejl,,19,Rikke Dahl NIELSEN,,,,,
115,748177,52.11,,IKA,Skud reddet,Gbr,10,Sofia STENHOLT,Retur,0,,20,Clara BAK
