id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748179,0.00,,,Start 1:e halvleg,,,,,,,,
2,748179,0.36,,SVK,Skud på stolpe,Gbr,11,Sara MADSEN,,,,12,Anna KRISTENSEN
3,748179,0.41,0-1,TES,Mål,1:e,25,Henny REISTAD,Assist,22,Line HAUGSTED,22,Stine BONDE
4,748179,1.26,,SVK,Skud blokeret,PL,11,Sara MADSEN,Blok af (ret),22,Line HAUGSTED,,
5,748179,1.54,,SVK,Regelfejl,,15,Karen KLOKKER,,,,,
6,748179,2.04,,TES,Skud reddet,2:e,22,Line HAUGSTED,Retur,0,Stine BONDE,,
7,748179,2.39,,SVK,Udvisning,,15,Karen KLOKKER,,,,,
8,748179,2.59,0-2,TES,Mål,ST,3,Kaja Kamp NIELSEN,Assist,9,Nora MØRK,22,Stine BONDE
9,748179,3.37,1-2,SVK,Mål,HB,11,Sara MADSEN,,,,12,Anna KRISTENSEN
10,748179,4.09,,TES,Fejlaflevering,,9,Nora MØRK,Bold erobret,31,Andrea West BENDTSEN,,
11,748179,4.38,,SVK,Regelfejl,,18,Natasja ANDREASEN,,,,,
12,748179,4.46,1-3,TES,Mål,1:e,24,Sanna SOLBERG,Assist,25,Henny REISTAD,22,Stine BONDE
13,748179,5.18,,SVK,Skud reddet,HF,23,Thilde FRANDSEN,,,,12,Anna KRISTENSEN
14,748179,5.55,1-4,TES,Mål,Gbr,25,Henny REISTAD,Assist,4,Michala MØLLER,22,Stine BONDE
15,748179,6.05,,SVK,Skud reddet,2:e,11,Sara MADSEN,Retur,7,Maja Munch LAURSEN,12,Anna KRISTENSEN
16,748179,6.39,,SVK,Fejlaflevering,,18,Natasja ANDREASEN,,,,,
17,748179,7.04,1-5,TES,Mål,Gbr,4,Michala MØLLER,,,,22,Stine BONDE
18,748179,7.57,,SVK,Skud blokeret,PL,6,Thea RASMUSSEN,Blokeret af,22,Line HAUGSTED,,
19,748179,8.39,1-6,TES,Mål,Gbr,25,Henny REISTAD,,,,22,Stine BONDE
20,748179,8.51,,SVK,Time out,,,,,,,,
21,748179,9.13,,SVK,Fejlaflevering,,18,Natasja ANDREASEN,,,,,
22,748179,9.23,,TES,Regelfejl,,18,Mette TRANBORG,,,,,
23,748179,9.30,2-6,SVK,Mål,1:e,15,Karen KLOKKER,Assist,7,Maja Munch LAURSEN,12,Anna KRISTENSEN
24,748179,10.25,,TES,Skud reddet,ST,3,Kaja Kamp NIELSEN,,,,22,Stine BONDE
25,748179,11.04,3-6,SVK,Mål,VF,7,Maja Munch LAURSEN,Assist,11,Sara MADSEN,12,Anna KRISTENSEN
26,748179,11.14,,TES,Regelfejl,,3,Kaja Kamp NIELSEN,,,,,
27,748179,11.49,,SVK,Fejlaflevering,,6,Thea RASMUSSEN,Bold erobret,18,Mette TRANBORG,,
28,748179,11.56,3-7,TES,Mål,2:e,22,Line HAUGSTED,,,,22,Stine BONDE
29,748179,12.08,4-7,SVK,Mål,2:e,6,Thea RASMUSSEN,,,,12,Anna KRISTENSEN
30,748179,12.55,,TES,Skud reddet,HF,27,Anne Tolstrup PETERSEN,,,,22,Stine BONDE
31,748179,13.33,,SVK,Tabt bold,,15,Karen KLOKKER,,,,,
32,748179,14.11,,TES,Tabt bold,,18,Mette TRANBORG,,,,,
33,748179,15.07,5-7,SVK,Mål,HB,11,Sara MADSEN,,,,12,Anna KRISTENSEN
34,748179,15.14,5-8,TES,Mål,2:e,22,Line HAUGSTED,,,,22,Stine BONDE
35,748179,15.59,,SVK,Regelfejl,,15,Karen KLOKKER,,,,,
36,748179,16.09,,TES,Skud forbi,2:e,3,Kaja Kamp NIELSEN,,,,22,Stine BONDE
37,748179,16.18,6-8,SVK,Mål,2:e,7,Maja Munch LAURSEN,Assist,6,Thea RASMUSSEN,12,Anna KRISTENSEN
38,748179,16.22,,TES,Time out,,,,,,,,
39,748179,16.44,6-9,TES,Mål,Gbr,8,Live DEILA,,,,22,Stine BONDE
40,748179,16.51,,SVK,Fejlaflevering,,6,Thea RASMUSSEN,Bold erobret,24,Sanna SOLBERG,,
41,748179,16.55,6-10,TES,Mål,1:e,24,Sanna SOLBERG,,,,22,Stine BONDE
42,748179,17.43,7-10,SVK,Mål,Gbr,6,Thea RASMUSSEN,,,,12,Anna KRISTENSEN
43,748179,17.52,7-11,TES,Mål,2:e,27,Anne Tolstrup PETERSEN,Assist,8,Live DEILA,22,Stine BONDE
44,748179,18.24,8-11,SVK,Mål,HF,23,Thilde FRANDSEN,Assist,4,Maria HOLM,12,Anna KRISTENSEN
45,748179,18.34,8-12,TES,Mål,2:e,22,Line HAUGSTED,,,,22,Stine BONDE
