id,kamp_id,tid,maal,hold,haendelse_1,pos,nr_1,navn_1,haendelse_2,nr_2,navn_2,nr_mv,mv
1,748180,0.00,,,Start 1:e halvleg,,,,,,,,
2,748180,0.34,,AHB,Skud reddet,PL,17,Line Berggren LARSEN,,,,23,Stine ALMIND
3,748180,1.05,0-1,SKB,Mål,Gbr,14,Verona REXHEPI,,,,86,Sabine ENGLERT
4,748180,1.39,,AHB,Fejlaflevering,,14,Anna Berger WIERZBA,,,,,
5,748180,1.51,0-2,SKB,Mål,ST,10,Filippa NEDOVIC,Assist,3,Clara BANG,86,Sabine ENGLERT
6,748180,2.20,1-2,AHB,Mål,Gbr,14,Anna Berger WIERZBA,,,,23,Stine ALMIND
7,748180,2.57,,SKB,Skud reddet,HF,4,Emilie BECH,,,,86,Sabine ENGLERT
8,748180,3.03,2-2,AHB,Mål,1:e,18,Mathilde ØSTERGAARD,,,,23,Stine ALMIND
9,748180,3.31,,SKB,Skud på stolpe,HB,3,Clara BANG,,,,86,Sabine ENGLERT
10,748180,3.38,,AHB,Fejlaflevering,,,,,,,86,Sabine ENGLERT
11,748180,4.27,,SKB,Tilkendt straffe,,14,Verona REXHEPI,Forårs. str.,17,Line Berggren LARSEN,,
12,748180,4.51,2-3,SKB,Mål på straffe,,25,Astrid LYNNERUP,,,,86,Sabine ENGLERT
13,748180,5.20,,AHB,Fejlaflevering,,14,Anna Berger WIERZBA,,,,,
14,748180,5.51,,SKB,Skud reddet,Gbr,20,Suna HANSEN,,,,86,Sabine ENGLERT
15,748180,5.58,3-3,AHB,Mål,2:e,18,Mathilde ØSTERGAARD,Assist,86,Sabine ENGLERT,23,Stine ALMIND
16,748180,6.25,,SKB,Fejlaflevering,,14,Verona REXHEPI,,,,,
17,748180,6.53,4-3,AHB,Mål,PL,17,Line Berggren LARSEN,,,,23,Stine ALMIND
18,748180,7.07,,AHB,Advarsel,,5,Katarina BERENS,,,,,
19,748180,7.26,,AHB,Udvisning,,5,Katarina BERENS,,,,,
20,748180,7.37,,AHB,Udvisning,,18,Mathilde ØSTERGAARD,,,,,
